PC,pc_rank_by_variance,explained_variance_ratio,cumulative_explained_variance,top_loading_rank,meta_feature,loading,abs_loading
PC4,4,0.11774500210403278,0.7822077031974134,7,mi_feat_to_label_q1,-0.22503540312316495,0.22503540312316495
PC4,4,0.11774500210403278,0.7822077031974134,8,earlyshift_batch__ks_std,-0.2209449085445178,0.2209449085445178
PC4,4,0.11774500210403278,0.7822077031974134,9,tree__n_nodes,-0.2141495051372354,0.2141495051372354
PC4,4,0.11774500210403278,0.7822077031974134,10,x_pca_kurtosis_first_pc,-0.21337376598668828,0.21337376598668828
PC5,5,0.10013069446651938,0.8823383976639327,1,mi_feat_to_label_min,0.31055223890023936,0.31055223890023936
PC5,5,0.10013069446651938,0.8823383976639327,2,min_class_count,0.3007378652588098,0.3007378652588098
PC5,5,0.10013069446651938,0.8823383976639327,3,earlyshift_batch__kl_q3,0.29255898891715343,0.29255898891715343
PC5,5,0.10013069446651938,0.8823383976639327,4,feat_max_median,-0.28436755398842783,0.28436755398842783
PC5,5,0.10013069446651938,0.8823383976639327,5,feat_min_mean,-0.2779272573512573,0.2779272573512573
PC5,5,0.10013069446651938,0.8823383976639327,6,feat_entropy_binned_std,0.26962378999870007,0.26962378999870007
PC5,5,0.10013069446651938,0.8823383976639327,7,feat_mean_q1,-0.26283972931179134,0.26283972931179134
PC5,5,0.10013069446651938,0.8823383976639327,8,feat_min_max,-0.2540724175171354,0.2540724175171354
PC5,5,0.10013069446651938,0.8823383976639327,9,class_entropy_norm,0.2493183704974598,0.2493183704974598
PC5,5,0.10013069446651938,0.8823383976639327,10,x_pca_k_for_95pct,-0.22236936961403028,0.22236936961403028
PC6,6,0.07571701047123841,0.9580554081351711,1,imbalance_ratio,-0.36658464583053657,0.36658464583053657
PC6,6,0.07571701047123841,0.9580554081351711,2,feat_entropy_binned_max,-0.34395276234047556,0.34395276234047556
PC6,6,0.07571701047123841,0.9580554081351711,3,feat_kurt_min,0.27552234162328576,0.27552234162328576
PC6,6,0.07571701047123841,0.9580554081351711,4,min_class_count,0.257324313590639,0.257324313590639
PC6,6,0.07571701047123841,0.9580554081351711,5,earlyshift_batch__ks_q3,0.2546480195166443,0.2546480195166443
PC6,6,0.07571701047123841,0.9580554081351711,6,x_pca_kurtosis_first_pc,0.25072694722478245,0.25072694722478245
PC6,6,0.07571701047123841,0.9580554081351711,7,earlyshift_batch__kl_q3,0.2383888073650487,0.2383888073650487
PC6,6,0.07571701047123841,0.9580554081351711,8,feat_entropy_binned_std,-0.22845411051073192,0.22845411051073192
PC6,6,0.07571701047123841,0.9580554081351711,9,feat_skew_min,0.2065716465113984,0.2065716465113984
PC6,6,0.07571701047123841,0.9580554081351711,10,feat_min_mean,0.1854649201504601,0.1854649201504601
