Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Failed,,,3132,2318,1524,0.472,0.099,2.399,str('ks-test'),str('bounded'),11
Failed,,,4376,3465,4911,0.835,0.265,4.276,str('t-test'),str('bounded'),24
Failed,,,823,976,716,0.192,0.678,9.528,str('ks-test'),str('bounded'),37
Failed,,,399,2907,1981,0.062,0.592,5.378,str('t-test'),str('bounded'),17
Failed,,,4342,399,3643,0.916,0.475,0.907,str('ks-test'),str('bounded'),30
Failed,,,3089,4133,312,0.28,0.138,2.78,str('t-test'),str('bounded'),43
Failed,,,1645,1626,4065,0.635,0.8,8.504,str('ks-test'),str('bounded'),4
Failed,,,1380,3147,313,0.995,0.058,9.268,str('t-test'),str('bounded'),15
Failed,,,2749,659,4062,0.11,0.876,4.519,str('ks-test'),str('bounded'),26
Failed,,,4003,4498,2395,0.714,0.727,1.397,str('t-test'),str('bounded'),39
Failed,,,282,775,1449,0.727,0.416,3.296,str('t-test'),str('bounded'),47
Failed,,,941,2552,232,0.521,0.315,1.802,str('ks-test'),str('bounded'),1
Failed,,,4884,44,4145,0.377,0.743,6.897,str('t-test'),str('bounded'),40
Failed,,,3640,3863,1900,0.802,0.893,8.774,str('ks-test'),str('bounded'),28
Failed,,,2360,81,1601,0.756,0.206,5.918,str('ks-test'),str('bounded'),33
Failed,,,2495,3968,857,0.652,0.595,7.279,str('t-test'),str('bounded'),26
Failed,,,3547,1475,4770,0.258,0.463,1.437,str('ks-test'),str('bounded'),16
Failed,,,4801,2744,1275,0.933,0.176,4.564,str('t-test'),str('bounded'),3
Failed,,,1248,251,3100,0.04,0.76,9.151,str('ks-test'),str('bounded'),39
Failed,,,33,3318,4363,0.209,0.971,5.626,str('t-test'),str('bounded'),9
Failed,,,3976,807,14,0.813,0.09,0.571,str('ks-test'),str('bounded'),45
Failed,,,2732,4663,3550,0.489,0.299,3.693,str('t-test'),str('bounded'),32
Failed,,,1289,2150,2074,0.595,0.634,7.504,str('ks-test'),str('bounded'),22
