Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Completed,0.55,348,485,1126,1185,0.038,0.809,6.618,str('t-test'),str('bounded'),3
Completed,0.55,1338,2282,390,1259,0.843,0.166,8.753,str('t-test'),str('bounded'),5
Completed,0.55,163,2922,3805,3868,0.251,0.334,2.388,str('ks-test'),str('bounded'),4
Completed,0.55,777,2528,3321,2981,0.555,0.618,5.595,str('t-test'),str('bounded'),5
Completed,0.55,6241,1617,2762,3903,0.645,0.347,0.946,str('t-test'),str('bounded'),7
Completed,0.55,2013,1370,4765,237,0.396,0.056,5.597,str('ks-test'),str('bounded'),6
Completed,0.55,1,488,3669,3852,0.322,0.465,1.292,str('t-test'),str('bounded'),1
Completed,0.55,35,3882,3530,3054,0.184,0.06,2.818,str('ks-test'),str('bounded'),3
Completed,0.55,351,3335,3105,4386,0.939,0.913,0.053,str('ks-test'),str('bounded'),5
Completed,0.55,17,1317,62,2739,0.374,0.569,3.289,str('ks-test'),str('bounded'),1
Completed,0.55,5085,4804,4144,1865,0.879,0.16,6.205,str('ks-test'),str('bounded'),7
Completed,0.55,336,911,3757,2908,0.866,0.364,4.955,str('ks-test'),str('bounded'),5
Completed,0.55,7592,1301,4349,1183,0.539,0.381,7.82,str('t-test'),str('bounded'),8
Completed,0.55,25,1362,1163,2418,0.915,0.981,9.002,str('ks-test'),str('bounded'),3
Completed,0.55,21,4299,4711,3749,0.382,0.708,2.575,str('t-test'),str('bounded'),3
Completed,0.55,12248,838,3113,1074,0.333,0.551,0.819,str('t-test'),str('bounded'),8
Completed,0.55,3,3524,3455,3548,0.744,0.352,6.142,str('t-test'),str('bounded'),2
Completed,0.55,15,61,3640,4189,0.834,0.066,7.96,str('ks-test'),str('bounded'),3
Completed,0.55,3892,614,2826,591,0.169,0.122,6.625,str('t-test'),str('bounded'),6
Completed,0.55,2,1770,3347,1695,0.985,0.749,7.514,str('t-test'),str('bounded'),2
Completed,0.55,21,4647,3161,1039,0.591,0.962,5.885,str('ks-test'),str('bounded'),3
Completed,0.55,2586,129,1110,3845,0.535,0.19,2.419,str('ks-test'),str('bounded'),6
Completed,0.55,768,3476,983,3267,0.89,0.476,4.183,str('t-test'),str('bounded'),5
Completed,0.55,11499,3579,197,1579,0.337,0.076,8.489,str('t-test'),str('bounded'),6
Completed,0.55,6,4743,977,472,0.505,0.695,6.898,str('t-test'),str('bounded'),2
Completed,0.55,5428,4719,2719,4950,0.414,0.971,9.57,str('t-test'),str('bounded'),7
Completed,0.55,83,3006,3962,4825,0.714,0.08,1.569,str('t-test'),str('bounded'),4
Completed,0.55,2076,4769,189,4684,0.206,0.847,0.112,str('t-test'),str('bounded'),3
Completed,0.55,5,995,4584,1811,0.139,0.326,1.115,str('t-test'),str('bounded'),2
Completed,0.55,1884,1082,2035,1525,0.493,0.451,9.167,str('t-test'),str('bounded'),6
Completed,0.55,8590,4611,2429,2610,0.262,0.027,0.417,str('t-test'),str('bounded'),7
Completed,0.55,1,2238,1638,136,0.661,0.821,5.135,str('t-test'),str('bounded'),1
Completed,0.55,730,2503,1927,897,0.083,0.228,7.356,str('ks-test'),str('bounded'),4
