Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.05,144,3508,1440,5.025,0.016,False,False
Completed,0.11,290,4466,4713,0.532,0.036,False,False
Completed,0.06,96,3771,2470,7.026,0.04,False,False
Completed,0.07,149,3063,4501,2.088,0.007,False,False
Completed,0.07,1818,4866,22,0.801,0.025,True,False
Completed,0.12,491,127,822,0.154,0.04,False,False
Completed,0.06,96,1001,4953,3.993,0.046,False,False
Completed,0.06,124,1957,1357,9.181,0.002,False,False
Completed,0.11,305,1546,3459,0.348,0.003,False,False
Completed,0.04,285,473,195,5.228,0.046,False,False
Completed,0.06,90,888,4344,8.752,0.04,False,False
Completed,0.06,112,2391,2003,4.267,0.01,False,False
Completed,0.06,98,1479,4221,4.907,0.042,False,False
Completed,0.06,102,439,1251,9.813,0.012,False,False
Completed,0.06,93,1191,2913,5.129,0.005,False,False
Completed,0.1,623,1898,257,0.233,0.048,False,False
Completed,0.05,287,2704,114,4.407,0.036,False,False
Completed,0.06,95,4213,3083,9.625,0.018,False,False
Completed,0.05,140,1074,463,4.998,0.049,False,False
Completed,0.11,332,556,3804,0.299,0.044,False,False
Completed,0.06,92,1283,1773,5.048,0.01,False,False
Completed,0.05,108,3795,3130,4.752,0.025,False,False
Completed,0.11,465,4549,2290,0.072,0.019,False,False
Completed,0.06,87,3538,4632,5.292,0.035,False,False
Completed,0.06,85,1844,4492,9.467,0.047,False,False
Completed,0.06,106,71,2462,4.569,0.007,False,False
Completed,0.11,305,801,3300,0.489,0.012,False,False
Completed,0.06,107,2281,957,5.397,0.041,False,False
Completed,0.07,104,2335,4663,2.514,0.02,False,False
Completed,0.06,119,827,2319,7.773,0.027,False,False
Completed,0.06,88,17,3198,7.443,0.033,False,False
Completed,0.06,289,1818,1166,2.193,0.014,False,False
Completed,0.05,292,3562,1006,3.009,0.002,False,False
Completed,0.06,105,4601,3350,7.956,0.045,False,False
Completed,0.06,108,3699,2157,6.886,0.036,False,False
Completed,0.06,130,2819,3903,7.96,0.03,False,False
Completed,0.05,534,4544,607,2.033,0.006,False,False
Completed,0.06,148,3198,286,7.609,0.007,False,False
Completed,0.07,137,4971,2940,2.674,0.04,False,False
Completed,0.06,302,4159,1322,2.349,0.047,False,False
Completed,0.06,88,2679,4289,7.294,0.001,False,False
Completed,0.06,91,1922,4127,8.109,0.013,False,False
Completed,0.05,257,1243,1472,2.862,0.034,False,False
Completed,0.07,275,415,3093,1.927,0.028,False,False
Completed,0.06,244,1426,126,7.184,0.02,False,False
Completed,0.06,99,3339,1610,9.535,0.022,False,False
Completed,0.06,90,4828,3954,4.483,0.031,False,False
Completed,0.1,402,4331,615,0.423,0.037,False,False
Completed,0.06,93,2509,2647,5.485,0.016,False,False
Completed,0.06,90,2094,2807,9.737,0.004,False,False
Completed,0.07,350,3835,1947,1.786,0.044,False,False
Completed,0.06,88,2702,4294,7.597,0.009,False,False
Completed,0.05,493,3254,50,3.389,0.009,False,False
Completed,0.06,89,2478,3483,4.63,0.011,False,False
Completed,0.06,104,686,829,9.382,0.043,False,False
Completed,0.06,95,186,4986,5.326,0.049,False,False
Completed,0.1,372,1646,2019,0.584,0.005,False,False
Completed,0.06,119,28,1088,7.117,0.022,False,False
