Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.78,38,4191,2742,0.772,0.042,False,False
Completed,0.62,25,4896,2460,3.858,0.049,False,False
Completed,0.19,22,3291,4498,5.372,0.005,False,False
Completed,0.19,31,1324,3597,5.732,0.013,False,False
Completed,0.16,27,334,695,4.765,0.041,False,False
Completed,0.51,25,142,1979,3.071,0.018,False,False
Completed,0.72,71,1182,3318,0.986,0.022,False,False
Completed,0.27,84,1549,34,6.804,0.044,False,False
Completed,0.19,84,4597,179,9.628,0.035,False,False
Completed,0.54,44,2981,3153,2.555,0.001,False,False
Completed,0.67,40,3187,2149,0.891,0.011,False,False
Completed,0.19,32,4080,3859,6.322,0.027,False,False
Completed,0.59,33,4983,697,2.855,0.026,False,False
Completed,0.19,27,2752,2732,9.925,0.01,False,False
Completed,0.19,24,3137,2420,4.934,0.023,False,False
Completed,0.19,23,4732,4384,5.823,0.03,False,False
Completed,0.19,21,1735,4631,7.521,0.008,False,False
Completed,0.91,5235,4810,454,1.043,0.043,True,True
Completed,0.52,27,842,1357,4.673,0.03,False,False
Completed,0.68,33,326,2696,1.258,0.032,False,False
Completed,0.45,26,1942,657,5.905,0.004,False,False
Completed,0.72,37,1778,843,0.679,0.046,False,False
Completed,0.19,37,4780,1565,4.767,0.047,False,False
Completed,0.19,27,2647,4852,8.013,0.013,False,False
Completed,0.92,1091,820,48,0.907,0.037,True,True
Completed,0.19,44,3687,1036,6.043,0.023,False,False
Completed,0.62,30,4044,3058,1.785,0.039,False,False
Completed,0.78,1256,2949,2299,0.181,0.004,True,False
Completed,0.19,28,2093,2895,4.61,0.033,False,False
Completed,0.19,25,486,1178,7.614,0.006,False,False
Completed,0.19,22,692,4705,5.832,0.009,False,False
Completed,0.19,23,3033,2021,5.655,0.039,False,False
Completed,0.66,33,4543,4046,1.549,0.024,False,False
Completed,0.19,21,1496,3900,4.998,0.005,False,False
Completed,0.19,32,1237,2185,7.848,0.032,False,False
Completed,0.19,28,97,3190,6.222,0.029,False,False
Completed,0.64,43,2328,221,1.578,0.007,False,False
Completed,0.19,23,1346,2230,6.139,0.034,False,False
Completed,0.19,22,4395,2396,7.713,0.038,False,False
Completed,0.19,21,2876,4119,4.47,0.022,False,False
Completed,0.56,25,3292,593,1.477,0.014,False,False
Completed,0.19,28,4283,3560,5.737,0.048,False,False
Completed,0.92,2939,1873,262,8.393,0.022,False,True
Completed,0.92,1776,2023,153,3.151,0.029,False,True
Completed,0.59,30,4231,2192,2.618,0.013,False,False
Completed,0.19,25,3347,4225,9.536,0.028,False,False
Completed,0.19,30,2830,409,6.395,0.037,False,False
Completed,0.19,36,3582,1393,6.631,0.002,False,False
Completed,0.65,1009,3842,4673,1.197,0.036,False,False
Completed,0.91,5635,2075,412,7.678,0.015,True,True
Completed,0.21,26,1890,4522,2.773,0.043,False,False
Completed,0.19,38,380,1563,9.45,0.021,False,False
Completed,0.19,30,797,2568,6.495,0.019,False,False
Completed,0.19,23,1630,3099,9.514,0.017,False,False
Completed,0.61,27,640,1072,2.68,0.045,False,False
Completed,0.79,64,528,4889,0.752,0.041,False,False
Completed,0.19,28,2047,1607,6.412,0.019,False,False
Completed,0.19,24,4001,1769,9.862,0.003,False,False
Completed,0.57,30,3732,4746,2.947,0.037,False,False
Completed,0.92,1857,342,173,5.675,0.013,True,True
Completed,0.64,43,2592,1221,1.124,0.027,False,False
Completed,0.19,25,4833,2933,6.713,0.012,False,False
Completed,0.92,1931,3745,162,0.773,0.005,False,True
Completed,0.92,3377,2774,214,3.102,0.041,True,True
Completed,0.72,41,1575,1733,1.342,0.031,False,False
Completed,0.79,568,2166,1003,0.12,0.04,True,False
Completed,0.19,23,2488,3722,7.912,0.03,False,False
Completed,0.53,26,247,450,4.906,0.008,False,False
Completed,0.64,33,1077,4267,1.651,0.006,False,False
Completed,0.54,27,3218,2335,3.447,0.042,False,False
Completed,0.19,25,4209,4357,9.341,0.021,False,False
Completed,0.92,1546,541,12,2.953,0.023,False,True
Completed,0.79,53,4855,1117,0.313,0.022,False,False
Completed,0.19,33,2720,2839,6.91,0.044,False,False
Completed,0.19,26,3457,1833,9.036,0.046,False,False
Completed,0.19,27,3813,4800,3.139,0.018,False,False
Completed,0.92,4036,2142,305,5.41,0.033,True,True
Completed,0.71,2356,1228,395,1.297,0.045,True,False
Completed,0.78,57,2015,4942,0.314,0.011,False,False
Completed,0.7,44,4437,3685,0.809,0.003,False,False
Completed,0.25,25,1392,3518,3.008,0.02,False,False
Completed,0.19,35,1035,556,9.839,0.042,False,False
Completed,0.19,27,299,4082,6.731,0.044,False,False
Completed,0.74,37,2433,2355,1.069,0.017,False,False
Completed,0.92,6620,3821,304,0.352,0.05,False,True
Completed,0.62,26,870,1874,2.244,0.024,False,False
Completed,0.19,24,454,2882,4.328,0.015,False,False
Completed,0.19,30,1972,1155,8.511,0.05,False,False
Completed,0.26,25,3768,1011,5.06,0.029,False,False
Completed,0.57,34,3500,3043,2.133,0.007,False,False
Completed,0.52,30,2668,1708,3.799,0.005,False,False
Completed,0.19,25,3069,1179,6.517,0.004,False,False
Completed,0.8,46,4901,4946,0.466,0.034,False,False
Completed,0.53,27,4263,2399,2.866,0.026,False,False
Completed,0.19,23,3708,3666,8.921,0.012,False,False
Completed,0.19,23,2255,4214,7.167,0.001,False,False
Completed,0.8,67,13,2497,0.018,0.035,False,False
Completed,0.2,32,1155,3504,3.429,0.025,False,False
Completed,0.19,29,1423,532,8.783,0.01,False,False
Completed,0.19,37,4625,384,7.209,0.018,False,False
Completed,0.74,45,3107,3671,0.61,0.046,False,False
Completed,0.92,1046,4126,79,7.227,0.016,False,True
Completed,0.71,42,2397,2818,0.571,0.018,False,False
Completed,0.19,26,572,1586,6.392,0.044,False,False
Completed,0.19,22,1204,4197,8.792,0.04,False,False
Completed,0.53,23,1766,465,2.976,0.022,False,False
Completed,0.78,47,2805,567,0.283,0.012,False,False
Completed,0.19,29,4540,4329,6.642,0.026,False,False
Completed,0.19,23,3921,1766,9.09,0.034,False,False
Completed,0.56,24,3424,3028,2.717,0.004,False,False
Completed,0.38,26,3395,402,5.003,0.049,False,False
Completed,0.92,1981,3940,143,8.21,0.04,True,True
Completed,0.19,24,409,1670,7.465,0.027,False,False
Completed,0.19,29,925,3007,9.09,0.035,False,False
Completed,0.22,28,1810,970,3.738,0.001,False,False
Completed,0.19,25,1862,4836,5.565,0.039,False,False
Completed,0.92,2952,4725,268,3.297,0.011,True,True
Completed,0.19,29,2349,612,7.935,0.036,False,False
Completed,0.92,2125,4715,225,2.431,0.027,False,True
Completed,0.62,30,1454,3603,1.574,0.035,False,False
Completed,0.92,1731,2852,139,8.857,0.023,True,True
Completed,0.19,22,891,2365,5.215,0.002,False,False
Completed,0.19,21,260,4980,7.805,0.007,False,False
Completed,0.54,23,2085,1243,4.179,0.03,False,False
Completed,0.75,1158,482,378,0.921,0.015,True,False
Completed,0.64,30,3736,1033,1.325,0.042,False,False
Completed,0.19,22,4234,4800,5.503,0.021,False,False
Completed,0.92,1039,1999,95,1.822,0.05,True,True
Completed,0.19,21,2036,3456,6.853,0.024,False,False
Completed,0.92,2783,3509,305,3.968,0.035,True,True
Completed,0.8,57,308,2219,0.09,0.04,False,False
Completed,0.51,32,920,4814,2.539,0.045,False,False
Completed,0.19,25,1425,1077,9.288,0.019,False,False
