Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.57,32,4228,2266,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,17,5000,4348,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.58,21,4341,2211,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.52,10,1,4673,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,16,402,2664,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.57,18,5000,3947,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,121,3809,284,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,82,2113,21,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.59,15,2181,587,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.59,15,5000,3353,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.54,16,5000,4837,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,46,2113,51,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.54,16,4448,4846,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,52,2148,70,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,77,3146,209,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.53,7,1,1159,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.59,26,451,650,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,70,2120,26,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,149,4572,187,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.54,11,1,2157,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.54,14,392,1152,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,70,2817,180,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,95,2078,10,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,96,2106,18,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,54,2110,38,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.54,17,4017,4872,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.56,7,1,655,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,153,4548,152,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
