Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.81,242,337,2032,0.37,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,221,325,4649,0.139,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,232,331,2710,0.212,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,203,363,4351,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.88,299,1293,2352,0.24,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,271,584,4004,0.46,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,430,4858,1665,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,306,4907,4019,0.224,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,206,264,3897,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,227,327,2927,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,250,379,3358,0.399,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,207,348,3451,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,273,433,4910,0.453,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,288,4919,5000,0.249,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,241,527,4128,0.154,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,261,1348,4342,0.167,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,272,426,4614,0.465,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,232,386,2180,0.223,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,234,42,932,0.672,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,223,379,4789,0.172,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,292,754,3628,0.505,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,260,292,3126,0.497,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,224,291,5000,0.14,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.88,252,680,1590,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,304,5000,4167,0.261,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,206,337,3687,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,241,310,2579,0.394,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,236,1381,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,339,4921,5000,0.502,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,382,1418,1236,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,230,349,1965,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,286,3982,4149,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,253,315,1422,0.183,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,286,125,1985,0.47,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,494,1262,922,0.625,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,416,4779,3822,0.699,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,205,312,4119,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,334,811,985,0.253,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.88,382,3154,1946,0.406,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,220,306,3419,0.135,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,265,351,5000,0.375,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.89,318,1419,2029,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,295,5000,4805,0.248,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,305,893,1935,0.489,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,235,308,2366,0.318,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,271,1394,3116,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,337,1118,3825,0.644,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.9,358,4232,2828,0.555,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,204,269,3178,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,291,1817,4809,0.322,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,239,721,2646,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.82,254,713,2871,0.176,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,239,102,2035,0.555,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,799,989,2384,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,247,1538,4415,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,218,226,3290,0.092,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,304,4114,4434,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,231,846,4273,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.82,237,315,1353,0.317,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,287,153,1227,0.735,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,439,3688,1259,0.314,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.9,400,1305,1333,0.318,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,215,111,1365,0.319,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,317,282,4729,0.62,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,384,1505,5000,0.67,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,476,4344,1214,0.308,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.9,331,1038,1295,0.314,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,449,4858,1248,0.285,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.46,261,1,1133,0.754,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,277,86,1432,0.701,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.89,5537,819,31,0.875,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
