Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.75,2591,444,1,0.148,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,143,1300,62,0.384,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,3235,561,1,0.08,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,4436,734,1,0.303,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,5888,3125,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,434,2062,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,2367,429,1,0.533,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,28,378,122,0.383,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,6885,1123,1,0.145,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,30,1711,443,0.238,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,11,1,58,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,71,3561,168,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,10,1,166,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,11,1,104,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,15,5000,5000,0.405,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,27,1,1321,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,37,5000,424,0.29,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,14,2312,690,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,11,1,81,0.32,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,14,5000,4215,0.204,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,14,1,1654,0.497,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,10,1,605,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,13,5000,4322,0.138,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.65,26,1,1055,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.63,31,4277,1506,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,23,1898,881,0.297,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,11,1,28,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
