Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.91,0,5000,3577,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,8,5000,71,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,10,5000,65,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,811,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,2009,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2259,4274,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,14,5000,48,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,2246,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,2169,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,4341,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,35,5000,19,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,2908,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,5,4200,109,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,2090,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,4353,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,30,4271,22,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,19,4275,39,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,14,4296,58,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,76,4363,11,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,6,4233,91,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,9,4320,71,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.9,32,4286,31,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,17,4319,48,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,11,4279,64,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,8,4365,80,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2527,3611,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,8,5000,99,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,64,5000,12,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,7,4242,99,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1863,5000,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,662,3380,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,173,4455,5,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,51,4318,16,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,1211,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,25,4514,35,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1630,691,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1213,3557,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,17,4849,39,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,15,4319,53,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1666,3775,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1106,3826,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1694,4888,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2383,808,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2935,1005,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,32,4315,27,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2229,1247,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,89,5000,8,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,4248,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,1056,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,15,5000,46,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,7,5000,100,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,8,5000,80,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,3548,4049,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
