Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.67,220,2494,4657,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,413,441,1098,0.386,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,299,208,1305,0.528,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,1468,502,218,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,525,2884,3153,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,766,490,910,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,576,340,1241,0.484,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,852,497,751,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,1204,513,402,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,606,2941,2645,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,928,500,630,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,1417,501,318,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,1102,4080,2523,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.82,2287,503,74,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,736,469,969,0.413,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,267,256,2948,0.395,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,405,387,1091,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,247,1016,4557,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,597,3961,4035,0.759,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.66,287,90,1107,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,281,2764,2780,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,626,489,489,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,503,2673,2461,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,302,511,4604,0.323,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,856,1700,3463,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,297,590,4678,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,1387,2600,207,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,453,2532,2239,0.432,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,797,2627,677,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
