Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.1,1559,1738,16,446,1347,241
Completed,0.14,2696,810,3,343,632,24
Completed,0.14,868,1554,3,214,1258,294
Completed,0.1,1597,1624,12,313,452,33
Completed,0.1,13022,1783,21,102,1053,4
Completed,0.1,543,1476,19,199,553,74
Completed,0.1,501,1985,11,76,1828,235
Completed,0.1,802,555,25,215,177,30
Completed,0.1,2248,1869,13,183,997,39
Completed,0.1,552,1962,14,108,1466,324
Completed,0.1,1328,1010,4,122,719,44
Completed,0.11,1648,1700,9,204,1222,100
Completed,0.1,1180,1468,12,457,927,213
Completed,0.1,452,706,15,479,581,124
Completed,0.11,2343,1776,1,375,1428,142
Completed,0.1,370,3456,20,129,1256,254
Completed,0.1,614,4302,5,465,1864,356
Completed,0.1,2430,1797,13,228,1549,87
Completed,0.1,351,1932,15,32,656,141
Completed,0.19,1661,1988,26,495,1587,378
Completed,0.1,356,1852,5,53,493,122
Completed,0.19,2564,1235,26,439,502,24
Completed,0.1,644,424,15,407,325,45
Completed,0.1,1011,1971,23,191,1332,168
Completed,0.11,1402,997,1,496,974,173
Completed,0.1,1841,1552,14,358,1002,92
Completed,0.12,459,1141,12,5,1072,157
Completed,0.1,1856,1878,8,258,781,28
Completed,0.1,811,1262,22,494,207,42
Completed,0.1,1296,1946,18,334,1703,98
Completed,0.1,3542,1319,4,418,1278,84
Completed,0.11,688,1645,1,14,790,64
Completed,0.1,482,1383,5,264,1123,248
Completed,0.1,541,3326,7,288,1315,191
Completed,0.1,1381,1827,14,202,1463,353
Completed,0.1,673,1312,7,7,1285,152
Completed,0.1,733,1842,18,255,1770,237
Completed,0.1,1386,1394,13,227,407,40
Completed,0.12,1786,1748,9,408,1633,356
Completed,0.1,1799,1986,11,475,892,64
Completed,0.11,3358,1035,9,383,737,45
Completed,0.1,1128,942,21,223,599,36
Completed,0.1,494,1196,6,213,878,129
Completed,0.1,584,1280,11,366,711,111
Completed,0.1,1049,1631,17,128,294,26
Completed,0.1,490,1701,21,352,1479,273
Completed,0.14,3895,1964,3,464,1207,56
Completed,0.1,649,1606,21,423,948,120
Completed,0.1,456,1373,24,175,1152,194
Completed,0.12,1218,1435,10,408,1242,279
Completed,0.1,669,3880,19,124,1798,169
Completed,0.1,857,1471,19,315,1438,163
Completed,0.11,3415,1504,10,210,1401,57
Completed,0.1,2425,1824,4,378,1099,171
Completed,0.1,1545,1326,11,410,317,21
Completed,0.11,5241,981,1,467,968,43
Completed,0.1,881,1796,16,158,864,122
Completed,0.19,1202,1170,26,23,1062,50
Completed,0.1,1579,1699,2,271,1514,89
Completed,0.1,513,1231,4,73,350,76
Completed,0.1,1750,1638,20,321,836,37
Completed,0.1,2558,1265,17,500,1029,105
Completed,0.1,1589,1876,25,263,1577,260
Completed,0.1,596,1732,12,105,1070,242
Completed,0.1,797,627,4,491,103,19
Completed,0.12,846,1355,1,216,764,181
Completed,0.1,1027,1908,6,313,1430,97
Completed,0.11,654,1723,0,191,135,22
Completed,0.19,2330,1945,26,178,1600,82
Completed,0.1,1328,1130,24,439,681,123
Completed,0.1,5476,1757,14,367,1487,51
Completed,0.1,1452,1550,13,297,1160,199
Completed,0.1,1947,1423,23,399,978,130
Completed,0.1,992,1871,21,121,1340,94
Completed,0.1,3143,1248,17,201,523,18
Completed,0.1,2584,1578,5,13,925,26
Completed,0.11,1187,1840,0,71,1667,302
Completed,0.1,3501,1925,19,432,1695,62
Completed,0.1,2724,1455,8,184,1243,86
Completed,0.1,1093,1968,24,348,221,28
Completed,0.1,1552,1781,12,337,575,138
