Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Failed,,,1842,4,381,821,38
Failed,,,1617,0,24,1371,2
Failed,,,223,1,474,1461,223
Failed,,,1191,3,41,663,1514
Failed,,,1607,1,346,1641,1319
Failed,,,577,3,170,484,916
Failed,,,945,0,100,121,553
Failed,,,1322,2,221,800,1893
Failed,,,355,4,296,1074,375
Failed,,,494,0,209,1984,1649
Failed,,,832,4,404,945,1455
Failed,,,716,1,335,582,1076
Failed,,,1079,0,456,276,478
Failed,,,110,3,31,1598,1754
Failed,,,60,0,257,866,947
Failed,,,1027,2,200,1009,1286
Failed,,,1673,2,379,62,1606
Failed,,,643,4,78,1814,126
Failed,,,774,1,130,1709,278
Failed,,,1805,4,321,418,1985
Failed,,,1396,0,1,1403,1180
Failed,,,428,3,451,721,584
Failed,,,287,2,54,343,1424
Failed,,,1257,4,497,1532,843
Failed,,,886,2,375,1353,1746
Failed,,,503,1,427,1248,1851
Failed,,,1140,1,297,1926,691
Failed,,,172,3,247,198,1045
Failed,,,153,0,89,704,341
Failed,,,1184,3,397,1420,1923
Failed,,,1517,1,218,401,1242
Failed,,,549,3,268,1725,521
Failed,,,931,2,463,1862,884
Failed,,,1898,4,21,14,1348
Failed,,,1302,0,342,1057,1545
Failed,,,272,2,142,817,189
Failed,,,382,1,355,243,1788
Failed,,,1412,4,163,1881,448
Failed,,,792,3,34,1202,1108
Failed,,,658,0,229,1339,1487
Failed,,,1627,3,287,537,781
Failed,,,1047,1,108,1518,85
Failed,,,15,4,408,356,1682
Failed,,,67,2,181,1124,616
Failed,,,1097,4,364,750,1152
Failed,,,1701,0,60,1804,1955
Failed,,,733,2,485,72,312
Failed,,,1479,1,438,645,1257
Failed,,,448,4,113,1479,979
Failed,,,337,0,384,1584,1013
Failed,,,1369,2,67,290,719
Failed,,,988,4,188,595,1817
Failed,,,623,1,12,990,1711
Failed,,,1235,1,141,184,871
