Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.96,26,1901,64,368,1677,85
Completed,0.96,16,1276,8,155,1089,45
Completed,0.96,21,1165,37,483,626,29
Completed,0.96,7,1432,58,123,891,196
Completed,0.96,14,1596,9,188,1421,79
Completed,0.96,4,1884,57,65,1218,270
Completed,0.96,23,1955,51,423,864,95
Completed,0.96,7,1328,18,85,402,28
Completed,0.96,7,499,56,496,334,69
Completed,0.96,18,1860,29,332,1186,135
Completed,0.96,8,1141,32,240,803,179
Completed,0.96,9,1908,4,96,1752,248
Completed,0.96,11,1465,20,147,1388,274
Completed,0.96,45,1673,25,487,1518,39
Completed,0.96,12,1378,16,351,539,106
Completed,0.96,4,1752,54,127,197,23
Completed,0.96,20,1965,61,447,1768,410
Completed,0.96,9,1178,56,170,1137,154
Completed,0.96,2,556,29,6,348,82
Completed,0.96,9,1702,40,89,1503,369
Completed,0.96,24,1411,36,312,1404,69
Completed,0.96,23,1647,63,415,416,14
Completed,0.96,4,1022,6,77,820,116
Completed,0.96,30,1992,1,478,1203,73
Completed,0.96,13,1528,65,355,1437,265
Completed,0.96,61,1193,27,375,246,2
Completed,0.96,5,1566,43,151,521,120
Completed,0.96,9,1835,59,260,755,157
Completed,0.96,15,729,4,301,712,36
Completed,0.96,8,1723,21,120,1467,141
Completed,0.96,12,1974,12,207,1661,258
Completed,0.96,53,1309,46,196,970,8
Completed,0.96,3,1402,33,36,1041,232
Completed,0.96,7,769,59,138,440,34
Completed,0.96,29,1779,40,441,1692,148
Completed,0.96,12,1622,30,379,909,205
Completed,0.96,7,1403,10,33,612,49
Completed,0.96,32,1687,28,449,1528,376
Completed,0.96,6,1706,6,104,761,92
Completed,0.96,8,1135,66,463,264,53
Completed,0.96,142,1862,71,56,1041,3
Completed,0.96,10,1065,41,201,695,82
Completed,0.96,26,990,6,288,509,19
Completed,0.96,27,1646,51,490,1410,181
Completed,0.96,8,1892,65,194,1376,238
Completed,0.96,3,737,20,22,543,86
Completed,0.96,4,1646,4,35,1124,271
Completed,0.96,4,1156,38,49,858,159
Completed,0.96,29,1317,54,498,723,25
Completed,0.96,14,1613,48,260,1013,71
Completed,0.96,28,1957,19,338,795,23
Completed,0.96,6,1250,31,96,1075,248
Completed,0.96,28,1837,42,455,1572,147
Completed,0.96,6,557,15,253,475,61
Completed,0.96,7,1152,33,268,585,121
Completed,0.96,3,1690,39,158,80,17
Completed,0.96,36,1916,7,474,1181,42
Completed,0.96,13,794,71,246,650,57
Completed,0.96,10,1374,13,217,965,188
Completed,0.96,7,1578,26,41,1302,143
Completed,0.96,25,1878,55,465,1750,269
Completed,0.96,14,1510,68,428,902,115
Completed,0.96,5,1082,2,6,403,30
Completed,0.96,16,1580,53,10,831,24
Completed,0.96,16,1928,70,444,718,160
Completed,0.96,11,1964,38,99,1945,373
Completed,0.96,6,934,58,80,402,50
Completed,0.96,11,1717,31,128,1554,150
Completed,0.96,11,1287,35,347,769,170
Completed,0.96,12,1131,42,300,1047,237
Completed,0.96,8,863,50,318,579,86
Completed,0.96,19,1523,4,398,1498,247
Completed,0.96,9,1986,23,89,1110,70
Completed,0.96,21,1190,16,171,655,22
Completed,0.96,17,1336,9,468,1131,142
Completed,0.96,6,1751,61,109,1627,246
Completed,0.96,19,1969,34,317,1735,413
Completed,0.96,17,1459,68,335,471,18
Completed,0.96,11,1887,3,226,975,120
Completed,0.96,21,1543,64,178,1193,37
Completed,0.96,3,1279,39,65,543,114
Completed,0.96,17,1947,46,370,1320,155
Completed,0.96,10,1243,56,390,913,203
Completed,0.96,6,489,49,291,195,20
Completed,0.96,5,920,24,150,688,125
Completed,0.96,5,1701,69,74,1356,208
Completed,0.96,7,1499,43,186,877,131
Completed,0.96,12,1026,62,362,515,62
Completed,0.96,22,1793,50,382,1220,109
Completed,0.96,28,1636,25,460,940,48
Completed,0.96,69,1972,57,143,1792,11
Completed,0.96,3,1206,46,101,443,90
Completed,0.96,16,1432,14,284,1294,95
Completed,0.96,9,849,11,389,261,26
Completed,0.96,2,1858,8,26,578,137
Completed,0.96,13,1442,30,405,682,91
Completed,0.96,49,1739,1,354,1082,13
Completed,0.96,11,1765,18,163,1462,178
Completed,0.96,4,1376,55,3,1020,180
Completed,0.96,20,1961,17,425,1519,207
Completed,0.96,5,1262,5,136,360,56
Completed,0.96,12,1833,66,308,867,82
Completed,0.96,10,1806,44,150,1595,391
Completed,0.96,5,1895,71,91,1512,291
Completed,0.96,4,1528,57,50,648,78
Completed,0.96,25,1864,26,366,1623,115
Completed,0.96,24,1295,46,194,1118,30
Completed,0.96,7,1138,21,148,838,65
Completed,0.96,8,1707,51,288,341,42
Completed,0.96,32,1934,9,96,1426,17
Completed,0.96,17,1841,36,321,1444,325
