Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.04,76,1665,10,375,336,12
Completed,0.04,18,1355,15,24,1280,249
Completed,0.06,60,1889,14,254,1846,421
Completed,0.04,50,544,16,301,538,51
Completed,0.04,15,915,10,165,303,71
Completed,0.04,32,1006,19,274,415,44
Completed,0.06,24,1793,5,224,568,110
Completed,0.04,44,1836,10,265,1378,340
Completed,0.04,67,1647,15,475,1019,85
Completed,0.04,30,1584,18,285,1097,197
Completed,0.04,58,1685,0,430,944,95
Completed,0.04,66,1756,11,178,1391,69
Completed,0.06,25,1290,12,252,619,106
Completed,0.06,25,1502,5,237,396,48
Completed,0.04,21,1144,1,4,1046,73
Completed,0.04,38,1615,0,274,1580,277
Completed,0.06,34,957,8,290,773,133
Completed,0.06,37,1728,14,100,1549,150
Completed,0.04,71,1963,15,334,800,53
Completed,0.04,30,1920,20,188,1240,280
Completed,0.04,18,1303,20,36,1166,126
Completed,0.04,16,340,6,247,125,18
Completed,0.04,32,1138,10,288,747,163
Completed,0.04,43,1467,1,173,765,41
Completed,0.04,35,1416,6,339,1197,253
Completed,0.06,36,1827,5,65,1676,82
Completed,0.04,24,1573,11,7,672,37
Completed,0.04,52,1561,16,481,1366,265
Completed,0.04,537,1984,1,255,1225,4
Completed,0.06,37,1659,8,143,1270,138
Completed,0.04,26,702,16,73,438,29
Completed,0.04,33,1773,18,391,816,167
Completed,0.05,26,1181,13,81,995,122
Completed,0.04,24,1976,4,75,1954,262
Completed,0.04,66,1676,7,467,1534,380
Completed,0.05,23,1941,17,111,1469,213
Completed,0.04,113,1972,11,450,1616,103
Completed,0.05,119,1365,17,311,950,19
Completed,0.06,27,1707,12,250,865,192
Completed,0.04,21,753,15,287,491,113
Completed,0.04,46,1859,1,498,1284,222
Completed,0.04,31,1559,10,106,1204,108
Completed,0.04,31,1169,3,151,355,24
Completed,0.04,42,1882,20,354,631,74
Completed,0.04,98,1628,4,296,1627,61
Completed,0.04,64,1824,20,444,1768,298
Completed,0.04,49,1415,18,216,1359,96
Completed,0.06,14,1804,14,44,207,27
Completed,0.06,59,1018,8,469,806,70
Completed,0.04,51,935,20,94,910,35
Completed,0.04,50,1953,7,180,1860,175
Completed,0.04,37,1245,11,324,1153,233
Completed,0.04,19,1517,7,301,182,23
Completed,0.04,60,1916,18,49,1731,48
