detector,dataset_file_count,completed_pair_count,zero_completion_pair_count,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,valid_pair_count__gd_plus,igd_plus,valid_pair_count__igd_plus,recommendation_benchmark_dominance_rate,valid_pair_count__recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,valid_pair_count__benchmark_pareto_dominated_rate,exact_r2_recommendations,valid_pair_count__exact_r2_recommendations,exact_r2_benchmark,valid_pair_count__exact_r2_benchmark,r2_gap,valid_pair_count__r2_gap,recommendation_default_dominance_rate,valid_pair_count__recommendation_default_dominance_rate,default_dominated_rate,valid_pair_count__default_dominated_rate,spearman_accuracy,valid_pair_count__spearman_accuracy,spearman_runtime,valid_pair_count__spearman_runtime
IKS,9,9,0,180,180,1.0,32,61,14,0.29029937510721765,9,0.24262730141582908,9,0.1388888888888889,9,0.21957671957671956,9,0.19713585231218417,9,0.09764604984182562,9,0.09948980247035856,9,0.7388888888888889,9,0.9523809523809523,9,0.6817479484229994,6,0.4986960119050695,8
NNDVI,9,9,0,180,155,0.86,19,90,38,0.18251519566553645,9,0.04280503645556304,9,0.5111111111111111,9,0.7962962962962963,9,0.14690966368886682,9,0.38057590489295734,9,-0.23366624120409052,9,0.7444444444444445,9,0.8888888888888888,9,0.208040873947616,9,0.7042552686988307,9
OCDD,9,9,0,180,180,1.0,105,45,45,0.07422817797711168,9,0.06915980938416148,9,0.3888888888888889,9,0.5720390720390721,9,0.14008303449111265,9,0.12731544907131365,9,0.01276758541979901,9,0.5277777777777778,9,0.8666666666666667,9,0.7847513893118584,9,0.856738268688655,8
PCACD,9,9,0,180,180,1.0,50,44,41,0.09349019608550692,9,0.11104679533285874,9,0.40555555555555556,9,0.4737654320987655,9,0.20044911531679016,9,0.205517876081737,9,-0.00506876076494686,9,0.6722222222222223,9,0.8518518518518517,9,0.7267268243048074,8,0.7313594586911316,8
SlidShaps,9,9,0,180,180,1.0,12,48,42,0.05386777568652676,9,0.10246913580246914,9,0.5611111111111111,9,0.5222222222222223,9,0.1111111111111111,9,0.32747254602087467,9,-0.2163614349097635,9,1.0,9,1.0,9,,0,0.6977848981393514,7
SPLL,9,9,0,180,180,1.0,67,34,32,0.14909620129483192,9,0.03349848938707848,9,0.3,9,0.5002415458937198,9,0.10275361280314393,9,0.15953969512388763,9,-0.05678608232074372,9,0.38333333333333336,9,0.7777777777777778,9,0.7076646566126652,9,0.8454080201639427,9
STUDD,9,9,0,180,180,1.0,91,11,11,0.04291358094334499,9,0.04617255107459224,9,0.4444444444444444,9,0.4574074074074074,9,0.13094608504727206,9,0.13181036620369307,9,-0.0008642811564210343,9,0.1722222222222222,9,0.7777777777777778,9,0.8354862803434472,7,0.8727172895093293,7
UCDD,9,7,2,180,121,0.67,15,18,6,0.23152423491480054,7,0.24770987204903097,7,0.20714285714285716,7,0.4571428571428572,7,0.26340440632732476,7,0.2968220979392141,7,-0.03341769161188938,7,0.8071428571428572,7,0.8571428571428571,7,0.1947732074995127,2,0.9097557924071125,4
UDetect,9,9,0,180,180,1.0,106,72,72,0.06543859809371726,9,0.04010717754927944,9,0.4111111111111111,9,0.48974658869395715,9,0.13739116852393085,9,0.13890682479453792,9,-0.001515656270607084,9,0.5611111111111112,9,0.875,9,0.7965983361816491,8,0.774401737710573,8
WindowKDE,9,9,0,180,163,0.91,22,9,8,0.1663725115620679,9,0.23680105270947507,9,0.36666666666666664,9,0.3333333333333333,9,0.23039086903183797,9,0.2306855321400239,9,-0.00029466310818595766,9,0.5166666666666667,9,0.6666666666666666,9,0.0014046515566536132,5,0.4111672199304552,8
