detector,lodo_dataset,learning_target,distance_method,dual_ranking_method,target_column,kendall_internal_target,spearman_internal_target,kendall_accuracy,spearman_accuracy,kendall_runtime,spearman_runtime,n_heldout_configs,n_real_pareto_points,n_real_pareto_layers,acc_fast,rt_fast,acc_accurate,rt_accurate,kendall_pareto_all,spearman_pareto_all,mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,metrics_available_at_20,n_selected_at_20,gd_plus_at_20,mn_pd_at_20,top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,igd_plus_at_20,aec_at_20,rec_at_20,pec_w0p5_at_20,acc_s_at_20,rt_s_at_20
SPLL,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.48248733233515906,0.6618834412812635,0.1966433742006178,0.26875814023311617,1239,16,46,0.2105263157894737,1.0,1.0,0.0076097434918787,-0.16740582496246925,-0.23811906044806463,0.1779818672204255,0.0526533889733605,True,20,0.13985379041895935,0.3077777777777778,0.0,0.05,0.11968264827218289,0.7666666666666668,0.9040677987044863,0.8353672326855766,0.8157894736842106,0.9047978181489564
SPLL,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6637181395325121,0.8469089751664849,0.3904615763013668,0.5674072386974408,1112,4,245,0.8214285714285713,1.0,1.0,0.8348790464642186,0.5622493606973201,0.7587112205922262,0.048158844592439874,0.028841200574991916,True,20,0.12864252779309648,0.07663934426229509,0.3,0.65,0.061944839815458425,1.0,0.6601642788669884,0.8300821394334942,1.0,0.9438860016809972
SPLL,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6159737953678817,0.8072231999513831,0.18536346186013491,0.27353876844074354,2177,5,236,0.2250000000000001,1.0,1.0,0.7372962414897908,0.27856850561644464,0.4024070800841855,0.19790374842718833,0.12664529598100188,True,20,0.2663071801389292,0.21702127659574466,0.05,0.35,0.23864276093829817,0.8064516129032259,0.0,0.40322580645161293,0.8500000000000001,0.6537523715710118
SPLL,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6518553909509539,0.836094892773362,0.36096296369298836,0.5131512415366412,1082,23,103,0.0384615384615384,1.0,1.0,0.11562749768497,0.4709559685142049,0.6526072298456524,0.1488741041817849,0.04615973536874393,True,20,0.05400944069840491,0.08088235294117647,0.55,0.75,0.06560342544139258,0.74,1.0,0.87,0.75,1.0
UDetect,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,-0.19837133098884474,-0.2531751946335274,0.6655667642415015,0.8411435984476324,1050,4,90,0.8333333333333331,1.0,1.0,0.5312234540819119,-0.21707008449230844,-0.3070900690238292,0.07941815689580117,0.03263516646723616,True,20,0.07894498777022103,0.015168539325842695,1.0,1.0,0.07997504544843745,1.0,0.7916321530544423,0.8958160765272212,1.0,0.9023220404284726
UDetect,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6821630562302354,0.8529006694726282,0.7015746100664205,0.8888370384224659,1074,20,88,0.0,1.0,1.0,0.0765201684440066,0.12306957760226608,0.1798516468968777,0.2081454179477641,0.0636285647423431,True,20,0.03539735711272358,0.04770114942528736,0.75,0.85,0.13137574894706064,0.7727272727272726,0.9898910171245696,0.8813091449259212,0.7727272727272726,0.9906645581969952
UDetect,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5599936549068703,0.7231907466920354,0.650181835001886,0.8380090635326437,1067,13,41,0.4736842105263159,1.0,1.0,0.0,0.05221578501214452,0.07230162323699692,0.21046467975203756,0.07867557512178655,True,20,0.103731990850671,0.07875000000000001,0.05,1.0,0.12463181227995482,0.2499999999999999,1.0,0.625,0.6052631578947368,1.0
UDetect,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6188005555005608,0.7824527198764863,0.6261772507860816,0.8274508855654448,1243,25,82,0.0,1.0,1.0,0.3805728618985882,0.12631292119721615,0.18283955906582944,0.10446873859419739,0.028668653505475844,True,20,0.01929997111772947,0.024691358024691357,0.95,1.0,0.06356923544939008,0.9864864864864864,0.9813331956892983,0.9839098410878924,0.9864864864864864,0.988437274828323
UDetect,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6142263565745163,0.7917438321716304,0.6645304989518822,0.8522406669742717,2506,19,42,0.0625,1.0,1.0,0.1290627090201029,0.11239568504859608,0.1587640557571167,0.198401410922681,0.06108053268617186,True,20,0.02784660900918142,0.021951219512195124,0.9,1.0,0.1790519585215132,1.0,1.0,1.0,1.0,1.0
UDetect,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6185572052436313,0.7932304395695348,0.5216541669981886,0.7223569711936102,1059,19,162,0.0666666666666666,1.0,1.0,0.0,0.16042609746204997,0.22653895800337057,0.18029862608759145,0.02884865016252569,True,20,0.01789785692109654,0.017080745341614904,1.0,1.0,0.05023343694337876,0.7857142857142858,0.9946616393342164,0.890187962524251,0.8,0.9946616393342164
BNDM,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5025714025621568,0.6823238214925001,0.4754046547284329,0.6437997003321387,1384,5,121,0.5238095238095235,1.0,1.0,0.6526600636530578,0.05136932312899544,0.07487343937198386,0.1696318142358788,0.0856683047205196,True,20,0.13926659627346774,0.035,0.85,1.0,0.13221221671930292,0.39999999999999997,1.0,0.7,0.7142857142857141,1.0
BNDM,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5702706377238531,0.7353402201120334,0.4243488320678435,0.5977133357001968,930,20,144,0.3720930232558139,1.0,1.0,0.2011983928290295,0.2848601020707111,0.41063943800748265,0.1191028350196299,0.015191405165919908,True,20,0.07254620654845077,0.041608391608391616,0.7,0.95,0.040828600352977716,0.8518518518518523,1.0,0.9259259259259262,0.9069767441860468,1.0
BNDM,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.4171838549206556,0.5687046812504213,0.4531915843736081,0.616209267154525,1075,11,43,0.2500000000000001,1.0,1.0,0.4383308947855384,0.10039328804732954,0.14413806086139172,0.12574287448266785,0.03380241159657908,True,20,0.06668563168376665,0.10238095238095238,0.1,0.65,0.05574085053748523,0.7666666666666667,1.0,0.8833333333333333,0.8250000000000001,1.0
BNDM,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5833922331581279,0.7691715057790783,0.3078681969901149,0.4206428202171855,1342,24,103,0.0,1.0,1.0,0.6245072338361592,0.2344091513776361,0.34125804966144857,0.0633472094380586,0.009542704422615692,True,20,0.028104775723339998,0.1176470588235294,0.35,0.5,0.024982564161961235,0.9857142857142857,1.0,0.9928571428571429,0.9857142857142857,1.0
BNDM,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.3739516357978457,0.5275510585221377,0.30045517590389254,0.41870115469303804,1115,20,100,0.0625,1.0,1.0,0.6301711430641034,0.3235024652940615,0.46685697998140774,0.08243284188862159,0.009012450066839192,True,20,0.030276254476091953,0.045959595959595964,0.55,0.85,0.027406107422151816,0.9666666666666667,1.0,0.9833333333333334,0.96875,1.0
BNDM,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5568098806443565,0.7657617082471275,0.3067225901108867,0.4243773999884799,1073,20,92,0.0363636363636363,1.0,1.0,0.252269484004008,0.24372439055609668,0.3640982875403604,0.20879435568458718,0.08746122429323464,True,20,0.0337591685883288,0.06263736263736264,0.35,0.9,0.07466667937595457,0.6037735849056604,0.9927868167477941,0.7982802008267272,0.6181818181818182,0.9946064827648544
CDBD,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.2995396750541642,0.40521540723771854,0.587223905218557,0.7697616786967756,1748,4,85,0.7368421052631582,1.0,1.0,0.8585304723925451,0.29957053146522034,0.42264124572164014,0.04653648149021708,0.010495178405948248,True,20,0.04821480566863072,0.020238095238095236,1.0,1.0,0.0245436486136629,0.8,0.6780719051126365,0.7390359525563183,0.9473684210526316,0.9544569844927168
CDBD,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.09622721880174741,0.1386746363567032,0.2623090910619362,0.3811558892180671,1390,7,222,0.84375,1.0,1.0,0.6648355973966004,0.1382962541273781,0.20669175442182208,0.030881203486199233,0.01424975927028561,True,20,0.1888851546724717,0.30746606334841625,0.25,0.3,0.03849501686495244,1.0,0.9540428374228923,0.9770214187114461,1.0,0.9845967950594964
CDBD,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,-0.13982201801330404,-0.18282946057429594,0.2626048241745024,0.355218787013496,1152,1,56,1.0,1.0,1.0,1.0,0.0750891652456182,0.09585301428238198,0.3280307248913997,0.3280307248913997,True,20,0.6556058991607239,0.15909090909090906,0.0,0.0,0.6463074987405044,0.368421052631579,0.8628088334869755,0.6156149430592772,0.368421052631579,0.8628088334869755
CDBD,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.04965057326918088,0.067429950865156,0.37374303606753106,0.5257808222487679,1757,6,511,0.5882352941176467,1.0,1.0,0.6646590415731142,0.27255969142964326,0.3957571339402424,0.14887595834075593,0.07331298723774118,True,20,0.07990748265298875,0.03529411764705882,0.75,1.0,0.12625351531226678,0.2857142857142858,0.9396024799290662,0.6126583828216761,0.7058823529411763,0.979746237732806
CDBD,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.10328378402244937,0.15068092907869263,0.21552071581698595,0.3111666172642647,3290,9,242,0.1999999999999999,1.0,1.0,0.7060587157826583,0.1262364941772428,0.18518812227255652,0.1544265436440092,0.09604195162136334,True,20,0.25432901834802996,0.19294605809128632,0.05,0.35,0.13212391437262566,0.6666666666666667,0.6375321207862152,0.652099393726441,0.7333333333333333,0.8934557260963638
CDBD,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5689295889495691,0.7386408452643646,0.4554753862552738,0.6374807364836562,1319,4,457,0.6666666666666666,1.0,1.0,0.9533116630020052,0.46416986198201265,0.6542472048652663,0.024688893508709432,0.007688312097865125,True,20,0.02946056739517471,0.06655701754385965,0.4,0.75,0.01702282510552358,1.0,0.651001915467227,0.8255009577336134,1.0,0.9837058598176792
DAWIDD,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.14094267554300544,0.20371614304481114,0.7129031001978327,0.8619382586547539,3214,2,104,0.9565217391304348,1.0,1.0,0.3655863506230127,-0.01640040203585565,-0.024841550698509633,0.03824879328950781,0.017903955322055614,True,20,0.11086956521739144,0.042233009708737855,0.7,0.95,0.04347826086956519,0.0,1.0,0.5,0.9565217391304348,1.0
DAWIDD,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.4579082444137949,0.5941938348997325,0.6523854222966288,0.8286945560841523,1101,13,76,0.1304347826086953,1.0,1.0,0.0270457548106721,0.04732182627122022,0.06818953164000748,0.2803613126804808,0.12088888208863344,True,20,0.01358833782754898,0.022,0.9,1.0,0.14700007976623858,0.4000000000000002,1.0,0.7000000000000001,0.4782608695652173,1.0
