Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
Completed,0.74,37,3139,3709,30,216,2
Completed,0.72,219,4987,2449,821,75,3
Completed,0.73,44,1271,4862,379,168,8
Completed,0.74,20,1342,954,87,233,1
Completed,0.72,414,4903,3544,645,11,6
Completed,0.73,43,3225,2304,447,151,9
Completed,0.73,51,533,4694,763,125,4
Completed,0.72,81,942,1592,584,94,5
Completed,0.73,39,2782,4146,142,182,9
Completed,0.71,234,4093,405,949,42,8
Completed,0.73,26,2185,2833,266,203,3
Completed,0.74,27,2490,1953,910,169,6
Completed,0.72,160,3773,4498,351,75,1
Completed,0.74,15,3102,757,561,215,3
Completed,0.72,65,637,3193,245,60,8
Completed,0.73,25,233,53,409,29,10
Completed,0.74,30,3550,2638,850,246,5
Completed,0.72,145,4577,1398,62,106,2
Completed,0.73,81,1641,3793,745,138,7
Completed,0.71,274,1842,1471,333,36,4
Completed,0.74,44,4377,4043,892,193,9
Completed,0.71,127,3749,284,200,84,6
Completed,0.73,29,33,2730,516,176,1
Completed,0.73,33,837,822,836,145,3
Completed,0.73,73,2902,3432,396,115,7
Completed,0.74,34,3974,2172,697,224,10
Completed,0.72,65,2290,4582,13,5,4
Completed,0.71,2785,1984,478,658,96,9
Completed,0.72,89,4293,3083,101,132,3
Completed,0.71,145,2581,1823,812,23,2
Completed,0.74,38,1142,4238,496,236,6
Completed,0.74,22,334,2369,160,205,7
Completed,0.72,4044,3426,4933,601,55,2
Completed,0.73,51,4702,1173,312,163,5
Completed,0.72,138,1542,3628,994,65,10
Completed,0.72,55,1509,456,271,132,6
Completed,0.72,176,4755,2871,961,97,1
Completed,0.74,27,3370,1611,138,237,4
Completed,0.72,68,369,4215,572,23,9
Completed,0.71,149,1126,2307,767,53,9
Completed,0.74,1491,2656,4759,459,207,5
Completed,0.71,217,4221,999,641,67,3
Completed,0.73,52,1998,3567,75,162,8
Completed,0.74,21,2323,1336,726,195,1
Completed,0.72,272,3921,3787,35,33,7
Completed,0.73,14,2957,27,869,173,8
Completed,0.72,75,802,2596,436,86,3
Completed,0.74,10,49,727,225,118,5
Completed,0.73,60,3675,3136,534,142,10
Completed,0.74,65,1828,4487,937,227,2
Completed,0.72,129,1716,2127,17,73,9
Completed,0.73,48,4561,4559,708,172,4
