Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
Completed,0.69,93,746,1190,553,203,5
Completed,0.7,284,4608,3999,428,111,6
Completed,0.66,237,3795,223,203,75,7
Completed,0.6,2163,303,4908,828,238,4
Completed,0.62,119,2269,2134,326,5,2
Completed,0.68,254,3632,3074,701,185,9
Completed,0.65,110,3132,707,267,228,1
Completed,0.67,134,2141,4149,642,86,10
Completed,0.69,88,434,1298,144,164,7
Completed,0.7,424,4296,3482,769,26,4
Completed,0.69,580,4734,2304,603,37,3
Completed,0.69,232,1242,2612,478,153,8
Completed,0.7,175,1333,385,980,106,9
Completed,0.64,170,2696,4452,105,208,2
Completed,0.66,144,2534,484,670,14,6
Completed,0.67,199,1495,4543,295,176,5
Completed,0.73,265,1091,2474,797,67,1
Completed,0.65,198,4885,2789,172,247,10
Completed,0.69,190,4136,1429,459,189,9
Completed,0.68,203,595,3619,584,126,2
Completed,0.69,242,1990,924,86,141,4
Completed,0.68,383,3284,4358,960,49,7
Completed,0.72,192,3470,1998,12,99,5
Completed,0.65,112,2431,2932,886,215,6
Completed,0.62,29,152,2,384,44,9
Completed,0.66,272,3946,4694,509,146,2
Completed,0.66,226,4447,1086,863,165,3
Completed,0.67,230,906,3903,238,24,8
Completed,0.64,128,1676,1598,736,227,7
Completed,0.69,248,2970,3156,361,88,4
Completed,0.68,126,3042,2157,718,212,1
Completed,0.68,234,1690,3091,343,102,10
Completed,0.62,72,896,161,841,149,6
Completed,0.7,377,4377,4852,217,41,5
Completed,0.7,453,3940,1245,414,22,4
Completed,0.64,130,87,4061,539,169,7
Completed,0.67,84,2497,1757,37,90,9
Completed,0.66,243,3479,3316,911,223,2
Completed,0.67,154,3353,331,119,174,10
Completed,0.59,139,2001,4390,993,17,1
Completed,0.62,99,582,2319,495,250,4
Completed,0.7,274,4063,2635,620,64,7
Completed,0.69,203,4876,1274,751,122,8
Completed,0.67,178,1024,3465,126,191,3
Completed,0.71,350,1559,771,628,52,2
Completed,0.66,158,2541,4204,253,139,9
Completed,0.7,133,2701,862,942,84,5
Completed,0.63,211,1398,4303,68,231,6
Completed,0.62,167,1175,1451,570,28,10
Completed,0.68,256,4725,3635,445,161,1
Completed,0.69,284,4224,2457,185,150,2
Completed,0.67,216,420,2766,810,39,9
Completed,0.62,38,2152,540,312,211,7
Completed,0.68,216,3202,4606,687,104,4
Completed,0.68,262,3640,1614,347,60,6
Completed,0.69,186,2337,3180,722,129,5
Completed,0.71,47,239,1031,220,114,2
Completed,0.68,274,3789,3840,845,200,9
Completed,0.6,88,4538,64,526,236,8
Completed,0.69,195,734,4748,402,79,3
Completed,0.66,130,1841,1975,899,188,3
Completed,0.7,179,2922,269,476,107,2
Completed,0.65,194,1726,4960,601,207,9
Completed,0.68,194,703,2108,100,36,7
Completed,0.67,237,4653,3042,974,154,4
Completed,0.67,180,3899,1805,656,158,5
Completed,0.66,121,203,3364,281,33,6
Completed,0.58,45,2226,1138,779,234,10
Completed,0.69,325,3676,3954,154,79,1
Completed,0.58,57,2037,2568,190,184,3
Completed,0.7,112,390,418,691,75,3
Completed,0.63,162,4340,4477,317,239,8
Completed,0.67,159,4836,682,57,196,6
Completed,0.68,325,1139,4116,931,117,4
Completed,0.7,202,1287,1343,434,134,1
