detector,lodo_dataset,learning_target,distance_method,dual_ranking_method,target_column,preference_regions_enabled,n_preference_regions,preference_accuracy_weights,kendall_accuracy,spearman_accuracy,kendall_runtime,spearman_runtime,kendall_internal_target_WACC_0p1_WRT_0p9,spearman_internal_target_WACC_0p1_WRT_0p9,kendall_internal_target_WACC_0p3_WRT_0p7,spearman_internal_target_WACC_0p3_WRT_0p7,kendall_internal_target_WACC_0p5_WRT_0p5,spearman_internal_target_WACC_0p5_WRT_0p5,kendall_internal_target_WACC_0p7_WRT_0p3,spearman_internal_target_WACC_0p7_WRT_0p3,kendall_internal_target_WACC_0p9_WRT_0p1,spearman_internal_target_WACC_0p9_WRT_0p1,kendall_internal_target,spearman_internal_target,n_selected_from_WACC_0p1_WRT_0p9_at_20,n_selected_from_WACC_0p3_WRT_0p7_at_20,n_selected_from_WACC_0p5_WRT_0p5_at_20,n_selected_from_WACC_0p7_WRT_0p3_at_20,n_selected_from_WACC_0p9_WRT_0p1_at_20,n_heldout_configs,n_real_pareto_points,n_real_pareto_layers,acc_fast,rt_fast,acc_accurate,rt_accurate,kendall_pareto_all,spearman_pareto_all,mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,metrics_available_at_20,n_selected_at_20,gd_plus_at_20,mn_pd_at_20,top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,igd_plus_at_20,aec_at_20,rec_at_20,pec_w0p5_at_20,acc_s_at_20,rt_s_at_20,kendall_pareto_best_region,spearman_pareto_best_region,kendall_pareto_WACC_0p1_WRT_0p9,spearman_pareto_WACC_0p1_WRT_0p9,kendall_pareto_WACC_0p3_WRT_0p7,spearman_pareto_WACC_0p3_WRT_0p7,kendall_pareto_WACC_0p5_WRT_0p5,spearman_pareto_WACC_0p5_WRT_0p5,kendall_pareto_WACC_0p7_WRT_0p3,spearman_pareto_WACC_0p7_WRT_0p3,kendall_pareto_WACC_0p9_WRT_0p1,spearman_pareto_WACC_0p9_WRT_0p1
IBDD,RialtoBridgeTimelapse,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.4801532377671822,0.6332389261051778,0.4615203223500962,0.6273662381100359,-0.06065123529673314,-0.08013045539799384,0.28665143202080784,0.4200550382786872,0.2769441507685625,0.403700535926974,0.28892358152198316,0.4008460566045763,4,4,4,4,4,2927,16,284,0.1428571428571428,1.0,1.0,0.2418936600596047,0.1283640548884881,0.17847850232884063,0.15529793409405226,0.051099498968218846,True,20,0.16334286464801204,0.056537102473498226,0.45,0.9,0.12051507819874689,0.9333333333333333,0.8567911122148485,0.895062222774091,0.9428571428571428,0.891432434234264,0.3390856288359321,0.48925398301363116,0.1791765163117455,0.2349273153922946,0.10133683933807328,0.13688688710748712,-0.018818615009330467,-0.03441483807415797,0.19252987997676324,0.28156868640985117,0.18759565382518895,0.2734244608087283
IBDD,SensorStream,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.35733226920768135,0.4758217397732642,0.4390120617040058,0.592411365798136,0.3395140119872509,0.48388099533990453,0.1155041216340712,0.17612549101252434,0.2456371795492406,0.35766324591756926,0.29939992881645,0.4171805675682797,4,4,4,4,4,1131,20,73,0.0588235294117647,1.0,1.0,0.1587785428363808,0.3223979762599168,0.45614427077753944,0.20527499234652818,0.0438363442616414,True,20,0.11642646357740767,0.18888888888888888,0.2,0.4,0.07816452347433599,0.9166666666666667,0.7068830343831479,0.8117748505249074,0.9215686274509804,0.7534237190644132,0.41067504434228214,0.5660863739942165,0.24463237232847115,0.3465733615295778,0.3551241243128321,0.5047063964638933,0.40815272176981604,0.568477222237195,0.28586176779374767,0.4078820285865358,0.318218895094717,0.45308234507049516
CSDDM,Electricity,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.5761556606927176,0.7491780013180815,0.34197608491418957,0.4798963168111201,0.38554216546484626,0.5429810130177238,0.49372538302948854,0.6773723777203269,0.42381709259040024,0.6124140885375551,0.44424327733832847,0.6123683594809615,4,4,4,4,4,1145,4,59,0.6923076923076921,1.0,1.0,0.797001904203346,-0.023343153325054267,-0.03706475067502337,0.07955468539759811,0.045166200730473186,True,20,0.21223009186190067,0.2206896551724138,0.1,0.25,0.11339105772204822,0.75,0.8343358858345797,0.7921679429172899,0.923076923076923,0.9663705002825802,-0.0564742870133251,-0.08036439504972484,0.49752771694473064,0.6541437763532597,0.38337602159535666,0.5258053653420051,-0.09591584360268973,-0.13525295603007462,-0.4313386799815708,-0.5962295379218243,-0.47036498158109813,-0.6337904011184827
CSDDM,ForestCovertype,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.6247361389766809,0.7903593003110548,0.4937092411854651,0.6664657669108676,0.5770284725109935,0.7579939109823475,0.740584428997399,0.9075354978613146,0.739197076574917,0.9075356636422695,0.6350510716490911,0.8059780279415708,4,4,4,4,4,1792,23,157,0.0,1.0,1.0,0.0,-0.10290907866337493,-0.15365257379723007,0.14999662988963328,0.029862717181926887,True,20,0.0849216023425083,0.16121794871794873,0.15,0.4,0.0612883346816284,0.8518518518518522,0.9365211334791428,0.8941864926654974,0.8518518518518522,0.9365211334791428,0.10417793336796234,0.147297795846914,-0.018373871988798154,-0.023504199945626584,-0.18949702215198688,-0.27807019016845835,-0.1659631455803473,-0.24703594027427286,-0.07625854680701127,-0.11738525992349558,-0.06445280678873108,-0.102267278674297
CSDDM,GasSensor,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.6357068807693629,0.8034777664214232,0.5046688564167473,0.675773934100741,0.5542910669890436,0.7385489769493598,0.7094038706641134,0.881477458053773,0.6234805101098494,0.8149362326039368,0.6055102369898233,0.7828428736258468,4,4,4,4,4,1197,13,38,0.2000000000000001,1.0,1.0,0.276355362675966,-0.14441992001690768,-0.18876551214515636,0.15788638694406834,0.03111869101600853,True,20,0.1372498928574125,0.27972972972972976,0.1,0.15,0.07856828180929319,0.8749999999999999,0.9499734474899094,0.9124867237449547,0.8999999999999999,0.9637985535522636,-5.6110341345587534e-05,0.0023910888268871607,0.24557038969711648,0.3382413662767337,0.029766543472553267,0.05026735861455053,-0.3448525796566197,-0.46617532487462554,-0.32689432306147165,-0.43436543046562437,-0.3256896305361167,-0.4317955302768161
CSDDM,PokerHand,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.5871976916731023,0.7582249253839902,0.35303420796205914,0.5090414092603517,-0.13345927935880697,-0.20814032556761158,0.014742407593803566,0.01150450765799904,0.4066416617705117,0.5553795343032489,0.24563133792813394,0.32520201020759565,4,4,4,4,4,1832,16,192,0.7027027027027027,1.0,1.0,0.7315151478405352,-0.06732365726539556,-0.09587288583638755,0.04918943965912431,0.01847713370430608,True,20,0.19513674476799375,0.4196335078534032,0.1,0.25,0.03929126455687143,0.9545454545454543,0.8455059477791312,0.9000257011622927,0.9864864864864864,0.9585206872299634,-0.011028808325821012,-0.016559633335834247,0.3423342220709668,0.4793332014075401,0.1241376619418853,0.1887729023837956,-0.21610790687923395,-0.3185323698299036,-0.2997678762642632,-0.42377676375424717,-0.28721438719633274,-0.40516139938912266
CSDDM,RialtoBridgeTimelapse,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.6696097239504338,0.8400623039435512,0.42581054878130087,0.5908127610933085,0.26153581058701075,0.3891451737574803,0.5466132265913968,0.7419211359383356,0.7111114335229354,0.8849717104219404,0.5229361486866155,0.6893826170309232,4,4,4,4,4,2146,19,126,0.0588235294117647,1.0,1.0,0.4340883984053918,-0.09228569379056407,-0.128768580525127,0.1226093986692722,0.03838925507556114,True,20,0.12159134389619941,0.3444,0.15,0.2,0.09596386427956041,0.9374999999999999,0.9048135420728749,0.9211567710364374,0.9411764705882352,0.9461328791443429,-0.11209055091746052,-0.1649464786493362,0.4088831185112655,0.5577063284213095,0.17103526565048774,0.2523323237642965,-0.30053821560386534,-0.43468183592489257,-0.37481764831011855,-0.5155866948549196,-0.3659909892005897,-0.5036130240314287
CSDDM,SensorStream,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.1983965699622722,0.2969700700633481,0.26262211293527243,0.3743108058787992,0.6172423978865894,0.7969098716264178,0.736999815836078,0.8911271485861834,0.7550054514926469,0.899512995112597,0.5140532696225717,0.651766178253469,4,4,4,4,4,1223,27,119,0.04,1.0,1.0,0.0054472308920031,0.2143496881113723,0.28968940482528655,0.11783953758911045,0.019593773793327537,True,20,0.044109725693518544,0.10508474576271185,0.55,0.7,0.04510717602496293,0.9166666666666667,0.9434505599654501,0.9300586133160584,0.92,0.9437585978221318,0.21231334964231618,0.30759209842798957,-0.3393803137728721,-0.4798140253914019,0.043078417219151136,0.056754254038053724,0.43535207442400814,0.6066393488944137,0.4570597160067584,0.620322025011947,0.47563854667981614,0.6445454215734201
OCDD,Electricity,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.53786572169014,0.7089374931690546,0.06257807131193434,0.14194330755344942,-0.058713256178243405,-0.08966494956183477,0.24722671073598762,0.39563570969709483,0.4348776783006201,0.6337183275540832,0.24476698517208773,0.35811397768236947,4,4,4,4,4,1212,5,139,0.6206896551724137,1.0,1.0,0.7981490078090399,0.17707795614823105,0.22480273392534808,0.15930232430793254,0.10862719036782363,True,20,0.12752976106341937,0.09166666666666667,0.3,0.7,0.1462500494903125,0.18181818181818213,0.928268958771712,0.5550435702949471,0.6896551724137931,0.9855210181571794,0.29148760340409197,0.39049079976794215,0.48681699967553577,0.6276096854519728,0.3679302222464149,0.500600669279798,0.16552228066651256,0.22048642909677268,-0.038859928050648744,-0.06738606084994826,-0.09601979379665931,-0.15729705335185476
OCDD,ForestCovertype,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.6256935534425783,0.8233250357218008,0.4289890976463913,0.6066471216784804,0.31392426735241435,0.41459524262666875,0.6505645338335824,0.8312614788071274,0.6696111517581684,0.8501647411841522,0.5377565208066268,0.7051987240036459,4,4,4,4,4,1104,21,128,0.0,1.0,1.0,0.1987336299799975,0.14501681416885898,0.1956580360988559,0.14397711805581054,0.03424793352364436,True,20,0.07044398608934606,0.11771653543307085,0.3,0.45,0.08325764937983571,0.923076923076923,0.8021443687268112,0.8626106459018671,0.923076923076923,0.8414649365417158,0.3518289492804215,0.5026045138488211,0.2649280499051074,0.3675560129439058,-0.03955454689274009,-0.0675374203762457,0.11375588263538124,0.14096776797267863,0.17429811804734643,0.2372780029346513,0.2116565671492,0.30002581701928954
OCDD,GasSensor,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.5850409710277329,0.7696041171969001,-0.012604108572878685,0.013970504664427261,0.5319969597788774,0.7068868590040766,0.6597696409632274,0.8403643304224867,0.6604061533265166,0.850302107669263,0.48492192330469513,0.6362255837914307,4,4,4,4,4,1123,13,61,0.1794871794871796,1.0,1.0,0.5504273534020434,-0.15230651080750174,-0.22251149402665024,0.15702776730064266,0.07661106364367745,True,20,0.2623221327409248,0.36750000000000005,0.0,0.0,0.20523748612067608,0.8749999999999999,0.8607123478477104,0.8678561739238552,0.8974358974358974,0.9373800815834796,-0.09896772834514395,-0.14960772747181608,0.3307959726994171,0.43537417127631395,0.11878809200588022,0.15977450810644095,-0.4090299484846251,-0.5641373088513548,-0.42993040737924665,-0.6063428767583602,-0.37215626287893433,-0.5372259639062912
OCDD,PokerHand,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.7093042569508365,0.8776376419006806,0.33811758613847637,0.48532965247495674,-0.1275255779885076,-0.20465248322712187,0.2149343472006151,0.3002034095504391,0.5354603957554347,0.7186736967885002,0.334058201611371,0.435438383497491,4,4,4,4,4,1107,17,100,0.4999999999999999,1.0,1.0,0.7384227494845222,0.022363568476938708,0.019619572986658347,0.051701608789900474,0.01806221540941582,True,20,0.23890204111143398,0.43080808080808086,0.15,0.2,0.04213735233308938,0.9677419354838712,0.9279609402063442,0.9478514378451077,0.9838709677419356,0.9811562208094554,0.17449356275929445,0.25211001450702464,0.4642210363086476,0.6207627559846698,-0.023963548656030113,-0.034062266665651215,-0.2090360299716795,-0.30919292839681406,-0.1017538750297677,-0.15371285789343397,-0.017649740266476713,-0.025696838095478763
OCDD,RialtoBridgeTimelapse,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.5181993510037362,0.6876249590107562,0.42839443662047705,0.5944567608252723,0.3869578232646774,0.565906066042638,0.5873784599358325,0.7763947613449583,0.6016637983219699,0.7964214160143175,0.5045187738293386,0.6841607926475884,4,4,4,4,4,2255,18,142,0.0681818181818181,1.0,1.0,0.6043043334619165,0.07200345008018592,0.10779555396699944,0.1453743146873455,0.05058803641269553,True,20,0.2894822800325392,0.41560283687943267,0.15,0.45,0.06251823659661077,0.7804878048780489,0.8210915309474361,0.8007896679127425,0.7954545454545455,0.9292066940889376,0.27766561390766653,0.37343868873343783,0.29324234322903814,0.42097086214458534,0.17628442358818047,0.2525912433260525,-0.06624316139428903,-0.09473730017046175,-0.0411671082785291,-0.049674535355346695,-0.0020992467434708477,0.009827499890167991
OCDD,SensorStream,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.5088370265201767,0.6912942046673928,0.31501446350564277,0.43979125700455846,0.5700249951891828,0.7377791106175677,0.7123206112456869,0.8905026200823345,0.6449765496724773,0.8417335768244869,0.5502347292266332,0.7202201538392681,4,4,4,4,4,944,21,77,0.037037037037037,1.0,1.0,0.1367172183192043,0.29723291379327677,0.394625671395314,0.10519199782947751,0.013641165407539346,True,20,0.05343810232373223,0.07565789473684212,0.6,0.75,0.028907609517810996,0.9615384615384618,0.9299685865588594,0.9457535240486605,0.9629629629629632,0.9395430865994944,0.36692534950479144,0.5173203927644279,-0.08535688721559592,-0.12984636174406267,0.04352732042385449,0.052145032285662515,0.4315444929904461,0.5961638223019305,0.5389993777487259,0.7179904291605508,0.5574502650189532,0.7366754349724889
PCACD,Electricity,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.764367109028212,0.9208676176758439,0.45368381513970335,0.6217765260850431,-0.2500143141864504,-0.4409696592172503,0.15583306090622964,0.1833400023487277,0.37424744358352496,0.5208980902653588,0.29962342289424393,0.3611825154315446,4,4,4,4,4,5272,3,483,0.8124999999999999,1.0,1.0,0.9051067927033964,0.09799216684925738,0.12121503587517557,0.047904007588249004,0.026388817395061756,True,20,0.21501110221142894,0.05591286307053942,0.75,0.8,0.057408468960631974,0.6666666666666669,0.8940981919396618,0.7803824293031643,0.9375,0.9899506377746452,0.02677395485030321,0.03747972368619907,0.7644188514880079,0.9208158652985216,0.3945437087920222,0.5578577365149506,-0.6199385344156055,-0.8289924543869842,-0.444725998384422,-0.6037643743988811,0.39566280676628424,0.5601584063482711
PCACD,ForestCovertype,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.578353946331641,0.7752703242960505,0.20182575176821899,0.27950457315211985,0.19747339195503938,0.2640629642098798,0.24622408888207595,0.33517384620789537,0.29632209719245706,0.3856092005295012,0.3040398552258864,0.40792418167908934,4,4,4,4,4,1937,9,786,0.0125,1.0,1.0,0.2962074505174628,0.058030557250721246,0.07462451065160144,0.08928694203671342,0.022983961633495864,True,20,0.17635245912358904,0.18815286624203822,0.45,0.6,0.036664449708365396,1.0,0.9550030106734962,0.9775015053367482,1.0,0.9683314541628614,0.045466437361339006,0.0741098170987585,0.5729171795026657,0.7752350610247436,-0.16633836844523273,-0.2350867240046791,-0.4217243496534636,-0.5901562499907906,-0.251784373090666,-0.33829670312765747,0.5570826979403029,0.7614271693563909
PCACD,GasSensor,distance,pbi,not_applicable,regional_targets,True,5,0.1|0.3|0.5|0.7|0.9,,,,,0.5371812011470052,0.7242311069734725,-0.0746711872124934,-0.10607702376322613,0.47504613769185217,0.666555772134719,0.40580673742563905,0.574286620327236,0.3246271132678504,0.4673293651311555,0.3335980004639707,0.46526516816067137,4,4,4,4,4,5524,9,152,0.35,1.0,1.0,0.0,0.0780921034592553,0.10571496488627859,0.18181559205731404,0.05375664293483812,True,20,0.11498613512879625,0.08377483443708608,0.5,0.9,0.0835034359408327,0.5769230769230771,0.898401406667514,0.7376622417952956,0.7250000000000001,0.898401406667514,0.10236643637327156,0.15523459960963173,0.5334507555171338,0.7139734221281754,0.3847114803755854,0.5469843077628449,-0.46642543420561855,-0.6555696077642351,-0.3864338861541978,-0.5494000844545303,0.3251576017633736,0.4725867867591379
