Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Failed,,,3492,2056,4091,0.579,0.0
Failed,,,2304,3643,991,0.048,0.1
Failed,,,4961,4887,1367,0.364,0.0
Failed,,,4598,1446,3490,0.112,0.8
Failed,,,867,3004,1590,0.519,0.0
Failed,,,1942,209,3866,0.303,0.001
Failed,,,3211,4247,746,0.834,0.3
Failed,,,292,2465,222,0.723,0.0
Failed,,,3942,3397,4543,0.131,0.5
Failed,,,3751,2227,1791,0.789,0.0
Failed,,,142,3160,3603,0.322,0.4
Failed,,,1407,990,878,0.606,0.8
Failed,,,2797,4403,4047,0.014,0.0
Failed,,,3390,128,2913,0.245,0.0
Failed,,,2084,4166,2322,0.652,0.7
Failed,,,734,1371,4422,0.436,0.01
Failed,,,4429,2929,32,0.967,0.0
Failed,,,4769,738,4820,0.712,0.2
Failed,,,998,4805,411,0.181,0.0
Failed,,,2055,1194,3009,0.006,0.3
Failed,,,3399,4666,2379,0.598,0.001
Failed,,,2749,180,703,0.644,0.0
Failed,,,1475,4277,3755,0.237,0.2
Failed,,,93,1438,1656,0.959,0.5
Failed,,,1296,100,2248,0.842,0.0
Failed,,,2607,4197,2829,0.311,0.8
Failed,,,547,750,329,0.372,0.1
Failed,,,4313,4798,4748,0.778,0.0
Failed,,,4284,2159,3071,0.742,0.6
Failed,,,557,3697,2481,0.151,0.0
Failed,,,1627,902,4580,0.933,0.0
Failed,,,2900,4959,191,0.466,0.01
Failed,,,1227,1771,719,0.109,0.0
Failed,,,4883,2684,3888,0.515,0.7
Failed,,,3733,3866,4390,0.632,0.0
Failed,,,2365,3377,2847,0.698,0.0
Failed,,,1059,1242,102,0.484,0.0
Failed,,,4709,4615,4512,0.889,0.01
Failed,,,4522,1805,345,0.633,0.001
Failed,,,639,2806,4735,0.229,0.3
Failed,,,3296,4045,2601,0.42,0.0
Failed,,,2697,799,4357,0.338,0.0
Failed,,,1509,4906,1188,0.807,0.5
Failed,,,761,2549,3430,0.879,0.0
Failed,,,2745,1439,2117,0.107,0.6
Failed,,,1070,79,2478,0.741,0.7
Failed,,,2039,3515,4449,0.061,0.01
Failed,,,4993,3031,1631,0.763,0.0
Failed,,,3285,4571,2260,0.907,0.1
Failed,,,4818,1838,4662,0.354,0.8
Failed,,,3966,3693,3084,0.423,0.7
Failed,,,1159,2427,2623,0.296,0.6
Failed,,,1989,3981,534,0.973,0.3
Failed,,,4058,2,4231,0.014,0.0
Failed,,,987,3614,1164,0.822,0.0
Failed,,,2971,2244,4851,0.16,0.1
Failed,,,2661,4779,804,0.454,0.0
Failed,,,671,1241,4587,0.556,0.2
Failed,,,560,1007,1568,0.461,0.6
Failed,,,1294,2586,4008,0.768,0.3
Failed,,,4854,3941,4368,0.384,0.01
Failed,,,1603,42,556,0.594,0.0
Failed,,,245,3555,2529,0.168,0.0
Failed,,,2945,4474,3933,0.064,0.7
Failed,,,1186,915,207,0.914,0.0
Failed,,,1047,4608,3580,0.45,0.4
Failed,,,737,2141,1993,0.188,0.0
Failed,,,2406,4268,4904,0.614,0.0
Failed,,,1936,439,313,0.708,0.1
Failed,,,1202,3157,2870,0.031,0.9
Failed,,,2968,2076,1585,0.99,0.001
Failed,,,2652,4615,2508,0.63,0.5
Failed,,,2251,2814,4351,0.912,0.0
Failed,,,2568,1587,3851,0.805,0.0
Failed,,,1118,559,4213,0.409,0.0
Failed,,,694,3442,2240,0.39,0.0
Failed,,,293,4167,4074,0.039,0.3
Failed,,,153,321,2134,0.566,0.001
Failed,,,1745,3272,4695,0.134,0.0
Failed,,,1973,1340,2562,0.082,0.0
Failed,,,2814,1107,4335,0.36,0.6
Failed,,,826,2286,4053,0.979,0.8
Failed,,,4436,4574,4431,0.519,0.0
Failed,,,1228,1533,1787,0.785,0.3
Failed,,,1881,4876,3876,0.483,0.6
Failed,,,3303,2007,4606,0.024,0.0
Failed,,,3811,4834,3603,0.098,0.1
Failed,,,2060,1185,2417,0.886,0.0
Failed,,,1093,2721,4506,0.314,0.0
Failed,,,4661,2854,514,0.449,0.0
Failed,,,1347,1754,4249,0.535,0.01
Failed,,,517,4652,1340,0.228,0.8
Failed,,,3076,2735,1790,0.022,0.01
Failed,,,1761,4740,4345,0.475,0.3
Failed,,,4713,4877,3247,0.176,0.8
Failed,,,1568,4601,646,0.946,0.0
Failed,,,2330,76,1611,0.01,0.0
Failed,,,3297,4877,4797,0.656,0.5
Failed,,,4726,1799,858,0.445,0.01
Failed,,,907,3249,2736,0.857,0.0
Failed,,,445,2180,4055,0.99,0.0
Failed,,,3930,2927,2040,0.344,0.4
Failed,,,2815,946,3556,0.555,0.9
Failed,,,1555,3949,351,0.143,0.0
Failed,,,1629,1431,3342,0.285,0.6
Failed,,,2751,3505,252,0.885,0.0
Failed,,,4180,445,4112,0.233,0.0
Failed,,,205,4621,2295,0.567,0.2
Failed,,,990,728,1074,0.715,0.2
Failed,,,4632,4357,2833,0.115,0.0
Failed,,,3517,2398,1551,0.767,0.0
Failed,,,2100,2519,4544,0.433,0.8
Failed,,,3229,199,596,0.256,0.0
Failed,,,2400,4696,3623,0.918,0.3
Failed,,,2486,1749,4161,0.641,0.0
Failed,,,3141,3199,2247,0.057,0.9
Failed,,,4881,127,3387,0.841,0.4
Failed,,,751,4926,208,0.492,0.001
Failed,,,600,1055,1429,0.359,0.0
Failed,,,3775,4057,4667,0.943,0.01
Failed,,,2971,2071,948,0.159,0.6
Failed,,,1399,2819,2959,0.508,0.0
Failed,,,1784,379,890,0.931,0.8
Failed,,,2595,4553,2704,0.27,0.0
Failed,,,4336,1497,1642,0.614,0.0
Failed,,,49,3573,4765,0.217,0.2
Failed,,,1146,2484,3447,0.069,0.1
Failed,,,4476,2606,460,0.73,0.0
Failed,,,3672,642,3944,0.386,0.0
Failed,,,1945,4270,2151,0.783,0.6
Failed,,,2151,803,2600,0.133,0.001
Failed,,,3469,4129,682,0.545,0.4
Failed,,,4546,2323,4933,0.322,0.9
Failed,,,1079,2747,1787,0.969,0.0
Failed,,,312,1356,488,0.867,0.0
Failed,,,4070,3733,3731,0.455,0.5
Failed,,,2682,520,1903,0.678,0.01
Failed,,,1695,4392,3880,0.031,0.0
Failed,,,1447,1950,2431,0.419,0.3
Failed,,,2921,2999,4289,0.754,0.0
Failed,,,2302,1087,664,0.68,0.001
Failed,,,3418,3840,3284,0.343,0.2
Failed,,,4961,1413,2363,0.964,0.5
Failed,,,760,3660,4709,0.059,0.0
Failed,,,560,2068,2545,0.149,0.0
Failed,,,3897,3024,228,0.874,0.9
Failed,,,2902,432,4284,0.497,0.2
Failed,,,1574,876,2476,0.217,0.3
Failed,,,2728,4373,4828,0.806,0.0
Failed,,,4233,1624,778,0.431,0.0
Failed,,,69,3127,3403,0.592,0.8
Failed,,,1132,2238,4327,0.747,0.6
Failed,,,4431,2532,1653,0.277,0.0
Failed,,,3473,262,2588,0.899,0.0
Failed,,,2090,4968,266,0.124,0.1
Failed,,,1885,124,4999,0.511,0.0
Failed,,,3666,4793,2307,0.481,0.9
Failed,,,4544,2376,3262,0.858,0.3
Failed,,,1007,2707,920,0.134,0.0
Failed,,,196,1721,1803,0.043,0.001
Failed,,,4118,3342,4174,0.949,0.1
Failed,,,2537,779,103,0.328,0.5
Failed,,,1777,4158,2747,0.664,0.0
Failed,,,1414,2017,501,0.916,0.7
Failed,,,2881,2895,2822,0.076,0.0
Failed,,,3760,488,1262,0.703,0.0
Failed,,,534,4609,3935,0.29,0.4
Failed,,,648,1123,3636,0.387,0.01
Failed,,,4884,3955,1011,0.606,0.0
Failed,,,3302,1381,4437,0.234,0.0
Failed,,,2230,3550,2086,0.758,0.7
Failed,,,2226,2169,4652,0.069,0.3
Failed,,,3337,3048,2027,0.908,0.0
Failed,,,4880,328,3578,0.284,0.0
Failed,,,2055,722,2686,0.8,0.9
Failed,,,3477,4217,12,0.208,0.0
Failed,,,4396,1781,4072,0.585,0.0
Failed,,,1136,3285,1750,0.423,0.3
Failed,,,7,2396,836,0.269,0.1
Failed,,,4287,2689,3187,0.738,0.0
Failed,,,2666,106,2262,0.118,0.0
Failed,,,1629,4814,4886,0.89,0.5
Failed,,,1289,1358,2170,0.644,0.0
Failed,,,3025,3566,4511,0.365,0.7
Failed,,,411,1473,4782,0.407,0.9
Failed,,,4027,3602,2445,0.57,0.0
Failed,,,3069,1029,3394,0.193,0.0
Failed,,,1368,3900,706,0.784,0.2
Failed,,,1494,1243,4185,0.335,0.0
Failed,,,2957,3998,1868,0.673,0.6
Failed,,,3835,1259,2799,0.05,0.01
Failed,,,615,3504,131,0.958,0.0
Failed,,,724,1912,2305,0.865,0.0
Failed,,,4964,2870,4924,0.143,0.4
Failed,,,3383,590,878,0.518,0.7
Failed,,,2306,4632,3224,0.489,0.0
Failed,,,2341,1613,2232,0.618,0.9
Failed,,,3379,3155,4915,0.405,0.0
Failed,,,5000,885,846,0.778,0.0
Failed,,,721,4342,3178,0.245,0.3
