Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Failed,,,3871,212,2573,0.493,0.01
Failed,,,1220,4277,951,0.976,0.0
Failed,,,754,2232,2818,0.63,0.4
Failed,,,4353,3166,691,0.146,0.0
Failed,,,2961,1000,4333,0.901,0.001
Failed,,,2185,4436,2164,0.385,0.9
Failed,,,1341,619,84,0.342,0.6
Failed,,,109,1573,931,0.454,0.0
Failed,,,4958,2514,3062,0.938,0.7
Failed,,,3528,343,1919,0.202,0.2
Failed,,,1502,3783,4086,0.718,0.0
Failed,,,1057,98,4488,0.104,0.9
Failed,,,4030,4157,1697,0.617,0.001
Failed,,,2639,1367,3288,0.367,0.0
Failed,,,2488,2928,534,0.85,0.4
Failed,,,1644,2060,2223,0.924,0.2
Failed,,,3368,3619,3806,0.409,0.0
Failed,,,4476,789,1179,0.668,0.0
Failed,,,575,4850,2799,0.186,0.6
Failed,,,507,1881,4247,0.279,0.0
Failed,,,4409,3446,2080,0.762,0.01
Failed,,,3301,650,2911,0.003,0.5
Failed,,,987,3067,3514,0.446,0.0
Failed,,,1153,1308,2004,0.572,0.7
Failed,,,3804,2869,4172,0.087,0.0
Failed,,,2734,78,843,0.834,0.0
Failed,,,2260,4138,2969,0.32,0.2
Failed,,,320,552,4840,0.238,0.0
Failed,,,4533,3986,1345,0.721,0.8
Failed,,,3152,1821,3640,0.482,0.3
Failed,,,1741,2756,182,0.995,0.0
Failed,,,2236,2221,1950,0.789,0.0
Failed,,,2699,3155,4079,0.307,0.01
Failed,,,3627,4805,522,0.126,0.0
Failed,,,4706,1970,4458,0.889,0.0
Failed,,,169,3535,1703,0.405,0.6
Failed,,,1004,1222,1410,0.911,0.3
Failed,,,3967,4662,4907,0.43,0.0
Failed,,,2546,2492,112,0.68,0.001
Failed,,,2385,3431,3568,0.166,0.9
Failed,,,923,280,3729,0.853,0.6
Failed,,,4209,4344,274,0.371,0.0
Failed,,,3090,1549,4755,0.613,0.0
Failed,,,2002,3114,1259,0.1,0.1
Failed,,,3696,2149,1496,0.283,0.6
Failed,,,1358,3708,4992,0.797,0.0
Failed,,,2150,1277,2911,0.972,0.0
Failed,,,2936,2838,745,0.49,0.7
Failed,,,3906,3294,2353,0.898,0.0
Failed,,,2788,1124,2637,0.15,0.0
Failed,,,2325,4564,1054,0.634,0.7
Failed,,,1827,413,1864,0.591,0.9
Failed,,,3239,3852,4620,0.076,0.001
Failed,,,4620,1642,370,0.816,0.0
Failed,,,406,2583,3163,0.331,0.4
Failed,,,450,2280,503,0.905,0.5
Failed,,,4313,4706,1890,0.055,0.6
Failed,,,2920,1910,3092,0.805,0.1
Failed,,,3086,3746,1468,0.182,0.0
Failed,,,4155,917,3549,0.928,0.0
Failed,,,879,4976,132,0.413,0.2
Failed,,,1684,1165,984,0.767,0.001
Failed,,,3409,4604,2525,0.251,0.8
Failed,,,4516,2394,2497,0.515,0.4
Failed,,,3641,107,3182,0.576,0.0
Failed,,,1292,4168,352,0.091,0.7
Failed,,,1113,314,725,0.729,0.0
Failed,,,3763,3754,2931,0.246,0.3
Failed,,,2694,1584,2042,0.988,0.9
Failed,,,2220,2523,4289,0.474,0.001
Failed,,,1775,2453,3459,0.299,0.0
Failed,,,1771,4614,491,0.492,0.001
Failed,,,2225,324,2259,0.294,0.0
Failed,,,67,232,2855,0.028,0.001
Failed,,,4906,4297,649,0.51,0.8
Failed,,,3485,1462,4370,0.256,0.4
Failed,,,1902,1999,121,0.937,0.0
Failed,,,2990,3563,3539,0.455,0.1
Failed,,,4070,768,1480,0.717,0.7
Failed,,,2376,4034,3258,0.669,0.3
Failed,,,4840,3086,3174,0.042,0.6
Failed,,,3722,252,1816,0.786,0.2
Failed,,,1383,4316,4686,0.302,0.0
Failed,,,2144,630,2606,0.469,0.0
Failed,,,2930,4696,1065,0.985,0.4
Failed,,,4311,1901,3925,0.249,0.9
Failed,,,723,3465,2421,0.734,0.001
Failed,,,2755,1732,2941,0.653,0.0
Failed,,,2292,2667,734,0.139,0.1
Failed,,,4203,3420,3994,0.362,0.01
Failed,,,2465,2421,1312,0.991,0.001
Failed,,,2323,2436,3672,0.038,0.6
Failed,,,5000,2627,176,0.339,0.0
Failed,,,1706,3194,1130,0.585,0.5
Failed,,,2653,1239,4835,0.25,0.0
Failed,,,671,2681,2218,0.145,0.0
Failed,,,3597,1607,1749,0.276,0.6
Failed,,,4266,3715,3989,0.712,0.1
Failed,,,215,680,48,0.112,0.0
Failed,,,170,2596,3762,0.548,0.0
Failed,,,4223,470,289,0.15,0.8
Failed,,,1552,1579,2850,0.611,0.8
Failed,,,34,4691,964,0.163,0.0
Failed,,,2376,1430,4027,0.254,0.0
Failed,,,1586,4430,3708,0.475,0.0
Failed,,,2506,3442,4439,0.382,0.001
Failed,,,1579,876,888,0.795,0.8
Failed,,,801,2926,4103,0.636,0.8
Failed,,,4852,180,552,0.036,0.001
Failed,,,3011,4479,2695,0.968,0.0
Failed,,,6,1216,3164,0.607,0.6
Failed,,,4035,329,1319,0.829,0.6
Failed,,,698,1390,4399,0.591,0.3
Failed,,,4002,3573,2529,0.267,0.3
Failed,,,552,822,1547,0.93,0.0
Failed,,,1130,359,2733,0.058,0.9
Failed,,,4962,1414,2976,0.892,0.6
Failed,,,4888,3419,4351,0.597,0.0
Failed,,,3334,3710,1605,0.785,0.0
Failed,,,2387,646,3056,0.386,0.4
Failed,,,1612,2715,4680,0.358,0.1
Failed,,,1363,1488,986,0.108,0.0
Failed,,,481,1586,2193,0.447,0.3
Failed,,,3271,3478,3058,0.941,0.1
Failed,,,1861,2600,650,0.385,0.0
Failed,,,2810,508,4677,0.783,0.4
Failed,,,501,4898,3995,0.857,0.0
Failed,,,4479,761,1080,0.371,0.9
Failed,,,3046,3059,3542,0.688,0.2
Failed,,,2015,1265,1534,0.21,0.0
Failed,,,932,346,3119,0.911,0.001
Failed,,,2424,4290,3333,0.288,0.4
Failed,,,2517,156,1590,0.797,0.0
Failed,,,4970,3702,4130,0.137,0.0
Failed,,,2215,162,200,0.533,0.0
Failed,,,3849,2607,642,0.816,0.2
Failed,,,1130,1742,4280,0.331,0.0
