Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.32,11,606,4852,0.287,0.269
Completed,0.32,13,4464,1,0.0,0.001
Completed,0.43,37,4724,4974,0.205,0.771
Completed,0.32,12,441,2966,0.999,0.343
Completed,0.35,23,3475,1,0.999,0.581
Completed,0.32,13,2058,4998,0.0,0.116
Completed,0.43,41,4936,1991,0.0,0.587
Completed,0.36,20,386,2601,0.999,0.39
Completed,0.42,27,4967,4856,0.146,0.8
Completed,0.32,11,1075,4829,0.999,0.712
Completed,0.49,29,1862,4643,0.0,0.412
Completed,0.43,32,1235,1044,0.429,0.999
Completed,0.39,24,4521,95,0.475,0.593
Completed,0.32,12,701,4770,0.309,0.357
Completed,0.32,13,1501,3898,0.999,0.915
Completed,0.41,31,3300,4974,0.308,0.561
Completed,0.47,33,4391,4989,0.051,0.825
Completed,0.48,40,1747,1626,0.0,0.596
Completed,0.34,21,646,3297,0.999,0.695
Completed,0.48,31,3798,4810,0.0,0.43
Completed,0.32,11,1812,1197,0.0,0.234
Completed,0.32,11,4136,15,0.676,0.032
Completed,0.4,29,739,4957,0.263,0.389
Completed,0.45,36,128,396,0.0,0.392
Completed,0.5,41,778,4952,0.0,0.413
Completed,0.32,11,4847,114,0.458,0.233
Completed,0.41,30,999,258,0.0,0.416
Completed,0.32,14,391,4717,0.0,0.19
Completed,0.5,31,340,4935,0.0,0.392
Completed,0.5,36,1666,4926,0.0,0.387
Completed,0.32,12,4745,2571,0.219,0.221
Completed,0.48,32,160,4930,0.0,0.421
Completed,0.49,30,3907,4553,0.0,0.434
Completed,0.48,43,2053,4385,0.0,0.423
Completed,0.48,33,4235,3813,0.0,0.897
Completed,0.47,30,553,4187,0.0,0.666
Completed,0.34,16,407,3141,0.999,0.862
Completed,0.35,24,1759,191,0.999,0.402
Completed,0.51,32,1,5000,0.0,0.954
Completed,0.32,13,200,14,0.702,0.066
Completed,0.32,11,2248,1507,0.999,0.138
Completed,0.46,43,3493,4949,0.137,0.405
Completed,0.32,11,1510,4980,0.462,0.204
Completed,0.36,21,2956,93,0.0,0.39
Completed,0.37,23,4479,107,0.0,0.432
Completed,0.34,25,4865,11,0.495,0.999
Completed,0.49,35,391,4949,0.0,0.402
Completed,0.32,12,1875,2401,0.581,0.245
Completed,0.32,11,4691,3971,0.327,0.204
Completed,0.51,35,3952,4989,0.0,0.384
Completed,0.36,21,683,2236,0.999,0.999
Completed,0.48,34,1153,4909,0.0,0.49
Completed,0.49,46,3403,3726,0.0,0.685
Completed,0.32,11,1,2076,0.0,0.001
Completed,0.32,11,4952,4828,0.52,0.039
Completed,0.45,29,4352,2286,0.0,0.699
Completed,0.32,11,4722,2599,0.274,0.308
Completed,0.5,36,1719,3925,0.0,0.93
Completed,0.42,29,3989,749,0.0,0.715
Completed,0.4,25,3834,196,0.999,0.781
Completed,0.37,22,1617,71,0.202,0.718
Completed,0.5,32,1190,4486,0.0,0.477
Completed,0.47,32,4104,2540,0.0,0.934
