Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.73,1,1885,424,0.501,0.088
Completed,0.73,1,115,816,0.632,0.609
Completed,0.73,1,569,481,0.999,0.666
Completed,0.73,1,3595,4785,0.578,0.216
Completed,0.73,1,1216,536,0.96,0.901
Completed,0.73,1,3893,2336,0.563,0.607
Completed,0.73,1,4166,177,0.527,0.618
Completed,0.73,1,4762,321,0.999,0.535
Completed,0.73,1,1045,714,0.173,0.426
Completed,0.73,1,2373,4193,0.162,0.42
Completed,0.73,1,3778,4974,0.641,0.626
Completed,0.73,1,3458,4950,0.576,0.252
Completed,0.73,1,1518,4962,0.902,0.725
Completed,0.73,1,1847,4616,0.583,0.175
Completed,0.73,2,4184,1960,0.373,0.961
Completed,0.73,1,4060,4878,0.422,0.179
Completed,0.73,1,4469,1403,0.165,0.089
Completed,0.73,1,3694,3426,0.011,0.537
Completed,0.73,1,3819,4712,0.497,0.369
Completed,0.73,1,4024,4111,0.401,0.019
Completed,0.73,1,4235,605,0.252,0.475
Completed,0.73,1,4818,4197,0.893,0.222
Completed,0.73,1,4240,394,0.303,0.001
Completed,0.73,1,4660,2092,0.473,0.371
Completed,0.73,1,4367,4954,0.757,0.099
Completed,0.73,1,4241,47,0.274,0.131
Completed,0.73,2,827,3867,0.012,0.604
Completed,0.73,1,2665,4670,0.306,0.12
Completed,0.73,1,2543,219,0.534,0.427
Completed,0.73,1,183,125,0.045,0.314
Completed,0.73,1,4735,149,0.442,0.241
Completed,0.73,1,780,4713,0.117,0.25
Completed,0.73,1,4441,4996,0.371,0.361
Completed,0.73,1,1129,4713,0.476,0.437
Completed,0.73,1,4179,3742,0.508,0.264
Completed,0.73,1,911,4688,0.571,0.388
Completed,0.73,1,3653,4713,0.622,0.46
Completed,0.73,1,3344,807,0.721,0.603
Completed,0.73,2,4389,3830,0.02,0.556
Completed,0.73,1,1029,2365,0.496,0.216
Completed,0.73,1,3034,1467,0.472,0.283
Completed,0.73,1,234,4107,0.464,0.302
Completed,0.73,1,2246,2696,0.533,0.35
Completed,0.73,1,4622,4971,0.681,0.158
Completed,0.73,1,4258,4145,0.713,0.229
Completed,0.73,1,3563,3606,0.118,0.219
Completed,0.73,2,4451,4068,0.0,0.613
Completed,0.74,2,80,3164,0.0,0.881
Completed,0.73,1,929,4548,0.122,0.691
Completed,0.73,2,5,4557,0.0,0.834
Completed,0.74,2,4550,3967,0.0,0.861
Completed,0.73,1,2176,4346,0.076,0.685
Completed,0.73,2,4949,3202,0.0,0.508
Completed,0.73,1,2099,4812,0.174,0.667
Completed,0.74,2,1211,4123,0.0,0.748
Completed,0.73,1,4358,3408,0.087,0.659
Completed,0.74,3,220,5000,0.0,0.782
Completed,0.73,1,1814,3447,0.19,0.651
Completed,0.73,1,1099,3833,0.113,0.667
Completed,0.73,2,122,3035,0.137,0.888
Completed,0.73,2,731,3972,0.066,0.683
Completed,0.73,1,23,4691,0.205,0.661
Completed,0.73,1,19,3061,0.137,0.641
Completed,0.73,1,580,4975,0.999,0.318
Completed,0.74,2,2582,3479,0.0,0.901
Completed,0.73,1,674,3995,0.16,0.674
Completed,0.73,2,1674,4531,0.0,0.508
Completed,0.74,2,2881,4926,0.0,0.527
Completed,0.73,1,1104,2160,0.999,0.451
Completed,0.74,2,3221,3847,0.0,0.507
Completed,0.74,2,161,3916,0.0,0.861
Completed,0.74,2,347,3799,0.0,0.807
Completed,0.73,2,4064,3210,0.0,0.825
Completed,0.74,2,1101,4342,0.0,0.883
Completed,0.74,2,80,4401,0.0,0.521
Completed,0.73,1,2347,3841,0.0,0.477
Completed,0.73,2,570,3296,0.0,0.999
Completed,0.73,1,2854,330,0.727,0.071
Completed,0.73,2,2931,4355,0.034,0.665
Completed,0.73,2,4764,4220,0.052,0.661
Completed,0.73,1,3607,1664,0.264,0.001
Completed,0.73,1,1070,4948,0.072,0.664
Completed,0.74,2,96,3717,0.0,0.683
Completed,0.73,1,750,4081,0.428,0.667
Completed,0.73,1,2757,2205,0.407,0.642
Completed,0.73,1,1993,165,0.81,0.02
Completed,0.73,1,3790,4956,0.0,0.465
Completed,0.73,1,1687,4472,0.045,0.665
Completed,0.73,1,3942,3966,0.071,0.661
Completed,0.73,2,1,5000,0.458,0.115
Completed,0.73,1,1172,4883,0.735,0.001
Completed,0.73,2,4753,4777,0.02,0.667
Completed,0.73,1,2125,4912,0.516,0.901
Completed,0.73,1,1610,164,0.162,0.054
Completed,0.73,1,4963,2735,0.482,0.692
Completed,0.73,1,770,4928,0.092,0.666
Completed,0.73,1,748,4999,0.0,0.414
Completed,0.73,1,4560,4908,0.478,0.682
Completed,0.73,1,1741,4248,0.0,0.39
Completed,0.73,1,2150,4708,0.054,0.662
