Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.52,7,275,181,0.999,0.372
Completed,0.52,7,3289,4755,0.0,0.99
Completed,0.52,7,3929,4887,0.0,0.97
Completed,0.54,15,2312,4840,0.0,0.992
Completed,0.52,7,405,4869,0.53,0.977
Completed,0.52,7,4700,296,0.747,0.373
Completed,0.52,6,1733,1095,0.999,0.029
Completed,0.52,7,285,4808,0.22,0.971
Completed,0.52,7,4658,4908,0.782,0.981
Completed,0.52,7,2725,495,0.999,0.531
Completed,0.52,7,3455,60,0.0,0.49
Completed,0.52,7,3623,636,0.999,0.554
Completed,0.52,7,1656,4950,0.63,0.143
Completed,0.52,7,4911,2434,0.999,0.359
Completed,0.52,7,3238,4878,0.0,0.118
Completed,0.52,8,4528,1668,0.0,0.976
Completed,0.52,6,4391,580,0.999,0.13
Completed,0.52,7,4933,4244,0.41,0.972
Completed,0.52,7,346,4934,0.406,0.999
Completed,0.52,7,4383,4617,0.0,0.455
Completed,0.52,7,354,389,0.999,0.273
Completed,0.52,7,1775,4682,0.999,0.247
Completed,0.52,7,2329,4871,0.099,0.984
Completed,0.52,7,3647,272,0.169,0.556
Completed,0.52,7,112,4797,0.095,0.988
Completed,0.52,7,3803,4289,0.999,0.789
Completed,0.52,7,1863,4910,0.328,0.673
Completed,0.52,7,2584,530,0.691,0.414
Completed,0.52,7,3656,4307,0.117,0.972
Completed,0.52,7,2304,4731,0.093,0.977
Completed,0.52,7,4117,4691,0.253,0.032
Completed,0.52,7,4097,4833,0.084,0.989
Completed,0.52,7,1895,4876,0.776,0.678
Completed,0.52,7,486,4721,0.48,0.084
Completed,0.52,7,4177,203,0.0,0.366
Completed,0.52,7,4001,4739,0.999,0.933
Completed,0.52,7,1809,4998,0.016,0.679
Completed,0.52,6,4835,518,0.213,0.631
Completed,0.52,7,4938,841,0.696,0.028
Completed,0.52,7,4353,4969,0.086,0.98
Completed,0.52,7,237,942,0.343,0.028
Completed,0.52,7,4919,1285,0.0,0.267
Completed,0.52,7,4746,59,0.376,0.44
Completed,0.52,7,566,3095,0.414,0.399
Completed,0.52,7,4870,4333,0.636,0.415
Completed,0.52,7,4339,4683,0.563,0.058
Completed,0.52,7,3592,4686,0.271,0.624
Completed,0.52,7,3440,4605,0.999,0.701
Completed,0.52,7,275,89,0.292,0.368
Completed,0.52,7,4950,4096,0.375,0.347
Completed,0.52,7,3891,4375,0.55,0.225
Completed,0.52,7,487,4722,0.02,0.633
Completed,0.5,9,317,1312,0.0,0.999
Completed,0.52,7,137,4433,0.252,0.506
Completed,0.52,6,4920,625,0.553,0.115
Completed,0.52,6,531,4878,0.245,0.585
Completed,0.52,7,2524,4937,0.616,0.116
Completed,0.52,7,113,453,0.0,0.983
Completed,0.52,7,4812,4472,0.999,0.02
Completed,0.52,6,572,175,0.282,0.793
Completed,0.52,6,3806,434,0.584,0.548
Completed,0.52,7,1911,35,0.781,0.225
Completed,0.52,7,1516,29,0.159,0.334
Completed,0.52,7,2904,4982,0.0,0.557
Completed,0.52,6,1413,408,0.999,0.107
Completed,0.52,6,1636,4917,0.715,0.394
Completed,0.52,7,1292,4947,0.0,0.437
Completed,0.52,7,1,1,0.0,0.999
Completed,0.52,7,4775,3784,0.235,0.161
Completed,0.52,7,4745,4563,0.495,0.511
Completed,0.52,7,3774,4222,0.164,0.093
Completed,0.52,7,2093,4351,0.0,0.792
Completed,0.52,6,1,1242,0.0,0.076
Completed,0.52,7,4745,4664,0.0,0.146
Completed,0.52,7,164,4453,0.999,0.815
Completed,0.52,7,3699,34,0.0,0.071
Completed,0.52,7,1818,99,0.0,0.02
Completed,0.52,7,58,4895,0.0,0.986
Completed,0.54,14,147,4773,0.0,0.994
Completed,0.52,7,1074,252,0.0,0.641
Completed,0.52,7,4773,4620,0.0,0.742
Completed,0.52,7,2245,4823,0.0,0.738
