Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.53,8062,307,0.307,0.94,4359,421,314
Completed,0.55,12722,900,0.203,0.725,77,1911,1721
Completed,0.53,6078,239,0.576,0.865,814,1781,346
Completed,0.54,12181,2696,0.105,0.365,2853,4298,3311
Completed,0.53,8974,2330,0.352,0.006,4046,1071,2140
Completed,0.54,2712,55,0.419,0.505,3582,2538,3577
Completed,0.55,13601,2684,0.786,0.919,1048,2899,1835
Completed,0.54,9330,441,0.931,0.404,4138,1143,2927
Completed,0.54,3135,2057,0.373,0.796,2324,1836,4206
Completed,0.57,2831,2030,0.664,0.309,4902,2788,900
Completed,0.54,10223,472,0.106,0.896,1872,4576,2121
Completed,0.55,11760,714,0.264,0.466,209,2052,1028
Completed,0.53,6097,243,0.619,0.015,1158,1588,1529
Completed,0.53,8153,2259,0.187,0.659,3094,1051,250
Completed,0.54,7737,2320,0.583,0.927,4032,4247,959
Completed,0.53,5871,186,0.143,0.274,2096,3710,2258
Completed,0.55,13695,2517,0.856,0.453,4055,1980,591
Completed,0.55,11459,2558,0.524,0.176,4565,3291,2996
Completed,0.55,9722,572,0.632,0.625,308,130,1590
Completed,0.53,4149,2115,0.895,0.538,762,3489,4581
Completed,0.53,7118,382,0.329,0.137,2576,4183,3282
Completed,0.53,5128,153,0.819,0.769,4519,2136,2711
Completed,0.53,6622,2345,0.379,0.436,1298,192,3912
Completed,0.53,9297,2420,0.688,0.613,3245,1507,2932
Completed,0.54,1825,81,0.006,0.218,64,813,4153
Completed,0.54,8112,320,0.518,0.818,2026,2870,4812
Completed,0.53,5188,2180,0.21,0.48,3801,4814,3532
Completed,0.55,11161,604,0.442,0.326,4603,1296,295
Completed,0.54,9627,2523,0.34,0.873,271,4624,3891
Completed,0.53,6445,209,0.955,0.708,2796,4866,894
Completed,0.53,7538,2294,0.273,0.118,821,3079,2173
Completed,0.53,6418,2197,0.997,0.358,2385,2208,1613
Completed,0.53,7190,266,0.076,0.687,4864,4232,2956
Completed,0.55,12518,546,0.796,0.09,3665,3417,994
Completed,0.54,3402,2081,0.56,0.249,2864,524,2677
Completed,0.55,9230,416,0.244,0.578,1089,2467,3975
Completed,0.57,2018,20,0.734,0.446,1625,3853,4557
Completed,0.55,12985,2477,0.044,0.848,4807,3159,3356
Completed,0.54,13285,2485,0.528,0.457,1023,788,2242
Completed,0.58,2433,19,0.213,0.868,2842,1501,943
Completed,0.54,7664,405,0.703,0.22,4805,4837,363
Completed,0.53,4252,2099,0.012,0.575,1580,2874,1564
Completed,0.55,11183,509,0.275,0.729,2381,765,4606
Completed,0.53,13562,2614,0.381,0.213,3117,2695,702
Completed,0.54,5476,279,0.764,0.362,575,3056,3929
Completed,0.52,6980,2217,0.449,0.967,3600,4862,2727
Completed,0.54,5993,2278,0.781,0.696,4537,397,3561
Completed,0.53,5945,222,0.473,0.099,1512,2204,4782
Completed,0.53,7341,258,0.912,0.835,1335,3215,1866
Completed,0.53,5650,2245,0.347,0.495,4404,3752,567
Completed,0.55,12605,608,0.986,0.995,819,3980,4180
Completed,0.53,3894,2157,0.719,0.838,17,2491,2146
Completed,0.53,8418,346,0.037,0.492,3242,528,925
Completed,0.53,4240,116,0.549,0.608,3780,3134,266
Completed,0.53,9746,2387,0.241,0.191,1961,3847,1545
Completed,0.53,9735,2383,0.926,0.765,2504,2505,338
Completed,0.53,5043,122,0.361,0.409,725,4468,1637
Completed,0.53,8589,361,0.851,0.557,1282,1872,2208
Completed,0.53,4947,2144,0.41,0.149,4468,1159,1007
Completed,0.55,12914,563,0.174,0.05,4014,2802,2663
Completed,0.53,12348,2559,0.046,0.502,859,657,1259
Completed,0.55,13883,633,0.454,0.619,2986,241,4069
Completed,0.53,7007,2331,0.098,0.255,239,1573,4534
Completed,0.53,6770,2234,0.633,0.019,1800,3675,4176
Completed,0.55,11510,2509,0.132,0.04,2242,496,4199
Completed,0.53,6098,233,0.515,0.388,4693,254,1172
Completed,0.55,13742,2620,0.692,0.77,2422,4009,2456
Completed,0.54,11625,505,0.589,0.289,3077,1950,3546
Completed,0.55,2873,2044,0.821,0.377,3530,4218,281
Completed,0.55,10593,457,0.388,0.793,344,3505,1502
Completed,0.55,14339,2670,0.269,0.281,4842,577,2596
Completed,0.54,3753,62,0.9,0.177,2288,159,2151
Completed,0.53,10631,2440,0.342,0.525,4067,2122,871
Completed,0.53,10901,2429,0.677,0.985,2137,326,4461
Completed,0.54,4155,71,0.112,0.34,3912,2269,3259
Completed,0.55,13840,2659,0.742,0.242,1460,1909,1488
Completed,0.55,12044,466,0.601,0.692,3375,4050,2580
Completed,0.56,2822,2034,0.161,0.104,194,3357,3879
Completed,0.63,1285,2006,0.864,0.596,2617,2411,1247
Completed,0.54,12509,497,0.424,0.203,642,624,2448
Completed,0.53,13681,2589,0.09,0.875,4386,2426,981
Completed,0.53,7965,294,0.705,0.542,1923,2065,4236
Completed,0.53,8890,2343,0.882,0.232,3466,874,641
Completed,0.53,4406,161,0.325,0.564,397,1411,1921
Completed,0.55,14091,642,0.558,0.892,738,2197,480
Completed,0.55,12649,2573,0.942,0.978,2943,1830,2669
Completed,0.55,12503,556,0.838,0.463,2205,4752,1263
Completed,0.53,4559,2129,0.571,0.375,1756,1397,4908
Completed,0.53,9073,367,0.138,0.954,4937,703,3629
Completed,0.53,4715,128,0.65,0.074,2975,2980,3029
Completed,0.53,9433,2369,0.093,0.725,1200,4923,4249
Completed,0.53,10022,2395,0.778,0.292,4239,3609,2654
Completed,0.54,4295,105,0.462,0.881,2425,4303,3855
Completed,0.53,8500,334,0.952,0.032,483,2016,4524
Completed,0.53,5423,2165,0.262,0.674,3703,73,3225
Completed,0.54,13758,618,0.026,0.519,2905,3585,602
Completed,0.55,12422,2545,0.488,0.34,1659,4146,1596
Completed,0.53,5946,191,0.869,0.235,4182,3787,3660
Completed,0.53,7271,2269,0.199,0.782,1663,2041,2471
Completed,0.52,4729,2212,0.531,0.554,100,2595,1315
Completed,0.53,7657,293,0.223,0.151,3129,4382,36
Completed,0.55,13228,2607,0.607,0.298,680,4801,4593
Completed,0.56,11342,522,0.737,0.752,3843,1781,686
Completed,0.54,4145,2106,0.969,0.91,4640,4670,2984
Completed,0.53,9496,392,0.286,0.259,1420,2727,4264
Completed,0.63,1131,6,0.798,0.642,863,956,4855
Completed,0.55,11664,2492,0.491,0.06,2677,1649,3634
Completed,0.54,12864,2471,0.937,0.637,1471,4327,1935
Completed,0.56,3123,35,0.255,0.033,4657,3614,655
Completed,0.53,9928,430,0.768,0.929,2713,49,65
Completed,0.54,3534,2076,0.459,0.272,933,2012,1286
Completed,0.55,10429,534,0.192,0.426,137,4117,4885
Completed,0.53,10267,439,0.647,0.949,1788,2306,1192
Completed,0.54,3296,2065,0.082,0.345,4975,362,2491
Completed,0.54,6328,2203,0.023,0.132,3894,259,3016
Completed,0.54,9271,2302,0.747,0.391,2957,4406,3273
Completed,0.53,5870,197,0.057,0.81,986,2600,4474
Completed,0.55,12104,684,0.826,0.733,70,3699,3123
Completed,0.55,11833,2532,0.672,0.647,3448,2824,313
Completed,0.55,13947,593,0.546,0.162,1699,1219,3902
Completed,0.53,5420,2171,0.809,0.004,2496,2703,2424
Completed,0.53,8374,331,0.493,0.67,4276,4666,1223
Completed,0.54,3562,91,0.983,0.303,3719,1674,554
Completed,0.53,10062,2410,0.293,0.901,533,961,1853
Completed,0.53,9010,2358,0.602,0.085,4984,2303,11
Completed,0.53,5131,146,0.169,0.745,1759,340,1290
Completed,0.53,11209,375,0.682,0.347,1222,3322,1891
Completed,0.53,5393,2128,0.124,0.951,3040,4035,670
Completed,0.55,9956,2408,0.981,0.035,904,31,1227
Completed,0.53,4049,98,0.291,0.64,2723,1975,2428
Completed,0.53,8309,2306,0.437,0.591,2251,3230,4881
Completed,0.53,7111,2249,0.833,0.823,689,1445,3830
Completed,0.54,8244,252,0.393,0.475,2620,889,2629
Completed,0.55,12708,2643,0.774,0.077,96,1111,2120
Completed,0.54,11426,481,0.881,0.623,4426,2931,3209
Completed,0.57,2251,2019,0.316,0.207,1401,4738,4507
Completed,0.54,3447,2069,0.645,0.711,3978,669,618
Completed,0.55,10256,433,0.08,0.116,2160,1381,1819
Completed,0.54,13426,831,0.298,0.561,1171,3859,98
Completed,0.55,2053,48,0.57,0.981,196,4957,2497
