Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.82,9131,1324,0.378,0.885,238,280,740
Completed,0.84,14021,4826,0.835,0.969,701,182,3108
Completed,0.84,9681,589,0.96,0.146,2018,393,4162
Completed,0.59,9874,2254,0.359,0.402,332,3232,1511
Completed,0.84,10730,2477,0.921,0.756,3715,376,3777
Completed,0.85,11998,686,0.495,0.026,4166,265,968
Completed,0.83,12046,4531,0.655,0.344,2228,67,3217
Completed,0.64,12606,1697,0.87,0.138,897,3062,749
Completed,0.84,5910,292,0.53,0.543,1069,291,4663
Completed,0.81,8459,848,0.012,0.809,229,528,2612
Completed,0.84,10933,3637,0.2,0.562,497,165,1650
Completed,0.72,10844,2567,0.622,0.268,570,887,901
Completed,0.59,12510,3260,0.103,0.006,628,1576,1351
Completed,0.83,13568,3946,0.37,0.856,2851,37,2414
Completed,0.79,13689,3120,0.718,0.834,712,871,1240
Completed,0.83,143,1,0.001,0.001,1144,1,5000
Completed,0.84,12477,320,0.31,0.781,1963,615,4849
Completed,0.85,1797,2210,0.243,0.097,1136,16,3398
Completed,0.86,4464,2032,0.372,0.273,978,323,1952
Completed,0.56,9800,320,0.792,0.398,724,1846,611
Completed,0.73,12630,4241,0.64,0.575,872,1413,126
Completed,0.64,6700,248,0.884,0.954,553,3394,276
Completed,0.84,7654,875,0.669,0.872,1592,137,1820
Completed,0.84,8882,2969,0.118,0.771,2476,231,4530
Completed,0.83,12978,1816,0.777,0.578,4258,100,2243
Completed,0.87,4856,24,0.322,0.328,3489,213,2541
Completed,0.59,6522,3515,0.641,0.752,38,2528,1381
Completed,0.84,6995,2154,0.6,0.431,4684,247,4900
Completed,0.84,8478,3338,0.253,0.25,1417,76,2185
Completed,0.61,9523,2394,0.801,0.213,166,1211,1866
Completed,0.71,13023,2146,0.09,0.538,65,1728,3685
Completed,0.84,4632,2640,0.725,0.7,3348,54,3457
Completed,0.73,11951,1946,0.672,0.419,7,1069,2844
Completed,0.66,12136,590,0.439,0.528,747,2506,986
Completed,0.84,12211,3091,0.846,0.929,3193,291,2480
Completed,0.59,13795,1166,0.958,0.761,531,1818,1747
Completed,0.85,4444,2328,0.97,0.2,4529,64,1035
Completed,0.84,6685,839,0.43,0.956,2749,171,3832
Completed,0.59,9435,58,0.347,0.088,615,2735,687
Completed,0.84,10811,3511,0.132,0.385,1262,262,3161
Completed,0.62,13635,3338,0.77,0.617,195,2385,2671
Completed,0.83,11508,2936,0.643,0.154,2452,446,3962
Completed,0.59,14265,770,0.866,0.327,673,3442,1411
Completed,0.85,4891,2521,0.496,0.597,2317,88,821
Completed,0.84,11920,472,0.201,0.058,3643,345,1485
Completed,0.69,3764,1515,0.851,0.001,296,494,174
Completed,0.84,8695,3378,0.524,0.08,2916,1,4820
Completed,0.84,12443,1053,0.789,0.509,1747,429,2876
Completed,0.84,12529,3989,0.594,0.94,1488,99,4427
Completed,0.84,14258,2198,0.318,0.139,3693,598,4618
Completed,0.86,6961,13,0.239,0.407,1047,513,3820
Completed,0.84,10159,2363,0.178,0.914,1953,411,1726
Completed,0.83,13606,1448,0.453,0.064,1677,155,4072
Completed,0.84,14201,4410,0.379,0.486,3434,19,1204
Completed,0.84,4211,469,0.9,0.842,1225,50,638
Completed,0.59,7253,220,0.804,0.278,156,1708,977
Completed,0.87,9387,2029,0.543,0.612,3560,180,300
Completed,0.72,9838,986,0.389,0.572,72,660,1478
Completed,0.62,6824,3795,0.653,0.688,282,2140,798
Completed,0.84,8534,1133,0.125,0.357,4324,82,4993
Completed,0.83,11999,2632,0.839,0.533,868,561,4715
Completed,0.84,12058,3188,0.328,0.801,341,365,3015
Completed,0.84,14206,4980,0.776,0.043,2385,253,2084
Completed,0.85,4021,138,0.581,0.47,2175,139,529
Completed,0.82,13555,1838,0.623,0.02,645,418,3940
Completed,0.85,3402,2127,0.757,0.994,454,163,1281
Completed,0.86,6597,75,0.041,0.762,1454,305,1121
Completed,0.84,6265,958,0.331,0.225,2429,42,3464
Completed,0.84,12428,402,0.818,0.487,1276,666,4264
Completed,0.6,13951,2504,0.18,0.304,699,2956,1010
Completed,0.85,5395,566,0.678,0.71,3119,75,2158
Completed,0.84,8468,2850,0.053,0.216,768,218,357
Completed,0.84,11001,2614,0.881,0.14,1633,359,227
Completed,0.7,12027,1672,0.424,0.165,380,974,1168
