Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Failed,,,3023,0.866,0.884,4660,394,1402
Failed,,,3062,0.399,0.682,3427,2851,1933
Failed,,,3970,0.812,0.27,1797,4936,191
Failed,,,1231,0.101,0.999,3760,16,4082
Failed,,,2418,0.385,0.551,362,4472,3610
Failed,,,1385,0.514,0.888,750,3960,4692
Failed,,,4481,0.998,0.698,1432,1789,1294
Failed,,,340,0.213,0.039,4118,3281,3037
Failed,,,769,0.088,0.73,1065,755,2161
Failed,,,1217,0.575,0.071,1393,4564,1576
Failed,,,3955,0.354,0.668,4313,425,2694
Failed,,,3086,0.935,0.254,789,2354,4428
Failed,,,2067,0.152,0.983,3513,2596,1171
Failed,,,1658,0.78,0.583,2657,3335,2248
Failed,,,3143,0.057,0.182,557,1696,3327
Failed,,,4832,0.732,0.767,4550,1164,3771
Failed,,,66,0.446,0.498,2255,3906,475
Failed,,,101,0.789,0.203,988,1293,1201
Failed,,,4709,0.015,0.534,3303,3718,4457
Failed,,,648,0.68,0.961,2335,3191,1477
Failed,,,4162,0.406,0.302,4610,1861,2868
Failed,,,2551,0.82,0.654,481,987,4876
Failed,,,2318,0.109,0.112,2560,4026,642
Failed,,,1480,0.978,0.449,3579,4381,2037
Failed,,,2687,0.076,0.479,3907,3072,1341
Failed,,,3421,0.614,0.04,664,895,1253
Failed,,,1781,0.331,0.691,3643,4096,2996
Failed,,,1996,0.709,0.872,2781,5000,4093
Failed,,,2853,0.485,0.393,427,70,171
Failed,,,3859,0.788,0.557,4401,2165,1945
Failed,,,4309,0.3,0.148,2822,3162,1828
Failed,,,2717,0.973,0.81,1972,3997,1070
Failed,,,425,0.391,0.937,1248,2263,3989
Failed,,,599,0.645,0.18,4674,4315,2209
Failed,,,4035,0.036,0.326,975,3787,4350
Failed,,,2991,0.738,0.724,3854,3372,3555
Failed,,,2133,0.456,0.01,1852,1579,2124
Failed,,,1567,0.584,0.425,2089,2473,711
Failed,,,35,0.595,0.79,4366,2932,2073
Failed,,,4805,0.32,0.443,1329,2080,3504
Failed,,,3174,0.89,0.607,3449,142,4222
Failed,,,1685,0.179,0.128,842,4909,28
Failed,,,2097,0.799,0.309,610,4161,1437
Failed,,,1550,0.659,0.545,1761,1024,1239
Failed,,,1334,0.414,0.339,2709,3034,2546
Failed,,,1090,0.72,0.473,1157,459,3125
Failed,,,1086,0.052,0.872,204,1001,3963
Failed,,,2364,0.241,0.619,2809,2839,3119
Failed,,,383,0.412,0.106,1553,4109,3673
Failed,,,3111,0.689,0.327,3554,257,3864
Failed,,,2091,0.476,0.908,907,4713,559
Failed,,,3168,0.319,0.239,2535,693,2759
Failed,,,155,0.582,0.128,3421,1086,509
Failed,,,4763,0.362,0.608,1029,3985,3815
Failed,,,1571,0.129,0.791,1791,1774,2213
Failed,,,2994,0.034,0.122,4767,2675,4393
Failed,,,1435,0.647,0.381,831,2928,1549
Failed,,,4312,0.975,0.516,3148,2611,168
Failed,,,801,0.19,0.223,1146,2379,4098
Failed,,,3425,0.158,0.673,326,187,416
Failed,,,2693,0.649,0.862,4871,3614,347
Failed,,,1269,0.558,0.038,1699,2095,2503
Failed,,,1620,0.791,0.499,4832,220,62
Failed,,,3258,0.013,0.768,2127,4831,4266
Failed,,,151,0.031,0.907,102,3344,4897
Failed,,,729,0.405,0.41,1759,731,2923
Failed,,,2850,0.677,0.006,1281,2506,1177
Failed,,,660,0.083,0.871,3672,494,2718
Failed,,,1071,0.763,0.074,4223,3205,3551
Failed,,,3486,0.301,0.113,3464,4095,3026
Failed,,,2709,0.811,0.37,2586,4662,4918
Failed,,,1148,0.468,0.504,2463,2337,1502
Failed,,,892,0.632,0.303,583,3964,2232
Failed,,,3080,0.101,0.575,4525,1641,3851
Failed,,,3987,0.916,0.241,2113,1094,2622
Failed,,,378,0.847,0.398,2384,563,1088
Failed,,,3950,0.066,0.342,1227,4352,3175
Failed,,,2745,0.211,0.205,4191,149,4365
Failed,,,4320,0.776,0.605,1818,1946,3056
Failed,,,2133,0.495,0.268,3272,4894,849
Failed,,,1679,0.99,0.028,2858,3860,1452
Failed,,,4492,0.273,0.846,2036,1809,4947
Failed,,,956,0.225,0.47,2712,1507,2842
Failed,,,4140,0.993,0.862,1087,4846,1248
Failed,,,3453,0.751,0.784,2459,3000,3757
Failed,,,16,0.469,0.089,2650,12,2331
Failed,,,250,0.8,0.518,656,4125,2780
Failed,,,2867,0.987,0.492,2018,1346,3187
Failed,,,3466,0.116,0.376,2960,412,117
Failed,,,4391,0.93,0.807,548,2209,1385
