Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Failed,,,3442,0.412,0.612,2683,2726,1776
Failed,,,889,0.516,0.321,324,1355,4634
Failed,,,212,0.287,0.058,1112,1011,3281
Failed,,,2960,0.641,0.751,3145,3250,317
Failed,,,4488,0.239,0.428,1895,2484,2051
Failed,,,2356,0.813,0.639,4862,247,4360
Failed,,,2495,0.274,0.847,2974,3491,4577
Failed,,,4433,0.669,0.094,32,1245,1827
Failed,,,2826,0.198,0.729,3782,43,729
Failed,,,274,0.871,0.454,1724,2288,2862
Failed,,,827,0.072,0.16,2189,1938,4224
Failed,,,3576,0.996,0.899,4567,573,2179
Failed,,,3854,0.399,0.295,817,1559,455
Failed,,,1721,0.544,0.522,3440,2923,3137
Failed,,,1370,0.177,0.365,4979,890,2638
Failed,,,4284,0.751,0.576,2016,3135,953
Failed,,,3302,0.349,0.246,3266,2590,1408
Failed,,,1023,0.703,0.938,1230,344,4996
Failed,,,391,0.474,0.675,445,710,3535
Failed,,,2787,0.578,0.384,2801,2074,55
Failed,,,4940,0.052,0.808,1551,2841,2384
Failed,,,1909,0.876,0.008,4195,1476,4020
Failed,,,2153,0.021,0.609,648,2318,286
Failed,,,4755,0.907,0.333,3613,190,3620
Failed,,,2524,0.443,0.969,2363,1175,3783
Failed,,,557,0.61,0.214,4399,3304,2312
Failed,,,1170,0.319,0.415,3936,3001,1184
Failed,,,3254,0.734,0.643,1575,1739,2722
Failed,,,4156,0.145,0.039,2826,536,4757
Failed,,,1438,0.782,0.778,186,1798,1335
Failed,,,1712,0.43,0.124,1398,326,1951
Failed,,,3961,0.514,0.817,4343,2454,4143
Failed,,,3605,0.104,0.486,594,3221,3376
Failed,,,739,0.964,0.698,2647,1092,530
Failed,,,49,0.228,0.93,3435,1384,1599
Failed,,,3109,0.84,0.129,1056,2645,4495
Failed,,,4638,0.306,0.554,4807,2099,3102
Failed,,,2192,0.637,0.262,2185,837,803
Failed,,,2199,0.309,0.091,3448,1562,4157
Failed,,,4645,0.639,0.85,808,2932,1936
Failed,,,3116,0.229,0.457,4558,1948,544
Failed,,,56,0.843,0.726,2199,577,3362
Failed,,,732,0.105,0.9,1736,11,4510
Failed,,,3597,0.967,0.159,3770,2250,1584
Failed,,,3953,0.433,0.521,20,3454,819
Failed,,,1703,0.514,0.296,2986,1215,3088
Failed,,,1431,0.148,0.576,4183,2795,3625
Failed,,,4149,0.784,0.366,1562,1425,280
Failed,,,3245,0.32,0.939,2813,660,2316
Failed,,,1162,0.737,0.244,433,2030,3777
Failed,,,563,0.444,0.387,1221,2606,2727
Failed,,,2530,0.613,0.672,3275,366,1179
Failed,,,4761,0.024,0.006,2025,914,1340
Failed,,,2160,0.907,0.811,4971,3154,4753
Failed,,,1897,0.055,0.336,194,506,938
Failed,,,4928,0.877,0.606,2816,1759,2653
Failed,,,2774,0.475,0.212,1566,2963,4981
Failed,,,378,0.581,0.971,3945,1709,1422
Failed,,,1035,0.35,0.642,4410,1176,41
Failed,,,3314,0.706,0.416,2352,3313,3551
Failed,,,4295,0.18,0.78,3601,2330,4006
Failed,,,1382,0.752,0.037,660,193,2399
Failed,,,1733,0.402,0.818,2174,2115,1822
Failed,,,3865,0.545,0.123,4817,861,4581
Failed,,,3587,0.074,0.697,1067,1408,2857
Failed,,,839,0.999,0.487,3424,2663,734
Failed,,,261,0.198,0.126,2639,3177,2174
Failed,,,2813,0.874,0.932,602,1040,4229
Failed,,,4420,0.277,0.265,4352,276,3131
Failed,,,2483,0.67,0.551,1389,2411,460
Failed,,,2348,0.242,0.967,773,1298,684
Failed,,,4480,0.814,0.224,3717,3428,2915
Failed,,,2952,0.288,0.58,2468,2225,4648
Failed,,,204,0.644,0.354,4523,96,1762
Failed,,,896,0.413,0.025,4061,603,331
Failed,,,3448,0.519,0.784,1680,1863,3266
Failed,,,3805,0.117,0.398,2931,2849,4375
Failed,,,1867,0.939,0.668,311,1588,2036
Failed,,,1281,0.34,0.453,1273,3072,1558
Failed,,,4312,0.732,0.738,4239,943,4854
Failed,,,3409,0.136,0.064,489,397,2515
Failed,,,1013,0.811,0.87,2522,2526,1083
Failed,,,400,0.011,0.51,3310,2001,2455
Failed,,,2679,0.936,0.299,951,740,3955
Failed,,,4911,0.464,0.881,4701,1506,3491
Failed,,,1997,0.608,0.185,2060,2766,108
Failed,,,2065,0.495,0.708,3104,112,3870
Failed,,,4783,0.577,0.483,142,2357,2224
Failed,,,2630,0.043,0.838,3892,3343,180
Failed,,,546,0.905,0.096,1854,1097,3729
Failed,,,1179,0.167,0.27,2319,1679,4769
Failed,,,3145,0.781,0.539,4677,3043,1327
Failed,,,4127,0.371,0.154,926,1841,1156
Failed,,,1525,0.701,0.912,3569,477,2752
Failed,,,1564,0.087,0.193,4850,2495,3348
Failed,,,4010,0.97,0.998,1906,249,560
Failed,,,3732,0.381,0.324,3157,1015,1962
Failed,,,671,0.551,0.609,1100,3261,4134
Failed,,,117,0.257,0.752,315,2687,2997
Failed,,,2982,0.675,0.057,2691,1324,912
Failed,,,4588,0.211,0.638,1441,777,1688
Failed,,,2338,0.846,0.429,4065,2141,4408
Failed,,,2275,0.122,0.681,1934,3413,2694
Failed,,,4554,0.95,0.378,4901,1283,1214
Failed,,,3036,0.416,0.802,1151,79,1385
Failed,,,122,0.531,0.014,3184,2209,4711
Failed,,,656,0.292,0.375,2722,1907,3671
Failed,,,3687,0.655,0.567,363,647,238
Failed,,,4033,0.246,0.236,4113,1630,2284
Failed,,,1637,0.826,0.948,1472,2891,3812
Failed,,,1521,0.46,0.165,112,983,4466
Failed,,,4073,0.596,0.893,3056,3112,1630
Failed,,,3180,0.008,0.289,1806,2565,852
Failed,,,1242,0.924,0.528,3861,435,3056
Failed,,,473,0.132,0.857,4648,728,4194
Failed,,,2606,0.8,0.085,2268,1989,1903
Failed,,,4827,0.336,0.719,3519,2753,502
Failed,,,2080,0.72,0.464,899,1493,3407
Failed,,,1991,0.367,0.924,4266,2399,2134
Failed,,,4856,0.69,0.135,1323,151,4278
Failed,,,2714,0.163,0.56,2573,1135,3169
Failed,,,464,0.768,0.257,516,3382,430
Failed,,,939,0.038,0.114,982,3032,1861
Failed,,,3385,0.893,0.827,3358,1668,4550
Failed,,,4356,0.492,0.495,2108,464,2818
Failed,,,1296,0.565,0.688,4731,1827,781
Failed,,,1804,0.215,0.41,3688,234,9
Failed,,,3770,0.857,0.649,725,2480,3590
Failed,,,3502,0.26,0.044,4475,3245,4052
Failed,,,901,0.687,0.773,2437,999,2359
Failed,,,190,0.386,0.599,1652,1367,986
Failed,,,2909,0.562,0.342,4010,2730,2612
Failed,,,4505,0.09,0.978,260,2183,4951
Failed,,,2422,0.982,0.205,2903,819,1460
Failed,,,2438,0.429,0.308,4767,2917,2497
Failed,,,4405,0.502,0.501,2145,1546,3908
Failed,,,2886,0.101,0.177,3396,562,3454
Failed,,,285,0.956,0.89,1017,1932,137
Failed,,,806,0.226,0.747,555,2294,1519
Failed,,,3524,0.831,0.444,2609,54,4884
Failed,,,3871,0.305,0.861,1358,1257,2555
Failed,,,1787,0.627,0.072,4304,3496,1037
Failed,,,1356,0.028,0.791,2865,1464,363
Failed,,,4222,0.92,0.018,225,2835,3228
Failed,,,3328,0.448,0.661,3974,2069,4328
Failed,,,1079,0.624,0.405,1614,699,2076
Failed,,,324,0.323,0.231,2402,356,635
Failed,,,2769,0.749,0.96,4438,2594,2955
Failed,,,4992,0.153,0.347,687,3140,4679
Failed,,,1931,0.795,0.587,3652,901,1725
Failed,,,2136,0.183,0.048,1512,1800,3030
Failed,,,4689,0.764,0.761,4156,546,876
Failed,,,2545,0.355,0.437,406,1748,1643
Failed,,,608,0.717,0.629,2762,3002,4451
Failed,,,1107,0.479,0.989,3227,3302,3303
Failed,,,3241,0.593,0.202,1191,1166,603
Failed,,,4212,0.059,0.618,4940,180,1994
Failed,,,1464,0.888,0.316,1977,2316,4099
Failed,,,1660,0.274,0.532,856,846,4812
Failed,,,3939,0.658,0.277,3478,2100,1281
Failed,,,3670,0.194,0.919,2228,2646,1121
Failed,,,757,0.862,0.147,4606,1392,2785
Failed,,,22,0.07,0.476,3821,1084,3835
Failed,,,3052,0.986,0.715,1763,3220,2259
Failed,,,4649,0.398,0.103,3014,2453,221
Failed,,,2252,0.534,0.831,72,317,3684
Failed,,,2242,0.14,0.496,2787,2194,1788
Failed,,,4680,0.807,0.694,458,59,4615
Failed,,,3084,0.343,0.113,4208,1261,2901
Failed,,,11,0.729,0.82,1537,3396,690
Failed,,,766,0.468,0.557,2013,2880,2062
Failed,,,3643,0.604,0.252,4984,1626,4342
Failed,,,3912,0.015,0.927,1233,640,3253
Failed,,,1669,0.932,0.139,3262,1894,337
Failed,,,1474,0.284,0.981,4532,414,1070
Failed,,,4184,0.648,0.21,2225,2549,2521
Failed,,,3213,0.238,0.596,3474,3096,4879
Failed,,,1117,0.818,0.337,782,960,1525
Failed,,,2576,0.943,0.766,3000,2743,3497
Failed,,,4719,0.409,0.411,1750,1977,3981
Failed,,,2126,0.523,0.656,3757,722,2423
Failed,,,1940,0.377,0.243,1089,3374,3737
Failed,,,4963,0.555,0.949,3401,1135,169
Failed,,,2742,0.083,0.368,2151,150,2194
Failed,,,334,0.974,0.565,4840,2388,3899
Failed,,,1068,0.207,0.798,4367,1810,2761
Failed,,,3359,0.85,0.011,1373,439,1144
Failed,,,4253,0.253,0.686,2623,1642,1297
Failed,,,1346,0.678,0.381,617,3013,4798
Failed,,,1777,0.047,0.724,1591,999,4104
Failed,,,3902,0.901,0.466,3921,3236,1990
Failed,,,3555,0.499,0.852,170,2470,569
Failed,,,794,0.573,0.082,2840,232,3337
Failed,,,294,0.375,0.283,3619,795,4378
Failed,,,2859,0.697,0.526,643,2165,1716
Failed,,,4377,0.171,0.172,4393,2712,920
Failed,,,2447,0.777,0.894,2369,1340,2985
Failed,,,2391,0.316,0.623,502,1925,3392
Failed,,,4517,0.741,0.318,2510,560,516
Failed,,,2920,0.144,0.985,1260,1544,1928
Failed,,,160,0.787,0.198,4252,2908,4168
Failed,,,929,0.02,0.431,4726,3477,3119
Failed,,,3494,0.911,0.628,2035,1233,790
Failed,,,3763,0.44,0.055,3285,28,1576
Failed,,,1833,0.617,0.761,976,2273,4520
Failed,,,1325,0.233,0.11,2482,697,3769
Failed,,,4348,0.839,0.831,4509,2062,2328
Failed,,,3377,0.313,0.47,759,2826,311
Failed,,,969,0.635,0.714,3732,1461,3596
Failed,,,433,0.437,0.915,2956,877,4744
Failed,,,2724,0.511,0.144,284,3122,1351
Failed,,,4869,0.109,0.537,4034,2575,1209
Failed,,,1962,0.963,0.279,1706,329,2699
Failed,,,2108,0.077,0.864,3141,2988,1435
Failed,,,4819,0.995,0.077,1115,1726,4975
Failed,,,2597,0.406,0.745,4866,522,2627
Failed,,,502,0.541,0.439,1891,1783,971
Failed,,,1212,0.281,0.176,1419,2305,2412
Failed,,,3191,0.666,0.883,4088,177,3999
Failed,,,4085,0.202,0.309,338,1159,3525
Failed,,,1491,0.87,0.507,2669,3289,73
Failed,,,1608,0.471,0.348,3875,1371,708
