Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.92,306,2956,0.794,0.88,5000,918,1
Completed,0.92,171,1137,0.001,0.001,5000,3292,1
Completed,0.92,174,2124,0.001,0.295,3550,3180,1
Completed,0.91,1,1643,0.999,0.959,1,3142,1
Completed,0.92,655,1976,0.999,0.001,1293,1,1932
Completed,0.91,197,5000,0.102,0.001,5000,872,872
Completed,0.93,375,3001,0.999,0.439,4999,1,410
Completed,0.92,373,3064,0.999,0.001,5000,1,1310
Completed,0.92,212,2662,0.999,0.577,3385,1,648
Completed,0.92,144,1674,0.02,0.001,1608,3731,140
Completed,0.92,76,2320,0.999,0.525,1132,1,372
Completed,0.92,321,2911,0.999,0.001,4277,1,523
Completed,0.92,132,2496,0.999,0.383,3195,1,1554
Completed,0.93,325,2936,0.999,0.342,3626,1,1636
Completed,0.93,263,2821,0.987,0.001,3941,1,3522
Completed,0.92,169,2555,0.999,0.156,3955,1,701
Completed,0.92,136,2496,0.999,0.001,2662,1,2383
Completed,0.92,239,2737,0.999,0.001,4743,1,1075
Completed,0.93,242,2779,0.999,0.706,3882,1,809
Completed,0.92,124,2458,0.999,0.999,4844,1,463
Completed,0.92,373,3091,0.999,0.936,5000,1,1401
Completed,0.92,385,3150,0.999,0.001,4314,1,2591
Completed,0.92,366,2973,0.999,0.001,3619,1,613
Completed,0.92,57,2216,0.999,0.001,4088,1,4273
Completed,0.92,355,2978,0.788,0.001,4161,1,3721
Completed,0.93,333,2861,0.999,0.065,4005,1,2147
Completed,0.92,332,3039,0.999,0.196,3359,1,3164
Completed,0.93,265,2864,0.999,0.713,4237,1,2562
Completed,0.92,414,3173,0.985,0.001,5000,1,3083
Completed,0.92,58,2219,0.999,0.716,3027,1,616
Completed,0.92,219,2701,0.999,0.493,4147,1,2046
Completed,0.92,649,1993,0.999,0.576,1700,1,3268
Completed,0.92,77,2305,0.999,0.001,3673,1,3435
Completed,0.92,457,3391,0.999,0.409,4874,1,1180
Completed,0.92,69,2272,0.848,0.001,1454,1,200
Completed,0.92,344,3069,0.999,0.765,4512,1,472
Completed,0.92,214,2307,0.879,0.471,4394,162,1
Completed,0.92,431,1387,0.999,0.956,1740,1,2770
Completed,0.92,112,2329,0.999,0.56,3846,1,1
Completed,0.92,237,2358,0.999,0.631,4264,751,1
Completed,0.92,549,3719,0.999,0.999,4253,1,3776
Completed,0.92,97,2309,0.623,0.501,4011,1,1
Completed,0.91,615,3955,0.999,0.001,5000,1,1
Completed,0.92,216,2428,0.256,0.661,2667,3059,1
Completed,0.92,94,2303,0.654,0.939,2272,1,1
Completed,0.92,103,2305,0.999,0.999,2048,1,1
Completed,0.91,685,3892,0.999,0.999,5000,1,1
Completed,0.92,104,1228,0.001,0.003,159,5000,1
Completed,0.92,241,2462,0.999,0.704,5000,1169,1
Completed,0.92,79,2325,0.374,0.767,4470,1,1
Completed,0.91,620,3972,0.999,0.001,2411,1,1
Completed,0.92,466,1373,0.999,0.657,3839,1,135
Completed,0.92,477,3526,0.832,0.999,3135,1,5000
Completed,0.92,139,614,0.001,0.001,3679,3338,1
Completed,0.92,700,4050,0.999,0.999,3272,1,1778
Completed,0.92,180,1318,0.001,0.001,1870,3788,1
Completed,0.91,217,2320,0.761,0.548,4511,518,1
Completed,0.92,315,2557,0.999,0.882,5000,1795,1
Completed,0.92,204,1406,0.001,0.836,5000,3646,1
Completed,0.92,25,2866,0.001,0.001,5000,1,1
Completed,0.92,486,4364,0.999,0.999,1712,2802,1
Completed,0.92,106,2281,0.999,0.366,5000,1,1
Completed,0.92,147,2569,0.001,0.001,5000,3321,1
Completed,0.92,229,2342,0.999,0.999,2338,690,1
Completed,0.92,653,4037,0.999,0.49,5000,1,1771
Completed,0.92,150,2479,0.999,0.512,4371,1,1
Completed,0.92,182,2223,0.873,0.001,3050,3390,1
Completed,0.91,22,2191,0.321,0.999,3186,1,2066
Completed,0.92,448,3197,0.802,0.001,3251,2537,1
Completed,0.92,458,3688,0.999,0.999,4231,2218,1
Completed,0.91,130,2017,0.001,0.001,1737,5000,1
Completed,0.93,134,228,0.001,0.001,5000,2707,1
Completed,0.92,195,3124,0.001,0.999,5000,3106,1
Completed,0.92,159,912,0.001,0.001,2453,4256,1
Completed,0.91,1,854,0.001,0.001,1,5000,1
Completed,0.92,489,3900,0.999,0.999,5000,2700,1
Completed,0.93,136,2141,0.001,0.001,4855,4150,1
Completed,0.92,443,3523,0.999,0.999,2850,2535,1
Completed,0.91,187,4957,0.815,0.001,392,3221,3584
Completed,0.92,642,3667,0.999,0.001,3495,2723,1
Completed,0.92,570,3429,0.999,0.001,3387,2990,1
Completed,0.91,337,3603,0.485,0.999,5000,2371,1
Completed,0.91,211,2225,0.851,0.999,5000,3656,1
Completed,0.93,139,317,0.001,0.001,5000,3607,1
Completed,0.92,13,3337,0.116,0.999,5000,1,5000
Completed,0.92,140,659,0.001,0.001,1643,4864,1
Completed,0.92,457,3039,0.999,0.001,3826,2287,1
Completed,0.92,194,3528,0.001,0.001,5000,2937,1
Completed,0.91,1,1552,0.001,0.001,1,5000,1
Completed,0.91,12,5000,0.185,0.999,1583,2820,233
Completed,0.92,228,5000,0.001,0.999,4550,2421,1
Completed,0.93,133,2196,0.001,0.001,2365,4295,1
Completed,0.92,159,887,0.001,0.001,5000,3413,1
Completed,0.92,489,4018,0.999,0.999,5000,2286,1
Completed,0.92,190,2879,0.001,0.999,5000,3813,1
Completed,0.92,197,3219,0.001,0.999,5000,2599,1
Completed,0.91,173,1,0.001,0.999,5000,2661,1
Completed,0.92,5,2267,0.157,0.001,5000,1,3146
Completed,0.91,114,1657,0.001,0.001,4988,4071,2707
Completed,0.91,1,2972,0.873,0.999,1,2986,5000
Completed,0.91,9,1,0.001,0.999,5000,2548,2240
Completed,0.91,1,3133,0.169,0.982,1,1,1811
Completed,0.91,1,553,0.999,0.523,1,1,1242
Completed,0.92,281,901,0.999,0.999,5000,1,4420
Completed,0.91,3,2516,0.001,0.001,5000,1,1898
Completed,0.91,197,590,0.001,0.999,5000,3494,1
Completed,0.91,1,3625,0.051,0.001,1,1,301
Completed,0.91,9,5000,0.999,0.999,1277,2380,4505
Completed,0.91,1,173,0.999,0.999,1,1,1
Completed,0.91,34,2467,0.001,0.001,3842,3847,1255
Completed,0.91,25,2327,0.001,0.001,3736,4030,2613
Completed,0.91,82,1197,0.001,0.001,5000,4161,1746
Completed,0.91,1,3367,0.514,0.999,1,2920,2361
Completed,0.91,1,821,0.999,0.001,1,1,5000
Completed,0.91,1,4349,0.228,0.001,1,2232,1
Completed,0.91,1,687,0.999,0.001,1,2168,5000
Completed,0.92,265,509,0.999,0.001,5000,2387,1
Completed,0.91,8,913,0.001,0.999,5000,5000,1498
Completed,0.91,1,514,0.999,0.001,1,1,1
Completed,0.92,674,5000,0.999,0.999,2951,1,5000
Completed,0.9,126,1,0.538,0.001,5000,2337,1
Completed,0.91,3,2130,0.001,0.001,5000,1,5000
Completed,0.92,323,1010,0.999,0.001,5000,1,3902
Completed,0.91,7,1,0.001,0.001,5000,2558,1551
Completed,0.92,201,634,0.999,0.999,1556,1,4197
Completed,0.91,1,1032,0.001,0.999,1,1,1
Completed,0.9,3,1,0.999,0.001,3598,1,2317
Completed,0.91,8,3077,0.128,0.999,3512,1552,4585
Completed,0.9,3,1,0.999,0.999,4475,1,2220
Completed,0.91,8,3822,0.001,0.999,5000,1876,5000
Completed,0.91,8,2807,0.462,0.999,1438,1477,4379
Completed,0.91,1,5000,0.999,0.999,1,5000,1
Completed,0.92,50,2195,0.999,0.001,5000,1,2351
Completed,0.89,116,1,0.001,0.001,5000,5000,1
Completed,0.92,189,3187,0.001,0.268,1302,1480,1
Completed,0.92,137,2531,0.001,0.001,3852,691,1
Completed,0.92,217,3600,0.001,0.999,563,4218,1
Completed,0.91,8,2302,0.001,0.999,5000,2062,5000
Completed,0.92,225,1756,0.001,0.999,4339,5000,1
Completed,0.91,180,2516,0.001,0.999,2773,109,1
Completed,0.92,190,2855,0.001,0.999,3101,5000,1
Completed,0.91,8,2795,0.001,0.147,3541,2215,5000
Completed,0.91,1,4862,0.001,0.001,1,1,1
Completed,0.91,1,3926,0.51,0.999,1,5000,1912
Completed,0.91,9,4183,0.072,0.999,5000,3623,5000
Completed,0.91,8,3344,0.001,0.999,1735,1844,4136
Completed,0.91,1,349,0.999,0.999,1,2954,3560
Completed,0.91,8,521,0.001,0.999,2046,2428,5000
Completed,0.91,1,3054,0.999,0.999,1,5000,769
Completed,0.91,1,3000,0.311,0.999,1,4986,1
Completed,0.91,1,3759,0.001,0.999,1,1529,1
Completed,0.92,133,2036,0.001,0.001,5000,4808,1
Completed,0.91,1,5000,0.924,0.999,1,3979,5000
Completed,0.91,10,127,0.999,0.999,7,1630,3983
Completed,0.9,3,1,0.999,0.999,4698,1,717
Completed,0.92,51,2190,0.999,0.999,5000,1,1883
Completed,0.91,1,2196,0.999,0.999,1,1,1
Completed,0.91,4,2748,0.001,0.377,4001,1,2577
Completed,0.91,1,2203,0.65,0.999,1,1,1
Completed,0.9,27,2164,0.511,0.001,4278,1,2720
Completed,0.91,8,5000,0.001,0.999,2783,5000,3023
Completed,0.9,7,1,0.999,0.001,834,5000,5000
Completed,0.91,8,5000,0.001,0.999,4072,5000,5000
Completed,0.91,1,1,0.191,0.999,1,699,5000
Completed,0.91,1,5000,0.001,0.999,1,2649,5000
Completed,0.91,3,2197,0.001,0.001,3550,1,2892
Completed,0.91,8,3349,0.001,0.999,3431,5000,2783
Completed,0.92,577,1982,0.739,0.999,5000,1,1975
Completed,0.92,178,1799,0.001,0.001,4186,3746,1
Completed,0.91,132,5000,0.001,0.001,1499,2548,1656
Completed,0.91,1,1,0.081,0.999,1,2438,4281
Completed,0.91,1,1,0.999,0.999,1,5000,5000
Completed,0.91,7,1,0.74,0.001,2501,3303,5000
Completed,0.91,122,1860,0.001,0.001,4207,3701,555
Completed,0.91,1,2690,0.999,0.999,1,1,1
Completed,0.91,1,2911,0.239,0.999,1,2189,5000
Completed,0.9,7,1,0.999,0.001,4432,5000,5000
Completed,0.91,8,5000,0.001,0.666,3003,2291,2611
Completed,0.91,8,1860,0.613,0.999,4257,5000,2992
Completed,0.91,1,1,0.968,0.999,1,3892,5000
Completed,0.91,8,58,0.999,0.999,5000,3180,2133
Completed,0.91,1,5000,0.001,0.999,1,4203,3731
Completed,0.92,201,5000,0.001,0.001,2601,1844,1
Completed,0.91,1,1441,0.084,0.999,1,1,2546
Completed,0.91,1,1210,0.001,0.999,1,5000,1744
Completed,0.91,3,2442,0.031,0.999,4782,1,3887
Completed,0.91,1,1346,0.001,0.999,1,2890,1
Completed,0.92,129,645,0.001,0.001,4942,354,1
Completed,0.92,228,1697,0.001,0.999,2942,3332,1
Completed,0.92,159,942,0.001,0.001,4561,1549,1
Completed,0.91,1,2165,0.001,0.726,1,3682,1
Completed,0.91,1,5000,0.001,0.999,1,2316,1
Completed,0.92,202,1188,0.001,0.999,3750,1636,1
Completed,0.91,6,1,0.001,0.001,4080,1,1
Completed,0.91,8,1,0.983,0.999,5000,2297,4739
Completed,0.91,8,1,0.001,0.001,3621,2036,5000
Completed,0.91,1,32,0.001,0.999,1,2809,1
Completed,0.91,61,2418,0.461,0.001,4144,1,4346
Completed,0.91,1,3554,0.999,0.999,1,5000,3590
Completed,0.91,1,5000,0.619,0.999,1,1,4189
Completed,0.91,8,2435,0.001,0.999,3196,5000,5000
Completed,0.91,8,5000,0.001,0.999,5000,5000,3542
Completed,0.92,178,1609,0.001,0.001,4602,2304,1
Completed,0.91,10,1,0.411,0.999,5000,2086,4767
Completed,0.91,1,3273,0.001,0.999,1,1,4177
Completed,0.91,8,2774,0.397,0.999,5000,5000,5000
Completed,0.91,8,5000,0.001,0.999,3434,2409,5000
Completed,0.91,7,4055,0.001,0.001,4793,1,4175
Completed,0.91,1,1550,0.001,0.999,1,1809,1
Completed,0.92,202,1162,0.001,0.999,2432,2642,1
Completed,0.91,1,1,0.569,0.849,1,2234,5000
Completed,0.91,1,5000,0.48,0.999,1,1,5000
Completed,0.91,1,2905,0.999,0.999,1,3890,2412
Completed,0.91,16,365,0.001,0.001,5000,1,1
Completed,0.91,1,1900,0.999,0.001,1,5000,1794
Completed,0.91,8,1,0.522,0.999,3145,2888,4741
Completed,0.91,5,4199,0.001,0.001,5000,1,5000
Completed,0.92,175,1838,0.001,0.001,5000,1283,1
Completed,0.91,8,1598,0.999,0.999,4450,2024,2500
Completed,0.92,169,1698,0.001,0.001,4670,142,1
Completed,0.91,3,2524,0.001,0.001,3763,1,4417
Completed,0.91,1,5000,0.496,0.999,1,5000,5000
Completed,0.91,1,5000,0.001,0.287,1,5000,1
Completed,0.92,45,1700,0.001,0.001,3547,1,1
Completed,0.91,1,3041,0.527,0.999,1,5000,5000
Completed,0.92,131,2055,0.001,0.001,4577,2241,1
Completed,0.91,1,1928,0.692,0.999,1,4610,2974
Completed,0.91,1,1,0.388,0.419,1,5000,2989
Completed,0.91,8,1,0.775,0.999,3710,5000,2923
Completed,0.91,14,2119,0.001,0.001,2159,5000,5000
Completed,0.91,1,1,0.001,0.999,1,5000,5000
Completed,0.91,8,1263,0.478,0.999,3473,5000,3633
Completed,0.92,515,1750,0.726,0.001,3662,1,3885
Completed,0.91,8,1,0.999,0.999,5000,5000,3471
Completed,0.92,547,1785,0.999,0.001,3989,1,2959
Completed,0.91,1,5000,0.32,0.999,1,5000,3797
Completed,0.91,8,1,0.318,0.999,1968,5000,5000
Completed,0.91,1,2134,0.434,0.999,1,5000,3169
Completed,0.91,1,1,0.48,0.999,1,1448,1
Completed,0.91,1,5000,0.001,0.999,1,2792,2492
Completed,0.91,8,5000,0.39,0.999,1513,5000,5000
Completed,0.91,8,1503,0.001,0.999,3708,4789,3957
Completed,0.91,8,2120,0.315,0.999,3972,3421,4626
Completed,0.92,178,1702,0.001,0.001,4352,978,1
Completed,0.91,5,1361,0.001,0.001,3444,1,4210
Completed,0.91,7,1,0.805,0.001,3849,955,5000
Completed,0.91,1,5000,0.001,0.999,1,5000,1793
Completed,0.91,6,5000,0.001,0.999,1618,1,3446
Completed,0.91,8,34,0.999,0.999,2632,5000,2531
Completed,0.91,116,1558,0.001,0.001,4867,1028,515
Completed,0.91,108,1575,0.001,0.001,3769,2579,752
Completed,0.92,232,1802,0.001,0.999,5000,1122,1
Completed,0.91,1,1,0.845,0.999,1,5000,2460
Completed,0.92,5,2012,0.25,0.001,5000,1,5000
Completed,0.91,7,1,0.083,0.001,5000,5000,5000
Completed,0.92,48,5000,0.001,0.999,1759,1,1
Completed,0.91,1,1348,0.999,0.999,1,1,1
Completed,0.91,5,1511,0.001,0.001,4518,1,460
Completed,0.91,66,861,0.001,0.001,5000,1515,3542
Completed,0.91,7,1,0.001,0.001,3161,5000,3777
Completed,0.91,183,2019,0.001,0.999,5000,2002,1
Completed,0.91,8,4203,0.001,0.999,4306,3178,3397
Completed,0.91,1,3695,0.125,0.999,1,1,1
Completed,0.92,38,1574,0.001,0.999,5000,1,1
Completed,0.91,1,1925,0.512,0.999,1,5000,1487
Completed,0.91,1,2041,0.001,0.001,1,1566,1454
Completed,0.91,1,924,0.549,0.001,1,1,5000
Completed,0.91,1,1,0.508,0.999,1,5000,4462
Completed,0.91,1,5000,0.11,0.999,1,1,1673
Completed,0.91,4,804,0.001,0.001,5000,1,1494
Completed,0.91,102,3549,0.001,0.001,5000,2899,4426
Completed,0.91,1,140,0.999,0.001,1,5000,2664
Completed,0.91,8,4376,0.001,0.999,2845,5000,4522
Completed,0.91,10,2201,0.001,0.999,2374,4974,466
Completed,0.91,1,2447,0.999,0.999,1,1894,662
Completed,0.91,8,1,0.999,0.999,5000,5000,2042
Completed,0.92,45,3587,0.001,0.001,3729,1,1
Completed,0.91,1,1536,0.565,0.999,1,2629,1
Completed,0.91,83,2692,0.357,0.001,5000,1,5000
Completed,0.91,8,5000,0.001,0.999,160,1,1
Completed,0.91,1,5000,0.999,0.999,1,5000,1770
Completed,0.92,53,4486,0.001,0.999,3256,1,1
