Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.58,1453,2760,3234,0.19,0.472,str('kl'),0.088,False
Completed,0.58,1973,3295,1941,0.284,0.373,str('kl'),0.066,True
Completed,0.58,565,482,2511,0.923,0.693,str('intersection'),0.028,False
Completed,0.57,559,2093,320,0.114,0.161,str('intersection'),0.038,True
Completed,0.58,4316,4281,4758,0.718,0.78,str('kl'),0.09,False
Completed,0.57,589,4174,566,0.419,0.431,str('intersection'),0.032,False
Completed,0.58,1210,433,2188,0.247,0.095,str('kl'),0.094,False
Completed,0.58,1815,3245,2738,0.608,0.964,str('intersection'),0.034,True
Completed,0.57,646,2574,1465,0.886,0.817,str('intersection'),0.012,False
Completed,0.58,4265,1012,3304,0.282,0.249,str('kl'),0.072,True
Completed,0.58,674,1256,1133,0.716,0.652,str('kl'),0.085,False
Completed,0.58,583,4694,4263,0.077,0.289,str('intersection'),0.055,True
Completed,0.58,1213,4584,2463,0.672,0.144,str('kl'),0.04,False
Completed,0.58,560,1772,3082,0.035,0.79,str('intersection'),0.099,True
Completed,0.59,612,806,256,0.969,0.324,str('intersection'),0.057,False
Completed,0.58,11425,2993,4666,0.362,0.734,str('kl'),0.026,True
Completed,0.58,645,3689,783,0.143,0.608,str('kl'),0.048,False
Completed,0.58,921,252,3982,0.502,0.459,str('intersection'),0.08,True
Completed,0.58,495,2487,1780,0.438,0.928,str('intersection'),0.077,False
Completed,0.58,5997,3987,2211,0.482,0.786,str('kl'),0.053,True
Completed,0.58,592,2424,2871,0.872,0.155,str('intersection'),0.084,False
Completed,0.62,594,305,45,0.184,0.746,str('intersection'),0.07,True
Completed,0.58,4428,3742,4413,0.546,0.32,str('kl'),0.011,False
Completed,0.58,12169,3017,768,0.949,0.463,str('kl'),0.034,True
Completed,0.58,595,830,3847,0.343,0.596,str('intersection'),0.092,False
Completed,0.59,1071,1758,1644,0.653,0.001,str('intersection'),0.061,True
Completed,0.58,1626,4571,3593,0.016,0.932,str('kl'),0.03,False
Completed,0.58,1087,4747,390,0.734,0.514,str('intersection'),0.016,True
Completed,0.58,2310,1309,4689,0.098,0.427,str('kl'),0.076,False
Completed,0.59,546,2511,2561,0.3,0.107,str('intersection'),0.048,False
Completed,0.57,647,3232,1364,0.205,0.237,str('intersection'),0.025,True
Completed,0.58,1453,419,3245,0.565,0.821,str('kl'),0.055,False
Completed,0.58,1198,2010,1073,0.376,0.293,str('kl'),0.098,True
Completed,0.58,522,4198,4162,0.768,0.641,str('intersection'),0.038,False
Completed,0.58,654,4227,1143,0.093,0.054,str('kl'),0.059,False
Completed,0.58,1113,2040,4252,0.7,0.888,str('intersection'),0.021,True
Completed,0.57,467,545,1435,0.266,0.484,str('intersection'),0.042,False
Completed,0.58,899,2774,2118,0.624,0.697,str('kl'),0.072,False
Completed,0.59,624,1212,2808,0.232,0.361,str('intersection'),0.02,True
Completed,0.58,523,1515,617,0.795,0.769,str('intersection'),0.044,False
Completed,0.59,529,4521,1730,0.816,0.279,str('intersection'),0.09,False
Completed,0.58,11983,1709,3659,0.454,0.662,str('kl'),0.035,True
Completed,0.58,873,723,853,0.518,0.192,str('kl'),0.028,False
Completed,0.58,634,2910,3913,0.128,0.874,str('intersection'),0.064,True
Completed,0.57,469,3459,287,0.347,0.969,str('intersection'),0.086,False
Completed,0.58,2308,2239,2453,0.051,0.555,str('kl'),0.013,False
Completed,0.58,1122,3801,3093,0.657,0.379,str('intersection'),0.067,True
Completed,0.59,622,3840,136,0.933,0.179,str('kl'),0.066,False
Completed,0.58,698,2277,4477,0.297,0.762,str('intersection'),0.03,True
Completed,0.57,525,140,2305,0.732,0.358,str('intersection'),0.037,False
Completed,0.58,2149,3577,2934,0.124,0.708,str('kl'),0.091,True
Completed,0.58,714,2871,1583,0.404,0.573,str('kl'),0.068,False
Completed,0.58,1268,684,3500,0.764,0.485,str('intersection'),0.014,True
Completed,0.58,469,1591,702,0.201,0.893,str('intersection'),0.052,False
Completed,0.59,492,4913,1956,0.159,0.403,str('intersection'),0.096,False
Completed,0.58,9932,1476,2653,0.549,0.538,str('kl'),0.044,True
Completed,0.6,898,1095,451,0.485,0.068,str('kl'),0.023,False
Completed,0.58,1450,2657,4783,0.847,0.998,str('intersection'),0.06,True
Completed,0.58,466,3397,978,0.625,0.844,str('intersection'),0.083,False
Completed,0.58,1914,585,4099,0.02,0.215,str('kl'),0.045,True
Completed,0.58,2702,2157,1273,0.953,0.68,str('kl'),0.021,False
Completed,0.58,752,4344,3181,0.315,0.253,str('intersection'),0.074,True
Completed,0.58,4335,4081,1520,0.515,0.91,str('kl'),0.049,True
Completed,0.6,518,1893,3408,0.153,0.031,str('intersection'),0.079,False
Completed,0.58,1147,380,1225,0.841,0.622,str('intersection'),0.077,True
Completed,0.58,2641,3192,4326,0.451,0.444,str('kl'),0.017,False
Completed,0.58,732,2628,541,0.047,0.337,str('kl'),0.04,True
Completed,0.58,736,1066,4853,0.685,0.721,str('intersection'),0.1,False
Completed,0.58,714,1348,2047,0.375,0.127,str('intersection'),0.057,True
Completed,0.58,4525,4786,2724,0.98,0.807,str('kl'),0.027,False
Completed,0.58,622,4688,925,0.268,0.64,str('intersection'),0.012,True
Completed,0.58,3523,1875,3996,0.876,0.302,str('kl'),0.071,False
Completed,0.58,838,868,1805,0.067,0.834,str('kl'),0.085,True
Completed,0.58,621,3056,3742,0.703,0.232,str('intersection'),0.054,False
Completed,0.58,2289,3625,2371,0.799,0.113,str('intersection'),0.032,True
Completed,0.58,1502,187,3019,0.407,0.945,str('kl'),0.063,False
Completed,0.58,1001,2385,202,0.596,0.417,str('kl'),0.094,True
Completed,0.58,502,3948,4562,0.236,0.517,str('intersection'),0.035,False
Completed,0.63,680,3957,215,0.294,0.043,str('intersection'),0.071,True
Completed,0.58,9848,2394,4554,0.936,0.89,str('kl'),0.012,False
Completed,0.58,1026,176,2382,0.123,0.487,str('kl'),0.054,True
Completed,0.58,538,3614,3014,0.733,0.571,str('intersection'),0.086,False
Completed,0.58,1114,3065,1816,0.763,0.71,str('intersection'),0.063,True
Completed,0.58,1797,877,3736,0.405,0.356,str('kl'),0.032,False
Completed,0.58,4730,1864,938,0.59,0.764,str('kl'),0.035,True
Completed,0.58,578,4677,3988,0.203,0.178,str('intersection'),0.093,False
Completed,0.58,6226,4797,2033,0.548,0.251,str('kl'),0.079,True
Completed,0.58,469,1359,2732,0.159,0.683,str('intersection'),0.049,False
Completed,0.57,1137,1057,530,0.844,0.213,str('intersection'),0.017,True
Completed,0.58,2405,2620,4859,0.488,0.846,str('kl'),0.077,False
Completed,0.58,823,3203,1213,0.017,0.996,str('kl'),0.1,True
Completed,0.58,905,391,4332,0.629,0.071,str('intersection'),0.04,False
Completed,0.58,794,1884,1506,0.315,0.536,str('intersection'),0.027,True
Completed,0.58,4169,4072,3416,0.955,0.405,str('kl'),0.057,False
Completed,0.58,459,4355,1284,0.156,0.805,str('intersection'),0.044,False
Completed,0.58,12041,2168,3174,0.512,0.129,str('kl'),0.096,True
Completed,0.58,763,576,991,0.452,0.72,str('kl'),0.061,False
Completed,0.58,1587,3388,4090,0.841,0.339,str('intersection'),0.023,True
Completed,0.57,555,2668,464,0.685,0.442,str('intersection'),0.045,False
Completed,0.58,2277,1106,4774,0.045,0.624,str('kl'),0.083,True
Completed,0.58,2710,1468,1967,0.983,0.03,str('kl'),0.073,False
Completed,0.58,961,4905,2647,0.371,0.912,str('intersection'),0.021,True
Completed,0.59,1296,4412,692,0.877,0.519,str('kl'),0.029,False
Completed,0.58,1333,1600,3761,0.267,0.415,str('intersection'),0.065,True
