Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.91,0,2983,2630,0.779,0.545,str('intersection'),0.065,False
Completed,0.91,0,4791,2212,0.197,0.16,str('intersection'),0.081,True
Completed,0.91,0,254,4936,0.534,0.917,str('kl'),0.025,False
Completed,0.91,0,1164,1499,0.963,0.751,str('kl'),0.042,True
Completed,0.91,0,3792,3775,0.298,0.011,str('intersection'),0.075,False
Completed,0.91,0,3435,1067,0.725,0.629,str('intersection'),0.093,True
Completed,0.91,0,1688,3655,0.013,0.387,str('kl'),0.015,False
Completed,0.91,0,1533,2177,0.687,0.072,str('intersection'),0.032,True
Completed,0.91,0,3590,4433,0.084,0.812,str('kl'),0.087,False
Completed,0.91,0,4262,417,0.878,0.452,str('kl'),0.058,True
Completed,0.91,0,694,2985,0.353,0.694,str('intersection'),0.048,False
Completed,0.91,0,409,798,0.143,0.609,str('intersection'),0.019,True
Completed,0.91,0,4636,3229,0.62,0.351,str('kl'),0.097,False
Completed,0.91,0,2513,1620,0.42,0.977,str('kl'),0.071,True
Completed,0.91,0,2365,4364,0.819,0.22,str('intersection'),0.038,False
Completed,0.91,0,2259,1770,0.113,0.684,str('kl'),0.096,False
Completed,0.91,0,2699,4200,0.649,0.427,str('intersection'),0.016,True
Completed,0.91,1,4529,639,0.328,0.807,str('intersection'),0.034,False
Completed,0.91,0,595,3382,0.911,0.05,str('kl'),0.069,True
Completed,0.91,0,802,571,0.591,0.153,str('kl'),0.086,False
Completed,0.91,0,4078,2826,0.18,0.893,str('intersection'),0.029,True
Completed,0.91,0,3698,2013,0.844,0.279,str('intersection'),0.044,False
Completed,0.91,0,1348,4581,0.386,0.521,str('kl'),0.056,True
Completed,0.91,0,1816,1231,0.804,0.954,str('intersection'),0.073,False
Completed,0.91,0,3230,3506,0.456,0.213,str('kl'),0.038,True
Completed,0.91,0,3920,1346,0.504,0.585,str('kl'),0.012,False
Completed,0.91,0,959,3933,0.233,0.344,str('intersection'),0.092,True
Completed,0.91,0,127,2371,0.272,0.49,str('intersection'),0.063,False
Completed,0.91,0,4997,4782,0.995,0.748,str('kl'),0.051,True
Completed,0.91,1,2856,69,0.042,0.11,str('kl'),0.022,False
Completed,0.91,0,2101,2793,0.688,0.867,str('intersection'),0.079,True
Completed,0.91,0,2138,2311,0.898,0.502,str('kl'),0.089,False
Completed,0.91,0,2906,4918,0.362,0.26,str('intersection'),0.01,True
Completed,0.91,0,4868,244,0.661,0.879,str('intersection'),0.04,False
Completed,0.91,0,11,2538,0.078,0.137,str('kl'),0.075,True
Completed,0.91,0,1092,976,0.429,0.038,str('kl'),0.08,False
Completed,0.91,0,4030,3680,0.84,0.794,str('intersection'),0.023,True
Completed,0.91,0,3197,1482,0.136,0.41,str('intersection'),0.05,False
Completed,0.91,0,1760,3873,0.594,0.667,str('kl'),0.062,True
Completed,0.91,0,1290,357,0.208,0.858,str('intersection'),0.067,False
Completed,0.91,0,3667,3120,0.556,0.102,str('kl'),0.033,True
Completed,0.91,0,4185,2034,0.484,0.727,str('kl'),0.017,False
Completed,0.91,0,937,4485,0.755,0.47,str('intersection'),0.097,True
Completed,0.91,0,481,1673,0.748,0.321,str('intersection'),0.058,False
Completed,0.91,0,4398,4221,0.024,0.563,str('kl'),0.046,True
Completed,0.91,0,2751,934,0.938,0.202,str('kl'),0.027,False
Completed,0.91,0,2293,3169,0.293,0.943,str('intersection'),0.084,True
Completed,0.91,0,2499,779,0.53,0.402,str('kl'),0.049,True
Completed,0.91,0,2625,3328,0.24,0.644,str('intersection'),0.059,False
Completed,0.91,0,4604,1836,0.784,0.029,str('intersection'),0.087,True
Completed,0.91,0,354,4073,0.447,0.77,str('kl'),0.031,False
Completed,0.91,0,733,1885,0.049,0.933,str('kl'),0.036,True
Completed,0.91,0,4313,4649,0.714,0.177,str('intersection'),0.069,False
Completed,0.91,0,3462,516,0.263,0.557,str('intersection'),0.099,True
Completed,0.91,0,1418,2967,0.975,0.3,str('kl'),0.021,False
Completed,0.91,1,1575,1322,0.332,0.241,str('intersection'),0.027,True
Completed,0.91,0,3304,4027,0.935,0.997,str('kl'),0.082,False
Completed,0.91,0,3845,1125,0.102,0.36,str('kl'),0.064,True
Completed,0.91,0,1200,3517,0.627,0.617,str('intersection'),0.053,False
Completed,0.91,2,196,80,0.868,0.704,str('intersection'),0.014,True
Completed,0.91,0,4761,2687,0.391,0.463,str('kl'),0.092,False
Completed,0.91,0,3092,2465,0.568,0.835,str('kl'),0.076,True
Completed,0.91,0,2032,4760,0.169,0.094,str('intersection'),0.043,False
Completed,0.91,0,1958,1440,0.615,0.99,str('intersection'),0.019,False
Completed,0.91,0,3078,3831,0.156,0.249,str('kl'),0.099,True
Completed,0.91,0,4697,1008,0.821,0.61,str('kl'),0.071,False
Completed,0.91,0,192,3712,0.41,0.368,str('intersection'),0.037,True
Completed,0.91,0,1225,276,0.09,0.455,str('intersection'),0.032,False
Completed,0.91,0,3889,2569,0.673,0.712,str('kl'),0.089,True
Completed,0.91,0,3339,2270,0.352,0.087,str('kl'),0.059,False
Completed,0.91,0,1628,4876,0.887,0.843,str('intersection'),0.047,True
Completed,0.91,0,1471,897,0.312,0.651,str('kl'),0.041,False
Completed,0.91,0,3496,3132,0.957,0.394,str('intersection'),0.076,True
Completed,0.91,0,4357,1720,0.004,0.778,str('intersection'),0.094,False
Completed,0.91,0,757,4267,0.727,0.022,str('kl'),0.015,True
Completed,0.91,0,350,2081,0.766,0.185,str('kl'),0.054,False
Completed,0.91,0,4540,4531,0.495,0.926,str('intersection'),0.066,True
Completed,0.91,0,2610,321,0.544,0.308,str('intersection'),0.082,False
Completed,0.91,0,2426,3084,0.195,0.55,str('kl'),0.025,True
Completed,0.91,0,2318,474,0.986,0.109,str('intersection'),0.063,True
Completed,0.91,0,2795,2925,0.274,0.85,str('kl'),0.052,False
Completed,0.91,0,4432,1917,0.701,0.478,str('kl'),0.022,True
Completed,0.91,0,534,4680,0.037,0.72,str('intersection'),0.078,False
Completed,0.91,0,864,1868,0.465,0.571,str('intersection'),0.072,True
Completed,0.91,0,4171,4104,0.803,0.314,str('kl'),0.039,False
Completed,0.91,0,3603,738,0.22,0.951,str('kl'),0.012,True
Completed,0.91,0,1285,3287,0.51,0.195,str('intersection'),0.09,False
Completed,0.91,0,1755,2428,0.181,0.253,str('kl'),0.085,True
Completed,0.91,0,3133,4723,0.581,0.51,str('intersection'),0.029,False
Completed,0.91,1,4016,126,0.38,0.13,str('intersection'),0.045,True
Completed,0.91,0,1019,2734,0.858,0.886,str('kl'),0.055,False
Completed,0.91,0,64,1171,0.647,0.786,str('kl'),0.095,True
Completed,0.91,1,4902,3563,0.123,0.045,str('intersection'),0.016,False
Completed,0.91,0,2950,1286,0.916,0.66,str('intersection'),0.035,True
Completed,0.91,0,2163,3991,0.314,0.418,str('kl'),0.068,False
Completed,0.91,0,2037,1036,0.026,0.205,str('intersection'),0.057,True
Completed,0.91,0,2852,3624,0.737,0.962,str('kl'),0.046,False
Completed,0.91,0,4923,1541,0.287,0.336,str('kl'),0.028,True
Completed,0.91,0,113,3816,0.952,0.593,str('intersection'),0.084,False
Completed,0.91,0,994,2254,0.554,0.74,str('intersection'),0.066,True
Completed,0.91,0,3973,4978,0.217,0.498,str('kl'),0.033,False
Completed,0.91,1,3255,186,0.761,0.859,str('kl'),0.018,True
Completed,0.91,1,1859,2598,0.47,0.118,str('intersection'),0.096,False
Completed,0.91,0,1392,1574,0.83,0.435,str('kl'),0.08,True
Completed,0.91,0,3722,4318,0.43,0.676,str('intersection'),0.024,False
Completed,0.91,0,4131,834,0.608,0.058,str('intersection'),0.05,True
Completed,0.91,0,837,3266,0.13,0.799,str('kl'),0.061,False
Completed,0.91,0,580,453,0.372,0.901,str('kl'),0.089,True
Completed,0.91,0,4456,3022,0.896,0.144,str('intersection'),0.011,False
Completed,0.91,0,2694,2130,0.064,0.529,str('intersection'),0.041,True
