Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.71,81,2013,1992,0.977,0.607,str('kl'),0.078,False
Completed,0.71,41,3729,3338,0.489,0.348,str('intersection'),0.038,True
Completed,0.71,41,3427,705,0.883,0.192,str('kl'),0.047,False
Completed,0.71,45,2317,4595,0.396,0.947,str('intersection'),0.098,True
Completed,0.71,33,703,1316,0.617,0.292,str('intersection'),0.072,False
Completed,0.71,127,4885,2743,0.105,0.536,str('kl'),0.021,True
Completed,0.71,64,4182,2383,0.269,0.737,str('kl'),0.036,False
Completed,0.71,43,312,3571,0.764,0.497,str('intersection'),0.087,True
Completed,0.71,33,1770,600,0.232,0.779,str('intersection'),0.062,False
Completed,0.71,978,2568,4094,0.734,0.02,str('kl'),0.011,True
Completed,0.71,46,2712,323,0.424,0.592,str('intersection'),0.083,True
Completed,0.71,107,1626,4362,0.921,0.329,str('kl'),0.033,False
Completed,0.71,169,125,2328,0.076,0.921,str('kl'),0.013,True
Completed,0.71,29,4370,3597,0.579,0.187,str('intersection'),0.064,False
Completed,0.71,48,4761,1515,0.789,0.104,str('intersection'),0.095,True
Completed,0.71,59,828,2555,0.303,0.851,str('kl'),0.045,False
Completed,0.71,151,2486,838,0.71,0.382,str('kl'),0.025,True
Completed,0.71,31,3259,4491,0.199,0.634,str('intersection'),0.076,False
Completed,0.71,148,3580,2095,0.678,0.795,str('kl'),0.056,True
Completed,0.71,29,2161,3204,0.169,0.033,str('intersection'),0.017,False
Completed,0.71,55,1168,244,0.82,0.687,str('intersection'),0.042,True
Completed,0.71,122,4417,3816,0.334,0.451,str('kl'),0.081,False
Completed,0.71,53,4027,1071,0.044,0.275,str('kl'),0.066,True
Completed,0.71,29,465,4882,0.548,0.523,str('intersection'),0.027,False
Completed,0.71,54,1302,1595,0.456,0.242,str('intersection'),0.053,True
Completed,0.71,75,3033,3100,0.951,0.992,str('kl'),0.092,False
Completed,0.71,50,2991,1998,0.474,0.046,str('kl'),0.076,False
Completed,0.71,54,1269,3302,0.993,0.784,str('intersection'),0.026,True
Completed,0.73,52,422,30,0.027,0.441,str('intersection'),0.046,False
Completed,0.71,280,3994,4031,0.508,0.7,str('kl'),0.096,True
Completed,0.71,40,4384,1169,0.873,0.526,str('kl'),0.066,False
Completed,0.71,34,1125,4784,0.347,0.271,str('intersection'),0.016,True
Completed,0.71,31,2128,1810,0.625,0.988,str('intersection'),0.035,False
Completed,0.71,92,3537,2885,0.155,0.245,str('kl'),0.086,True
Completed,0.71,32,3214,577,0.719,0.342,str('intersection'),0.094,False
Completed,0.71,133,2450,4108,0.248,0.582,str('kl'),0.055,True
Completed,0.71,72,783,2386,0.779,0.176,str('kl'),0.03,False
Completed,0.71,44,4726,3538,0.254,0.934,str('intersection'),0.069,True
Completed,0.71,31,4335,1262,0.121,0.854,str('intersection'),0.082,False
Completed,0.71,228,80,2809,0.601,0.099,str('kl'),0.043,True
Completed,0.71,65,1591,779,0.38,0.629,str('kl'),0.018,False
Completed,0.71,71,2667,4550,0.899,0.385,str('intersection'),0.057,True
Completed,0.71,57,2522,803,0.215,0.944,str('kl'),0.04,True
Completed,0.71,29,1734,4498,0.693,0.197,str('intersection'),0.08,False
Completed,0.71,40,267,1531,0.287,0.541,str('intersection'),0.06,True
Completed,0.71,88,4146,2528,0.805,0.289,str('kl'),0.021,False
Completed,0.71,124,4850,2286,0.564,0.485,str('kl'),0.051,True
Completed,0.71,35,658,3669,0.091,0.748,str('intersection'),0.091,False
Completed,0.71,60,2281,385,0.936,0.031,str('intersection'),0.071,True
Completed,0.71,110,3382,4309,0.409,0.766,str('kl'),0.031,False
Completed,0.71,61,3687,1608,0.967,0.678,str('intersection'),0.012,True
Completed,0.71,79,1980,3076,0.44,0.431,str('kl'),0.063,False
Completed,0.71,61,942,1039,0.532,0.837,str('kl'),0.088,True
Completed,0.71,28,4568,4886,0.06,0.087,str('intersection'),0.037,False
Completed,0.73,46,3865,308,0.319,0.126,str('intersection'),0.023,True
Completed,0.71,92,552,3761,0.836,0.888,str('kl'),0.074,False
Completed,0.71,64,1433,2051,0.184,0.358,str('kl'),0.1,True
Completed,0.71,30,2828,3279,0.663,0.594,str('intersection'),0.049,False
Completed,0.71,68,2944,108,0.753,0.757,str('kl'),0.036,True
Completed,0.71,29,1550,3951,0.281,0.007,str('intersection'),0.086,False
Completed,0.71,51,512,1919,0.747,0.725,str('intersection'),0.061,True
Completed,0.71,183,3826,3381,0.22,0.477,str('kl'),0.01,False
Completed,0.71,98,4685,1731,0.4,0.312,str('kl'),0.048,True
Completed,0.71,29,1059,2964,0.879,0.548,str('intersection'),0.098,False
Completed,0.73,40,1940,1249,0.102,0.205,str('intersection'),0.073,True
Completed,0.71,118,3647,4706,0.619,0.967,str('kl'),0.022,False
Completed,0.71,37,3344,2466,0.008,0.617,str('intersection'),0.02,True
Completed,0.71,83,2243,3459,0.526,0.366,str('kl'),0.059,False
Completed,0.71,53,776,497,0.494,0.896,str('kl'),0.078,True
Completed,0.71,28,4967,4187,0.972,0.15,str('intersection'),0.039,False
Completed,0.71,53,4108,700,0.653,0.078,str('intersection'),0.03,True
Completed,0.71,146,228,4629,0.127,0.813,str('kl'),0.069,False
Completed,0.71,111,1852,1341,0.847,0.408,str('kl'),0.089,True
Completed,0.71,31,2640,2729,0.374,0.671,str('intersection'),0.05,False
Completed,0.71,41,2784,1452,0.559,0.222,str('kl'),0.067,False
Completed,0.71,38,1707,2608,0.034,0.98,str('intersection'),0.028,True
Completed,0.71,33,40,882,0.939,0.263,str('intersection'),0.053,False
Completed,0.71,343,4295,4418,0.468,0.502,str('kl'),0.093,True
Completed,0.71,40,4842,464,0.163,0.708,str('kl'),0.056,False
Completed,0.71,46,899,4230,0.683,0.465,str('intersection'),0.016,True
Completed,0.71,32,2411,2206,0.337,0.807,str('intersection'),0.041,False
Completed,0.71,504,3175,3748,0.817,0.053,str('kl'),0.081,True
Completed,0.71,33,3499,959,0.305,0.394,str('intersection'),0.095,False
Completed,0.71,792,2090,4965,0.786,0.653,str('kl'),0.044,True
Completed,0.71,69,1243,1688,0.194,0.122,str('kl'),0.024,False
Completed,0.71,46,4502,2997,0.714,0.861,str('intersection'),0.075,True
Completed,0.71,32,3955,2130,0.908,0.911,str('intersection'),0.084,False
Completed,0.71,217,384,3199,0.437,0.168,str('kl'),0.033,True
Completed,0.71,61,1387,230,0.591,0.573,str('kl'),0.014,False
Completed,0.71,35,3108,3840,0.065,0.318,str('intersection'),0.065,True
Completed,0.71,33,3125,217,0.279,0.965,str('intersection'),0.044,False
Completed,0.71,401,1370,3833,0.75,0.206,str('kl'),0.095,True
Completed,0.71,54,381,2118,0.223,0.549,str('kl'),0.075,False
Completed,0.71,86,3958,3192,0.748,0.309,str('intersection'),0.024,True
Completed,0.71,32,4505,1700,0.881,0.48,str('intersection'),0.033,False
Completed,0.71,202,1241,3004,0.401,0.724,str('kl'),0.084,True
Completed,0.71,39,2073,972,0.619,0.006,str('kl'),0.065,False
Completed,0.71,34,3516,4973,0.099,0.761,str('intersection'),0.014,True
Completed,0.71,69,3172,2194,0.524,0.668,str('kl'),0.028,False
Completed,0.71,36,2413,3741,0.005,0.409,str('intersection'),0.067,True
Completed,0.71,38,916,452,0.975,0.814,str('intersection'),0.093,False
Completed,0.71,315,4825,4223,0.494,0.075,str('kl'),0.053,True
Completed,0.71,75,4278,894,0.129,0.153,str('kl'),0.016,False
Completed,0.71,44,57,4425,0.655,0.896,str('intersection'),0.055,True
Completed,0.71,32,1710,1464,0.373,0.365,str('intersection'),0.081,False
Completed,0.71,305,2782,2615,0.843,0.62,str('kl'),0.041,True
Completed,0.71,38,2653,1333,0.034,0.054,str('intersection'),0.059,True
Completed,0.71,106,1840,2717,0.562,0.804,str('kl'),0.02,False
Completed,0.71,79,221,693,0.466,0.462,str('kl'),0.04,True
Completed,0.71,28,4115,4617,0.938,0.709,str('intersection'),0.079,False
Completed,0.71,50,4975,505,0.68,0.501,str('intersection'),0.069,True
Completed,0.71,123,768,4200,0.162,0.265,str('kl'),0.03,False
Completed,0.71,248,2230,2473,0.818,0.983,str('kl'),0.05,True
Completed,0.71,29,3356,3471,0.339,0.221,str('intersection'),0.089,False
Completed,0.71,81,3640,1241,0.787,0.319,str('kl'),0.086,True
Completed,0.71,42,1948,4693,0.309,0.57,str('intersection'),0.036,False
Completed,0.71,59,1072,1723,0.711,0.166,str('intersection'),0.011,True
Completed,0.71,76,4673,2952,0.193,0.912,str('kl'),0.061,False
Completed,0.71,103,3813,1926,0.434,0.86,str('kl'),0.098,True
Completed,0.71,31,524,3393,0.907,0.125,str('intersection'),0.048,False
Completed,0.71,45,1557,116,0.066,0.656,str('intersection'),0.023,True
Completed,0.71,97,2936,3963,0.593,0.392,str('kl'),0.073,False
Completed,0.71,56,2820,2038,0.994,0.244,str('intersection'),0.063,True
Completed,0.71,163,1441,3271,0.476,0.99,str('kl'),0.012,False
Completed,0.71,54,564,297,0.504,0.274,str('kl'),0.037,True
Completed,0.71,32,3853,3754,0.026,0.525,str('intersection'),0.088,False
Completed,0.71,40,4556,1051,0.345,0.701,str('intersection'),0.075,True
Completed,0.71,125,955,4893,0.871,0.438,str('kl'),0.024,False
Completed,0.71,63,1988,1621,0.155,0.781,str('kl'),0.049,True
Completed,0.71,29,3679,3084,0.628,0.046,str('intersection'),0.1,False
Completed,0.71,44,3394,373,0.249,0.384,str('kl'),0.08,True
Completed,0.71,28,2269,4302,0.721,0.632,str('intersection'),0.04,False
Completed,0.67,34,650,2273,0.251,0.102,str('intersection'),0.021,True
Completed,0.71,89,4857,3661,0.778,0.852,str('kl'),0.06,False
Completed,0.71,84,4154,1543,0.598,0.935,str('kl'),0.091,True
Completed,0.71,30,260,2536,0.119,0.173,str('intersection'),0.051,False
Completed,0.71,102,1722,814,0.9,0.579,str('intersection'),0.031,True
Completed,0.71,115,2535,4504,0.383,0.343,str('kl'),0.071,False
Completed,0.71,30,2701,4374,0.233,0.195,str('intersection'),0.025,False
Completed,0.71,33,2665,772,0.693,0.769,str('intersection'),0.055,False
Completed,0.71,160,1593,4538,0.212,0.03,str('kl'),0.094,True
Completed,0.71,43,97,1254,0.807,0.747,str('kl'),0.068,False
Completed,0.71,38,4318,2796,0.288,0.488,str('intersection'),0.029,True
Completed,0.71,30,4708,2394,0.094,0.286,str('intersection'),0.043,False
Completed,0.71,246,800,3550,0.565,0.542,str('kl'),0.082,True
Completed,0.71,37,2452,584,0.408,0.198,str('kl'),0.056,False
Completed,0.71,61,3212,4120,0.933,0.941,str('intersection'),0.017,True
Completed,0.71,72,3554,1802,0.439,0.597,str('kl'),0.026,False
Completed,0.71,61,2112,2872,0.964,0.357,str('intersection'),0.076,True
Completed,0.71,32,1123,1162,0.063,0.887,str('intersection'),0.096,False
Completed,0.71,402,4387,4773,0.534,0.129,str('kl'),0.046,True
Completed,0.71,35,419,4043,0.319,0.838,str('intersection'),0.066,True
Completed,0.71,30,1252,2005,0.661,0.432,str('intersection'),0.085,False
Completed,0.71,113,3007,3314,0.181,0.676,str('kl'),0.035,True
Completed,0.71,43,2853,2830,0.454,0.794,str('intersection'),0.078,True
Completed,0.71,311,3040,1588,0.644,0.345,str('kl'),0.017,True
Completed,0.71,30,1295,3087,0.14,0.608,str('intersection'),0.056,False
Completed,0.71,60,452,1064,0.856,0.14,str('intersection'),0.081,True
Completed,0.71,122,4039,4870,0.36,0.874,str('kl'),0.042,False
Completed,0.71,56,4430,251,0.01,0.835,str('kl'),0.027,True
Completed,0.71,29,1156,3828,0.52,0.088,str('intersection'),0.066,False
Completed,0.71,45,2154,2103,0.492,0.681,str('intersection'),0.092,True
Completed,0.71,134,3587,3217,0.978,0.429,str('kl'),0.053,False
Completed,0.72,45,3247,831,0.398,0.017,str('intersection'),0.033,True
Completed,0.71,117,2498,4479,0.885,0.779,str('kl'),0.083,False
Completed,0.71,60,835,1508,0.104,0.498,str('kl'),0.063,True
Completed,0.71,30,4754,2542,0.613,0.734,str('intersection'),0.013,False
Completed,0.71,46,4363,2336,0.762,0.539,str('intersection'),0.045,True
Completed,0.71,88,132,3609,0.267,0.291,str('kl'),0.095,False
Completed,0.71,64,1638,330,0.737,0.945,str('kl'),0.076,True
Completed,0.71,46,2610,3686,0.509,0.971,str('intersection'),0.088,True
Completed,0.71,36,2571,588,0.917,0.635,str('kl'),0.098,False
Completed,0.71,39,1767,4087,0.424,0.38,str('intersection'),0.047,True
Completed,0.71,32,295,2370,0.581,0.848,str('intersection'),0.022,False
Completed,0.71,120,4199,3564,0.078,0.105,str('kl'),0.073,True
Completed,0.71,40,4902,1329,0.304,0.185,str('kl'),0.087,False
Completed,0.71,52,685,2751,0.792,0.924,str('intersection'),0.036,True
Completed,0.71,35,2314,717,0.197,0.332,str('intersection'),0.011,False
Completed,0.71,564,3430,4602,0.708,0.591,str('kl'),0.062,True
Completed,0.71,32,3712,1979,0.165,0.993,str('intersection'),0.07,False
Completed,0.71,386,2030,3330,0.677,0.239,str('kl'),0.031,True
Completed,0.71,49,988,43,0.335,0.52,str('kl'),0.05,False
Completed,0.71,48,4599,4008,0.823,0.277,str('intersection'),0.09,True
Completed,0.71,31,3895,1109,0.549,0.451,str('intersection'),0.058,False
Completed,0.71,199,597,4835,0.047,0.69,str('kl'),0.019,True
