Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.83,4718,3862,1,0.001,20,0.999
Completed,0.84,3253,1234,1,0.001,20,0.999
Completed,0.83,2764,1235,1,0.528,1,0.999
Completed,0.84,2966,3077,1,0.908,1,0.999
Completed,0.83,3912,3325,1,2.84,20,0.999
Completed,0.83,1989,2854,1,0.001,5,0.999
Completed,0.83,4629,1846,1,1.543,20,0.999
Completed,0.85,684,2156,1,2.505,20,0.999
Completed,0.83,2146,2937,1,0.78,20,0.999
Completed,0.85,2610,2783,1,4.728,20,0.999
Completed,0.84,4708,3784,1,0.874,20,0.999
Completed,0.84,1807,2737,1,5.036,1,0.911
Completed,0.84,5557,3974,1,0.384,20,0.999
Completed,0.75,260,3382,42,4.652,20,0.934
Completed,0.84,1113,2449,1,8.972,20,0.999
Completed,0.85,725,2224,1,9.115,20,0.997
Completed,0.84,6598,4622,1,0.708,20,0.999
Completed,0.84,2554,2879,1,4.519,20,0.972
Completed,0.84,1768,2642,1,1.768,20,0.999
Completed,0.82,91,2069,5,1.146,1,0.966
Completed,0.83,2245,2977,1,0.001,1,0.999
Completed,0.85,841,2237,1,1.938,20,0.999
Completed,0.83,2916,3130,1,1.711,20,0.999
Completed,0.58,7,4736,3359,0.001,1,0.998
Completed,0.84,2961,1135,1,10.0,1,0.999
Completed,0.53,11,2784,4735,0.001,20,0.999
Completed,0.53,11,2870,5000,10.0,20,0.999
Completed,0.85,1576,619,1,10.0,1,0.999
Completed,0.53,6,2834,5000,0.001,1,0.001
Completed,0.85,788,2233,1,0.001,6,0.999
Completed,0.55,5,1,77,10.0,1,0.999
Completed,0.6,24,5000,1687,10.0,20,0.316
Completed,0.53,4,1,127,10.0,1,0.999
Completed,0.59,6,3346,3160,0.001,1,0.999
Completed,0.54,13,3145,1300,0.001,1,0.999
Completed,0.55,7,5000,4359,10.0,1,0.001
Completed,0.54,6,2532,5000,10.0,1,0.001
Completed,0.58,22,5000,1447,10.0,1,0.419
Completed,0.52,4,1,1232,0.001,1,0.999
Completed,0.84,1727,606,1,0.001,1,0.999
Completed,0.53,41,1,1450,10.0,20,0.999
Completed,0.56,5,2098,1363,10.0,1,0.999
Completed,0.53,8,1909,4617,10.0,1,0.999
Completed,0.52,7,2209,3188,0.001,20,0.999
Completed,0.52,8,1,1587,0.001,20,0.999
Completed,0.59,10,2787,3107,0.001,20,0.001
Completed,0.54,6,2583,5000,10.0,1,0.999
Completed,0.56,12,5000,4133,10.0,20,0.162
Completed,0.84,4005,1511,1,0.001,1,0.999
Completed,0.52,2254,1,1,10.0,1,0.221
Completed,0.62,28,5000,1675,10.0,20,0.001
Completed,0.54,11,5000,1988,0.001,1,0.999
Completed,0.61,15,5000,1680,0.001,1,0.999
Completed,0.83,3682,1609,1,10.0,1,0.999
Completed,0.79,24,1,1,0.001,20,0.999
Completed,0.61,20,4289,1522,10.0,1,0.555
Completed,0.58,16,4306,1513,10.0,1,0.999
Completed,0.55,7,2736,4310,10.0,1,0.999
Completed,0.62,44,3821,377,10.0,1,0.001
Completed,0.84,2287,2935,1,10.0,1,0.999
Completed,0.6,17,4362,1548,10.0,1,0.001
Completed,0.84,1521,2571,1,0.001,1,0.999
Completed,0.61,19,4271,1582,0.001,1,0.54
Completed,0.56,12,3648,4318,0.001,20,0.999
Completed,0.56,11,4240,3004,0.001,20,0.001
Completed,0.53,10,1453,2558,10.0,1,0.001
Completed,0.64,32,3259,420,10.0,1,0.001
Completed,0.54,16,4504,1840,10.0,1,0.001
Completed,0.56,22,4243,1083,10.0,1,0.001
Completed,0.56,6,3270,4087,10.0,4,0.001
Completed,0.59,12,4312,3328,0.001,20,0.001
Completed,0.61,16,4401,1525,0.001,1,0.999
Completed,0.56,12,4443,3926,10.0,20,0.001
Completed,0.57,29,4385,1496,10.0,12,0.999
Completed,0.57,11,4114,3451,0.001,20,0.999
Completed,0.55,11,4166,4279,10.0,20,0.999
Completed,0.61,32,5000,1516,10.0,20,0.001
Completed,0.57,7,3422,3490,0.001,1,0.001
Completed,0.84,1882,2762,1,3.774,1,0.999
Completed,0.54,18,4375,1770,0.001,1,0.001
Completed,0.56,8,4102,4291,0.001,1,0.999
Completed,0.84,2742,2826,1,7.155,1,0.999
Completed,0.59,16,4500,2069,10.0,20,0.001
Completed,0.5,10,815,4839,0.001,20,0.999
Completed,0.55,7,1140,2093,0.001,1,0.381
Completed,0.54,12,1021,2334,0.001,20,0.001
Completed,0.59,6,830,3073,10.0,1,0.999
Completed,0.53,6,1092,5000,10.0,1,0.999
