Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.56,44,5000,1506,4.247,6,0.001
Completed,0.53,40,545,595,0.001,1,0.999
Completed,0.31,9,1,669,6.357,2,0.999
Completed,0.56,268,5000,1516,10.0,5,0.001
Completed,0.57,56,5000,1262,0.001,1,0.999
Completed,0.6,455,5000,598,10.0,3,0.999
Completed,0.58,3741,5000,1174,0.001,17,0.001
Completed,0.48,41,5000,1904,6.985,1,0.001
Completed,0.6,82,1520,780,0.001,7,0.999
Completed,0.58,72,5000,1123,0.001,1,0.001
Completed,0.48,67,5000,1900,0.001,3,0.001
Completed,0.57,90,1579,1117,5.825,3,0.999
Completed,0.6,311,5000,651,0.001,6,0.001
Completed,0.56,62,5000,1469,0.001,7,0.999
Completed,0.6,62,1980,995,4.847,1,0.999
Completed,0.61,175,5000,301,0.001,1,0.001
Completed,0.49,30,3070,1463,3.56,1,0.001
Completed,0.55,287,5000,1685,4.149,7,0.001
Completed,0.51,32,613,822,0.001,6,0.999
Completed,0.6,105,4989,624,10.0,1,0.999
Completed,0.58,103,5000,1132,10.0,3,0.999
Completed,0.58,133,5000,1140,10.0,4,0.001
Completed,0.57,54,5000,1257,10.0,1,0.001
Completed,0.5,49,4463,2389,4.176,3,0.999
Completed,0.47,33,1810,3651,2.219,3,0.001
Completed,0.38,235,2711,3676,4.208,3,0.001
Completed,0.61,140,4436,521,0.001,5,0.999
Completed,0.48,29,4402,3711,7.543,1,0.999
Completed,0.47,31,1803,3640,6.427,1,0.999
Completed,0.45,978,443,1242,0.001,20,0.999
Completed,0.33,182,2040,1920,10.0,3,0.001
Completed,0.32,11,2064,2362,0.191,3,0.999
Completed,0.49,26,4506,3615,0.001,3,0.001
Completed,0.31,63,2035,2517,10.0,3,0.999
Completed,0.4,155,786,2449,8.126,3,0.999
Completed,0.37,6696,2674,3860,10.0,4,0.999
Completed,0.4,89,787,3610,0.946,4,0.001
Completed,0.55,75,1875,1671,0.001,16,0.001
Completed,0.54,69,1875,1679,0.001,17,0.999
Completed,0.45,141,3974,4021,0.001,17,0.999
Completed,0.5,31,3853,3529,4.535,1,0.001
Completed,0.42,100,499,2493,0.001,20,0.999
Completed,0.46,24,3350,2937,0.54,1,0.999
Completed,0.48,23,4727,3680,0.22,1,0.999
Completed,0.6,72,1855,955,0.001,7,0.999
Completed,0.45,34,1102,2205,10.0,1,0.001
Completed,0.48,65,3602,2397,0.001,20,0.999
Completed,0.48,27,1446,2196,7.533,1,0.999
Completed,0.49,30,1849,2756,4.473,1,0.001
Completed,0.41,3937,4857,4186,0.001,14,0.001
Completed,0.48,1840,1810,3320,0.001,15,0.999
Completed,0.59,59,1859,1001,0.001,2,0.001
Completed,0.47,61,4726,1942,5.189,3,0.999
Completed,0.57,48,1488,965,2.213,3,0.804
Completed,0.55,92,972,842,2.795,5,0.999
Completed,0.55,52,1455,1154,1.886,1,0.999
Completed,0.6,101,4191,585,8.421,1,0.952
Completed,0.59,254,1479,820,1.692,6,0.999
Completed,0.59,78,1510,725,7.834,1,0.795
Completed,0.59,81,3926,910,2.204,1,0.001
Completed,0.57,108,1496,1038,3.17,4,0.442
Completed,0.55,81,4484,1639,1.132,20,0.355
Completed,0.6,70,1857,905,2.703,1,0.355
Completed,0.61,105,921,314,1.895,1,0.376
Completed,0.49,33,504,923,1.999,3,0.999
Completed,0.46,27,347,905,1.817,5,0.63
Completed,0.55,56,1380,1048,2.433,1,0.172
Completed,0.56,4766,4083,1494,1.305,20,0.569
Completed,0.52,41,991,1106,2.275,2,0.54
Completed,0.32,2816,881,1,8.461,1,0.001
Completed,0.46,22,3965,3777,6.381,1,0.201
Completed,0.59,66,3311,574,6.791,1,0.999
Completed,0.55,6414,669,1,2.734,20,0.999
Completed,0.62,474,859,76,3.061,1,0.667
Completed,0.57,1455,5000,1364,2.415,20,0.999
Completed,0.5,1405,4276,3388,1.452,6,0.637
Completed,0.5,29,4509,2711,3.008,1,0.029
Completed,0.47,26,4240,3240,2.078,1,0.498
Completed,0.58,59,1871,1004,7.645,1,0.599
Completed,0.6,382,4697,980,0.001,20,0.999
Completed,0.5,31,4147,2804,1.816,1,0.001
Completed,0.47,44,3861,2951,1.415,3,0.201
Completed,0.59,58,924,535,2.285,1,0.647
Completed,0.39,120,1545,4859,0.001,19,0.999
Completed,0.57,52,4729,1408,0.001,8,0.001
Completed,0.47,24,1593,3341,1.019,2,0.999
Completed,0.6,58,889,482,6.174,1,0.662
Completed,0.38,125,1201,5000,0.001,18,0.999
Completed,0.55,58,1912,1552,10.0,5,0.948
Completed,0.41,27,4609,4221,2.431,1,0.999
Completed,0.36,21,604,3869,0.001,9,0.999
Completed,0.6,81,1241,464,0.001,1,0.474
Completed,0.6,90,3463,447,1.951,1,0.484
Completed,0.61,112,1456,411,2.775,1,0.53
Completed,0.61,91,3024,384,3.194,1,0.547
Completed,0.6,104,1578,477,3.025,1,0.999
Completed,0.61,108,3878,505,0.001,1,0.486
Completed,0.61,103,3472,370,5.276,1,0.496
Completed,0.61,123,3873,443,2.536,1,0.435
Completed,0.61,64,3347,635,10.0,1,0.001
Completed,0.6,110,4369,519,1.406,1,0.001
Completed,0.61,158,1607,268,4.25,1,0.999
Completed,0.42,17,602,2869,2.175,2,0.512
Completed,0.31,270,7,1478,9.961,8,0.282
Completed,0.43,5184,4596,4905,9.662,3,0.067
Completed,0.33,966,2088,4486,1.193,4,0.252
Completed,0.34,11,2201,4018,5.156,1,0.183
Completed,0.33,340,90,3648,6.673,3,0.928
Completed,0.39,17,2603,3213,2.618,1,0.737
Completed,0.36,15,2021,854,1.826,1,0.117
Completed,0.37,6494,270,2612,8.078,8,0.085
