Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.55,0,1,2980,10.0,16,0.001
Completed,0.55,0,4053,2120,10.0,1,0.999
Completed,0.56,2,2576,93,10.0,1,0.572
Completed,0.55,0,259,2147,0.001,18,0.999
Completed,0.55,0,4970,2167,10.0,10,0.999
Completed,0.57,3,3411,86,10.0,1,0.971
Completed,0.57,4,1920,79,10.0,1,0.26
Completed,0.57,3,4527,110,0.001,4,0.999
Completed,0.57,3,4010,87,10.0,2,0.519
Completed,0.57,3,4557,99,10.0,3,0.999
Completed,0.55,0,973,2724,10.0,8,0.001
Completed,0.55,0,1454,2153,0.001,4,0.999
Completed,0.55,0,4597,2194,0.001,12,0.999
Completed,0.57,3,5000,97,10.0,1,0.676
Completed,0.55,0,196,2135,10.0,14,0.999
Completed,0.56,3,4212,98,10.0,1,0.001
Completed,0.55,0,5000,2114,10.0,20,0.999
Completed,0.57,10,4858,95,10.0,8,0.761
Completed,0.57,3,5000,93,10.0,1,0.999
Completed,0.57,9,3956,81,0.001,20,0.58
Completed,0.56,4,5000,71,0.001,1,0.999
Completed,0.57,3,5000,96,1.101,1,0.001
Completed,0.55,0,1,3396,0.001,20,0.999
Completed,0.57,8,5000,81,0.001,20,0.653
Completed,0.56,8,2950,61,0.001,20,0.75
Completed,0.57,15,5000,86,3.297,14,0.744
Completed,0.57,3,3249,99,10.0,4,0.736
Completed,0.57,14,4892,86,2.39,12,0.741
Completed,0.57,8,5000,82,10.0,12,0.733
Completed,0.57,7,4971,87,0.001,15,0.749
Completed,0.57,8,4707,81,0.001,17,0.699
Completed,0.57,3,5000,92,0.001,1,0.999
Completed,0.55,0,5000,2741,0.001,9,0.001
Completed,0.58,8,4762,123,0.001,13,0.821
Completed,0.57,20,4945,72,10.0,15,0.709
Completed,0.57,8,4071,129,10.0,4,0.727
Completed,0.57,7,3968,76,0.001,12,0.654
Completed,0.57,3,4710,139,10.0,1,0.001
Completed,0.55,0,5000,1311,10.0,10,0.001
Completed,0.55,0,5000,1317,10.0,1,0.001
Completed,0.57,8,4970,73,0.001,16,0.72
Completed,0.57,4,4930,81,0.001,1,0.001
Completed,0.57,5,4868,94,0.001,8,0.682
