Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.73,1,4445,2972,5.823,1,0.001
Completed,0.75,15,2570,155,0.001,2,0.001
Completed,0.74,14,1,1,8.11,6,0.999
Completed,0.74,1,3913,3440,5.091,1,0.001
Completed,0.73,1,4458,3972,10.0,4,0.999
Completed,0.73,16,3661,3440,5.952,14,0.999
Completed,0.73,1,25,2771,8.206,1,0.001
Completed,0.73,2,5000,3135,8.198,6,0.999
Completed,0.74,2,4061,4626,0.001,8,0.001
Completed,0.73,10,3740,3469,5.854,12,0.606
Completed,0.75,8,2747,201,8.95,7,0.999
Completed,0.74,1,3889,3435,0.001,2,0.001
Completed,0.72,132,2034,966,9.37,3,0.396
Completed,0.73,5,3550,2091,6.284,6,0.643
Completed,0.73,6746,3635,4549,3.876,19,0.348
Completed,0.72,2,679,1955,8.362,4,0.973
Completed,0.73,1133,4124,2749,8.857,8,0.068
Completed,0.7,332,1476,6,3.421,11,0.69
Completed,0.73,1,284,4196,6.787,1,0.815
Completed,0.73,13,2533,3423,7.224,12,0.886
Completed,0.73,1467,490,700,0.542,6,0.264
Completed,0.73,13,1798,4791,9.684,16,0.139
Completed,0.74,2,3842,2378,2.613,2,0.511
Completed,0.73,2,4543,3973,2.243,5,0.668
Completed,0.73,2496,1039,2834,4.626,9,0.417
Completed,0.74,5450,3391,584,7.632,15,0.793
Completed,0.73,4,4110,4556,8.246,11,0.001
Completed,0.75,9,2495,160,10.0,2,0.001
Completed,0.73,12,1022,4732,6.53,15,0.001
Completed,0.75,5,3747,577,1.608,3,0.999
Completed,0.74,14,1,1,10.0,15,0.999
Completed,0.73,7,1,1546,10.0,1,0.001
Completed,0.72,11,1,20,6.845,14,0.999
Completed,0.73,18,1632,4206,9.354,20,0.001
Completed,0.74,53,2374,525,1.097,5,0.141
Completed,0.73,20,1182,3992,8.99,14,0.267
Completed,0.73,4655,3206,1263,3.246,8,0.896
Completed,0.73,1,3168,3087,0.029,1,0.217
Completed,0.72,2,2492,3837,3.115,7,0.963
Completed,0.73,8,3966,4891,5.049,14,0.494
Completed,0.73,6794,443,3129,8.056,20,0.746
Completed,0.73,221,2775,877,4.807,4,0.121
Completed,0.73,2,2999,4256,8.571,8,0.552
Completed,0.73,236,1331,2572,5.798,5,0.3
Completed,0.74,5,4166,663,3.917,1,0.999
Completed,0.73,35,4234,3676,10.0,20,0.001
Completed,0.75,26,3710,570,0.989,3,0.001
Completed,0.75,5,3777,552,7.078,1,0.362
Completed,0.75,32,3935,673,10.0,1,0.001
Completed,0.74,54,1492,585,4.933,3,0.001
Completed,0.73,30,5000,2772,0.001,4,0.999
Completed,0.73,16,1,4043,8.625,20,0.999
Completed,0.73,1,706,3271,3.5,5,0.001
Completed,0.74,856,1087,294,0.718,13,0.999
Completed,0.73,2,1210,2204,7.004,4,0.999
Completed,0.73,251,1,939,0.001,3,0.001
Completed,0.74,23,4897,167,1.695,7,0.873
Completed,0.74,1,1194,2201,2.345,4,0.999
Completed,0.74,28,1028,277,6.119,12,0.999
Completed,0.73,2,1,4572,3.428,7,0.001
Completed,0.73,1,5000,4043,8.544,1,0.999
Completed,0.75,104,3927,506,2.451,4,0.001
Completed,0.73,4046,4302,3129,5.019,15,0.001
Completed,0.74,4,4025,1925,4.999,4,0.001
Completed,0.73,2,4893,2324,7.002,3,0.999
Completed,0.73,3,4813,4720,9.143,9,0.001
Completed,0.74,3,3858,3395,2.456,8,0.001
Completed,0.74,2,3940,3475,1.383,4,0.001
Completed,0.74,21,5000,147,9.292,1,0.001
Completed,0.73,1,1884,5000,10.0,3,0.001
Completed,0.73,1,1595,5000,2.587,3,0.001
Completed,0.75,35,1197,511,7.905,7,0.999
Completed,0.75,18,1186,295,8.04,8,0.999
Completed,0.74,4,4793,1345,8.314,2,0.999
Completed,0.74,298,3946,766,8.218,3,0.001
Completed,0.74,36,4775,120,1.495,10,0.549
Completed,0.74,98,5000,599,1.722,4,0.001
Completed,0.74,525,3746,562,10.0,7,0.001
Completed,0.74,7,4995,440,6.366,1,0.905
Completed,0.73,418,5000,712,1.324,4,0.001
Completed,0.74,44,4500,590,5.04,3,0.116
Completed,0.74,21,4214,568,8.737,2,0.001
Completed,0.75,610,2656,150,6.24,20,0.001
Completed,0.73,9,3735,1658,6.732,5,0.999
Completed,0.74,176,4804,307,0.001,2,0.503
Completed,0.74,9,3015,216,2.937,5,0.999
Completed,0.74,4,4968,1169,4.305,2,0.999
Completed,0.75,17,4429,561,1.614,3,0.001
Completed,0.75,80,4932,485,10.0,2,0.001
Completed,0.73,1,1,1633,3.101,2,0.999
Completed,0.75,7,4569,636,7.378,1,0.001
Completed,0.75,7,3842,603,5.426,1,0.001
Completed,0.74,20,974,242,6.112,14,0.999
Completed,0.74,4,1278,546,1.803,2,0.999
Completed,0.74,5772,5000,482,9.147,8,0.001
Completed,0.75,4910,1303,583,1.803,20,0.999
Completed,0.74,130,3654,989,0.001,3,0.999
Completed,0.73,206,846,1574,10.0,4,0.001
Completed,0.74,19,3979,4642,10.0,20,0.001
Completed,0.75,8,2607,156,1.276,2,0.001
Completed,0.75,6,4333,532,10.0,1,0.999
Completed,0.74,49,4329,867,1.664,3,0.346
Completed,0.74,3,711,484,8.243,1,0.999
Completed,0.74,106,1221,484,6.075,7,0.999
Completed,0.75,11,1165,250,5.372,7,0.999
Completed,0.74,114,3672,660,1.249,2,0.001
Completed,0.74,56,1086,1544,0.001,3,0.001
Completed,0.74,2136,4804,335,2.822,5,0.001
Completed,0.74,1058,1186,552,6.481,20,0.999
Completed,0.75,12,2661,155,2.626,4,0.001
Completed,0.74,683,4779,195,2.834,16,0.001
Completed,0.74,83,1444,604,9.213,6,0.999
Completed,0.73,1,1,1174,2.643,4,0.999
Completed,0.73,6,1,1059,4.949,5,0.999
Completed,0.75,18,1344,326,10.0,5,0.999
Completed,0.74,35,4614,1323,0.001,2,0.001
Completed,0.74,36,3611,1082,7.852,2,0.001
Completed,0.73,7,1150,4565,0.001,13,0.001
Completed,0.74,30,1753,3782,10.0,20,0.999
Completed,0.73,6,1171,4671,4.367,11,0.001
Completed,0.74,220,4901,132,0.001,6,0.001
Completed,0.73,187,1,1,4.594,6,0.001
Completed,0.74,13,1,1,2.232,20,0.94
Completed,0.74,23,4130,3496,8.053,15,0.001
Completed,0.74,1,1249,2244,0.001,3,0.001
Completed,0.72,1,2036,3089,10.0,1,0.001
Completed,0.73,39,5000,2746,8.081,3,0.001
Completed,0.74,14,1,1,2.17,13,0.999
Completed,0.74,16,1,1,0.949,16,0.999
Completed,0.74,42,5000,3557,8.292,20,0.999
Completed,0.73,25,4075,3335,10.0,17,0.001
Completed,0.75,4,2645,205,1.195,1,0.999
Completed,0.73,1,5000,4015,0.001,1,0.001
Completed,0.73,2,5000,3951,5.481,4,0.001
Completed,0.74,88,4108,1004,4.569,2,0.001
Completed,0.75,10,2578,189,10.0,5,0.1
