Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.52,5981,4672,2,0.074,0.745,903,EDFSMode.RANDOM
Completed,0.74,1887,3199,14,0.021,0.822,585,EDFSMode.RANDOM
Completed,0.69,3758,1982,6,0.048,0.918,162,EDFSMode.RANDOM
Completed,0.76,5116,1761,77,0.067,0.387,424,EDFSMode.RANDOM
Completed,0.75,2661,2692,68,0.015,0.683,479,EDFSMode.RANDOM
Completed,0.76,1714,4891,28,0.035,0.295,353,EDFSMode.RANDOM
Completed,0.77,2427,445,89,0.03,0.058,277,EDFSMode.RANDOM
Completed,0.79,3558,3852,55,0.079,0.76,120,EDFSMode.RANDOM
Completed,0.03,11085,1902,1,0.609,0.65,563,EDFSMode.RANDOM
Completed,0.66,9951,1226,10,0.064,0.954,688,EDFSMode.RANDOM
Completed,0.74,2438,4633,50,0.014,0.221,609,EDFSMode.RANDOM
Completed,0.53,5047,4060,3,0.127,0.443,152,EDFSMode.RANDOM
Completed,0.74,2398,3096,57,0.032,0.866,730,EDFSMode.RANDOM
Completed,0.71,401,2230,22,0.031,0.594,809,EDFSMode.RANDOM
Completed,0.73,4318,3526,11,0.058,0.631,391,EDFSMode.RANDOM
Completed,0.77,1324,1722,75,0.005,0.891,242,EDFSMode.RANDOM
Completed,0.79,1680,2731,85,0.073,0.158,210,EDFSMode.RANDOM
Completed,0.77,4080,851,32,0.042,0.008,140,EDFSMode.RANDOM
Completed,0.08,10517,2805,2,0.269,0.354,705,EDFSMode.RANDOM
Completed,0.75,5938,3891,97,0.024,0.266,498,EDFSMode.RANDOM
Completed,0.74,972,3260,77,0.004,0.047,787,EDFSMode.RANDOM
Completed,0.54,11191,3002,5,0.112,0.509,602,EDFSMode.RANDOM
Completed,0.74,10529,1451,40,0.06,0.307,751,EDFSMode.RANDOM
Completed,0.75,2465,1132,55,0.018,0.671,645,EDFSMode.RANDOM
Completed,0.66,12191,4167,18,0.047,0.929,890,EDFSMode.RANDOM
Completed,0.76,7543,3751,42,0.07,0.109,370,EDFSMode.RANDOM
Completed,0.03,340,390,1,0.012,0.842,533,EDFSMode.RANDOM
Completed,0.79,2499,4986,65,0.053,0.571,104,EDFSMode.RANDOM
Completed,0.79,1102,2752,29,0.025,0.468,222,EDFSMode.RANDOM
Completed,0.69,8656,1857,14,0.085,0.733,174,EDFSMode.RANDOM
Completed,0.75,6535,1881,93,0.039,0.196,413,EDFSMode.RANDOM
Completed,0.79,1722,1371,80,0.027,0.799,149,EDFSMode.RANDOM
Completed,0.32,3070,2372,2,0.104,0.272,326,EDFSMode.RANDOM
Completed,0.76,2216,3332,43,0.036,0.537,521,EDFSMode.RANDOM
Completed,0.73,13474,4637,88,0.047,0.584,769,EDFSMode.RANDOM
Completed,0.72,767,2486,48,0.022,0.888,867,EDFSMode.RANDOM
Completed,0.6,1435,3378,5,0.015,0.393,638,EDFSMode.RANDOM
Completed,0.57,5332,3561,1,0.271,0.686,773,EDFSMode.RANDOM
Completed,0.76,8442,1917,75,0.043,0.436,302,EDFSMode.RANDOM
Completed,0.79,3524,4020,97,0.075,0.726,144,EDFSMode.RANDOM
Completed,0.79,1055,698,34,0.012,0.62,212,EDFSMode.RANDOM
Completed,0.73,9628,2742,12,0.105,0.286,248,EDFSMode.RANDOM
Completed,0.6,8138,3853,3,0.159,0.541,486,EDFSMode.RANDOM
Completed,0.71,8908,1163,18,0.067,0.465,790,EDFSMode.RANDOM
Completed,0.72,1841,2899,40,0.035,0.63,951,EDFSMode.RANDOM
Completed,0.74,1127,4179,56,0.005,0.314,857,EDFSMode.RANDOM
Completed,0.67,8364,1403,9,0.057,0.151,730,EDFSMode.RANDOM
Completed,0.77,3350,4960,67,0.06,0.27,245,EDFSMode.RANDOM
Completed,0.79,1325,3080,31,0.028,0.921,153,EDFSMode.RANDOM
Completed,0.74,1657,4205,18,0.034,0.797,739,EDFSMode.RANDOM
Completed,0.61,998,25,63,0.03,0.711,795,EDFSMode.RANDOM
Completed,0.62,842,1036,3,0.002,0.956,227,EDFSMode.RANDOM
Completed,0.74,6437,367,91,0.07,0.201,439,EDFSMode.RANDOM
Completed,0.72,11464,1947,15,0.109,0.653,336,EDFSMode.RANDOM
Completed,0.75,2077,2860,48,0.022,0.107,519,EDFSMode.RANDOM
Completed,0.58,1221,1802,1,0.08,0.179,186,EDFSMode.RANDOM
Completed,0.76,9039,4910,50,0.068,0.764,366,EDFSMode.RANDOM
Completed,0.74,4934,1228,73,0.035,0.238,657,EDFSMode.RANDOM
Completed,0.65,2232,4549,4,0.031,0.277,938,EDFSMode.RANDOM
Completed,0.73,12169,3002,78,0.055,0.823,822,EDFSMode.RANDOM
Completed,0.74,957,1557,47,0.012,0.659,766,EDFSMode.RANDOM
