Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.92,1188,1132,11,0.127,0.001,100,EDFSMode.RANDOM
Completed,0.92,486,1806,100,0.162,0.45,583,EDFSMode.RANDOM
Completed,0.93,735,2716,100,0.163,0.055,179,EDFSMode.RANDOM
Completed,0.92,1214,4766,48,0.291,0.999,548,EDFSMode.RANDOM
Completed,0.91,497,2640,52,0.276,0.999,330,EDFSMode.RANDOM
Completed,0.91,506,1157,50,0.285,0.816,467,EDFSMode.RANDOM
Completed,0.64,658,2315,1,0.131,0.001,129,EDFSMode.RANDOM
Completed,0.93,380,4771,25,0.188,0.542,528,EDFSMode.RANDOM
Completed,0.82,1070,192,5,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.93,491,4186,100,0.016,0.243,432,EDFSMode.RANDOM
Completed,0.91,343,2977,100,0.023,0.001,549,EDFSMode.RANDOM
Completed,0.91,363,3964,95,0.093,0.583,778,EDFSMode.RANDOM
Completed,0.93,697,1784,50,0.292,0.999,509,EDFSMode.RANDOM
Completed,0.91,2838,3999,84,0.352,0.999,100,EDFSMode.RANDOM
Completed,0.92,2535,3471,100,0.351,0.999,100,EDFSMode.RANDOM
Completed,0.9,540,557,53,0.28,0.768,364,EDFSMode.RANDOM
Completed,0.9,390,3005,81,0.165,0.785,591,EDFSMode.RANDOM
Completed,0.92,308,3897,23,0.002,0.753,593,EDFSMode.RANDOM
Completed,0.9,362,1653,88,0.095,0.15,905,EDFSMode.RANDOM
Completed,0.91,260,3797,24,0.023,0.999,727,EDFSMode.RANDOM
Completed,0.92,420,3978,23,0.014,0.4,718,EDFSMode.RANDOM
Completed,0.9,296,3690,27,0.155,0.999,1000,EDFSMode.RANDOM
Completed,0.91,303,1630,88,0.063,0.001,858,EDFSMode.RANDOM
Completed,0.9,274,1592,85,0.001,0.576,992,EDFSMode.RANDOM
Completed,0.91,404,3986,24,0.14,0.999,715,EDFSMode.RANDOM
Completed,0.91,366,1614,87,0.136,0.001,848,EDFSMode.RANDOM
Completed,0.93,333,3937,24,0.181,0.999,528,EDFSMode.RANDOM
Completed,0.91,286,1682,41,0.078,0.468,812,EDFSMode.RANDOM
Completed,0.9,338,4381,100,0.044,0.798,887,EDFSMode.RANDOM
Completed,0.91,255,3937,21,0.001,0.627,844,EDFSMode.RANDOM
Completed,0.9,346,1673,88,0.123,0.344,935,EDFSMode.RANDOM
Completed,0.9,303,1632,100,0.001,0.308,951,EDFSMode.RANDOM
Completed,0.92,452,3759,24,0.008,0.999,464,EDFSMode.RANDOM
Completed,0.9,205,4029,26,0.083,0.553,992,EDFSMode.RANDOM
Completed,0.8,1124,1285,1,0.335,0.999,509,EDFSMode.RANDOM
Completed,0.93,747,3532,16,0.381,0.999,252,EDFSMode.RANDOM
Completed,0.89,210,411,12,0.154,0.001,327,EDFSMode.RANDOM
Completed,0.92,832,3607,79,0.286,0.202,476,EDFSMode.RANDOM
Completed,0.93,499,4069,17,0.333,0.999,481,EDFSMode.RANDOM
Completed,0.93,1407,1664,100,0.287,0.51,407,EDFSMode.RANDOM
Completed,0.92,483,2302,27,0.119,0.999,100,EDFSMode.RANDOM
Completed,0.92,1242,1110,86,0.112,0.999,120,EDFSMode.RANDOM
Completed,0.9,266,3502,70,0.07,0.999,825,EDFSMode.RANDOM
Completed,0.92,493,1117,97,0.093,0.001,302,EDFSMode.RANDOM
Completed,0.58,451,1410,1,0.022,0.001,381,EDFSMode.RANDOM
Completed,0.89,1050,4676,1,0.381,0.999,282,EDFSMode.RANDOM
Completed,0.82,1977,1076,1,0.753,0.999,830,EDFSMode.RANDOM
Completed,0.9,4318,1362,2,0.809,0.001,230,EDFSMode.RANDOM
Completed,0.91,768,614,100,0.297,0.999,320,EDFSMode.RANDOM
Completed,0.92,452,4008,18,0.155,0.001,356,EDFSMode.RANDOM
Completed,0.92,348,4362,12,0.049,0.946,562,EDFSMode.RANDOM
Completed,0.88,213,1107,41,0.153,0.302,989,EDFSMode.RANDOM
Completed,0.91,242,4411,55,0.06,0.448,1000,EDFSMode.RANDOM
Completed,0.87,147,688,40,0.038,0.652,756,EDFSMode.RANDOM
Completed,0.9,309,1353,19,0.059,0.999,790,EDFSMode.RANDOM
Completed,0.92,408,1545,76,0.092,0.309,507,EDFSMode.RANDOM
Completed,0.92,386,1392,75,0.06,0.001,524,EDFSMode.RANDOM
Completed,0.91,375,4312,55,0.109,0.999,1000,EDFSMode.RANDOM
Completed,0.88,746,491,5,0.214,0.999,513,EDFSMode.RANDOM
Completed,0.79,552,943,1,0.169,0.39,423,EDFSMode.RANDOM
Completed,0.67,495,4519,1,0.086,0.999,743,EDFSMode.RANDOM
Completed,0.91,422,1777,100,0.074,0.849,597,EDFSMode.RANDOM
Completed,0.89,247,1438,74,0.08,0.677,993,EDFSMode.RANDOM
Completed,0.9,200,1521,15,0.001,0.001,1000,EDFSMode.RANDOM
