Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.91,0,2855,1,0.999,0.999,870,EDFSMode.RANDOM
Completed,0.91,0,1926,49,0.001,0.001,737,EDFSMode.RANDOM
Completed,0.91,0,2755,100,0.001,0.999,330,EDFSMode.RANDOM
Completed,0.91,0,2974,1,0.616,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,2693,1,0.001,0.999,479,EDFSMode.RANDOM
Completed,0.91,0,2553,74,0.001,0.999,887,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.999,435,EDFSMode.RANDOM
Completed,0.91,2,4356,100,0.001,0.001,218,EDFSMode.RANDOM
Completed,0.91,0,1516,1,0.447,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,2369,100,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.665,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.43,0.999,729,EDFSMode.RANDOM
Completed,0.91,0,301,33,0.001,0.999,355,EDFSMode.RANDOM
Completed,0.91,0,3250,42,0.001,0.999,429,EDFSMode.RANDOM
Completed,0.91,0,3305,1,0.001,0.999,600,EDFSMode.RANDOM
Completed,0.91,0,4452,1,0.999,0.001,394,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.999,0.999,360,EDFSMode.RANDOM
Completed,0.91,0,1,61,0.001,0.999,831,EDFSMode.RANDOM
Completed,0.91,0,4807,82,0.001,0.999,867,EDFSMode.RANDOM
Completed,0.91,0,3018,1,0.644,0.001,535,EDFSMode.RANDOM
Completed,0.91,0,3505,1,0.703,0.999,581,EDFSMode.RANDOM
Completed,0.91,0,5000,64,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.91,3,3971,100,0.001,0.999,218,EDFSMode.RANDOM
Completed,0.91,0,3370,1,0.001,0.999,909,EDFSMode.RANDOM
Completed,0.91,0,3598,1,0.999,0.001,667,EDFSMode.RANDOM
Completed,0.91,2,3166,1,0.999,0.001,197,EDFSMode.RANDOM
Completed,0.91,0,5000,70,0.001,0.999,419,EDFSMode.RANDOM
Completed,0.91,2,3441,100,0.001,0.001,197,EDFSMode.RANDOM
Completed,0.91,0,5000,100,0.001,0.001,928,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.001,967,EDFSMode.RANDOM
Completed,0.91,0,907,1,0.745,0.999,570,EDFSMode.RANDOM
Completed,0.91,0,2729,1,0.999,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,3397,1,0.999,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,2466,77,0.001,0.001,929,EDFSMode.RANDOM
Completed,0.91,0,4327,70,0.001,0.001,413,EDFSMode.RANDOM
Completed,0.91,0,5000,100,0.001,0.999,853,EDFSMode.RANDOM
Completed,0.91,4,4798,1,0.999,0.001,100,EDFSMode.RANDOM
Completed,0.91,0,3744,1,0.758,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.001,0.999,591,EDFSMode.RANDOM
Completed,0.91,0,3810,1,0.999,0.999,364,EDFSMode.RANDOM
Completed,0.91,0,3830,100,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,1754,100,0.001,0.999,331,EDFSMode.RANDOM
Completed,0.91,0,3182,1,0.999,0.999,477,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.001,0.001,303,EDFSMode.RANDOM
Completed,0.91,0,1659,1,0.949,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.999,0.001,554,EDFSMode.RANDOM
Completed,0.91,0,3934,100,0.001,0.001,363,EDFSMode.RANDOM
Completed,0.91,0,2903,1,0.999,0.001,326,EDFSMode.RANDOM
Completed,0.92,3,3650,1,0.001,0.999,132,EDFSMode.RANDOM
