Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.63,130,4389,67,0.43,0.439,333,EDFSMode.RANDOM
Completed,0.59,518,4054,42,0.615,0.001,805,EDFSMode.RANDOM
Completed,0.69,5406,1981,100,0.514,0.2,100,EDFSMode.RANDOM
Completed,0.59,202,4618,81,0.999,0.33,603,EDFSMode.RANDOM
Completed,0.61,69,5000,61,0.302,0.001,734,EDFSMode.RANDOM
Completed,0.62,83,4191,71,0.224,0.001,741,EDFSMode.RANDOM
Completed,0.72,128,4392,34,0.001,0.464,100,EDFSMode.RANDOM
Completed,0.64,2408,1575,100,0.999,0.001,405,EDFSMode.RANDOM
Completed,0.71,4133,4783,100,0.55,0.552,100,EDFSMode.RANDOM
Completed,0.56,60,765,84,0.278,0.533,578,EDFSMode.RANDOM
Completed,0.56,20,3079,1,0.792,0.001,752,EDFSMode.RANDOM
Completed,0.59,30,4421,40,0.001,0.001,663,EDFSMode.RANDOM
Completed,0.56,13,227,45,0.001,0.001,361,EDFSMode.RANDOM
Completed,0.55,130,4230,63,0.92,0.999,1000,EDFSMode.RANDOM
Completed,0.55,187,3295,42,0.523,0.001,910,EDFSMode.RANDOM
Completed,0.53,41,2875,73,0.229,0.001,919,EDFSMode.RANDOM
Completed,0.6,89,4983,40,0.777,0.292,593,EDFSMode.RANDOM
Completed,0.71,2682,2860,100,0.368,0.401,100,EDFSMode.RANDOM
Completed,0.64,90,4197,67,0.267,0.33,335,EDFSMode.RANDOM
Completed,0.55,97,5000,73,0.747,0.999,1000,EDFSMode.RANDOM
Completed,0.72,125,4764,100,0.001,0.964,102,EDFSMode.RANDOM
Completed,0.71,175,4042,1,0.792,0.801,100,EDFSMode.RANDOM
Completed,0.7,117,4008,100,0.001,0.668,127,EDFSMode.RANDOM
Completed,0.71,110,4334,1,0.001,0.066,100,EDFSMode.RANDOM
Completed,0.71,215,4732,1,0.575,0.977,100,EDFSMode.RANDOM
Completed,0.71,227,4428,1,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.72,128,4947,100,0.001,0.692,100,EDFSMode.RANDOM
Completed,0.7,110,4833,100,0.001,0.999,127,EDFSMode.RANDOM
Completed,0.58,11,2371,100,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.72,121,4257,61,0.001,0.721,100,EDFSMode.RANDOM
Completed,0.69,136,5000,1,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.7,89,4938,100,0.001,0.999,144,EDFSMode.RANDOM
Completed,0.71,137,4472,1,0.787,0.604,121,EDFSMode.RANDOM
Completed,0.72,175,4684,28,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.71,166,4513,1,0.733,0.999,100,EDFSMode.RANDOM
Completed,0.72,160,5000,100,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.73,132,4419,100,0.001,0.311,132,EDFSMode.RANDOM
Completed,0.72,126,4408,100,0.001,0.814,100,EDFSMode.RANDOM
Completed,0.69,75,3595,66,0.001,0.402,144,EDFSMode.RANDOM
Completed,0.72,99,4515,23,0.001,0.072,132,EDFSMode.RANDOM
Completed,0.71,89,3604,1,0.001,0.21,100,EDFSMode.RANDOM
Completed,0.7,127,3986,100,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.71,152,3752,1,0.999,0.545,125,EDFSMode.RANDOM
Completed,0.71,206,4680,1,0.999,0.784,100,EDFSMode.RANDOM
Completed,0.71,184,4693,1,0.662,0.661,100,EDFSMode.RANDOM
Completed,0.71,105,4994,38,0.001,0.269,126,EDFSMode.RANDOM
Completed,0.7,90,4318,1,0.001,0.001,127,EDFSMode.RANDOM
Completed,0.71,140,4770,1,0.4,0.902,100,EDFSMode.RANDOM
Completed,0.71,71,3199,1,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.71,120,3212,1,0.999,0.626,142,EDFSMode.RANDOM
Completed,0.73,486,4947,100,0.257,0.999,161,EDFSMode.RANDOM
Completed,0.67,988,4544,91,0.643,0.999,211,EDFSMode.RANDOM
Completed,0.7,809,3161,78,0.617,0.999,211,EDFSMode.RANDOM
Completed,0.7,671,5000,100,0.186,0.999,109,EDFSMode.RANDOM
Completed,0.64,89,4225,39,0.405,0.999,316,EDFSMode.RANDOM
Completed,0.61,508,4261,73,0.688,0.001,427,EDFSMode.RANDOM
Completed,0.67,867,3916,100,0.664,0.999,216,EDFSMode.RANDOM
Completed,0.71,651,4684,100,0.142,0.769,100,EDFSMode.RANDOM
Completed,0.68,368,3752,100,0.323,0.999,185,EDFSMode.RANDOM
Completed,0.68,679,4910,92,0.628,0.999,192,EDFSMode.RANDOM
Completed,0.67,419,4758,81,0.55,0.999,207,EDFSMode.RANDOM
Completed,0.7,1217,3675,100,0.211,0.999,136,EDFSMode.RANDOM
Completed,0.58,31,5000,88,0.017,0.999,836,EDFSMode.RANDOM
Completed,0.59,33,5000,1,0.112,0.999,810,EDFSMode.RANDOM
Completed,0.64,846,2306,67,0.675,0.999,210,EDFSMode.RANDOM
Completed,0.68,551,4425,77,0.703,0.999,215,EDFSMode.RANDOM
Completed,0.61,100,4869,42,0.41,0.999,285,EDFSMode.RANDOM
Completed,0.62,83,4805,39,0.309,0.999,328,EDFSMode.RANDOM
Completed,0.57,39,4641,100,0.064,0.999,896,EDFSMode.RANDOM
Completed,0.72,1060,5000,100,0.216,0.999,134,EDFSMode.RANDOM
Completed,0.66,947,5000,72,0.639,0.999,202,EDFSMode.RANDOM
Completed,0.61,32,5000,19,0.033,0.999,847,EDFSMode.RANDOM
Completed,0.7,676,1645,100,0.233,0.999,154,EDFSMode.RANDOM
Completed,0.68,325,3694,80,0.403,0.999,213,EDFSMode.RANDOM
Completed,0.61,31,5000,100,0.001,0.999,773,EDFSMode.RANDOM
Completed,0.7,1455,4914,100,0.619,0.999,181,EDFSMode.RANDOM
Completed,0.63,720,2136,100,0.275,0.999,180,EDFSMode.RANDOM
