Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.55,1,4975,70,0.001,0.181,454,EDFSMode.RANDOM
Completed,0.55,1,396,77,0.001,0.001,724,EDFSMode.RANDOM
Completed,0.57,3,5000,1,0.001,0.521,100,EDFSMode.RANDOM
Completed,0.56,1,3476,100,0.001,0.192,359,EDFSMode.RANDOM
Completed,0.55,1,4956,1,0.999,0.999,517,EDFSMode.RANDOM
Completed,0.57,14,5000,100,0.657,0.419,100,EDFSMode.RANDOM
Completed,0.56,1,4364,37,0.001,0.81,392,EDFSMode.RANDOM
Completed,0.56,12,4624,61,0.999,0.999,399,EDFSMode.RANDOM
Completed,0.55,1,5000,100,0.001,0.132,720,EDFSMode.RANDOM
Completed,0.56,1,4900,67,0.001,0.199,384,EDFSMode.RANDOM
Completed,0.57,3,5000,1,0.274,0.837,100,EDFSMode.RANDOM
Completed,0.55,1,1767,1,0.7,0.999,444,EDFSMode.RANDOM
Completed,0.55,61,4657,100,0.451,0.001,827,EDFSMode.RANDOM
Completed,0.55,334,2844,100,0.999,0.001,734,EDFSMode.RANDOM
Completed,0.57,4,5000,100,0.178,0.001,161,EDFSMode.RANDOM
Completed,0.55,3,1909,100,0.394,0.001,1000,EDFSMode.RANDOM
Completed,0.55,1,4851,64,0.001,0.235,1000,EDFSMode.RANDOM
Completed,0.55,1,4009,1,0.001,0.001,716,EDFSMode.RANDOM
Completed,0.57,2,4721,100,0.001,0.138,143,EDFSMode.RANDOM
Completed,0.55,1,2943,66,0.001,0.042,696,EDFSMode.RANDOM
Completed,0.55,2,5000,84,0.359,0.121,532,EDFSMode.RANDOM
Completed,0.55,4,5000,76,0.423,0.145,443,EDFSMode.RANDOM
Completed,0.56,2,4424,100,0.001,0.942,204,EDFSMode.RANDOM
Completed,0.56,2,5000,1,0.598,0.167,193,EDFSMode.RANDOM
Completed,0.55,2,4776,90,0.325,0.115,580,EDFSMode.RANDOM
Completed,0.56,9,2445,100,0.856,0.479,186,EDFSMode.RANDOM
Completed,0.56,1,5000,1,0.656,0.301,271,EDFSMode.RANDOM
Completed,0.55,2,5000,71,0.41,0.152,573,EDFSMode.RANDOM
Completed,0.55,3,5000,81,0.383,0.131,488,EDFSMode.RANDOM
Completed,0.56,2,5000,1,0.31,0.999,236,EDFSMode.RANDOM
Completed,0.56,3,5000,28,0.568,0.245,208,EDFSMode.RANDOM
Completed,0.55,3,5000,100,0.332,0.223,574,EDFSMode.RANDOM
Completed,0.56,4,5000,100,0.194,0.999,233,EDFSMode.RANDOM
Completed,0.55,2,5000,100,0.238,0.001,589,EDFSMode.RANDOM
Completed,0.57,4,5000,1,0.357,0.001,100,EDFSMode.RANDOM
Completed,0.56,3,5000,64,0.555,0.196,391,EDFSMode.RANDOM
Completed,0.57,2,5000,23,0.224,0.584,170,EDFSMode.RANDOM
Completed,0.55,5,3789,79,0.31,0.001,590,EDFSMode.RANDOM
Completed,0.56,4,4723,62,0.355,0.999,206,EDFSMode.RANDOM
Completed,0.57,7,5000,1,0.699,0.001,100,EDFSMode.RANDOM
Completed,0.56,3,4631,27,0.722,0.195,308,EDFSMode.RANDOM
Completed,0.55,3,4767,73,0.497,0.262,510,EDFSMode.RANDOM
Completed,0.56,12,3574,100,0.999,0.485,247,EDFSMode.RANDOM
Completed,0.57,9,2888,100,0.32,0.808,100,EDFSMode.RANDOM
Completed,0.57,3,5000,1,0.675,0.825,100,EDFSMode.RANDOM
Completed,0.57,8,5000,100,0.311,0.805,100,EDFSMode.RANDOM
Completed,0.56,2,5000,1,0.27,0.629,225,EDFSMode.RANDOM
Completed,0.57,2,5000,1,0.582,0.131,149,EDFSMode.RANDOM
Completed,0.55,3,4992,100,0.32,0.167,506,EDFSMode.RANDOM
Completed,0.56,11,4272,100,0.895,0.476,195,EDFSMode.RANDOM
Completed,0.56,2,4650,100,0.094,0.001,298,EDFSMode.RANDOM
Completed,0.57,4,3431,100,0.131,0.411,130,EDFSMode.RANDOM
Completed,0.55,2,4465,29,0.174,0.081,473,EDFSMode.RANDOM
Completed,0.55,4,3111,100,0.577,0.001,1000,EDFSMode.RANDOM
Completed,0.57,3,5000,1,0.509,0.595,100,EDFSMode.RANDOM
Completed,0.56,2,3228,1,0.15,0.001,185,EDFSMode.RANDOM
Completed,0.55,1,4111,17,0.78,0.262,516,EDFSMode.RANDOM
Completed,0.56,1,4922,1,0.164,0.001,339,EDFSMode.RANDOM
Completed,0.55,4,1,100,0.577,0.001,1000,EDFSMode.RANDOM
Completed,0.57,5,4786,100,0.124,0.278,100,EDFSMode.RANDOM
Completed,0.56,3,4353,100,0.126,0.506,215,EDFSMode.RANDOM
Completed,0.55,0,5000,1,0.369,0.001,1000,EDFSMode.RANDOM
Completed,0.56,1,4793,1,0.199,0.344,389,EDFSMode.RANDOM
Completed,0.57,10,5000,100,0.471,0.562,100,EDFSMode.RANDOM
Completed,0.56,2,4082,14,0.807,0.314,428,EDFSMode.RANDOM
Completed,0.56,5,4526,100,0.637,0.999,355,EDFSMode.RANDOM
Completed,0.57,5,4876,100,0.139,0.551,100,EDFSMode.RANDOM
Completed,0.57,6,4962,40,0.49,0.462,100,EDFSMode.RANDOM
Completed,0.55,1,3660,1,0.196,0.001,551,EDFSMode.RANDOM
Completed,0.55,1,5000,1,0.214,0.244,600,EDFSMode.RANDOM
Completed,0.56,2,4559,100,0.103,0.001,408,EDFSMode.RANDOM
Completed,0.57,3,5000,100,0.121,0.701,172,EDFSMode.RANDOM
Completed,0.56,1,4617,1,0.722,0.641,285,EDFSMode.RANDOM
Completed,0.58,3,5000,1,0.137,0.001,100,EDFSMode.RANDOM
Completed,0.55,1,4687,1,0.751,0.371,568,EDFSMode.RANDOM
Completed,0.56,2,4590,1,0.166,0.058,248,EDFSMode.RANDOM
Completed,0.55,1,3045,1,0.255,0.455,478,EDFSMode.RANDOM
Completed,0.55,1,5000,1,0.173,0.001,426,EDFSMode.RANDOM
Completed,0.57,6,4738,35,0.548,0.594,100,EDFSMode.RANDOM
Completed,0.56,3,4863,25,0.702,0.629,333,EDFSMode.RANDOM
Completed,0.56,8,3725,100,0.999,0.477,407,EDFSMode.RANDOM
Completed,0.55,1,3721,29,0.001,0.744,554,EDFSMode.RANDOM
Completed,0.56,2,4556,1,0.001,0.999,236,EDFSMode.RANDOM
Completed,0.55,2,4792,51,0.001,0.999,445,EDFSMode.RANDOM
Completed,0.55,3,1833,1,0.583,0.168,664,EDFSMode.RANDOM
Completed,0.56,6,4401,62,0.575,0.4,189,EDFSMode.RANDOM
Completed,0.57,3,4778,1,0.999,0.245,163,EDFSMode.RANDOM
Completed,0.56,2,5000,28,0.143,0.275,270,EDFSMode.RANDOM
Completed,0.55,0,1555,1,0.999,0.114,1000,EDFSMode.RANDOM
Completed,0.56,2,5000,22,0.001,0.206,181,EDFSMode.RANDOM
Completed,0.55,2,4485,100,0.001,0.618,493,EDFSMode.RANDOM
Completed,0.56,6,3569,100,0.856,0.332,373,EDFSMode.RANDOM
Completed,0.55,1,1592,51,0.001,0.661,674,EDFSMode.RANDOM
Completed,0.56,1,4810,1,0.999,0.716,347,EDFSMode.RANDOM
Completed,0.55,3,4618,100,0.554,0.999,562,EDFSMode.RANDOM
Completed,0.56,1,3799,1,0.001,0.85,294,EDFSMode.RANDOM
Completed,0.55,0,2153,1,0.001,0.999,544,EDFSMode.RANDOM
Completed,0.56,1,4092,35,0.001,0.479,366,EDFSMode.RANDOM
Completed,0.56,18,3646,53,0.811,0.836,394,EDFSMode.RANDOM
Completed,0.55,0,1,1,0.001,0.695,1000,EDFSMode.RANDOM
Completed,0.56,4,5000,38,0.684,0.999,244,EDFSMode.RANDOM
Completed,0.57,3,5000,100,0.001,0.531,172,EDFSMode.RANDOM
Completed,0.55,0,1,20,0.001,0.576,717,EDFSMode.RANDOM
Completed,0.56,2,5000,64,0.001,0.001,329,EDFSMode.RANDOM
Completed,0.55,0,4734,1,0.999,0.001,1000,EDFSMode.RANDOM
Completed,0.56,6,5000,69,0.999,0.333,412,EDFSMode.RANDOM
Completed,0.56,3,4754,1,0.001,0.155,151,EDFSMode.RANDOM
Completed,0.56,2,5000,71,0.181,0.669,290,EDFSMode.RANDOM
Completed,0.55,1,2737,1,0.001,0.644,638,EDFSMode.RANDOM
Completed,0.55,1,587,51,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.58,16,5000,100,0.999,0.36,122,EDFSMode.RANDOM
Completed,0.57,11,5000,100,0.289,0.001,118,EDFSMode.RANDOM
Completed,0.55,4,1136,100,0.001,0.497,798,EDFSMode.RANDOM
Completed,0.56,3,3684,70,0.26,0.999,401,EDFSMode.RANDOM
Completed,0.56,2,4937,36,0.301,0.7,403,EDFSMode.RANDOM
Completed,0.56,1,3209,1,0.999,0.219,410,EDFSMode.RANDOM
Completed,0.57,7,5000,1,0.999,0.001,118,EDFSMode.RANDOM
Completed,0.56,1,3591,1,0.757,0.524,399,EDFSMode.RANDOM
Completed,0.55,1,853,39,0.001,0.28,764,EDFSMode.RANDOM
Completed,0.55,13,4893,100,0.251,0.999,891,EDFSMode.RANDOM
Completed,0.55,1,435,1,0.652,0.999,644,EDFSMode.RANDOM
Completed,0.55,1,868,100,0.001,0.999,776,EDFSMode.RANDOM
Completed,0.58,3,5000,1,0.846,0.209,120,EDFSMode.RANDOM
Completed,0.57,2,2984,14,0.496,0.426,156,EDFSMode.RANDOM
Completed,0.55,18,472,45,0.304,0.999,825,EDFSMode.RANDOM
Completed,0.55,1,2336,1,0.001,0.258,840,EDFSMode.RANDOM
Completed,0.55,1,4166,1,0.171,0.853,882,EDFSMode.RANDOM
Completed,0.56,2,3843,29,0.205,0.999,386,EDFSMode.RANDOM
Completed,0.56,4,4640,100,0.278,0.999,399,EDFSMode.RANDOM
Completed,0.56,7,3549,23,0.999,0.219,397,EDFSMode.RANDOM
Completed,0.55,1,3242,55,0.001,0.801,1000,EDFSMode.RANDOM
Completed,0.56,31,4723,66,0.801,0.359,389,EDFSMode.RANDOM
Completed,0.55,1,4884,100,0.001,0.999,667,EDFSMode.RANDOM
Completed,0.55,68,2543,65,0.395,0.999,737,EDFSMode.RANDOM
Completed,0.55,2,678,1,0.307,0.717,641,EDFSMode.RANDOM
Completed,0.55,25,2337,100,0.266,0.999,833,EDFSMode.RANDOM
Completed,0.55,1,4955,1,0.664,0.999,663,EDFSMode.RANDOM
Completed,0.56,6,3444,63,0.999,0.999,259,EDFSMode.RANDOM
Completed,0.55,2,2022,20,0.999,0.913,143,EDFSMode.RANDOM
Completed,0.55,1,188,100,0.001,0.393,958,EDFSMode.RANDOM
Completed,0.57,7,3264,60,0.72,0.825,143,EDFSMode.RANDOM
Completed,0.56,9,3333,100,0.999,0.323,267,EDFSMode.RANDOM
Completed,0.56,7,4799,100,0.682,0.244,266,EDFSMode.RANDOM
Completed,0.56,80,4734,100,0.999,0.245,384,EDFSMode.RANDOM
Completed,0.58,7,5000,38,0.808,0.81,122,EDFSMode.RANDOM
Completed,0.57,2,4386,33,0.001,0.907,144,EDFSMode.RANDOM
Completed,0.57,9,4292,100,0.692,0.326,173,EDFSMode.RANDOM
Completed,0.57,2,3795,1,0.999,0.609,141,EDFSMode.RANDOM
Completed,0.57,7,3962,68,0.628,0.819,144,EDFSMode.RANDOM
Completed,0.58,3,5000,68,0.001,0.22,124,EDFSMode.RANDOM
Completed,0.57,3,4920,23,0.001,0.001,137,EDFSMode.RANDOM
Completed,0.57,2,5000,1,0.999,0.999,163,EDFSMode.RANDOM
Completed,0.57,3,4727,72,0.001,0.842,134,EDFSMode.RANDOM
Completed,0.58,5,5000,22,0.999,0.327,121,EDFSMode.RANDOM
Completed,0.58,7,5000,24,0.999,0.767,123,EDFSMode.RANDOM
Completed,0.56,9,4481,100,0.694,0.316,188,EDFSMode.RANDOM
Completed,0.57,7,4226,45,0.784,0.785,159,EDFSMode.RANDOM
Completed,0.57,3,4459,21,0.001,0.144,100,EDFSMode.RANDOM
Completed,0.57,2,3974,29,0.001,0.001,158,EDFSMode.RANDOM
Completed,0.56,7,5000,7,0.999,0.547,386,EDFSMode.RANDOM
Completed,0.57,8,5000,69,0.646,0.826,127,EDFSMode.RANDOM
Completed,0.56,1,4797,1,0.613,0.247,385,EDFSMode.RANDOM
Completed,0.58,2,4996,39,0.001,0.999,155,EDFSMode.RANDOM
Completed,0.57,9,4190,100,0.597,0.852,148,EDFSMode.RANDOM
Completed,0.57,2,4744,1,0.201,0.436,112,EDFSMode.RANDOM
Completed,0.57,2,5000,71,0.001,0.999,164,EDFSMode.RANDOM
Completed,0.57,4,4327,21,0.999,0.656,163,EDFSMode.RANDOM
Completed,0.57,5,5000,13,0.852,0.69,118,EDFSMode.RANDOM
Completed,0.57,6,5000,58,0.591,0.791,168,EDFSMode.RANDOM
Completed,0.57,10,3598,100,0.686,0.338,155,EDFSMode.RANDOM
Completed,0.55,2,1467,48,0.605,0.029,546,EDFSMode.RANDOM
Completed,0.56,3,1984,39,0.619,0.068,427,EDFSMode.RANDOM
Completed,0.56,3,4963,36,0.34,0.434,285,EDFSMode.RANDOM
Completed,0.56,10,3536,100,0.999,0.999,402,EDFSMode.RANDOM
Completed,0.56,2,4417,34,0.623,0.083,404,EDFSMode.RANDOM
Completed,0.57,5,4702,64,0.231,0.269,140,EDFSMode.RANDOM
Completed,0.55,1,375,100,0.001,0.001,578,EDFSMode.RANDOM
Completed,0.56,3,4757,51,0.575,0.001,429,EDFSMode.RANDOM
Completed,0.56,1,3077,100,0.001,0.001,426,EDFSMode.RANDOM
Completed,0.57,4,4947,48,0.336,0.348,166,EDFSMode.RANDOM
Completed,0.58,4,4814,20,0.655,0.999,119,EDFSMode.RANDOM
Completed,0.55,2,2509,41,0.622,0.047,452,EDFSMode.RANDOM
Completed,0.56,1,4715,1,0.688,0.804,398,EDFSMode.RANDOM
Completed,0.55,4,4482,51,0.594,0.001,560,EDFSMode.RANDOM
Completed,0.55,3,3337,1,0.999,0.999,934,EDFSMode.RANDOM
Completed,0.55,2,1005,100,0.26,0.459,1000,EDFSMode.RANDOM
Completed,0.58,16,5000,100,0.98,0.429,125,EDFSMode.RANDOM
Completed,0.58,5,4672,100,0.128,0.13,123,EDFSMode.RANDOM
Completed,0.55,0,447,1,0.999,0.999,1000,EDFSMode.RANDOM
Completed,0.55,2,900,100,0.173,0.833,1000,EDFSMode.RANDOM
Completed,0.57,2,4679,21,0.001,0.597,131,EDFSMode.RANDOM
Completed,0.56,1,4856,1,0.001,0.46,398,EDFSMode.RANDOM
Completed,0.57,3,4885,57,0.142,0.879,150,EDFSMode.RANDOM
Completed,0.56,5,4235,100,0.69,0.832,403,EDFSMode.RANDOM
Completed,0.55,3,4142,100,0.277,0.478,955,EDFSMode.RANDOM
Completed,0.55,1,260,1,0.648,0.783,578,EDFSMode.RANDOM
Completed,0.58,4,4346,36,0.166,0.001,126,EDFSMode.RANDOM
Completed,0.55,2,4475,100,0.289,0.76,1000,EDFSMode.RANDOM
Completed,0.55,1,866,31,0.338,0.378,1000,EDFSMode.RANDOM
Completed,0.57,3,4851,18,0.272,0.129,132,EDFSMode.RANDOM
Completed,0.56,1,3808,73,0.001,0.64,400,EDFSMode.RANDOM
Completed,0.55,0,4499,1,0.514,0.3,1000,EDFSMode.RANDOM
Completed,0.55,2,910,1,0.716,0.999,956,EDFSMode.RANDOM
Completed,0.55,1,2712,1,0.832,0.149,426,EDFSMode.RANDOM
Completed,0.56,1,4235,1,0.434,0.999,396,EDFSMode.RANDOM
Completed,0.55,6,4525,23,0.223,0.897,933,EDFSMode.RANDOM
Completed,0.55,0,1806,1,0.718,0.83,1000,EDFSMode.RANDOM
