detector,lodo_dataset,learning_target,distance_method,dual_ranking_method,target_column,kendall_internal_target,spearman_internal_target,kendall_accuracy,spearman_accuracy,kendall_runtime,spearman_runtime,n_heldout_configs,n_real_pareto_points,n_real_pareto_layers,acc_fast,rt_fast,acc_accurate,rt_accurate,kendall_pareto_all,spearman_pareto_all,mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,metrics_available_at_20,n_selected_at_20,gd_plus_at_20,mn_pd_at_20,top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,igd_plus_at_20,aec_at_20,rec_at_20,pec_w0p5_at_20,acc_s_at_20,rt_s_at_20
IBDD,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.39395272079379334,0.5418167062265214,0.433199375773926,0.5680567240410841,2927,16,284,0.1428571428571428,1.0,1.0,0.2418936600596047,0.48389918854996183,0.644609778920374,0.12961747900198584,0.025419043876152417,True,20,0.07718301295332977,0.025441696113074203,0.85,1.0,0.06923569783561753,0.9333333333333333,1.0,0.9666666666666667,0.9428571428571428,1.0
IBDD,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.3133138871487983,0.43978475625620955,0.35047701700088507,0.4698359675836379,1131,20,73,0.0588235294117647,1.0,1.0,0.1587785428363808,0.3975737427013066,0.5438399420644474,0.19843996318587614,0.03700131510098936,True,20,0.04167197231307944,0.03888888888888888,0.55,0.95,0.043762933785072504,0.9583333333333331,0.6771386850510471,0.8177360091921901,0.96078431372549,0.7284021341768797
CSDDM,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.530527937985023,0.6929858695538069,0.6443144061073329,0.7981396892711891,1145,4,59,0.6923076923076921,1.0,1.0,0.797001904203346,0.015209272342727719,0.020622098930838446,0.051836780545063924,0.017448295877939002,True,20,0.11957014297480106,0.07327586206896551,0.25,0.7,0.042186722212348204,0.75,0.8343358858345797,0.7921679429172899,0.923076923076923,0.9663705002825802
CSDDM,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7755388764053793,0.9098588135522889,0.6456788473463947,0.8078746108037205,1792,23,157,0.0,1.0,1.0,0.0,-0.1654687424938372,-0.2379104840350817,0.1534907729407926,0.03335686023308622,True,20,0.06763566393888146,0.14455128205128204,0.15,0.45,0.06642929677029351,0.8518518518518522,0.9219106089664602,0.8868812304091562,0.8518518518518522,0.9219106089664602
CSDDM,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6876752305455764,0.8463382656581335,0.6627528341255915,0.817308602287783,1197,13,38,0.2000000000000001,1.0,1.0,0.276355362675966,-0.1468188043118851,-0.20932537667018636,0.16276048028476886,0.03599278435670905,True,20,0.09401095451195347,0.14189189189189189,0.0,0.3,0.09164617861487855,0.8333333333333333,1.0,0.9166666666666666,0.8666666666666666,1.0
CSDDM,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7066820963780073,0.856345596734212,0.6044665845000485,0.7688202446176918,1832,16,192,0.7027027027027027,1.0,1.0,0.7315151478405352,0.10172327578290852,0.1465560992328432,0.0344906727827335,0.0037783668279152693,True,20,0.02270012024613017,0.03115183246073298,0.7,1.0,0.01315319015976542,1.0,0.9575756353801904,0.9787878176900953,1.0,0.9886097007370912
CSDDM,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7482026060612117,0.89190690892373,0.685552077668021,0.8476321626514395,2146,19,126,0.0588235294117647,1.0,1.0,0.4340883984053918,-0.009706604133679507,-0.010931472332146816,0.10547385046831236,0.02125370687460129,True,20,0.027538950598246396,0.027200000000000002,1.0,1.0,0.032431269078181404,0.8749999999999999,0.9048135420728749,0.8899067710364374,0.8823529411764705,0.9461328791443429
CSDDM,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7741520338272063,0.9056871936079272,0.3487090264969502,0.48707116762372943,1223,27,119,0.04,1.0,1.0,0.0054472308920031,0.1974365689649125,0.28774473557748725,0.11927705415463438,0.02103129035885147,True,20,0.029938296420531262,0.04237288135593221,0.55,0.9,0.0400047253848601,0.8958333333333333,0.9643634328259563,0.9300983830796448,0.8999999999999999,0.9645575534355516
OCDD,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.4860846597734433,0.6715729149906745,0.6299296898124263,0.7755282779038554,1212,5,139,0.6206896551724137,1.0,1.0,0.7981490078090399,0.4048761948544754,0.5565968152385767,0.17308696323336029,0.12241182929325138,True,20,0.08413974273766209,0.042391304347826085,0.65,1.0,0.14407467718727202,0.09090909090909106,1.0,0.5454545454545455,0.6551724137931034,1.0
OCDD,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.771298032138799,0.9150817300131623,0.6996434220668442,0.876876723262036,1104,21,128,0.0,1.0,1.0,0.1987336299799975,0.4551897901819757,0.6217946140864554,0.12126904296648323,0.011539858434317055,True,20,0.030267913174901316,0.020472440944881886,1.0,1.0,0.03125289137916073,0.923076923076923,0.993048054116026,0.9580624885964746,0.923076923076923,0.9944296395569726
OCDD,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6876694476564355,0.8718076565084366,0.7154882194873572,0.8807602315078488,1123,13,61,0.1794871794871796,1.0,1.0,0.5504273534020434,-0.15309706042766466,-0.216634545319822,0.254152381377817,0.17373567772085177,True,20,0.09456479364540446,0.09833333333333333,0.15,0.5,0.24847646328025225,0.4062499999999997,1.0,0.7031249999999999,0.5128205128205127,1.0
OCDD,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6814707803344953,0.8411272080367227,0.7230829171220214,0.8859851976543972,1107,17,100,0.4999999999999999,1.0,1.0,0.7384227494845222,0.4623771966333607,0.6234553552525061,0.03764735476520184,0.004007961384717186,True,20,0.028709437857014224,0.017676767676767676,0.9,1.0,0.010474422295560703,0.9677419354838712,0.9865968124813111,0.9771693739825912,0.9838709677419356,0.996494031060718
OCDD,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.614703407002906,0.7908928875690182,0.5657109831349015,0.7340087399089001,2255,18,142,0.0681818181818181,1.0,1.0,0.6043043334619165,0.42586075848252625,0.5619184668414695,0.10213230493137918,0.007346026656729218,True,20,0.02083664414248253,0.01453900709219858,1.0,1.0,0.02084929223362459,1.0,0.974725808254564,0.987362904127282,1.0,0.9899991118510784
OCDD,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7319664809451449,0.8969469599106374,0.51805553950959,0.6952731856004546,944,21,77,0.037037037037037,1.0,1.0,0.1367172183192043,0.3764239205492178,0.5177299065510121,0.11338495816134393,0.02183412573940577,True,20,0.029295731707534467,0.03421052631578947,0.65,1.0,0.04505225159836818,0.8653846153846155,0.9868298690944488,0.9261072422395322,0.8703703703703705,0.9886304527567557
PCACD,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,-0.014253704016361767,-0.017644726643779456,0.7730362937470817,0.9266761349911117,5272,3,483,0.8124999999999999,1.0,1.0,0.9051067927033964,0.5997844336813005,0.8022697011534892,0.047904007588249004,0.026388817395061756,True,20,0.049257629892674334,0.010788381742738589,1.0,1.0,0.057408468960631974,0.6666666666666669,0.8940981919396618,0.7803824293031643,0.9375,0.9899506377746452
PCACD,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.15661803309109126,0.19804131625032037,0.6502321306306165,0.8430965877380612,1937,9,786,0.0125,1.0,1.0,0.2962074505174628,0.6054841585484836,0.8068441242810012,0.08984542358762349,0.02354244318440593,True,20,0.02792372470831379,0.01592356687898089,1.0,1.0,0.036513234392086646,1.0,0.9990696372134803,0.9995348186067401,1.0,0.9993452176025316
PCACD,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.07621342838556354,0.09361121038234377,0.5584403952238082,0.744008880800792,5524,9,152,0.35,1.0,1.0,0.0,0.38487907959572093,0.5486428493802198,0.20415147831358899,0.07609252919111306,True,20,0.052367165989973194,0.01556291390728477,1.0,1.0,0.09768333282243245,0.4230769230769231,0.9714973624491022,0.6972871427630126,0.625,0.9714973624491022
