Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.92,1096,4995,303,0.12,0.441
Completed,0.69,55,132,2677,0.678,0.605
Completed,0.81,81,2467,2333,0.491,0.092
Completed,0.77,92,5000,3244,0.482,0.999
Completed,0.79,79,2697,4153,0.001,0.001
Completed,0.91,1707,1357,162,0.694,0.72
Completed,0.88,205,4566,3323,0.251,0.001
Completed,0.73,60,2344,324,0.999,0.999
Completed,0.84,171,627,261,0.975,0.997
Completed,0.87,134,4758,3351,0.409,0.898
Completed,0.87,159,4543,3186,0.999,0.781
Completed,0.82,111,740,2827,0.194,0.802
Completed,0.81,144,4605,676,0.906,0.999
Completed,0.74,138,4617,1276,0.347,0.999
Completed,0.84,117,4095,5000,0.233,0.755
Completed,0.83,103,3643,5000,0.725,0.334
Completed,0.79,91,454,2921,0.999,0.283
Completed,0.86,154,4071,4100,0.27,0.845
Completed,0.83,127,1206,3544,0.215,0.277
Completed,0.77,108,4655,2886,0.277,0.999
Completed,0.86,145,4838,4531,0.52,0.001
Completed,0.89,192,374,636,0.477,0.482
Completed,0.86,197,994,2198,0.842,0.165
Completed,0.9,223,4183,2818,0.001,0.536
Completed,0.77,87,4611,4654,0.497,0.999
Completed,0.89,155,4876,2980,0.735,0.001
Completed,0.89,161,662,975,0.789,0.703
Completed,0.86,160,4887,4602,0.999,0.709
Completed,0.89,158,4595,2954,0.999,0.773
Completed,0.86,212,5000,3845,0.001,0.138
Completed,0.85,161,658,2002,0.379,0.801
Completed,0.86,217,4780,3572,0.203,0.625
Completed,0.87,182,4904,3707,0.453,0.39
Completed,0.84,186,4489,4737,0.536,0.485
Completed,0.82,105,504,2192,0.593,0.279
Completed,0.82,121,1490,4609,0.825,0.479
Completed,0.75,96,428,3949,0.661,0.101
Completed,0.84,134,1499,4146,0.999,0.305
Completed,0.85,159,1538,3533,0.999,0.612
Completed,0.89,167,4541,2489,0.999,0.766
Completed,0.84,130,1548,3946,0.001,0.728
Completed,0.85,106,797,2032,0.001,0.264
Completed,0.93,379,4431,915,0.201,0.8
Completed,0.9,319,4891,2389,0.999,0.001
Completed,0.88,582,737,671,0.008,0.999
Completed,0.91,207,943,955,0.213,0.181
Completed,0.88,147,5000,3169,0.368,0.629
Completed,0.89,248,4804,2572,0.001,0.001
Completed,0.86,205,808,498,0.892,0.993
Completed,0.89,119,729,1196,0.203,0.932
Completed,0.91,300,4676,1429,0.999,0.837
Completed,0.91,248,4357,1912,0.654,0.001
Completed,0.69,44,2179,463,0.999,0.999
Completed,0.9,163,2480,727,0.722,0.763
Completed,0.85,147,4772,4297,0.567,0.837
Completed,0.79,111,1753,4852,0.508,0.98
Completed,0.89,184,931,1559,0.864,0.487
Completed,0.87,237,1551,2667,0.415,0.763
Completed,0.93,445,751,340,0.486,0.912
Completed,0.9,149,474,855,0.999,0.001
Completed,0.91,363,4841,1564,0.262,0.74
Completed,0.92,342,1508,1128,0.67,0.679
Completed,0.83,107,1312,4276,0.642,0.001
Completed,0.87,145,3944,4045,0.762,0.001
Completed,0.89,201,3869,2886,0.999,0.192
Completed,0.83,127,1208,3469,0.77,0.001
Completed,0.85,130,1683,4510,0.999,0.862
Completed,0.86,140,892,2520,0.001,0.521
Completed,0.92,343,5000,1390,0.55,0.001
Completed,0.84,134,4471,4710,0.999,0.001
Completed,0.89,155,4995,3546,0.651,0.756
Completed,0.83,111,5000,5000,0.693,0.841
Completed,0.9,179,4733,2545,0.533,0.001
Completed,0.69,55,2439,648,0.683,0.999
Completed,0.84,116,4475,4819,0.876,0.044
Completed,0.64,60,44,822,0.116,0.996
Completed,0.87,109,1379,3314,0.611,0.468
Completed,0.88,137,3159,2287,0.381,0.509
Completed,0.85,91,2772,2573,0.128,0.659
Completed,0.72,51,2086,1856,0.865,0.365
Completed,0.8,65,906,4312,0.361,0.835
Completed,0.86,154,4170,3610,0.272,0.309
Completed,0.89,145,983,1962,0.72,0.731
Completed,0.72,50,2324,4529,0.225,0.203
Completed,0.9,178,2849,1161,0.767,0.774
Completed,0.86,102,3703,4019,0.521,0.924
Completed,0.92,827,1771,342,0.471,0.1
Completed,0.82,83,588,2867,0.973,0.569
Completed,0.91,256,4867,1534,0.019,0.392
Completed,0.88,147,4792,3111,0.703,0.847
Completed,0.82,95,361,1328,0.289,0.175
Completed,0.88,104,1696,3756,0.781,0.641
Completed,0.92,431,3476,567,0.211,0.319
Completed,0.82,71,3080,4577,0.457,0.481
Completed,0.85,99,2394,1073,0.535,0.557
Completed,0.83,96,1215,3542,0.036,0.025
Completed,0.89,206,4240,2069,0.956,0.951
Completed,0.85,126,3853,4087,0.068,0.613
Completed,0.93,534,666,265,0.925,0.409
Completed,0.58,39,2007,2778,0.426,0.875
Completed,0.87,111,2532,1612,0.566,0.085
Completed,0.87,126,3394,3207,0.819,0.247
Completed,0.89,159,1463,2356,0.173,0.791
Completed,0.7,45,279,4906,0.679,0.259
Completed,0.92,421,4559,773,0.313,0.717
Completed,0.87,138,4655,3417,0.235,0.952
Completed,0.75,58,185,2234,0.757,0.007
Completed,0.83,94,1520,4725,0.251,0.535
Completed,0.92,309,3339,886,0.742,0.487
Completed,0.77,63,2631,4297,0.987,0.337
Completed,0.82,93,726,2598,0.504,0.169
Completed,0.91,238,3791,1724,0.488,0.869
Completed,0.87,115,4341,4387,0.598,0.688
Completed,0.91,232,1116,1176,0.395,0.273
Completed,0.76,57,2457,3742,0.894,0.801
Completed,0.88,134,3020,1938,0.098,0.222
Completed,0.87,124,3570,2921,0.351,0.072
Completed,0.91,230,1600,1431,0.641,0.904
Completed,0.74,51,416,3956,0.149,0.434
Completed,0.92,679,4735,435,0.843,0.604
Completed,0.87,138,4963,3887,0.409,0.156
Completed,0.9,187,494,542,0.583,0.821
Completed,0.88,140,1829,2970,0.081,0.355
Completed,0.91,276,3648,1343,0.911,0.685
Completed,0.8,84,2947,3478,0.658,0.523
Completed,0.75,61,2223,2162,0.335,0.439
Completed,0.73,69,1043,4631,0.829,0.971
Completed,0.93,339,4107,971,0.163,0.053
Completed,0.89,177,4033,2686,0.803,0.391
Completed,0.88,131,808,1676,0.19,0.587
Completed,0.67,39,2148,4190,0.693,0.122
Completed,0.93,560,2712,211,0.299,0.919
Completed,0.81,75,3254,4931,0.053,0.757
Completed,0.92,402,1283,642,0.939,0.205
Completed,0.66,44,99,3192,0.443,0.737
Completed,0.89,207,4418,2497,0.549,0.287
Completed,0.89,173,4393,2648,0.477,0.582
Completed,0.72,64,156,1782,0.531,0.381
Completed,0.83,105,1316,4230,0.025,0.913
Completed,0.89,3938,3213,82,0.983,0.112
Completed,0.78,61,2660,4739,0.73,0.215
Completed,0.82,67,2169,902,0.278,0.763
Completed,0.81,88,853,3391,0.777,0.297
Completed,0.9,212,3995,2210,0.231,0.743
Completed,0.86,120,4077,3945,0.871,0.815
Completed,0.92,495,1086,416,0.137,0.147
Completed,0.76,56,2250,2949,0.637,0.679
Completed,0.9,154,2893,1452,0.371,0.345
Completed,0.86,101,3600,3689,0.126,0.449
Completed,0.91,207,1864,1882,0.882,0.529
Completed,0.76,60,543,4452,0.391,0.063
Completed,0.9,225,4940,1238,0.617,0.977
Completed,0.85,122,4699,4656,0.183,0.278
Completed,0.86,111,463,994,0.825,0.698
Completed,0.86,137,1623,3465,0.323,0.227
Completed,0.89,178,3520,2146,0.685,0.811
Completed,0.84,88,2978,3037,0.93,0.894
Completed,0.86,86,2487,1403,0.077,0.066
Completed,0.83,89,1171,3838,0.572,0.594
Completed,0.93,562,4313,485,0.436,0.428
Completed,0.87,160,3770,3128,0.545,0.013
Completed,0.81,107,779,2435,0.463,0.963
Completed,0.85,101,1944,4983,0.966,0.493
Completed,0.9,216,2586,696,0.042,0.545
Completed,0.84,92,3282,4162,0.295,0.629
Completed,0.91,1435,1546,190,0.713,0.331
Completed,0.74,57,225,2697,0.217,0.859
Completed,0.91,277,4623,1694,0.791,0.163
Completed,0.86,138,4602,4372,0.65,0.414
Completed,0.93,736,249,68,0.358,0.623
Completed,0.86,146,1409,2516,0.853,0.091
Completed,0.9,187,3422,1806,0.155,0.885
Completed,0.78,68,2568,3338,0.4,0.781
Completed,0.9,179,1959,2313,0.607,0.241
Completed,0.75,56,644,4802,0.104,0.707
Completed,0.92,394,3903,809,0.904,0.253
Completed,0.89,149,4297,2846,0.015,0.181
Completed,0.89,190,1189,1505,0.993,0.857
Completed,0.74,52,2353,4038,0.498,0.325
Completed,0.93,459,3113,353,0.51,0.651
Completed,0.84,89,3497,4466,0.763,0.547
Completed,0.92,282,1644,1096,0.245,0.475
Completed,0.73,52,323,3666,0.747,0.941
Completed,0.91,195,4837,2014,0.26,0.019
Completed,0.88,137,4920,3558,0.945,0.726
Completed,0.85,92,566,2083,0.063,0.299
Completed,0.83,101,1726,4554,0.555,0.769
Completed,0.91,353,3740,1048,0.453,0.193
Completed,0.82,73,2874,3813,0.199,0.11
Completed,0.86,100,2266,616,0.808,0.93
Completed,0.81,98,951,3051,0.309,0.402
Completed,0.92,305,4210,1261,0.699,0.576
Completed,0.79,106,3979,4851,0.34,0.991
Completed,0.92,208,871,721,0.667,0.034
Completed,0.6,41,2036,3269,0.169,0.504
Completed,0.85,91,2795,2420,0.839,0.459
Completed,0.85,121,3190,2760,0.593,0.375
Completed,0.9,195,1337,1601,0.415,0.665
Completed,0.59,37,16,4108,0.921,0.137
Completed,0.92,1181,4530,292,0.087,0.841
Completed,0.88,132,4511,3723,0.577,0.197
Completed,0.66,44,36,1917,0.431,0.779
Completed,0.83,87,1356,4407,0.935,0.31
Completed,0.91,215,3171,1195,0.072,0.728
Completed,0.8,68,2775,3976,0.326,0.562
Completed,0.79,57,2055,454,0.682,0.397
Completed,0.84,87,891,2902,0.186,0.925
Completed,0.91,294,3960,1411,0.823,0.097
Completed,0.87,114,4190,4705,0.214,0.462
Completed,0.92,263,970,867,0.794,0.514
Completed,0.72,53,2286,3436,0.292,0.045
Completed,0.81,80,2855,2253,0.716,0.993
Completed,0.88,195,3721,2617,0.961,0.828
Completed,0.91,183,1746,1745,0.047,0.133
Completed,0.76,59,586,4277,0.54,0.66
Completed,0.89,4670,4900,123,0.468,0.363
Completed,0.85,133,4817,4209,0.778,0.881
Completed,0.92,270,343,231,0.23,0.081
Completed,0.88,150,1663,2665,0.731,0.612
Completed,0.9,224,3477,1657,0.277,0.412
Completed,0.83,98,3093,3172,0.031,0.266
Completed,0.77,70,2373,2478,0.976,0.712
Completed,0.82,81,1208,4950,0.484,0.246
Completed,0.92,445,4278,662,0.524,0.793
Completed,0.88,171,3883,2989,0.384,0.647
Completed,0.87,156,663,1362,0.624,0.315
Completed,0.87,130,1979,3869,0.119,0.846
Completed,0.92,236,2548,522,0.889,0.178
Completed,0.83,83,3403,4612,0.636,0.032
Completed,0.91,328,1428,950,0.372,0.946
Completed,0.72,50,268,3499,0.87,0.48
Completed,0.91,201,4582,2181,0.138,0.56
Completed,0.85,117,4642,4509,0.31,0.799
Completed,0.82,81,206,1141,0.698,0.225
Completed,0.86,108,1527,3631,0.2,0.694
Completed,0.87,206,3302,1981,0.807,0.268
Completed,0.8,82,2605,2887,0.561,0.434
Completed,0.91,259,1924,1552,0.446,0.606
Completed,0.79,63,759,4001,0.952,0.079
Completed,0.92,948,3789,322,0.057,0.899
Completed,0.89,151,4333,3294,0.914,0.534
Completed,0.88,141,1151,2268,0.094,0.49
Completed,0.72,53,2467,4837,0.587,0.959
Completed,0.92,234,2997,842,0.422,0.003
Completed,0.84,101,3540,4331,0.168,0.168
Completed,0.8,72,444,2553,0.339,0.344
Completed,0.91,237,4719,1837,0.668,0.634
Completed,0.89,191,4960,2798,0.109,0.123
Completed,0.84,109,524,1632,0.899,0.915
Completed,0.87,110,1844,4067,0.405,0.384
Completed,0.92,1053,3620,245,0.602,0.592
Completed,0.8,67,2912,4886,0.856,0.738
Completed,0.86,91,2231,755,0.152,0.285
Completed,0.85,99,1066,3226,0.653,0.75
Completed,0.91,178,4096,2376,0.355,0.21
Completed,0.87,152,4015,3776,0.744,0.357
Completed,0.92,288,833,585,0.263,0.681
Completed,0.71,48,2150,3092,0.76,0.15
Completed,0.9,142,2679,1308,0.248,0.826
Completed,0.83,86,3233,3523,0.494,0.972
Completed,0.9,134,1297,2049,0.514,0.051
Completed,0.67,40,137,4597,0.01,0.516
Completed,0.92,352,4412,1092,0.998,0.444
Completed,0.85,124,4437,4058,0.037,0.672
Completed,0.85,73,79,372,0.955,0.35
Completed,0.86,114,1264,2828,0.458,0.817
Completed,0.9,186,3273,1485,0.534,0.143
Completed,0.79,73,2732,3646,0.788,0.056
Completed,0.71,51,2128,1994,0.205,0.982
Completed,0.8,65,788,4486,0.71,0.449
Completed,0.92,322,4052,1116,0.282,0.526
Completed,0.88,210,4127,2535,0.672,0.906
Completed,0.89,148,1024,1826,0.32,0.116
Completed,0.67,45,2203,4351,0.812,0.583
Completed,0.89,5376,2967,49,0.179,0.377
Completed,0.84,96,3667,4782,0.425,0.29
Completed,0.93,446,1810,790,0.567,0.749
Completed,0.76,67,474,3356,0.067,0.216
Completed,0.9,214,4983,2333,0.926,0.76
Completed,0.88,161,4754,3249,0.366,0.499
Completed,0.78,72,396,2402,0.626,0.541
Completed,0.83,105,1581,4870,0.132,0.012
Completed,0.92,335,3590,741,0.86,0.966
Completed,0.82,82,3040,4127,0.614,0.866
Completed,0.92,320,2437,313,0.378,0.158
Completed,0.87,108,1097,2740,0.879,0.628
Completed,0.91,248,4360,1582,0.113,0.333
Completed,0.86,111,3810,4535,0.971,0.234
Completed,0.89,172,707,1027,0.022,0.806
Completed,0.88,129,1886,3578,0.518,0.277
Completed,0.84,94,2650,2102,0.474,0.701
Completed,0.84,135,3359,3071,0.22,0.601
Completed,0.91,300,1501,1280,0.772,0.423
Completed,0.68,46,165,3794,0.267,0.894
Completed,0.92,498,4675,597,0.725,0.068
Completed,0.89,189,4540,2969,0.834,0.324
Completed,0.83,68,298,1470,0.158,0.654
Completed,0.85,106,1483,3926,0.663,0.187
Completed,0.92,561,3375,396,0.33,0.853
Completed,0.75,55,2513,4432,0.084,0.94
Completed,0.68,49,2026,1218,0.908,0.022
Completed,0.78,86,686,3710,0.412,0.555
Completed,0.91,221,3833,1902,0.58,0.47
Completed,0.87,131,4220,4249,0.44,0.09
Completed,0.91,2518,1234,103,0.552,0.888
Completed,0.78,67,2413,2628,0.05,0.421
Completed,0.89,147,3061,1763,0.942,0.619
Completed,0.85,134,3456,3371,0.688,0.706
Completed,0.89,202,1716,2192,0.304,0.255
Completed,0.73,49,380,4758,0.798,0.788
Completed,0.92,323,4773,922,0.195,0.236
Completed,0.84,102,4848,4963,0.504,0.505
Completed,0.91,245,607,678,0.487,0.455
Completed,0.87,91,1791,3146,0.988,0.984
Completed,0.89,163,3683,2455,0.004,0.038
Completed,0.85,100,2829,2716,0.258,0.138
Completed,0.8,78,2343,1714,0.735,0.838
Completed,0.82,78,1003,4141,0.242,0.368
Completed,0.91,2543,4150,171,0.75,0.67
Completed,0.85,149,3912,3446,0.142,0.77
Completed,0.87,147,926,2126,0.85,0.19
Completed,0.65,43,2105,4677,0.345,0.719
Completed,0.9,149,2752,1013,0.647,0.303
Completed,0.83,90,3140,3857,0.893,0.403
Completed,0.92,510,1399,504,0.099,0.573
Completed,0.66,42,63,3018,0.597,0.102
Completed,0.91,335,4456,1383,0.396,0.936
Completed,0.89,172,4471,3027,0.161,0.472
Completed,0.74,55,78,1373,0.832,0.552
Completed,0.84,93,1394,3868,0.332,0.024
Completed,0.92,375,3135,494,0.66,0.938
Completed,0.78,64,2738,4686,0.906,0.854
Completed,0.79,48,2091,1003,0.086,0.186
Completed,0.84,89,931,3456,0.578,0.656
Completed,0.9,244,3917,2117,0.414,0.322
Completed,0.87,113,4155,4151,0.554,0.238
Completed,0.92,1350,1008,161,0.438,0.786
Completed,0.76,71,2329,2725,0.944,0.258
Completed,0.88,145,2815,1704,0.048,0.704
Completed,0.88,130,3678,3156,0.302,0.62
Completed,0.89,185,1786,2446,0.691,0.419
Completed,0.75,54,621,4973,0.192,0.889
Completed,0.92,466,4862,668,0.8,0.088
Completed,0.84,106,4777,4748,0.486,0.668
Completed,0.89,91,385,932,0.506,0.37
Completed,0.87,118,1701,3361,0.003,0.836
Completed,0.89,132,3442,2201,0.989,0.14
Completed,0.87,103,3056,2618,0.736,0.036
Completed,0.78,81,2408,1773,0.256,0.986
Completed,0.83,101,1249,4239,0.752,0.454
Completed,0.89,5010,4235,112,0.241,0.506
Completed,0.86,130,3848,3700,0.848,0.933
Completed,0.83,117,701,1911,0.143,0.105
Completed,0.58,37,2022,4423,0.646,0.571
Completed,0.86,106,2508,1228,0.346,0.405
Completed,0.83,99,3360,3916,0.101,0.301
Completed,0.92,557,1468,406,0.892,0.721
Completed,0.77,54,304,2959,0.397,0.188
Completed,0.91,270,4545,1480,0.595,0.772
Completed,0.86,148,4680,3804,0.954,0.524
Completed,0.84,82,170,587,0.038,0.452
Completed,0.84,119,1487,3082,0.533,0.98
Completed,0.91,230,3344,1270,0.459,0.058
Completed,0.8,66,2646,3588,0.206,0.142
Completed,0.9,187,1881,2092,0.786,0.818
Completed,0.77,64,722,4545,0.284,0.348
Completed,0.92,326,3825,1018,0.708,0.674
Completed,0.88,192,4375,2750,0.318,0.758
Completed,0.9,175,1111,1573,0.674,0.218
Completed,0.72,58,2432,4136,0.178,0.746
Completed,0.92,546,3035,303,0.814,0.292
Completed,0.83,91,3575,4880,0.569,0.376
Completed,0.92,359,1566,732,0.424,0.585
Completed,0.77,64,401,3259,0.927,0.114
Completed,0.9,199,4759,2391,0.065,0.908
Completed,0.88,158,4998,3347,0.628,0.336
Completed,0.83,89,488,2343,0.364,0.626
Completed,0.84,108,1804,4772,0.862,0.16
Completed,0.93,381,3662,800,0.13,0.864
Completed,0.78,77,2953,4342,0.375,0.967
Completed,0.93,764,2188,59,0.617,0.01
Completed,0.87,112,1029,2525,0.11,0.542
Completed,0.91,261,4131,1836,0.882,0.497
Completed,0.85,123,4057,4476,0.024,0.071
Completed,0.9,181,793,1125,0.968,0.891
Completed,0.71,41,2114,3637,0.476,0.425
Completed,0.85,118,2717,2004,0.516,0.599
Completed,0.86,135,3268,2817,0.769,0.702
Completed,0.91,195,1259,1495,0.223,0.275
Completed,0.64,41,94,4048,0.722,0.808
Completed,0.92,847,4452,382,0.27,0.232
Completed,0.84,108,4397,4607,0.696,0.901
