Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.65,65,2262,4183,0.128,0.293
Completed,0.61,100,3613,1143,0.913,0.809
Completed,0.69,180,3422,3744,0.243,0.583
Completed,0.74,729,1954,1637,0.966,0.069
Completed,0.56,74,1176,4638,0.338,0.873
Completed,0.83,13064,4826,21,0.625,0.358
Completed,0.7,248,3758,3777,0.81,0.426
Completed,0.71,159,222,883,0.025,0.91
Completed,0.71,288,1631,2883,0.655,0.157
Completed,0.65,102,2974,2500,0.432,0.639
Completed,0.7,182,3020,3472,0.658,0.073
Completed,0.7,274,1595,1833,0.379,0.587
Completed,0.65,61,187,4443,0.753,0.347
Completed,0.79,1168,3803,295,0.038,0.861
Completed,0.59,76,4801,4050,0.348,0.914
Completed,0.77,904,1231,687,0.564,0.43
Completed,0.58,60,2009,3078,0.193,0.628
Completed,0.73,310,3397,2226,0.972,0.145
Completed,0.69,171,3636,4771,0.184,0.495
Completed,0.58,65,2210,476,0.9,0.978
Completed,0.69,136,806,3262,0.28,0.205
Completed,0.62,116,4415,1457,0.558,0.689
Completed,0.72,366,4169,2711,0.868,0.526
Completed,0.72,159,592,2005,0.091,0.012
Completed,0.59,65,1376,4220,0.714,0.797
Completed,0.76,375,2761,1024,0.497,0.282
Completed,0.65,84,2534,4149,0.923,0.661
Completed,0.76,750,1456,1094,0.149,0.178
Completed,0.59,63,365,2630,0.516,0.889
Completed,0.73,483,4251,2086,0.304,0.405
Completed,0.71,329,4667,3333,0.118,0.317
Completed,0.54,73,739,1387,0.829,0.832
Completed,0.67,80,2460,4851,0.459,0.11
Completed,0.74,993,3571,396,0.734,0.624
Completed,0.56,79,3146,2850,0.421,0.772
Completed,0.63,61,2075,2453,0.634,0.257
Completed,0.7,186,979,3812,0.015,0.56
Completed,0.75,999,4867,924,0.789,0.046
Completed,0.69,240,4031,4670,0.603,0.242
Completed,0.8,789,105,68,0.328,0.726
Completed,0.7,247,1822,3708,0.945,0.466
Completed,0.58,86,2940,1596,0.233,0.949
Completed,0.68,108,2870,4493,0.256,0.605
Completed,0.8,1633,1756,188,0.532,0.121
Completed,0.58,86,39,3579,0.165,0.812
Completed,0.74,526,3961,1785,0.876,0.329
Completed,0.71,317,4955,3028,0.687,0.385
Completed,0.54,74,1066,2332,0.475,0.9
Completed,0.64,66,2162,3941,0.845,0.158
Completed,0.77,829,3235,736,0.071,0.673
Completed,0.59,57,3483,3134,0.774,0.96
Completed,0.71,171,2372,1486,0.062,0.446
Completed,0.62,66,651,4741,0.681,0.738
Completed,0.77,1065,4580,602,0.406,0.222
Completed,0.69,246,4317,4347,0.218,0.057
Completed,0.73,210,435,995,0.991,0.54
Completed,0.71,280,1526,2741,0.375,0.268
Completed,0.59,70,2601,1879,0.588,0.752
Completed,0.71,149,2692,2504,0.022,0.133
Completed,0.64,122,1308,2116,0.8,0.647
Completed,0.68,98,524,4120,0.426,0.419
Completed,0.54,73,4100,1222,0.643,0.933
Completed,0.59,62,4504,4978,0.956,0.849
Completed,0.79,920,892,366,0.241,0.366
Completed,0.66,83,2296,3361,0.612,0.576
Completed,0.76,743,3726,1260,0.333,0.092
Completed,0.69,177,3311,3860,0.512,0.302
Completed,0.69,551,1920,816,0.295,0.785
Completed,0.71,205,1141,2957,0.915,0.032
Completed,0.72,399,4715,2403,0.138,0.515
Completed,0.61,93,3871,3660,0.451,0.708
Completed,0.69,109,256,1704,0.729,0.193
Completed,0.58,116,1664,4563,0.106,0.997
Completed,0.81,1788,3087,117,0.822,0.483
Completed,0.55,73,3113,2685,0.455,0.926
Completed,0.73,395,1649,1974,0.741,0.412
Completed,0.63,76,240,4291,0.11,0.655
Completed,0.75,829,3897,1091,0.834,0.14
Completed,0.69,196,4689,4836,0.523,0.084
Completed,0.78,1044,1157,546,0.299,0.567
Completed,0.71,334,1935,3229,0.927,0.374
Completed,0.64,167,3285,1430,0.142,0.859
Completed,0.7,262,3749,4004,0.952,0.506
Completed,0.74,261,2282,637,0.229,0.023
Completed,0.53,66,878,3091,0.608,0.794
Completed,0.72,462,4528,2234,0.321,0.311
Completed,0.71,281,4077,3477,0.01,0.476
Completed,0.58,55,538,1844,0.796,0.991
Completed,0.69,153,1322,4391,0.415,0.201
Completed,0.78,927,2669,247,0.639,0.715
Completed,0.67,93,2587,4622,0.191,0.337
Completed,0.84,10372,1549,15,0.972,0.821
Completed,0.67,97,458,3719,0.347,0.113
Completed,0.71,382,4304,1603,0.568,0.596
Completed,0.62,121,4593,2859,0.754,0.68
Completed,0.7,143,628,2466,0.034,0.165
Completed,0.6,56,2349,3762,0.661,0.893
Completed,0.76,1024,3497,879,0.379,0.379
Completed,0.71,208,3219,3304,0.715,0.23
Completed,0.6,77,2188,1354,0.495,0.744
Completed,0.68,126,1091,4921,0.872,0.439
Completed,0.77,1218,4940,460,0.09,0.954
Completed,0.59,91,3976,4216,0.276,0.761
Completed,0.62,57,14,1167,0.559,0.277
Completed,0.72,427,1730,2600,0.184,0.532
Completed,0.73,219,2886,2060,0.903,0.048
Completed,0.69,125,2953,4322,0.614,0.399
Completed,0.6,102,1799,964,0.332,0.881
Completed,0.63,64,83,2813,0.957,0.184
Completed,0.65,168,4044,1946,0.237,0.668
Completed,0.68,220,4854,3199,0.425,0.615
Completed,0.74,306,1002,1556,0.646,0.101
Completed,0.6,55,2098,4708,0.019,0.841
Completed,0.78,841,3133,575,0.8,0.326
Completed,0.71,246,3587,2983,0.106,0.036
Completed,0.7,121,2435,2282,0.825,0.551
Completed,0.69,111,714,3955,0.448,0.266
Completed,0.64,116,4683,744,0.731,0.78
Completed,0.58,60,4235,4498,0.919,0.942
Completed,0.8,857,390,199,0.137,0.458
Completed,0.59,83,1481,3527,0.512,0.732
Completed,0.72,159,2518,1737,0.292,0.249
Completed,0.58,61,2735,3612,0.849,0.87
Completed,0.74,458,1392,1652,0.064,0.355
Completed,0.68,96,608,4574,0.695,0.578
Completed,0.8,2793,4144,124,0.47,0.064
Completed,0.7,239,4440,3869,0.157,0.151
Completed,0.67,159,790,830,0.881,0.635
Completed,0.64,70,2194,2907,0.252,0.424
Completed,0.56,72,3662,2358,0.538,0.907
Completed,0.62,87,3374,4949,0.368,0.695
Completed,0.66,100,2023,333,0.592,0.212
Completed,0.59,79,1244,3431,0.213,0.971
Completed,0.75,715,4778,1324,0.999,0.488
Completed,0.71,392,3827,2571,0.686,0.291
Completed,0.6,64,174,2188,0.399,0.805
Completed,0.69,194,1582,4090,0.78,0.003
Completed,0.76,438,3043,1196,0.057,0.518
Completed,0.69,134,2990,4756,0.783,0.208
Completed,0.77,952,1605,608,0.005,0.691
Completed,0.65,73,197,3159,0.628,0.499
Completed,0.58,76,3774,1521,0.412,0.983
Completed,0.56,81,4811,2764,0.224,0.801
Completed,0.73,361,1201,1913,0.939,0.287
Completed,0.7,239,1980,4361,0.318,0.53
Completed,0.76,722,3406,999,0.597,0.015
Completed,0.71,262,3627,3574,0.309,0.351
Completed,0.57,64,2239,1770,0.526,0.866
Completed,0.68,128,835,4457,0.155,0.076
Completed,0.79,2002,4405,163,0.932,0.59
Completed,0.77,403,582,712,0.466,0.147
Completed,0.59,57,1366,3024,0.839,0.918
Completed,0.72,196,2790,2319,0.123,0.435
Completed,0.69,117,2544,2943,0.549,0.555
Completed,0.73,341,1426,2399,0.273,0.04
Completed,0.58,54,335,3837,0.89,0.768
Completed,0.76,996,4261,782,0.179,0.254
Completed,0.69,234,4638,4538,0.492,0.462
Completed,0.81,1491,749,83,0.704,0.946
Completed,0.67,95,2470,3645,0.085,0.237
Completed,0.61,91,3541,1699,0.859,0.721
Completed,0.63,196,3176,4125,0.047,0.885
Completed,0.65,78,2065,1236,0.759,0.402
Completed,0.65,96,969,2537,0.39,0.657
Completed,0.73,582,4896,2140,0.664,0.173
Completed,0.71,278,4021,3396,0.977,0.105
Completed,0.66,90,135,1284,0.204,0.619
Completed,0.69,210,1852,4983,0.571,0.314
Completed,0.74,660,2930,381,0.358,0.829
Completed,0.62,104,2840,3266,0.132,0.74
Completed,0.75,676,1766,1472,0.906,0.226
Completed,0.58,59,49,4804,0.289,0.966
Completed,0.77,1202,3931,500,0.501,0.45
Completed,0.69,262,4965,4254,0.812,0.273
Completed,0.76,491,1037,1049,0.101,0.757
Completed,0.64,69,2133,2716,0.72,0.06
Completed,0.73,289,3245,2020,0.445,0.543
Completed,0.54,67,3473,4429,0.649,0.818
Completed,0.8,856,2401,291,0.436,0.333
