Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.72,8,5000,1792,0.261,0.502
Completed,0.71,3,1,2157,0.999,0.302
Completed,0.74,22,5000,636,0.621,0.462
Completed,0.71,2,5000,3210,0.999,0.999
Completed,0.73,34,5000,474,0.499,0.128
Completed,0.73,2,3052,4742,0.999,0.999
Completed,0.71,2,1,2347,0.999,0.999
Completed,0.71,3,859,3939,0.999,0.999
Completed,0.71,2,638,3210,0.999,0.999
Completed,0.71,2,1,1419,0.999,0.999
Completed,0.71,2,1,3963,0.999,0.999
Completed,0.73,17,5000,787,0.527,0.001
Completed,0.71,2,5000,2502,0.999,0.999
Completed,0.71,2,3899,5000,0.999,0.999
Completed,0.73,10,5000,1569,0.495,0.547
Completed,0.67,2,1,708,0.999,0.296
Completed,0.71,2,5000,4138,0.999,0.999
Completed,0.72,15,5000,927,0.556,0.454
Completed,0.71,13,5000,880,0.459,0.575
Completed,0.63,2,1,2045,0.001,0.001
Completed,0.71,2,3839,898,0.999,0.999
Completed,0.71,2,1,990,0.999,0.999
Completed,0.68,3,2615,5000,0.999,0.52
Completed,0.69,5,2463,926,0.717,0.347
Completed,0.71,3,5000,2799,0.999,0.999
Completed,0.72,2,1,5000,0.999,0.587
Completed,0.72,6,5000,3329,0.001,0.593
Completed,0.71,2,1,414,0.999,0.271
Completed,0.72,18,5000,777,0.533,0.415
Completed,0.66,5,5000,3447,0.001,0.001
Completed,0.73,22,4684,523,0.005,0.067
Completed,0.73,23,4824,572,0.853,0.074
Completed,0.73,17,5000,818,0.269,0.071
Completed,0.73,23,5000,224,0.964,0.757
Completed,0.7,5,5000,4012,0.999,0.621
Completed,0.66,3,3009,5000,0.99,0.585
Completed,0.73,23,5000,588,0.123,0.108
Completed,0.73,24,5000,534,0.592,0.376
Completed,0.71,9,4922,2026,0.001,0.648
Completed,0.73,35,5000,381,0.041,0.053
Completed,0.71,2,3063,5000,0.999,0.999
Completed,0.71,2,5000,5000,0.999,0.999
Completed,0.71,2,4051,4380,0.999,0.999
Completed,0.73,2,5000,4690,0.999,0.999
Completed,0.71,11,5000,1164,0.512,0.071
Completed,0.7,3,310,4998,0.001,0.674
Completed,0.7,5,5000,2229,0.999,0.712
Completed,0.68,4,3684,4927,0.001,0.105
Completed,0.71,6,4784,232,0.999,0.831
Completed,0.67,3,105,581,0.999,0.1
Completed,0.69,4,4142,735,0.999,0.781
Completed,0.67,4,4769,4006,0.999,0.086
Completed,0.71,9,4982,2225,0.001,0.468
Completed,0.71,4,4907,4804,0.723,0.104
Completed,0.7,3,589,4450,0.999,0.694
Completed,0.68,2,334,4953,0.999,0.651
Completed,0.63,2,127,4911,0.999,0.728
Completed,0.71,11,5000,828,0.999,0.623
Completed,0.72,12,4884,3144,0.001,0.678
Completed,0.68,4,3314,4845,0.001,0.627
Completed,0.72,8,5000,2130,0.001,0.586
Completed,0.73,12,5000,676,0.378,0.648
Completed,0.69,4,2451,950,0.999,0.333
Completed,0.72,17,5000,676,0.066,0.165
Completed,0.71,8,4956,1412,0.334,0.612
Completed,0.7,2,186,5000,0.715,0.225
Completed,0.71,2,4474,3824,0.999,0.999
Completed,0.71,2,3707,3069,0.999,0.999
Completed,0.69,5,5000,4670,0.001,0.555
Completed,0.72,36,4993,306,0.333,0.687
Completed,0.73,20,5000,594,0.605,0.071
Completed,0.71,2,1,332,0.956,0.999
Completed,0.72,6,5000,2552,0.474,0.578
Completed,0.72,9,5000,1558,0.559,0.061
Completed,0.72,8,5000,1804,0.999,0.511
Completed,0.74,17,5000,742,0.999,0.125
Completed,0.71,2,4055,4779,0.999,0.999
Completed,0.71,5,1,643,0.104,0.999
Completed,0.7,7,5000,1714,0.424,0.651
Completed,0.71,2,1996,5000,0.999,0.999
Completed,0.71,2,3421,3376,0.999,0.999
Completed,0.71,2,2294,3452,0.999,0.999
Completed,0.73,18,5000,692,0.446,0.061
Completed,0.71,5,2652,954,0.999,0.38
Completed,0.7,2,2348,4828,0.999,0.16
Completed,0.74,20,4296,631,0.999,0.333
Completed,0.72,7,4144,1846,0.015,0.056
Completed,0.73,18,3364,441,0.659,0.213
Completed,0.67,4,2589,4611,0.143,0.166
Completed,0.71,6,1662,342,0.572,0.911
Completed,0.68,3,56,3463,0.481,0.26
Completed,0.72,14,4127,1487,0.8,0.505
Completed,0.68,7,4616,3039,0.693,0.692
Completed,0.71,6,1207,2010,0.03,0.446
Completed,0.64,4,2072,3884,0.929,0.848
Completed,0.72,11,3665,1167,0.344,0.104
Completed,0.69,5,3346,3146,0.954,0.397
Completed,0.7,3,2400,1807,0.26,0.652
Completed,0.67,4,882,4928,0.668,0.056
Completed,0.74,489,4933,23,0.114,0.806
Completed,0.71,3,3820,4191,0.381,0.995
Completed,0.7,4,352,858,0.841,0.241
Completed,0.69,5,1364,2732,0.243,0.588
Completed,0.68,6,2898,2320,0.532,0.336
Completed,0.63,4,2985,2613,0.295,0.837
Completed,0.7,6,1433,2358,0.989,0.086
Completed,0.71,17,4044,742,0.633,0.49
