Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.54,14,3221,2630,0.72,0.744
Completed,0.71,80,3397,243,0.25,0.296
Completed,0.55,11,733,2714,0.771,0.908
Completed,0.59,31,1780,1403,0.434,0.147
Completed,0.58,15,4131,3776,0.583,0.525
Completed,0.58,17,4339,2790,0.327,0.18
Completed,0.58,39,4485,1140,0.13,0.027
Completed,0.54,7,2148,3688,0.853,0.647
Completed,0.56,10,380,2226,0.438,0.408
Completed,0.52,7,3028,4834,0.541,0.793
Completed,0.63,35,2627,433,0.408,0.725
Completed,0.56,8,275,2825,0.571,0.105
Completed,0.53,11,2198,1827,0.222,0.84
Completed,0.55,13,4862,4278,0.761,0.454
Completed,0.57,21,3817,2179,0.694,0.363
Completed,0.52,8,1466,4552,0.297,0.998
Completed,0.6,34,1047,707,0.879,0.196
Completed,0.57,15,3711,3178,0.107,0.566
Completed,0.63,21,3626,2031,0.354,0.798
Completed,0.57,9,976,4404,0.628,0.435
Completed,0.62,42,1552,866,0.041,0.635
Completed,0.56,14,3954,4478,0.215,0.664
Completed,0.57,31,4726,1598,0.273,0.505
Completed,0.51,7,2374,4205,0.749,0.135
Completed,0.57,14,139,516,0.084,0.935
Completed,0.58,10,2802,3065,0.934,0.3
Completed,0.57,13,2853,2456,0.052,0.244
Completed,0.52,7,516,4907,0.966,0.615
Completed,0.64,36,1973,1057,0.367,0.316
Completed,0.57,14,4621,3450,0.654,0.951
Completed,0.73,221,4201,80,0.831,0.855
Completed,0.6,20,1865,2551,0.182,0.469
Completed,0.55,15,662,1557,0.516,0.71
Completed,0.56,10,3312,3930,0.494,0.091
Completed,0.6,22,3135,1328,0.972,0.889
Completed,0.52,10,800,3858,0.014,0.254
Completed,0.73,131,1689,164,0.664,0.551
Completed,0.55,16,4177,3716,0.148,0.324
Completed,0.71,113,4656,210,0.339,0.478
Completed,0.55,16,1997,2740,0.674,0.848
Completed,0.54,17,483,1272,0.025,0.081
Completed,0.56,10,2828,3899,0.985,0.717
Completed,0.61,29,2769,759,0.12,0.77
Completed,0.59,7,114,3131,0.89,0.4
Completed,0.54,11,2409,2138,0.307,0.67
Completed,0.55,9,4749,4609,0.706,0.034
Completed,0.61,24,3919,1864,0.779,0.126
Completed,0.57,11,1266,4256,0.242,0.512
Completed,0.68,57,1218,406,0.591,0.308
Completed,0.56,15,3560,2857,0.426,0.928
Completed,0.62,41,3535,789,0.611,0.391
Completed,0.58,14,1184,3416,0.4,0.777
Completed,0.6,22,1290,1949,0.799,0.044
Completed,0.54,13,3783,4174,0.254,0.832
Completed,0.61,26,4887,1898,0.202,0.99
Completed,0.52,7,2232,4525,0.788,0.37
Completed,0.56,14,252,831,0.388,0.576
Completed,0.56,9,2593,3360,0.598,0.19
Completed,0.59,25,3004,1511,0.481,0.261
Completed,0.59,8,345,3982,0.505,0.881
Completed,0.72,33,2173,136,0.172,0.174
Completed,0.55,17,4519,2510,0.819,0.56
Completed,0.59,42,4314,1035,0.636,0.656
Completed,0.57,15,1656,3487,0.347,0.02
Completed,0.56,12,824,2488,0.945,0.785
Completed,0.56,11,3170,4881,0.033,0.415
Completed,0.59,16,3346,2248,0.559,0.621
Completed,0.55,9,688,4797,0.458,0.235
Completed,0.61,30,1830,1108,0.873,0.944
Completed,0.55,10,4233,4720,0.887,0.978
Completed,0.56,34,4438,1352,0.563,0.82
Completed,0.53,6,2097,3822,0.415,0.442
Completed,0.67,36,426,285,0.752,0.737
Completed,0.61,15,3080,2658,0.23,0.125
Completed,0.53,10,2516,2058,0.845,0.427
Completed,0.55,8,171,4685,0.137,0.805
Completed,0.6,17,2308,684,0.533,0.016
Completed,0.56,16,4967,3213,0.446,0.628
Completed,0.7,80,3864,332,0.007,0.533
Completed,0.58,18,1517,2939,0.98,0.17
Completed,0.54,21,1001,1784,0.319,0.9
Completed,0.57,13,3659,4333,0.671,0.272
Completed,0.64,58,3735,480,0.915,0.098
Completed,0.6,11,1082,3087,0.063,0.734
Completed,0.62,23,1441,1625,0.728,0.462
Completed,0.51,19,4000,3013,0.523,0.49
Completed,0.6,43,4830,913,0.958,0.335
Completed,0.58,9,2484,3286,0.06,0.963
Completed,0.53,8,34,1975,0.646,0.231
Completed,0.59,9,2693,4446,0.375,0.594
Completed,0.73,123,2904,55,0.741,0.916
Completed,0.6,11,563,2584,0.281,0.289
Completed,0.61,32,1921,1434,0.926,0.516
Completed,0.54,13,4576,4061,0.092,0.154
Completed,0.62,21,4097,2411,0.391,0.062
Completed,0.56,8,1755,4960,0.618,0.674
Completed,0.61,25,768,954,0.207,0.38
Completed,0.59,11,3421,3561,0.807,0.759
Completed,0.55,26,3246,1183,0.289,0.217
Completed,0.58,8,904,3634,0.701,0.58
Completed,0.61,23,1580,2328,0.099,0.35
Completed,0.56,13,4085,4944,0.101,0.822
Completed,0.58,31,4583,1438,0.418,0.976
Completed,0.56,13,1933,4046,0.565,0.348
Completed,0.78,131,556,44,0.227,0.581
Completed,0.52,10,2892,2593,0.751,0.219
Completed,0.62,13,2686,1991,0.135,0.27
Completed,0.53,7,21,4442,0.844,0.898
Completed,0.61,18,2492,905,0.448,0.172
Completed,0.57,18,4842,3298,0.534,0.534
Completed,0.66,58,3993,553,0.982,0.626
Completed,0.61,15,1330,3024,0.008,0.014
Completed,0.59,20,1144,1717,0.669,0.806
Completed,0.57,11,3496,4090,0.317,0.428
Completed,0.56,27,3484,1702,0.175,0.689
Completed,0.52,10,1138,4095,0.839,0.077
Completed,0.62,51,1342,562,0.486,0.868
Completed,0.55,15,3856,2941,0.487,0.334
Completed,0.62,58,4979,665,0.062,0.492
Completed,0.52,8,2315,3214,0.959,0.87
Completed,0.53,8,159,2064,0.373,0.076
Completed,0.53,6,2510,4671,0.645,0.688
Completed,0.68,63,3068,283,0.278,0.761
Completed,0.55,9,418,2675,0.74,0.383
Completed,0.59,8,2110,1364,0.094,0.672
Completed,0.56,15,4446,3816,0.927,0.06
Completed,0.6,22,4221,2342,0.62,0.156
Completed,0.58,12,1573,4715,0.393,0.519
Completed,0.58,24,916,1182,0.804,0.287
Completed,0.51,13,3253,3653,0.205,0.915
Completed,0.58,33,3429,942,0.699,0.123
Completed,0.57,14,780,3569,0.287,0.735
Completed,0.57,19,1747,2414,0.89,0.444
Completed,0.58,15,4306,3487,0.872,0.48
Completed,0.73,185,4531,119,0.672,0.322
Completed,0.58,8,2180,2511,0.338,0.942
Completed,0.6,12,333,1518,0.987,0.237
Completed,0.51,9,2997,3969,0.027,0.623
Completed,0.56,20,2580,830,0.893,0.927
Completed,0.53,7,244,3379,0.121,0.307
Completed,0.54,11,2245,1912,0.704,0.514
Completed,0.55,16,4894,4519,0.306,0.128
Completed,0.55,27,3771,1638,0.24,0.033
Completed,0.56,12,1434,4167,0.777,0.668
Completed,0.66,51,1094,478,0.429,0.402
Completed,0.57,16,3742,3105,0.593,0.773
Completed,0.61,22,3672,1791,0.837,0.596
Completed,0.54,10,1009,4320,0.173,0.234
Completed,0.7,75,1505,314,0.526,0.962
Completed,0.56,14,3907,4241,0.727,0.988
Completed,0.58,20,4757,2141,0.786,0.834
Completed,0.54,7,2421,4592,0.201,0.463
Completed,0.54,11,107,747,0.6,0.731
Completed,0.54,10,2757,3139,0.39,0.096
Completed,0.57,19,2821,1287,0.507,0.416
Completed,0.52,7,470,3895,0.482,0.787
Completed,0.55,11,2004,201,0.816,0.018
Completed,0.59,23,4668,2750,0.17,0.653
Completed,0.55,38,4170,1100,0.344,0.561
Completed,0.58,13,1819,3727,0.634,0.176
Completed,0.57,13,695,2265,0.036,0.879
Completed,0.54,9,3358,4794,0.946,0.259
Completed,0.57,16,3183,2494,0.461,0.715
Completed,0.55,6,831,4867,0.561,0.08
Completed,0.59,36,1643,1017,0.145,0.85
Completed,0.59,21,4213,2548,0.661,0.025
Completed,0.59,39,4614,1072,0.852,0.183
Completed,0.55,18,1961,3446,0.127,0.553
Completed,0.56,12,523,2447,0.542,0.252
Completed,0.54,7,2865,4918,0.44,0.888
Completed,0.63,38,2810,520,0.572,0.569
Completed,0.53,7,152,3049,0.41,0.199
Completed,0.57,10,2366,1586,0.759,0.997
Completed,0.54,14,4713,4213,0.22,0.361
Completed,0.61,25,3961,1938,0.295,0.457
Completed,0.56,7,1302,4487,0.691,0.843
Completed,0.6,32,1177,794,0.108,0.103
Completed,0.59,12,3523,3401,0.882,0.723
Completed,0.69,74,3567,396,0.066,0.191
Completed,0.58,15,1230,2867,0.916,0.577
Completed,0.57,21,1259,1868,0.252,0.368
Completed,0.57,8,3824,4570,0.797,0.507
Completed,0.61,24,4849,1826,0.747,0.661
Completed,0.52,6,2192,4297,0.27,0.041
Completed,0.64,22,288,447,0.935,0.779
Completed,0.56,12,2634,2820,0.087,0.393
Completed,0.59,15,3040,2208,0.967,0.088
Completed,0.57,8,387,4835,0.054,0.708
Completed,0.56,13,2136,1146,0.653,0.471
Completed,0.57,13,4477,3676,0.365,0.857
Completed,0.71,109,4351,169,0.181,0.949
Completed,0.59,18,1696,2777,0.829,0.313
Completed,0.57,18,788,1309,0.496,0.616
Completed,0.56,10,3128,3858,0.518,0.246
Completed,0.56,24,3304,1549,0.016,0.796
Completed,0.53,9,650,3942,0.974,0.41
Completed,0.75,219,1873,96,0.325,0.645
Completed,0.56,13,4275,4023,0.436,0.68
Completed,0.58,20,4402,2373,0.113,0.527
Completed,0.51,6,2055,4999,0.9,0.148
Completed,0.58,17,463,993,0.298,0.906
Completed,0.58,11,3121,3523,0.712,0.293
Completed,0.56,11,2554,1661,0.33,0.226
Completed,0.53,8,212,4132,0.68,0.605
Completed,0.62,17,2272,599,0.019,0.34
Completed,0.59,20,4925,2972,0.995,0.952
Completed,0.63,42,3899,873,0.553,0.861
Completed,0.59,15,1559,3324,0.469,0.499
Completed,0.53,16,964,2013,0.864,0.696
Completed,0.57,13,3618,4406,0.153,0.068
Completed,0.64,44,3699,720,0.401,0.298
Completed,0.59,14,1039,3171,0.613,0.933
Completed,0.61,20,1479,2177,0.213,0.137
Completed,0.61,18,4037,3250,0.044,0.164
Completed,0.66,82,4789,370,0.475,0.005
Completed,0.55,8,2447,2899,0.516,0.633
Completed,0.54,7,76,1744,0.163,0.437
Completed,0.53,7,2729,4371,0.824,0.8
Completed,0.54,22,2946,1223,0.193,0.742
Completed,0.58,8,599,3596,0.794,0.115
Completed,0.6,19,1880,2290,0.382,0.816
Completed,0.55,11,4538,4761,0.608,0.453
Completed,0.63,37,4138,1391,0.909,0.357
Completed,0.56,14,1792,3784,0.074,0.969
Completed,0.68,54,726,246,0.719,0.21
Completed,0.62,21,3385,2697,0.259,0.588
Completed,0.81,594,3209,17,0.77,0.389
Completed,0.58,12,863,2625,0.248,0.752
Completed,0.63,27,1616,1475,0.585,0.053
Completed,0.55,23,4119,3394,0.266,0.902
Completed,0.65,86,4559,493,0.217,0.81
Completed,0.57,23,1899,3120,0.801,0.424
Completed,0.57,15,619,1613,0.405,0.63
Completed,0.59,9,2965,4143,0.617,0.01
Completed,0.63,20,2710,1041,0.499,0.44
Completed,0.5,6,56,3512,0.522,0.826
Completed,0.55,9,2428,2479,0.185,0.119
Completed,0.55,11,4769,4852,0.833,0.739
Completed,0.58,30,4056,1503,0.649,0.585
Completed,0.57,12,1403,3954,0.361,0.215
Completed,0.7,68,1120,143,0.963,0.98
Completed,0.6,18,3462,2536,0.05,0.344
Completed,0.56,30,3442,2095,0.626,0.891
Completed,0.6,11,1101,4644,0.352,0.279
Completed,0.63,44,1383,643,0.939,0.542
Completed,0.55,13,3881,3871,0.131,0.379
Completed,0.58,23,4945,2240,0.321,0.283
Completed,0.51,7,2291,4770,0.657,0.919
Completed,0.55,12,232,1115,0.012,0.152
Completed,0.51,8,2573,3742,0.971,0.522
Completed,0.52,19,3102,1853,0.105,0.966
Completed,0.53,8,443,4227,0.878,0.33
Completed,0.62,11,2036,420,0.291,0.6
Completed,0.6,17,4382,2891,0.687,0.23
Completed,0.64,50,4294,771,0.763,0.072
Completed,0.57,14,1636,3164,0.223,0.692
Completed,0.54,17,882,2126,0.576,0.488
Completed,0.6,11,3229,4577,0.414,0.874
Completed,0.6,21,3365,1887,0.931,0.168
Completed,0.53,12,707,4495,0.083,0.538
Completed,0.56,44,1772,845,0.744,0.266
Completed,0.59,14,4370,4418,0.511,0.311
Completed,0.6,29,4458,1693,0.943,0.406
Completed,0.56,7,2117,4066,0.047,0.769
Completed,0.65,22,367,567,0.631,0.037
Completed,0.55,11,3021,3038,0.356,0.665
Completed,0.54,12,2654,2400,0.723,0.847
Completed,0.53,10,308,4929,0.264,0.484
Completed,0.59,13,2210,966,0.912,0.711
Completed,0.55,16,4870,3594,0.078,0.084
Completed,0.77,338,3805,69,0.378,0.241
Completed,0.58,14,1458,2618,0.604,0.62
Completed,0.61,28,1021,1424,0.189,0.326
Completed,0.58,12,3679,4031,0.79,0.938
Completed,0.72,104,3598,216,0.546,0.676
Completed,0.55,11,945,2765,0.444,0.056
Completed,0.6,26,1539,1263,0.855,0.765
Completed,0.56,20,3981,2690,0.904,0.783
Completed,0.58,47,4693,1197,0.581,0.875
Completed,0.54,7,2348,3667,0.433,0.263
Completed,0.52,10,131,2317,0.766,0.558
Completed,0.54,9,2791,4690,0.244,0.18
Completed,0.68,52,2884,338,0.86,0.372
Completed,0.56,8,544,2965,0.149,0.984
Completed,0.59,29,1979,1776,0.549,0.195
Completed,0.57,13,4634,4306,0.465,0.573
Completed,0.54,26,4194,2049,0.023,0.728
Completed,0.54,11,1852,4657,0.999,0.1
