detector,lodo_dataset,learning_target,distance_method,dual_ranking_method,target_column,kendall_internal_target,spearman_internal_target,kendall_accuracy,spearman_accuracy,kendall_runtime,spearman_runtime,n_heldout_configs,n_real_pareto_points,n_real_pareto_layers,acc_fast,rt_fast,acc_accurate,rt_accurate,kendall_pareto_all,spearman_pareto_all,mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,metrics_available_at_20,n_selected_at_20,gd_plus_at_20,mn_pd_at_20,top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,igd_plus_at_20,aec_at_20,rec_at_20,pec_w0p5_at_20,acc_s_at_20,rt_s_at_20
IBDD,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.33110188061317564,0.4574878396837161,0.3821954802295093,0.5116869912084948,2927,16,284,0.1428571428571428,1.0,1.0,0.2418936600596047,0.45982036043315055,0.6164208166041318,0.12932866977257482,0.025130234646741398,True,20,0.0887439743901022,0.027031802120141345,0.85,1.0,0.06252677717862512,0.9333333333333333,1.0,0.9666666666666667,0.9428571428571428,1.0
IBDD,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.39799864164209214,0.5387166620951942,0.3851295527147147,0.5195506534611487,1131,20,73,0.0588235294117647,1.0,1.0,0.1587785428363808,0.4832709459868443,0.6445976871767441,0.20008923530817557,0.03865058722328879,True,20,0.041278563211189515,0.03333333333333333,0.75,1.0,0.04548899111423525,0.9583333333333331,0.6771386850510471,0.8177360091921901,0.96078431372549,0.7284021341768797
CSDDM,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.49596127182507155,0.6617018984094604,0.6246117993508068,0.78051380091999,1145,4,59,0.6923076923076921,1.0,1.0,0.797001904203346,0.07000043346046532,0.10204185452638076,0.05491765729107328,0.020529172623948357,True,20,0.13093579112988044,0.07931034482758621,0.1,0.6,0.056735300264572214,0.75,0.8343358858345797,0.7921679429172899,0.923076923076923,0.9663705002825802
CSDDM,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7738523272394915,0.9109515132811483,0.6448158153999145,0.8094114920982941,1792,23,157,0.0,1.0,1.0,0.0,-0.1635083066501163,-0.23428450578814228,0.16175654994787028,0.04162263724016389,True,20,0.0753803550068691,0.14294871794871794,0.2,0.4,0.07208135418985924,0.8148148148148151,0.9701765783660756,0.8924956965904454,0.8148148148148151,0.9701765783660756
CSDDM,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6691738571165222,0.8335953394192267,0.6339412521600375,0.7950199315902625,1197,13,38,0.2000000000000001,1.0,1.0,0.276355362675966,-0.14141771013604,-0.20307760833362634,0.17225416178390685,0.045486465855847036,True,20,0.1002105105808125,0.16081081081081083,0.05,0.2,0.10110542743732963,0.7916666666666665,0.9058469008984985,0.8487567837825825,0.8333333333333333,0.93186661474776
CSDDM,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7193634398184882,0.8652186349863803,0.608317184458593,0.7800318724055915,1832,16,192,0.7027027027027027,1.0,1.0,0.7315151478405352,0.08230087353908751,0.1179145565689149,0.03518197721138428,0.004469671256566048,True,20,0.01586317603487237,0.02696335078534031,0.8,1.0,0.010380306863213614,0.9545454545454543,0.9575756353801904,0.9560605449628223,0.9864864864864864,0.9886097007370912
CSDDM,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7522274753750173,0.8933054676889624,0.6759204062421119,0.8374652927244243,2146,19,126,0.0588235294117647,1.0,1.0,0.4340883984053918,-0.05103348399855737,-0.07264010948853795,0.10740685106953075,0.02318670747581969,True,20,0.025967132672682424,0.0264,1.0,1.0,0.04107785963062167,0.9062499999999999,0.9048135420728749,0.9055317710364374,0.9117647058823528,0.9461328791443429
CSDDM,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7808049474186696,0.9049686034138208,0.3448214427683323,0.47974613220038603,1223,27,119,0.04,1.0,1.0,0.0054472308920031,0.1448223696363712,0.2094016787535037,0.12702958947007076,0.028783825674287847,True,20,0.03953585605217948,0.05889830508474575,0.4,0.85,0.04902107186158375,0.8333333333333334,0.9440024399479563,0.8886678866406448,0.8400000000000001,0.9443074715869486
OCDD,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5038818624734964,0.6948712152166703,0.6479116773397264,0.7968729875260495,1212,5,139,0.6206896551724137,1.0,1.0,0.7981490078090399,0.30801467588662584,0.4338134190948117,0.17308696323336029,0.12241182929325138,True,20,0.08293455194603798,0.04384057971014493,0.7,1.0,0.14407467718727202,0.09090909090909106,1.0,0.5454545454545455,0.6551724137931034,1.0
OCDD,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.705834065229365,0.8644207484441367,0.709296486867323,0.8843877565574368,1104,21,128,0.0,1.0,1.0,0.1987336299799975,0.4459122280099474,0.609779979377261,0.12199020210488444,0.01226101757271826,True,20,0.02507360426857875,0.018897637795275587,1.0,1.0,0.03006101135434865,0.923076923076923,0.9773496461434106,0.9502132846101667,0.923076923076923,0.981851033185662
OCDD,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6661930028592745,0.858024657465027,0.6884179229471102,0.862030494781126,1123,13,61,0.1794871794871796,1.0,1.0,0.5504273534020434,-0.09081639667268987,-0.13174832035041836,0.27496507515716356,0.19454837150019835,True,20,0.09234728827575578,0.09,0.25,0.6,0.27014439419510927,0.34375000000000006,1.0,0.671875,0.4615384615384617,1.0
OCDD,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.713881151182608,0.8702789406367649,0.7313909817248546,0.89409244794435,1107,17,100,0.4999999999999999,1.0,1.0,0.7384227494845222,0.45943611900002895,0.6144796371103132,0.0381759795526464,0.004536586172161745,True,20,0.03556334070287519,0.03383838383838384,0.6,1.0,0.012399648515042582,1.0,0.9865968124813111,0.9932984062406556,1.0,0.996494031060718
OCDD,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.64776760329905,0.8219754550407572,0.5979743891029914,0.7666655613875917,2255,18,142,0.0681818181818181,1.0,1.0,0.6043043334619165,0.4292619515260865,0.5580032846048257,0.14206301164047755,0.04727673336582759,True,20,0.03544657189073487,0.018085106382978722,1.0,1.0,0.03272053515165167,0.7560975609756098,0.974725808254564,0.8654116846150869,0.7727272727272727,0.9899991118510784
OCDD,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7062813725280765,0.8817416064937115,0.5266823435161928,0.7082516132439712,944,21,77,0.037037037037037,1.0,1.0,0.1367172183192043,0.3780651894449147,0.5201244044488251,0.10645640555592198,0.014905573133983815,True,20,0.035477175350373535,0.030921052631578943,0.75,1.0,0.032024720403750616,0.9423076923076925,0.9868298690944488,0.9645687807010707,0.9444444444444446,0.9886304527567557
