Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.72,40,4078,618,10,0.753
Completed,0.72,37,4426,481,6,0.154
Completed,0.71,12,1478,2304,3,0.781
Completed,0.72,20,1085,461,1,0.713
Completed,0.69,18,937,1468,1,0.094
Completed,0.68,6,1469,2482,6,0.742
Completed,0.73,38,895,527,10,0.464
Completed,0.69,3,2065,4581,1,0.931
Completed,0.71,15,2321,5000,4,0.999
Completed,0.69,70,916,1060,8,0.146
Completed,0.73,24,1079,430,10,0.648
Completed,0.72,7,1520,2358,1,0.716
Completed,0.72,17,966,476,10,0.869
Completed,0.68,22,1430,2138,1,0.879
Completed,0.69,14,1588,3076,1,0.681
Completed,0.69,94,1648,3439,1,0.433
Completed,0.69,25,1248,1486,10,0.573
Completed,0.73,22,1066,344,1,0.999
Completed,0.72,16,1171,491,1,0.928
Completed,0.69,65,1504,2489,10,0.794
Completed,0.72,37,1776,3023,10,0.999
Completed,0.68,8,1078,1414,1,0.882
Completed,0.71,5,4919,4790,1,0.942
Completed,0.74,26,1081,527,7,0.999
Completed,0.63,22,2495,4420,1,0.999
Completed,0.68,21,4690,3108,7,0.877
Completed,0.72,10,5000,1574,1,0.448
Completed,0.71,17,4980,1826,4,0.923
Completed,0.72,45,4008,550,3,0.341
Completed,0.72,8,3707,1632,1,0.916
Completed,0.73,27,4982,2098,1,0.612
Completed,0.72,10,4414,1593,1,0.905
Completed,0.73,11,167,204,10,0.098
Completed,0.72,23,4817,1500,10,0.263
Completed,0.72,42,4640,3021,5,0.758
Completed,0.73,378,4883,46,1,0.801
Completed,0.72,10,4432,3159,10,0.551
Completed,0.74,20,554,430,5,0.666
Completed,0.73,40,5000,1699,1,0.899
Completed,0.69,5,4584,5000,1,0.966
Completed,0.68,42,5000,4953,10,0.999
Completed,0.74,60,2964,158,10,0.421
Completed,0.73,22,699,224,10,0.405
Completed,0.72,31,4655,2140,4,0.915
Completed,0.7,12,1,351,5,0.118
Completed,0.74,53,422,63,10,0.094
Completed,0.71,16,5000,1549,1,0.306
Completed,0.73,21,3275,465,1,0.7
Completed,0.73,114,4864,125,10,0.449
Completed,0.71,66,1601,1873,1,0.082
Completed,0.68,4,3553,5000,1,0.829
Completed,0.72,50,5000,1189,1,0.302
Completed,0.71,14,4421,1550,1,0.3
Completed,0.71,30,4347,3082,10,0.314
Completed,0.68,15,3037,5000,1,0.656
Completed,0.73,24,3101,338,8,0.656
Completed,0.73,33,5000,1357,1,0.299
Completed,0.73,40,4814,289,1,0.48
Completed,0.73,17,3023,394,1,0.695
Completed,0.71,27,5000,1735,1,0.318
Completed,0.72,30,4134,1462,10,0.36
Completed,0.7,35,1381,2046,1,0.165
Completed,0.68,171,3194,5000,10,0.821
Completed,0.74,57,4018,209,10,0.505
Completed,0.66,249,1690,1691,1,0.001
Completed,0.72,25,1497,637,1,0.553
Completed,0.67,69,3876,4850,10,0.784
Completed,0.73,23,913,818,10,0.999
Completed,0.67,264,1452,1903,1,0.001
Completed,0.72,11,1,41,10,0.343
Completed,0.73,25,1637,428,1,0.903
Completed,0.7,86,4923,3202,10,0.415
Completed,0.7,27,1780,2876,1,0.999
Completed,0.7,16,4853,4584,1,0.823
Completed,0.69,33,693,1080,10,0.771
Completed,0.74,24,1309,391,4,0.898
Completed,0.73,73,790,64,4,0.26
Completed,0.73,31,1012,336,10,0.393
Completed,0.7,8,612,1175,1,0.829
Completed,0.73,20,1424,538,1,0.833
Completed,0.69,11,494,1101,5,0.989
Completed,0.71,41,5000,3040,7,0.43
Completed,0.73,19,843,269,1,0.892
Completed,0.66,49,1960,2989,9,0.63
Completed,0.7,62,5000,2950,10,0.241
Completed,0.71,43,777,1097,9,0.706
Completed,0.67,26,5000,3068,1,0.299
Completed,0.73,12,429,270,3,0.255
Completed,0.66,4,1326,3434,1,0.91
