Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.92,1176,4198,544,1,0.335
Completed,0.88,905,665,1424,1,0.647
Completed,0.9,3385,2719,58,3,0.999
Completed,0.88,613,175,417,1,0.391
Completed,0.92,1360,683,105,1,0.001
Completed,0.85,1481,4253,3714,1,0.895
Completed,0.91,1838,533,66,3,0.956
Completed,0.92,1095,1242,214,2,0.956
Completed,0.92,1126,3816,446,1,0.173
Completed,0.87,540,772,1346,1,0.999
Completed,0.87,873,3536,2779,1,0.844
Completed,0.92,839,4354,487,1,0.698
Completed,0.89,794,200,268,7,0.568
Completed,0.92,1161,4212,473,5,0.999
Completed,0.9,536,611,793,3,0.999
Completed,0.87,358,291,680,1,0.999
Completed,0.84,700,1052,3238,1,0.999
Completed,0.92,1234,4046,537,4,0.59
Completed,0.9,547,285,334,2,0.795
Completed,0.92,1933,1035,132,8,0.999
Completed,0.89,614,710,1461,2,0.999
Completed,0.9,432,312,509,1,0.999
Completed,0.92,1451,3523,261,1,0.999
Completed,0.91,817,3340,1511,2,0.999
Completed,0.92,916,1422,352,1,0.875
Completed,0.93,1720,1812,373,10,0.842
Completed,0.91,451,558,652,1,0.999
Completed,0.9,1472,4750,2826,1,0.729
Completed,0.9,668,3818,2169,1,0.859
Completed,0.85,589,1046,2195,1,0.999
Completed,0.89,802,1041,1479,2,0.999
Completed,0.9,537,3715,2272,1,0.999
Completed,0.91,942,1412,1523,1,0.795
Completed,0.88,576,1373,2025,1,0.851
Completed,0.92,1199,1387,296,8,0.848
Completed,0.91,832,241,259,5,0.793
Completed,0.89,2480,5000,2429,1,0.46
Completed,0.92,1046,1777,422,1,0.642
Completed,0.92,1336,4453,326,2,0.999
Completed,0.84,1275,1299,3229,1,0.62
Completed,0.88,390,691,1222,1,0.999
Completed,0.88,608,3280,1890,1,0.887
Completed,0.91,1140,693,776,10,0.914
Completed,0.9,716,1587,2214,1,0.904
Completed,0.89,821,193,352,1,0.086
Completed,0.85,1575,4423,4602,4,0.999
Completed,0.89,645,3669,2163,1,0.999
Completed,0.89,700,174,242,5,0.206
