Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.72,161,1286,118,10,0.001
Completed,0.56,97,994,2371,10,0.001
Completed,0.73,124,1326,132,10,0.999
Completed,0.63,22,1168,1461,10,0.999
Completed,0.73,310,4469,89,1,0.001
Completed,0.65,48,892,394,1,0.001
Completed,0.63,28,1033,1041,10,0.999
Completed,0.68,56,1008,349,1,0.516
Completed,0.57,15,1389,2685,1,0.999
Completed,0.76,306,4502,71,10,0.999
Completed,0.71,109,1284,164,10,0.999
Completed,0.6,19,4051,2958,10,0.999
Completed,0.77,400,5000,43,10,0.001
Completed,0.55,14,1362,2558,10,0.999
Completed,0.57,8,4378,4093,1,0.001
Completed,0.56,11,3754,3884,1,0.001
Completed,0.73,185,5000,118,1,0.999
Completed,0.73,200,1283,83,10,0.999
Completed,0.61,113,1251,1526,10,0.001
Completed,0.76,281,1267,51,10,0.999
Completed,0.75,266,5000,79,1,0.001
Completed,0.64,44,1093,554,10,0.001
Completed,0.6,21,982,1367,10,0.486
Completed,0.71,171,5000,139,1,0.999
Completed,0.75,355,5000,67,1,0.999
Completed,0.72,72,798,186,10,0.001
Completed,0.67,56,1108,327,10,0.999
Completed,0.76,381,5000,63,10,0.999
Completed,0.71,62,1141,272,10,0.999
Completed,0.6,20,1100,1359,1,0.999
Completed,0.57,9,1171,3395,10,0.999
Completed,0.78,571,4686,31,10,0.999
Completed,0.74,131,1256,120,10,0.999
Completed,0.7,72,1049,293,10,0.001
Completed,0.75,225,1100,52,1,0.001
Completed,0.63,44,936,455,1,0.001
Completed,0.57,16,4201,2887,1,0.635
Completed,0.75,237,5000,101,1,0.001
Completed,0.65,38,1029,551,10,0.999
Completed,0.58,26,1067,879,10,0.999
Completed,0.54,9,1080,3621,10,0.999
Completed,0.55,8,5000,4237,1,0.999
Completed,0.56,8,1675,4203,10,0.999
Completed,0.72,53,825,253,1,0.485
Completed,0.77,484,5000,38,1,0.001
Completed,0.73,153,5000,167,1,0.999
Completed,0.76,228,1118,58,10,0.001
Completed,0.54,7,1047,4524,10,0.999
Completed,0.74,261,1204,46,10,0.001
Completed,0.59,17,5000,2439,10,0.999
Completed,0.61,12,1151,2759,10,0.999
Completed,0.68,52,871,312,1,0.999
Completed,0.61,17,1029,1690,10,0.999
Completed,0.77,339,4709,62,10,0.001
Completed,0.64,50,966,456,10,0.999
Completed,0.79,308,1164,37,10,0.999
Completed,0.73,93,1081,174,10,0.999
Completed,0.53,9,4151,4594,10,0.999
Completed,0.64,39,1146,683,10,0.999
Completed,0.59,8,1144,3255,1,0.999
Completed,0.73,131,1160,103,10,0.001
Completed,0.6,17,4017,2962,1,0.001
Completed,0.63,22,1389,1376,10,0.999
Completed,0.64,23,1214,1228,10,0.338
Completed,0.74,142,1132,101,1,0.999
Completed,0.74,81,1073,168,1,0.58
Completed,0.58,29,4158,1488,10,0.999
Completed,0.61,37,1157,1377,10,0.001
Completed,0.67,47,735,324,1,0.001
Completed,0.62,19,989,1217,10,0.999
Completed,0.81,557,1093,19,1,0.001
Completed,0.56,11,3474,3938,10,0.001
Completed,0.6,15,4984,2513,1,0.999
Completed,0.61,26,880,824,10,0.999
Completed,0.68,54,1100,329,10,0.41
Completed,0.75,194,4876,108,10,0.001
Completed,0.76,291,1114,41,1,0.999
Completed,0.81,577,1098,20,1,0.999
Completed,0.75,118,1126,135,10,0.999
Completed,0.75,165,1062,74,1,0.001
Completed,0.79,482,1126,21,10,0.999
Completed,0.75,102,1034,124,1,0.001
Completed,0.72,65,688,173,1,0.001
Completed,0.73,138,1040,87,1,0.001
Completed,0.57,23,4167,1923,1,0.007
Completed,0.58,12,3841,3102,10,0.999
Completed,0.73,93,1000,143,1,0.001
Completed,0.73,114,1078,114,1,0.999
Completed,0.62,96,1228,1157,10,0.001
Completed,0.73,206,1102,68,1,0.999
Completed,0.74,201,1092,69,10,0.001
Completed,0.72,76,929,176,1,0.999
