Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.75,5,5000,1267,1,0.938
Completed,0.73,260,5000,4637,1,0.001
Completed,0.73,49,1503,5000,1,0.327
Completed,0.73,2,1957,3925,1,0.795
Completed,0.75,7,3705,674,2,0.999
Completed,0.74,9,4904,909,3,0.846
Completed,0.75,6,1655,683,1,0.941
Completed,0.74,3,4770,2615,1,0.875
Completed,0.73,1,237,5000,1,0.845
Completed,0.74,5,4928,1425,1,0.665
Completed,0.73,1,2954,5000,2,0.948
Completed,0.73,1,141,4349,1,0.824
Completed,0.73,2,4825,3167,2,0.837
Completed,0.73,68,4245,5000,10,0.339
Completed,0.73,3,5000,2881,3,0.999
Completed,0.73,115,4052,4382,1,0.165
Completed,0.74,8,856,304,1,0.999
Completed,0.73,2,2537,1427,4,0.999
Completed,0.73,1,1,3607,10,0.99
Completed,0.74,79,4842,1272,3,0.668
Completed,0.73,2,4364,4264,1,0.799
Completed,0.75,26,4742,820,1,0.545
Completed,0.73,2,3933,5000,1,0.819
Completed,0.72,40,1,3280,10,0.999
Completed,0.73,1,3396,4774,1,0.846
Completed,0.73,1,2388,4702,1,0.999
Completed,0.75,17,207,71,8,0.249
Completed,0.73,1,59,4211,1,0.879
Completed,0.73,3,972,5000,4,0.892
Completed,0.73,2,4293,5000,1,0.75
Completed,0.73,26,1,5000,6,0.869
Completed,0.73,2,1,93,8,0.889
Completed,0.73,19,1619,4999,3,0.789
Completed,0.73,22,4828,4982,3,0.784
Completed,0.73,73,4990,5000,10,0.508
Completed,0.74,2,5000,3400,1,0.684
Completed,0.73,2,5000,5000,2,0.825
Completed,0.73,2,3830,4704,1,0.766
Completed,0.73,4,1,3204,8,0.999
Completed,0.72,19,2178,1258,1,0.58
Completed,0.73,127,844,4212,10,0.885
Completed,0.73,83,240,5000,10,0.799
Completed,0.74,1,1422,4425,1,0.872
Completed,0.74,11,4943,2700,3,0.918
Completed,0.74,2,4865,3508,1,0.742
Completed,0.72,85,1544,35,10,0.08
Completed,0.73,2,4922,3241,1,0.732
Completed,0.73,1,1,2682,1,0.949
Completed,0.74,13,5000,3463,2,0.741
Completed,0.73,1,1,3660,4,0.963
Completed,0.74,10,584,186,1,0.427
Completed,0.74,2,5000,3660,1,0.737
Completed,0.73,36,1198,121,1,0.389
Completed,0.73,1,2200,1125,1,0.893
Completed,0.74,3,2576,643,1,0.985
Completed,0.73,1,1,5000,6,0.99
Completed,0.73,2,4870,3364,1,0.745
