Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.58,10537,1632,821,2,0.353
Completed,0.62,11971,4016,668,3,0.113
Completed,0.61,11684,1520,601,7,0.389
Completed,0.65,5132,1904,413,9,0.317
Completed,0.78,2421,379,160,2,0.109
Completed,0.68,12222,1354,2159,5,0.595
Completed,0.66,13973,4699,2341,4,0.367
Completed,0.67,14388,1101,2704,4,0.458
Completed,0.65,13595,3406,4661,4,0.943
Completed,0.73,6752,3240,409,8,0.251
Completed,0.82,5686,4226,78,10,0.146
Completed,0.68,9463,1013,2188,7,0.769
Completed,0.68,10475,3939,2024,1,0.912
Completed,0.62,11073,84,853,4,0.724
Completed,0.69,7212,3414,577,2,0.476
Completed,0.72,8147,668,399,4,0.033
Completed,0.65,12240,2869,3685,2,0.71
Completed,0.66,11312,4683,1726,1,0.347
Completed,0.66,11945,4138,4874,1,0.582
Completed,0.68,14377,1137,1039,10,0.06
Completed,0.68,9613,3501,2136,1,0.823
Completed,0.67,12642,3760,1795,4,0.633
Completed,0.59,11695,2197,4748,1,0.125
Completed,0.67,10846,913,2078,2,0.702
Completed,0.62,12263,364,3976,1,0.498
Completed,0.58,13992,74,1798,7,0.231
Completed,0.73,1928,313,269,6,0.522
Completed,0.53,4066,2005,376,3,0.848
Completed,0.67,4178,1201,1171,1,0.053
Completed,0.72,9253,4580,511,2,0.659
Completed,0.67,9703,3349,1857,1,0.539
Completed,0.64,12893,2478,3613,8,0.836
Completed,0.65,13219,2432,2477,3,0.173
Completed,0.46,12476,28,3013,1,0.754
Completed,0.68,13506,3469,996,5,0.487
Completed,0.68,13300,4335,1280,9,0.832
Completed,0.67,10916,600,1374,2,0.299
Completed,0.78,955,2095,100,7,0.237
Completed,0.73,7242,1603,418,9,0.532
Completed,0.78,2441,2422,184,10,0.681
Completed,0.72,7068,2838,363,2,0.068
Completed,0.67,9356,3386,3504,1,0.863
Completed,0.68,12402,1220,1996,4,0.132
Completed,0.67,13793,3124,1746,8,0.847
Completed,0.61,10287,142,2313,1,0.585
Completed,0.66,11039,1493,1617,1,0.827
Completed,0.7,13083,955,894,10,0.907
Completed,0.74,2075,3608,288,1,0.217
Completed,0.69,8375,2530,606,4,0.512
Completed,0.7,4173,4441,750,3,0.888
Completed,0.67,10117,4502,2969,1,0.605
Completed,0.72,7043,1304,492,7,0.103
Completed,0.72,6967,4027,317,9,0.421
Completed,0.66,11859,4247,2108,3,0.483
Completed,0.65,13394,2355,4593,3,0.748
Completed,0.52,12850,2063,3812,3,0.775
Completed,0.66,14007,4482,3950,4,0.717
Completed,0.66,12408,3723,4432,2,0.389
Completed,0.77,3103,715,232,2,0.83
Completed,0.68,7274,4007,1523,6,0.279
Completed,0.65,6298,4054,2730,1,0.739
Completed,0.67,9836,4383,2416,1,0.812
Completed,0.61,11689,221,4917,2,0.649
Completed,0.66,12709,1451,3723,2,0.527
Completed,0.64,13923,2650,4740,4,0.842
Completed,0.65,13816,372,1572,9,0.66
Completed,0.58,13445,48,3907,3,0.927
Completed,0.62,12926,194,1203,7,0.36
Completed,0.67,13041,1317,2557,5,0.799
