Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Failed,,,2180,3933,39,672,0.527
Failed,,,2220,1914,91,767,0.074
Failed,,,917,9,32,153,0.253
Failed,,,1713,3031,62,995,0.236
Failed,,,4622,13,70,274,0.552
Failed,,,4942,2301,85,861,0.975
Failed,,,507,1794,25,282,0.498
Failed,,,387,4502,17,641,0.207
Failed,,,1308,1784,90,199,0.307
Failed,,,3303,2586,42,795,0.625
Failed,,,2911,2357,9,916,0.538
Failed,,,3833,3859,85,487,0.952
Failed,,,1152,2996,78,960,0.768
Failed,,,2504,4908,53,606,0.313
Failed,,,3676,152,99,735,0.475
Failed,,,2243,2316,38,702,0.782
Failed,,,2992,3311,94,290,0.152
Failed,,,3228,1670,57,419,0.061
Failed,,,1540,2704,13,573,0.882
Failed,,,13,4100,92,513,0.424
Failed,,,1594,2126,15,86,0.09
Failed,,,3642,3512,67,924,0.969
Failed,,,2626,1548,84,802,0.819
Failed,,,2140,2816,36,207,0.248
Failed,,,1187,882,59,634,0.27
Failed,,,4206,4728,11,358,0.67
Failed,,,3799,2225,54,169,0.446
Failed,,,813,3418,3,824,0.612
Failed,,,3425,941,23,613,0.133
Failed,,,1342,4673,72,397,0.809
Failed,,,421,1602,48,952,0.707
Failed,,,4969,2756,97,40,0.358
Failed,,,1606,3074,65,811,0.331
Failed,,,2693,2182,68,716,0.238
Failed,,,3254,3219,7,693,0.302
Failed,,,3019,1723,44,564,0.394
Failed,,,2215,2640,88,414,0.539
Failed,,,633,1135,19,997,0.938
Failed,,,3979,4474,63,26,0.121
Failed,,,2806,4294,99,879,0.738
Failed,,,1726,4849,5,221,0.477
Failed,,,4425,3010,31,341,0.932
Failed,,,4886,1266,93,384,0.386
Failed,,,348,3121,39,608,0.547
Failed,,,1990,2750,73,987,0.661
Failed,,,1033,977,47,416,0.825
Failed,,,4360,4667,97,578,0.243
Failed,,,3948,2130,43,889,0.891
Failed,,,664,3479,90,105,0.044
Failed,,,2204,297,18,548,0.44
Failed,,,1501,4763,34,676,0.348
Failed,,,4805,2851,9,760,0.803
Failed,,,541,4895,80,424,0.635
Failed,,,3075,1959,96,134,0.126
Failed,,,776,126,71,303,0.544
Failed,,,3992,4248,24,707,0.397
Failed,,,4247,1769,66,767,0.735
Failed,,,3523,535,10,452,0.936
Failed,,,4557,2330,19,270,0.23
Failed,,,4402,1880,16,285,0.615
Failed,,,422,375,26,92,0.197
Failed,,,1002,2960,7,173,0.029
Failed,,,3547,714,74,535,0.815
Failed,,,3898,4465,47,452,0.66
Failed,,,853,247,14,802,0.786
Failed,,,2139,3262,5,270,0.475
Failed,,,614,2011,78,744,0.006
Failed,,,1080,4202,77,773,0.88
Failed,,,3820,3204,65,602,0.308
Failed,,,2345,2426,15,483,0.661
Failed,,,1118,3116,55,885,0.751
Failed,,,3848,3229,12,227,0.242
Failed,,,1599,4319,38,333,0.594
Failed,,,1736,1491,78,942,0.089
Failed,,,3593,3813,42,651,0.207
Failed,,,4820,636,77,248,0.364
Failed,,,3089,1917,7,532,0.023
Failed,,,635,373,80,71,0.815
Failed,,,349,3591,2,702,0.448
Failed,,,3815,508,65,487,0.768
Failed,,,3723,1949,24,987,0.555
Failed,,,985,4783,100,881,0.872
Failed,,,1557,2792,41,381,0.586
Failed,,,1328,931,54,969,0.485
Failed,,,4105,2428,95,554,0.711
Failed,,,1215,1673,12,469,0.214
Failed,,,3436,127,41,54,0.986
Failed,,,1081,68,59,711,0.021
Failed,,,2266,4975,27,2,0.473
Failed,,,2055,1139,97,406,0.884
Failed,,,830,3897,14,822,0.619
Failed,,,409,1260,43,906,0.659
Failed,,,2603,383,10,616,0.387
Failed,,,460,3954,78,118,0.958
Failed,,,803,1515,55,171,0.762
Failed,,,3610,596,100,320,0.036
Failed,,,2333,2279,91,976,0.142
Failed,,,4507,768,62,515,0.93
Failed,,,1831,1900,60,413,0.726
Failed,,,4745,3542,64,150,0.276
Failed,,,2462,670,38,234,0.094
Failed,,,1199,4367,72,556,0.421
Failed,,,4685,2220,9,258,0.866
Failed,,,3092,3338,44,342,0.494
Failed,,,1500,97,80,596,0.783
Failed,,,3142,882,14,386,0.282
Failed,,,2178,1407,21,792,0.396
Failed,,,863,3638,89,497,0.1
Failed,,,4975,393,26,691,0.685
Failed,,,3755,2889,6,522,0.601
Failed,,,366,1207,69,292,0.187
Failed,,,1600,3751,48,998,0.328
Failed,,,2567,2152,86,191,0.897
Failed,,,2558,3198,4,878,0.262
Failed,,,1571,266,67,185,0.955
Failed,,,376,4695,49,606,0.534
Failed,,,3784,1846,88,333,0.246
Failed,,,4985,4250,58,378,0.033
Failed,,,892,2337,19,685,0.744
Failed,,,2168,2703,91,106,0.759
Failed,,,3682,709,28,833,0.454
Failed,,,3152,4390,95,699,0.933
Failed,,,2263,1535,33,490,0.348
Failed,,,948,3503,52,786,0.146
Failed,,,4415,576,16,28,0.575
Failed,,,4309,3018,43,199,0.647
Failed,,,275,1029,79,990,0.078
Failed,,,1509,3935,12,286,0.436
Failed,,,3121,2017,74,528,0.849
Failed,,,2883,3868,37,69,0.189
Failed,,,1272,2035,100,869,0.525
Failed,,,46,2928,16,422,0.977
Failed,,,4078,1168,55,642,0.298
Failed,,,4656,3677,78,569,0.48
Failed,,,1189,353,40,369,0.799
Failed,,,3380,1289,8,142,0.028
Failed,,,664,4198,82,227,0.343
Failed,,,1131,4488,5,43,0.089
Failed,,,2323,3618,24,164,0.513
Failed,,,3619,4139,18,507,0.679
Failed,,,2296,1000,57,813,0.867
Failed,,,1071,4042,28,397,0.633
Failed,,,4460,1890,90,666,0.08
Failed,,,4273,4517,66,625,0.136
Failed,,,1527,1318,71,692,0.199
Failed,,,666,4734,23,390,0.381
Failed,,,557,2298,46,337,0.341
Failed,,,827,3901,30,295,0.117
Failed,,,3810,988,66,690,0.673
Failed,,,3618,3338,4,185,0.938
Failed,,,1571,1873,90,829,0.256
Failed,,,2471,2769,62,903,0.46
Failed,,,2966,2354,50,110,0.767
Failed,,,4647,4392,82,513,0.595
Failed,,,93,428,21,471,0.163
Failed,,,523,3553,81,7,0.688
Failed,,,4758,1268,18,979,0.007
Failed,,,2689,4233,52,398,0.366
Failed,,,1895,890,38,621,0.923
Failed,,,1526,4997,10,679,0.845
Failed,,,3268,214,99,340,0.413
Failed,,,4326,2866,34,788,0.21
Failed,,,1019,2022,72,198,0.517
Failed,,,4044,3916,25,49,0.405
Failed,,,749,1198,86,967,0.836
Failed,,,697,3424,53,730,0.187
Failed,,,3964,1767,41,258,0.618
Failed,,,3454,3792,79,871,0.759
Failed,,,1750,1077,17,147,0.452
Failed,,,2334,4478,33,89,0.28
Failed,,,3089,322,70,928,0.961
Failed,,,4456,2660,12,449,0.665
Failed,,,260,2443,99,539,0.109
Failed,,,376,4320,1,939,0.51
Failed,,,4891,784,89,44,0.203
Failed,,,2507,3444,31,580,0.436
Failed,,,2051,1357,69,436,0.868
Failed,,,1405,2953,84,361,0.915
Failed,,,3413,1916,21,654,0.358
Failed,,,4152,4888,61,220,0.03
Failed,,,1208,303,48,762,0.712
Failed,,,973,4796,94,497,0.491
Failed,,,4709,4445,35,662,0.595
Failed,,,2041,277,76,94,0.429
Failed,,,3691,4846,65,847,0.64
Failed,,,735,424,21,400,0.337
Failed,,,1727,3128,83,652,0.217
Failed,,,3770,1517,26,96,0.76
Failed,,,4114,4043,81,488,0.112
Failed,,,1480,689,35,760,0.911
Failed,,,1060,2949,75,10,0.532
Failed,,,3425,2408,17,735,0.492
Failed,,,2514,3447,47,605,0.306
Failed,,,505,1833,89,142,0.733
Failed,,,1957,4541,2,895,0.854
Failed,,,4947,113,58,354,0.186
Failed,,,4873,3748,95,121,0.675
Failed,,,1878,1609,40,627,0.348
Failed,,,2673,4610,82,177,0.48
Failed,,,347,34,28,577,0.559
Failed,,,2115,3517,64,326,0.93
Failed,,,4788,1752,22,929,0.108
Failed,,,4832,3031,67,467,0.353
Failed,,,2150,2316,25,789,0.686
Failed,,,391,3812,85,36,0.807
Failed,,,2708,911,31,718,0.232
Failed,,,3232,4486,7,567,0.036
Failed,,,1174,159,52,187,0.988
Failed,,,1288,3705,40,935,0.611
Failed,,,4311,4575,59,84,0.914
Failed,,,1365,148,2,672,0.125
Failed,,,1713,224,43,409,0.135
Failed,,,827,3726,54,659,0.263
Failed,,,3064,2975,27,191,0.52
Failed,,,113,2305,84,556,0.441
Failed,,,2350,3757,20,308,0.069
Failed,,,4398,898,65,939,0.892
Failed,,,4639,3978,39,13,0.325
Failed,,,2268,745,97,742,0.652
Failed,,,194,2885,7,489,0.779
Failed,,,2823,2463,53,765,0.198
Failed,,,3739,3539,86,895,0.008
Failed,,,744,1731,31,358,0.954
Failed,,,1797,4632,68,608,0.583
Failed,,,3801,13,25,149,0.378
Failed,,,4086,2574,70,255,0.746
Failed,,,1413,2159,16,1000,0.294
Failed,,,1049,4294,76,247,0.167
Failed,,,3375,1064,34,507,0.873
Failed,,,2562,4948,4,653,0.922
Failed,,,4901,4744,56,139,0.058
Failed,,,1945,613,11,617,0.981
Failed,,,595,3337,99,364,0.602
Failed,,,2639,1395,42,889,0.437
Failed,,,3301,2741,21,771,0.36
Failed,,,970,1913,63,484,0.663
Failed,,,1493,4148,28,732,0.783
Failed,,,4161,1131,83,23,0.24
Failed,,,3880,3648,37,381,0.887
Failed,,,1871,1700,80,875,0.089
Failed,,,669,4428,18,122,0.468
Failed,,,3660,295,73,631,0.508
Failed,,,2905,3833,90,529,0.694
Failed,,,271,812,45,226,0.267
Failed,,,2192,3052,60,975,0.146
Failed,,,31,4060,72,792,0.949
Failed,,,2987,672,14,455,0.027
Failed,,,3575,4558,50,323,0.209
Failed,,,907,96,92,922,0.752
Failed,,,3921,3095,3,35,0.086
Failed,,,1600,2262,57,713,0.875
Failed,,,863,3877,47,464,0.505
Failed,,,3541,855,89,782,0.456
Failed,,,3021,4395,75,932,0.28
Failed,,,75,260,18,313,0.697
Failed,,,2466,3613,80,567,0.827
Failed,,,4519,1667,35,182,0.149
Failed,,,4591,3498,63,865,0.568
Failed,,,2235,1849,5,391,0.393
Failed,,,305,4592,93,637,0.024
Failed,,,2604,2617,96,474,0.181
Failed,,,4703,2114,71,56,0.483
Failed,,,4697,2521,90,857,0.037
Failed,,,2053,2123,45,398,0.986
Failed,,,409,4241,58,646,0.616
Failed,,,2765,1029,1,109,0.407
Failed,,,3172,4993,37,239,0.36
Failed,,,4368,1449,73,992,0.229
Failed,,,3990,3935,22,600,0.893
Failed,,,1668,719,65,156,0.069
Failed,,,794,2842,27,904,0.439
Failed,,,3473,2437,82,351,0.523
Failed,,,3090,3594,56,497,0.711
Failed,,,143,1763,10,756,0.266
Failed,,,723,2328,51,80,0.778
Failed,,,1739,3801,40,832,0.649
Failed,,,3758,921,94,416,0.328
Failed,,,4137,3369,49,59,0.555
Failed,,,1458,1285,92,690,0.469
Failed,,,1081,4775,6,440,0.1
Failed,,,3404,504,61,805,0.923
Failed,,,2536,4121,78,909,0.872
Failed,,,483,1237,33,337,0.168
Failed,,,1979,2715,72,590,0.297
Failed,,,4926,2018,13,158,0.743
Failed,,,4847,4325,26,425,0.241
Failed,,,1904,955,84,822,0.782
Failed,,,557,2606,20,73,0.66
Failed,,,2616,2048,66,673,0.363
Failed,,,3322,3202,99,542,0.434
Failed,,,1005,1530,44,204,0.604
Failed,,,2935,4601,17,784,0.511
Failed,,,296,122,75,462,0.465
Failed,,,2244,3507,35,715,0.088
Failed,,,4605,1841,80,34,0.888
Failed,,,4530,3602,5,983,0.332
Failed,,,2471,1677,63,274,0.629
Failed,,,69,4383,48,520,0.751
Failed,,,3011,271,93,233,0.21
Failed,,,3554,3885,70,114,0.026
Failed,,,871,847,15,640,0.95
Failed,,,1590,3105,77,388,0.574
Failed,,,3908,2253,34,867,0.403
Failed,,,4291,4689,86,725,0.723
Failed,,,1305,581,31,32,0.3
Failed,,,1235,3282,66,778,0.179
Failed,,,3249,1363,24,476,0.844
Failed,,,2691,2784,39,372,0.919
Failed,,,330,1939,96,882,0.119
Failed,,,2132,4191,8,130,0.496
Failed,,,4806,4877,11,22,0.793
Failed,,,2176,392,56,735,0.246
Failed,,,364,3157,42,481,0.374
Failed,,,2735,1487,99,772,0.665
Failed,,,3205,2640,63,888,0.6
Failed,,,1201,2083,21,366,0.424
Failed,,,1261,4359,83,615,0.052
Failed,,,4257,989,29,140,0.972
Failed,,,3952,3473,80,280,0.152
Failed,,,1625,1806,37,977,0.824
Failed,,,915,4566,73,224,0.696
Failed,,,3589,88,18,530,0.281
Failed,,,2976,4049,44,630,0.455
Failed,,,24,684,90,124,0.506
