Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Completed,0.73,263,1924,1,1,400,0.559
Completed,0.73,275,1616,1,1,442,0.589
Completed,0.73,96,4288,1,1,95,0.906
Completed,0.72,510,2782,201,21,44,0.731
Completed,0.73,803,2183,594,42,1,0.615
Completed,0.71,765,1550,36,1,196,0.999
Completed,0.71,437,1181,101,36,14,0.778
Completed,0.72,152,2603,46,1,52,0.089
Completed,0.71,6705,3733,182,82,1000,0.954
Completed,0.71,1613,4619,83,34,325,0.257
Completed,0.73,200,5000,1,1,301,0.614
Completed,0.73,172,1799,1,1,266,0.709
Completed,0.71,1366,4962,51,32,260,0.682
Completed,0.73,421,273,625,1,1,0.437
Completed,0.73,454,3677,617,1,1,0.484
Completed,0.73,192,2614,1,1,273,0.652
Completed,0.73,161,3513,1,1,248,0.655
Completed,0.73,1480,2138,619,83,1,0.821
Completed,0.72,1085,3139,129,1,251,0.999
Completed,0.73,318,5000,275,42,1,0.999
Completed,0.73,181,5000,223,25,1,0.001
Completed,0.73,154,1364,237,25,1,0.999
Completed,0.73,160,4433,184,35,1,0.001
Completed,0.73,115,1,169,26,1,0.999
Completed,0.73,6077,3875,2125,41,1,0.001
Completed,0.73,75,2487,102,26,1,0.001
Completed,0.73,123,4614,127,39,1,0.001
Completed,0.73,250,1,1,1,392,0.778
Completed,0.73,18,5000,1,1,1,0.691
Failed,,,2599,1250,57,166,0.864
Failed,,,2467,3417,3,820,0.442
Failed,,,148,2067,86,307,0.127
Failed,,,4939,4860,31,711,0.549
Failed,,,496,4452,14,468,0.727
Failed,,,3767,975,65,851,0.238
Failed,,,2999,3583,29,53,0.499
Failed,,,1255,1983,76,639,0.973
Failed,,,2147,2672,58,545,0.802
Failed,,,3523,1773,8,147,0.297
Failed,,,4630,4304,95,944,0.036
Failed,,,1030,281,47,374,0.556
Failed,,,803,3179,91,199,0.13
Failed,,,4701,2202,44,612,0.654
Failed,,,3321,4808,56,284,0.892
Failed,,,2194,707,5,900,0.383
Failed,,,3898,1475,20,896,0.172
Failed,,,3204,1150,39,1000,0.122
Failed,,,3007,4674,1,114,0.193
Failed,,,4680,2902,1,584,0.999
Failed,,,1627,729,26,591,0.728
Failed,,,3538,5000,93,1000,0.664
Failed,,,4004,769,59,611,0.155
Failed,,,461,3755,13,385,0.927
Failed,,,1554,2349,80,809,0.702
Failed,,,2227,1075,10,651,0.429
Failed,,,3310,4070,64,348,0.655
Failed,,,4824,4330,5,600,0.46
Failed,,,2367,2161,58,332,0.32
Failed,,,3170,2691,15,667,0.609
Failed,,,23,4337,73,24,0.303
Failed,,,117,4609,35,633,0.525
Failed,,,2547,2527,91,341,0.85
Failed,,,3160,1322,62,460,0.883
Failed,,,2396,3219,17,547,0.158
Failed,,,679,563,76,155,0.461
Failed,,,4880,4916,47,848,0.734
Failed,,,4528,2312,82,578,0.35
Failed,,,1185,2837,41,429,0.576
Failed,,,1391,4609,97,890,0.961
Failed,,,610,1640,12,310,0.656
Failed,,,3836,3527,68,693,0.383
Failed,,,383,3743,85,814,0.096
Failed,,,2793,2131,14,783,0.413
Failed,,,1672,2704,59,211,0.639
Failed,,,1604,1243,83,356,0.188
Failed,,,2685,4234,39,647,0.897
Failed,,,2684,795,45,479,0.999
Failed,,,2180,2200,4,201,0.944
Failed,,,3535,2969,75,802,0.235
Failed,,,2958,1664,78,937,0.003
Failed,,,1485,3483,46,70,0.79
Failed,,,4052,4633,19,263,0.368
Failed,,,3826,27,92,861,0.93
Failed,,,1928,601,14,284,0.571
Failed,,,3629,4877,59,715,0.344
Failed,,,782,3894,67,194,0.6
Failed,,,2190,2488,26,614,0.78
Failed,,,4784,2929,37,636,0.874
Failed,,,4589,470,98,907,0.229
Failed,,,970,4988,31,88,0.939
Failed,,,1382,2066,10,28,0.148
Failed,,,3083,2787,69,975,0.936
Failed,,,1743,1993,32,662,0.078
Failed,,,3465,2079,67,608,0.116
Failed,,,2072,2755,13,399,0.841
Failed,,,978,1037,96,788,0.538
Failed,,,4561,4110,27,216,0.265
Failed,,,4832,1868,90,492,0.649
Failed,,,2268,20,73,185,0.196
Failed,,,3428,4524,6,818,0.968
Failed,,,2140,1109,37,35,0.359
Failed,,,3572,4369,91,964,0.569
Failed,,,2919,575,58,829,0.665
Failed,,,1526,4884,15,166,0.376
Failed,,,431,1291,81,528,0.243
Failed,,,4013,3231,48,471,0.952
Failed,,,3006,4708,35,295,0.103
Failed,,,3639,1012,18,414,0.132
Failed,,,1085,3918,89,625,0.686
Failed,,,765,4402,84,445,0.314
Failed,,,2485,1746,24,865,0.056
Failed,,,3210,3716,55,138,0.766
Failed,,,2652,2441,94,7,0.998
Failed,,,1810,3039,28,1000,0.21
Failed,,,92,695,68,326,0.422
Failed,,,4373,3847,11,677,0.632
Failed,,,4360,688,42,63,0.888
Failed,,,86,3835,88,932,0.162
Failed,,,302,3085,36,110,0.084
Failed,,,3430,7,49,424,0.728
Failed,,,3881,529,57,219,0.542
Failed,,,582,4931,23,789,0.253
Failed,,,1365,1337,83,396,0.122
Failed,,,3100,3185,40,607,0.831
Failed,,,2871,3295,83,724,0.15
Failed,,,1998,2630,67,281,0.147
Failed,,,1218,1224,27,919,0.481
Failed,,,4478,4254,97,84,0.692
Failed,,,4906,1645,33,374,0.331
Failed,,,631,3503,90,633,0.62
Failed,,,3189,4614,73,950,0.044
Failed,,,1793,3938,46,188,0.981
Failed,,,76,2219,63,514,0.645
Failed,,,1988,1500,7,597,0.363
Failed,,,3724,3353,65,402,0.589
Failed,,,3071,2059,87,267,0.677
Failed,,,800,638,86,550,0.855
Failed,,,4757,3907,44,450,0.068
Failed,,,5000,2162,100,1000,0.999
Failed,,,634,3204,85,593,0.001
Failed,,,4421,2731,78,772,0.5
Failed,,,2739,3672,80,545,0.999
Failed,,,5000,1520,52,981,0.999
Failed,,,5000,3407,100,630,0.001
Failed,,,5000,2353,85,1000,0.001
Failed,,,5000,2689,100,334,0.001
Failed,,,5000,1334,100,1000,0.001
Failed,,,2185,829,91,31,0.001
Failed,,,1,3417,3,1000,0.936
Failed,,,1,1172,100,733,0.999
Failed,,,5000,1606,1,838,0.001
Failed,,,388,4654,82,1000,0.001
Failed,,,5000,3677,25,33,0.999
