Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Failed,,,102,4341,39,760,0.001
Failed,,,5000,5000,79,857,0.999
Failed,,,4845,4547,23,1,0.001
Failed,,,1,4049,1,1000,0.004
Failed,,,3942,3768,24,608,0.14
Failed,,,817,1,88,1,0.821
Failed,,,3575,3470,68,935,0.803
Failed,,,3599,2254,85,564,0.823
Failed,,,3523,3632,17,454,0.419
Failed,,,4326,5000,1,628,0.999
Failed,,,4475,2102,84,1000,0.639
Failed,,,1,4972,13,57,0.947
Failed,,,462,4973,20,620,0.001
Failed,,,4974,1,95,1000,0.001
Failed,,,4439,3660,82,1,0.001
Failed,,,942,1,16,1,0.999
Failed,,,2675,3193,100,1000,0.999
Failed,,,4639,3502,85,711,0.148
Failed,,,2264,4157,91,599,0.001
Failed,,,4310,1681,100,1000,0.999
Failed,,,689,4195,88,130,0.772
Failed,,,5000,5000,78,754,0.538
Failed,,,885,4484,100,1000,0.999
Failed,,,1,3883,1,813,0.383
Failed,,,3491,4793,19,1000,0.624
Failed,,,5000,5000,60,761,0.107
Failed,,,4989,1,85,1000,0.999
Failed,,,3516,3482,21,1000,0.999
Failed,,,1,1,34,1,0.999
Failed,,,98,1,81,1,0.97
Failed,,,1487,1,100,1,0.928
Failed,,,5000,3915,89,495,0.375
Failed,,,5000,4006,100,1,0.946
Failed,,,5000,5000,83,96,0.001
Failed,,,1,4678,1,1000,0.001
Failed,,,738,1,92,1,0.957
Failed,,,1,1,21,1,0.924
Failed,,,1,1,32,1,0.999
Failed,,,1,1,77,1,0.999
Failed,,,1,1,23,1,0.938
Failed,,,779,1,94,1,0.933
Failed,,,1,1,55,1,0.999
Failed,,,5000,1,97,1000,0.131
Failed,,,1330,1,16,1,0.981
Failed,,,448,1,100,1,0.937
Failed,,,1271,1,97,1,0.942
Failed,,,4871,3567,49,1,0.001
Failed,,,5000,3750,91,41,0.852
Failed,,,4808,2791,100,399,0.599
Failed,,,4000,2926,100,1,0.888
Failed,,,1622,2361,38,1000,0.999
Failed,,,2617,4005,100,843,0.001
Failed,,,201,3224,81,78,0.161
Failed,,,4290,3867,1,1000,0.001
Failed,,,148,641,100,1000,0.999
Failed,,,179,5000,72,1000,0.158
Failed,,,4114,3935,83,1000,0.999
Failed,,,2540,1,25,381,0.111
Failed,,,21,1045,68,932,0.001
Failed,,,19,1944,91,576,0.001
Failed,,,3947,598,13,501,0.001
Failed,,,1,1,99,403,0.001
Failed,,,2082,1728,52,945,0.001
Failed,,,2535,3241,1,804,0.001
Failed,,,2038,1,48,505,0.999
Failed,,,4855,1761,1,289,0.999
Failed,,,4456,938,50,400,0.001
Failed,,,442,1,46,739,0.001
Failed,,,1806,2383,83,580,0.001
Failed,,,1,4699,74,41,0.999
Failed,,,3479,1,90,261,0.001
Failed,,,689,1,17,1,0.875
Failed,,,1066,1,30,1,0.978
Failed,,,2014,1,25,370,0.999
Failed,,,421,4389,1,724,0.999
Failed,,,4776,2995,92,102,0.001
Failed,,,4549,1,28,797,0.999
Failed,,,2799,5000,70,544,0.563
Failed,,,4180,5000,59,983,0.588
Failed,,,845,4048,4,168,0.225
Failed,,,3953,4734,100,323,0.999
Failed,,,4077,3694,96,156,0.999
Failed,,,432,3947,91,610,0.999
Failed,,,3026,5000,9,909,0.961
Failed,,,4214,2027,12,340,0.999
Failed,,,4870,1492,24,766,0.999
Failed,,,4779,3009,1,733,0.001
Failed,,,3644,1,100,462,0.999
Failed,,,3259,9,37,825,0.001
Failed,,,4531,1,68,155,0.999
Failed,,,3176,1,100,794,0.001
Failed,,,1831,1,27,367,0.999
Failed,,,1079,1,100,266,0.001
Failed,,,3601,1,91,398,0.001
Failed,,,3060,1,28,912,0.999
Failed,,,541,4562,100,118,0.038
Failed,,,5000,4003,100,583,0.001
Failed,,,2057,1,2,792,0.999
Failed,,,1160,1497,1,827,0.001
Failed,,,1,3813,35,103,0.001
Failed,,,2680,4913,40,774,0.999
Failed,,,1,2218,51,974,0.001
Failed,,,2481,3934,71,854,0.001
Failed,,,2514,1,51,848,0.001
Failed,,,1932,2752,53,705,0.999
Failed,,,3141,2349,3,318,0.258
Failed,,,5000,2090,1,172,0.001
Failed,,,975,4495,97,961,0.001
Failed,,,2583,5000,100,108,0.999
Failed,,,1,2271,22,248,0.001
Failed,,,1,4071,63,290,0.001
Failed,,,1,3979,1,676,0.999
Failed,,,5000,2440,97,737,0.999
Failed,,,666,2726,39,583,0.999
Failed,,,4004,2675,1,735,0.999
Failed,,,4517,1889,19,563,0.001
Failed,,,5000,4010,97,711,0.001
Failed,,,303,3685,1,842,0.001
Failed,,,2879,2499,4,804,0.001
Failed,,,1252,5000,41,953,0.999
Failed,,,1502,1,93,483,0.001
Failed,,,1,3037,30,507,0.999
Failed,,,1087,1272,1,788,0.001
Failed,,,3003,2323,1,143,0.999
Failed,,,5000,3528,11,792,0.999
Failed,,,3189,2964,43,155,0.421
Failed,,,5000,1,72,117,0.999
Failed,,,5000,4956,100,846,0.001
Failed,,,3253,3422,3,267,0.265
Failed,,,4255,2688,100,320,0.999
Failed,,,1,1267,62,140,0.999
Failed,,,2198,1458,100,28,0.999
Failed,,,3620,3744,1,28,0.999
Failed,,,2339,1172,87,971,0.001
Failed,,,3409,1088,1,967,0.001
Failed,,,1117,4255,1,633,0.999
Failed,,,1,380,72,796,0.001
Failed,,,2940,2745,1,971,0.999
Failed,,,2540,2408,86,971,0.23
Failed,,,4420,2781,100,968,0.999
Failed,,,5000,4268,50,970,0.001
Failed,,,949,799,1,970,0.999
Failed,,,2385,1958,100,969,0.001
Failed,,,3999,1730,100,969,0.001
Failed,,,4564,936,1,968,0.001
Failed,,,5000,3464,13,968,0.999
Failed,,,5000,4313,1,27,0.999
Failed,,,4581,4518,1,971,0.978
Failed,,,608,952,1,663,0.001
Failed,,,182,3104,42,968,0.288
Failed,,,5000,2898,1,28,0.999
Failed,,,1354,1,3,262,0.001
Failed,,,818,3294,1,765,0.001
Failed,,,1,2491,1,575,0.001
Failed,,,3682,3456,69,1,0.919
Failed,,,1,847,1,577,0.99
Failed,,,1,4665,100,1000,0.999
Failed,,,4356,3114,85,921,0.561
Failed,,,1205,2914,100,300,0.001
Failed,,,1,3982,1,1000,0.999
Failed,,,1,4861,67,29,0.999
Failed,,,5000,4632,61,29,0.999
Failed,,,1331,3341,100,261,0.999
Failed,,,1,1467,66,27,0.999
Failed,,,1,2824,73,28,0.999
Failed,,,1,2278,99,972,0.999
Failed,,,1,4223,76,27,0.001
Failed,,,3126,1577,69,967,0.198
Failed,,,5000,3716,1,970,0.001
Failed,,,5000,1018,44,987,0.999
Failed,,,5000,3379,44,192,0.001
Failed,,,3844,3237,73,28,0.534
Failed,,,1,4177,67,992,0.001
Failed,,,5000,808,96,620,0.999
Failed,,,1,2360,51,28,0.999
Failed,,,1,2719,55,982,0.999
Failed,,,1,4882,73,490,0.999
Failed,,,1,687,52,977,0.001
Failed,,,5000,3060,53,975,0.999
Failed,,,1,4544,1,502,0.001
Failed,,,1,3678,66,28,0.999
Failed,,,5000,3477,9,661,0.001
Failed,,,1,4917,98,531,0.001
Failed,,,4508,4749,31,1,0.792
Failed,,,2371,2730,98,932,0.001
Failed,,,5000,3392,1,311,0.999
Failed,,,1,3444,25,593,0.999
Failed,,,1,3008,52,28,0.001
Failed,,,2051,2769,87,28,0.999
Failed,,,2436,2833,1,185,0.999
Failed,,,1,2110,61,984,0.999
Failed,,,5000,4284,57,979,0.999
Failed,,,5000,4518,1,738,0.999
Failed,,,1,2867,48,969,0.001
Failed,,,1,756,13,505,0.001
Failed,,,5000,3465,1,908,0.343
Failed,,,5000,3670,86,29,0.999
Failed,,,1,1376,58,975,0.999
Failed,,,1,2350,70,996,0.001
Failed,,,1,2661,63,29,0.001
Failed,,,1,1509,50,985,0.999
Failed,,,2219,3030,3,682,0.999
Failed,,,220,1187,16,533,0.561
Failed,,,736,4468,74,29,0.999
Failed,,,5000,880,1,490,0.999
Failed,,,3336,4512,100,915,0.001
Failed,,,3902,4055,1,362,0.001
Failed,,,3595,928,2,747,0.001
Failed,,,5000,4778,46,203,0.001
Failed,,,1,795,59,905,0.001
Failed,,,847,1613,1,801,0.001
Failed,,,647,1891,1,915,0.001
Failed,,,2035,3192,20,296,0.483
Failed,,,2143,1984,3,800,0.999
Failed,,,1,2405,76,30,0.001
Failed,,,1,1915,76,735,0.999
Failed,,,5000,2373,55,28,0.001
Failed,,,3906,682,39,986,0.999
Failed,,,111,3089,1,354,0.001
Failed,,,1,2582,20,517,0.001
Failed,,,2599,4911,7,932,0.001
Failed,,,4156,3414,87,359,0.999
Failed,,,5000,3785,60,1000,0.999
Failed,,,1,2256,88,584,0.999
Failed,,,2012,4072,76,507,0.999
Failed,,,4772,3697,35,1000,0.999
Failed,,,1275,2454,48,1000,0.999
Failed,,,1,4375,20,563,0.001
Failed,,,1,668,1,699,0.047
Failed,,,4175,4165,71,955,0.999
Failed,,,5000,1117,100,548,0.999
Failed,,,5000,669,44,975,0.001
Failed,,,827,3147,93,738,0.001
Failed,,,1443,3308,80,28,0.999
Failed,,,2569,3821,73,29,0.001
Failed,,,4962,519,1,903,0.001
Failed,,,724,3113,1,130,0.999
Failed,,,1,3940,1,147,0.001
Failed,,,5000,3024,29,476,0.001
Failed,,,4184,3400,78,261,0.001
Failed,,,1,3216,33,568,0.999
Failed,,,4287,2432,71,314,0.999
Failed,,,5000,4071,19,513,0.999
Failed,,,1,2657,95,724,0.999
Failed,,,1,4358,3,704,0.999
Failed,,,3574,3798,77,29,0.001
Failed,,,5000,4741,54,339,0.999
Failed,,,138,2719,56,756,0.999
Failed,,,1532,3705,8,266,0.999
Failed,,,149,995,23,545,0.001
Failed,,,1,4911,71,531,0.356
Failed,,,1,3796,70,652,0.999
Failed,,,1,3436,50,781,0.999
Failed,,,5000,2771,22,709,0.001
Failed,,,1,4857,2,941,0.001
Failed,,,3691,1237,1,731,0.999
Failed,,,2190,2453,1,43,0.001
Failed,,,1,3534,23,726,0.001
Failed,,,1,4607,100,769,0.999
Failed,,,1,3158,77,29,0.001
Failed,,,884,4405,100,469,0.001
Failed,,,1,4715,76,29,0.001
Failed,,,4028,1135,60,718,0.001
Failed,,,5000,3074,20,558,0.001
Failed,,,1,4125,67,363,0.999
Failed,,,5000,776,68,707,0.999
Failed,,,5000,3163,34,859,0.001
Failed,,,5000,4276,36,970,0.603
Failed,,,1,2592,7,560,0.999
Failed,,,2143,1165,98,745,0.001
Failed,,,130,3221,1,744,0.001
Failed,,,638,2727,35,495,0.001
Failed,,,2054,4734,1,936,0.001
Failed,,,2149,3126,100,762,0.001
Failed,,,619,3466,47,953,0.001
Failed,,,1,779,83,636,0.001
Failed,,,2457,2777,100,797,0.999
Failed,,,1,4372,49,472,0.001
Failed,,,1777,4226,79,620,0.163
Failed,,,4177,3359,75,29,0.999
Failed,,,5000,2325,93,786,0.001
Failed,,,5000,2796,87,478,0.999
Failed,,,5000,3389,78,30,0.999
Failed,,,1,3926,50,993,0.999
Failed,,,1917,3822,89,822,0.001
Failed,,,1,1112,26,868,0.055
Failed,,,1,3250,100,429,0.001
Failed,,,5000,1593,40,858,0.999
Failed,,,1,4292,97,155,0.001
Failed,,,5000,2945,43,939,0.001
Failed,,,5000,2903,21,319,0.329
Failed,,,5000,3007,27,511,0.999
Failed,,,5000,1685,100,726,0.001
Failed,,,3899,4143,23,308,0.999
Failed,,,5000,3471,1,87,0.999
Failed,,,5000,3776,13,667,0.001
Failed,,,5000,2569,100,752,0.999
Failed,,,909,3717,100,548,0.999
Failed,,,179,3486,63,891,0.999
Failed,,,369,4323,3,57,0.999
Failed,,,5000,2821,29,800,0.001
Failed,,,1907,3461,68,699,0.001
Failed,,,306,3415,35,953,0.999
Failed,,,4824,740,31,959,0.148
Failed,,,2994,4434,33,495,0.999
Failed,,,958,2313,100,175,0.001
Failed,,,1,4527,13,731,0.999
Failed,,,1743,4679,87,600,0.001
Failed,,,5000,3997,100,449,0.999
Failed,,,1786,3119,1,908,0.001
Failed,,,5000,4172,83,287,0.001
Failed,,,5000,4783,100,539,0.999
Failed,,,4470,2196,32,705,0.001
Failed,,,4005,3663,64,777,0.999
Failed,,,1,3405,34,974,0.001
Failed,,,1,2964,77,28,0.999
Failed,,,2698,2926,1,84,0.999
Failed,,,1,896,31,731,0.001
Failed,,,5000,1075,2,367,0.001
Failed,,,2007,1800,82,727,0.999
Failed,,,1830,3503,32,764,0.999
Failed,,,1312,2264,100,901,0.999
Failed,,,1554,1992,42,447,0.919
Failed,,,4882,3613,89,799,0.465
Failed,,,3608,209,23,19,0.078
Failed,,,2176,1398,94,640,0.049
Failed,,,4241,3020,40,116,0.563
Failed,,,5000,4160,41,929,0.001
Failed,,,5000,2502,100,616,0.999
Failed,,,1201,2500,66,32,0.752
Failed,,,3951,326,97,496,0.22
Failed,,,1643,2637,35,648,0.384
Failed,,,119,3723,7,56,0.682
Failed,,,784,1440,47,246,0.538
Failed,,,3094,2905,100,503,0.086
Failed,,,4360,760,15,283,0.443
Failed,,,2059,4920,69,963,0.925
Failed,,,2025,912,31,92,0.178
Failed,,,4099,4759,77,662,0.691
Failed,,,2825,1289,13,382,0.834
Failed,,,761,3066,59,874,0.288
Failed,,,176,2107,95,935,0.433
Failed,,,1049,445,3,738,0.88
Failed,,,5000,3262,1,351,0.418
Failed,,,427,4401,40,883,0.001
Failed,,,2285,3215,86,454,0.521
Failed,,,2317,1731,37,971,0.852
Failed,,,3769,2609,85,276,0.275
Failed,,,2533,1090,5,558,0.137
Failed,,,1091,4586,53,190,0.744
Failed,,,505,585,89,2,0.601
Failed,,,3433,3768,41,744,0.023
Failed,,,4668,2242,71,464,0.38
Failed,,,1730,3433,23,784,0.988
Failed,,,1482,734,67,672,0.332
Failed,,,4955,4855,14,86,0.786
Failed,,,3690,1463,98,864,0.678
Failed,,,207,2967,45,388,0.195
Failed,,,2468,970,99,300,0.981
Failed,,,2975,797,75,834,0.955
Failed,,,901,4801,21,420,0.409
Failed,,,1233,2578,16,517,0.623
Failed,,,333,2283,27,707,0.722
Failed,,,3271,3318,79,42,0.144
Failed,,,4497,538,8,759,0.252
Failed,,,1568,3878,60,486,0.859
Failed,,,1311,1499,5,122,0.453
Failed,,,4794,2847,51,630,0.907
Failed,,,3520,702,36,414,0.549
Failed,,,2907,30,88,720,0.421
Failed,,,679,4307,34,25,0.967
Failed,,,248,854,20,215,0.815
Failed,,,3650,4818,74,535,0.301
Failed,,,1500,623,22,338,0.191
Failed,,,4897,3807,74,908,0.675
Failed,,,2574,3980,56,11,0.492
Failed,,,3800,2375,34,790,0.099
Failed,,,2928,2649,2,64,0.934
Failed,,,4154,1051,85,847,0.546
Failed,,,1931,4547,33,402,0.094
Failed,,,2113,1202,70,531,0.842
Failed,,,4265,4386,23,226,0.296
Failed,,,3029,1619,89,943,0.184
Failed,,,887,2811,42,311,0.7
Failed,,,68,2363,6,499,0.578
Failed,,,3536,3242,53,757,0.034
Failed,,,316,4742,63,113,0.236
Failed,,,1216,116,99,173,0.108
Failed,,,2662,4237,45,572,0.528
Failed,,,3927,2085,67,355,0.89
Failed,,,3133,2886,33,966,0.255
Failed,,,3909,4623,47,949,0.403
Failed,,,2684,1855,68,228,0.017
Failed,,,1330,2322,60,885,0.07
Failed,,,4737,3357,12,362,0.554
Failed,,,3501,499,78,580,0.91
Failed,,,104,3838,30,166,0.459
Failed,,,2888,1171,26,272,0.056
Failed,,,736,4510,79,983,0.572
Failed,,,2511,3475,82,152,0.649
Failed,,,3785,70,5,930,0.761
Failed,,,2338,4347,51,313,0.37
Failed,,,2302,675,1,861,0.007
Failed,,,3822,4991,55,385,0.617
Failed,,,1665,18,52,54,0.9
Failed,,,3166,2182,84,482,0.119
Failed,,,2737,2981,70,296,0.224
Failed,,,3672,2202,41,128,0.781
Failed,,,265,3393,93,620,0.33
Failed,,,2444,1480,63,409,0.128
Failed,,,3973,2945,18,839,0.738
Failed,,,2698,721,94,120,0.844
Failed,,,1179,4882,49,627,0.268
Failed,,,357,289,13,565,0.388
Failed,,,3208,4137,58,182,0.996
