Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Failed,,,4125,2815,76,140,0.242
Failed,,,2438,4586,57,47,0.897
Failed,,,4413,1,86,139,0.779
Failed,,,3619,1559,84,266,0.657
Failed,,,1497,4800,100,678,0.999
Failed,,,960,3367,100,800,0.948
Failed,,,3003,1606,99,443,0.999
Failed,,,1,1794,11,421,0.599
Failed,,,4901,2238,100,502,0.941
Failed,,,5000,1903,95,519,0.766
Failed,,,1,1,100,80,0.067
Failed,,,4560,722,100,225,0.528
Failed,,,686,1867,100,697,0.134
Failed,,,1,1,32,80,0.047
Failed,,,300,1,100,75,0.001
Failed,,,1,2348,9,79,0.001
Failed,,,2809,945,1,252,0.999
Failed,,,1108,1800,1,198,0.001
Failed,,,2311,2563,100,222,0.001
Failed,,,140,787,70,319,0.32
Failed,,,163,2407,1,75,0.001
Failed,,,674,4043,60,708,0.924
Failed,,,3320,4745,58,423,0.537
Failed,,,2550,4044,89,618,0.088
Failed,,,3937,2562,100,215,0.999
Failed,,,4048,2814,1,865,0.281
Failed,,,949,2830,100,860,0.905
Failed,,,5000,3464,100,527,0.999
Failed,,,2509,1861,100,224,0.989
Failed,,,1,1,97,69,0.319
Failed,,,741,4631,1,432,0.301
Failed,,,1,4924,48,338,0.626
Failed,,,1415,4797,100,343,0.118
Failed,,,3502,2097,100,790,0.776
Failed,,,3074,1076,11,228,0.221
Failed,,,2467,4646,1,614,0.999
Failed,,,385,666,100,933,0.999
Failed,,,1724,3742,1,582,0.05
Failed,,,5000,1386,1,197,0.004
Failed,,,3611,844,89,862,0.008
Failed,,,2691,2354,1,925,0.999
Failed,,,1,1,100,80,0.059
Failed,,,1,4670,1,68,0.001
Failed,,,1751,1240,100,612,0.088
Failed,,,4070,2888,100,356,0.019
Failed,,,243,2984,1,83,0.222
Failed,,,1,1,100,80,0.076
Failed,,,3312,820,100,342,0.037
Failed,,,2085,2019,100,440,0.001
Failed,,,3178,4128,100,702,0.001
