Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.91,0,2869,4047,661,0.947
Completed,0.91,0,573,4735,3025,0.123
Completed,0.91,0,2293,1365,502,0.604
Completed,0.91,0,4025,2997,4146,0.359
Completed,0.91,0,3889,1559,2015,0.893
Completed,0.91,0,2430,2880,3334,0.147
Completed,0.91,0,397,720,817,0.625
Completed,0.91,0,3422,4853,4460,0.379
Completed,0.91,0,3044,501,2867,0.304
Completed,0.91,0,638,3851,1863,0.55
Completed,0.91,0,1417,2239,4300,0.037
Completed,0.91,0,4766,3402,347,0.782
Completed,0.91,0,4666,1100,3799,0.58
Completed,0.91,0,1672,4472,311,0.334
Completed,0.91,0,1206,1627,2747,0.813
Completed,0.91,1,2633,2812,1271,0.067
Completed,0.91,0,4997,9,4102,0.0
Completed,0.91,0,4782,17,4994,0.999
Completed,0.91,0,4844,34,1790,0.999
Completed,0.91,0,4986,258,1461,0.0
Completed,0.91,2,2470,225,4704,0.373
Completed,0.91,0,4996,47,2075,0.0
Completed,0.91,0,4867,115,4979,0.0
Completed,0.91,0,4550,56,3649,0.372
Completed,0.91,1,4900,445,4715,0.344
Completed,0.91,0,4928,23,2781,0.0
Completed,0.91,0,648,16,734,0.0
Completed,0.91,0,1989,45,3415,0.0
Completed,0.91,0,5000,85,2213,0.999
Completed,0.91,0,291,41,2828,0.999
Completed,0.91,1,5000,19,1,0.0
Completed,0.91,0,4955,59,4486,0.471
Completed,0.91,0,4986,19,1549,0.0
Completed,0.91,0,56,43,102,0.999
Completed,0.91,0,42,76,1774,0.999
Completed,0.91,0,5000,5000,1485,0.0
Completed,0.91,0,2338,1750,3269,0.0
Completed,0.91,0,5000,5000,1,0.313
Completed,0.91,0,3369,47,5000,0.999
Completed,0.91,0,1708,70,4778,0.635
Completed,0.91,0,4805,78,863,0.443
Completed,0.91,0,440,53,124,0.0
Completed,0.91,0,2811,5000,5000,0.0
Completed,0.91,0,5000,1213,1,0.0
Completed,0.91,0,1,2785,2155,0.999
Completed,0.91,0,1,5000,3867,0.0
Completed,0.91,0,5000,5000,3888,0.0
Completed,0.91,0,3580,5000,2280,0.999
Completed,0.91,0,4830,21,1152,0.999
Completed,0.91,0,1769,2116,726,0.44
Completed,0.91,0,2671,4584,2605,0.611
Completed,0.91,0,4622,500,2288,0.124
Completed,0.91,0,1223,3113,4167,0.95
Completed,0.91,0,492,774,3345,0.786
Completed,0.91,0,3967,3154,221,0.147
Completed,0.91,0,3419,1609,4907,0.649
Completed,0.91,0,2446,4155,1783,0.291
Completed,0.91,0,1893,27,4509,0.244
Completed,0.91,0,3494,2648,1382,0.821
Completed,0.91,0,4196,2279,3570,0.319
Completed,0.91,0,98,4733,444,0.739
Completed,0.91,0,690,1459,2049,0.529
Completed,0.91,0,4717,3992,3920,0.42
Completed,0.91,0,2918,1240,1110,0.907
Completed,0.91,0,1394,3625,2982,0.019
Completed,0.91,0,1455,956,1462,0.659
Completed,0.91,0,2975,3556,4585,0.266
Completed,0.91,0,4930,1351,524,0.78
Completed,0.91,0,907,3825,3647,0.168
Completed,0.91,0,192,2407,3845,0.067
Completed,0.91,0,4295,4959,1967,0.991
Completed,0.91,0,3749,293,2907,0.492
Completed,0.91,0,2144,2659,1029,0.573
Completed,0.91,0,2189,1832,2679,0.9
Completed,0.91,0,3167,4281,809,0.039
Completed,0.91,0,3871,783,4241,0.538
Completed,0.91,0,391,3416,2370,0.395
Completed,0.91,0,1011,432,142,0.371
Completed,0.91,0,4406,2832,3268,0.702
Completed,0.91,0,2610,1951,1704,0.188
Completed,0.91,0,1713,4477,4830,0.862
Completed,0.91,0,1593,621,3504,0.582
Completed,0.91,0,2573,2992,375,0.476
Completed,0.91,0,4525,2071,4441,0.976
Completed,0.91,0,1047,4628,1312,0.089
Completed,0.91,0,355,1642,1198,0.175
Completed,0.91,0,3752,4121,3071,0.75
Completed,0.91,0,3204,661,2135,0.264
Completed,0.91,0,2309,3267,4008,0.683
Completed,0.91,0,2108,2245,2202,0.855
Completed,0.91,0,3630,4767,4079,0.218
Completed,0.91,0,4332,141,639,0.703
Completed,0.91,0,312,2535,2516,0.347
Completed,0.91,0,787,1118,4975,0.386
Completed,0.91,0,4893,3747,1853,0.555
Completed,0.91,0,3095,1504,3411,0.055
Completed,0.91,0,1492,3947,290,0.879
Completed,0.91,0,1279,1317,4311,0.302
Completed,0.91,0,2877,3858,2438,0.631
Completed,0.91,1,4831,1068,2748,0.134
Completed,0.91,0,731,3443,875,0.806
Completed,0.91,0,57,171,1615,0.955
Completed,0.91,0,4081,2780,4744,0.095
Completed,0.91,0,3535,2451,52,0.607
Completed,0.91,1,2009,4914,3181,0.466
Completed,0.91,0,2405,904,613,0.013
Completed,0.91,0,3305,3295,3734,0.935
Completed,0.91,0,4009,1788,1550,0.423
Completed,0.91,0,607,4325,4671,0.502
Completed,0.91,0,1108,1984,2838,0.729
Completed,0.91,0,4581,4443,962,0.337
Completed,0.91,0,2785,319,3775,0.834
Completed,0.91,0,1810,2945,1899,0.224
Completed,0.91,0,1871,688,3954,0.928
Completed,0.91,0,2773,3240,2071,0.004
Completed,0.91,0,4569,1700,3018,0.51
Completed,0.91,0,1169,4064,1134,0.429
Completed,0.91,0,555,2050,1336,0.329
Completed,0.91,0,4031,4649,4455,0.722
Completed,0.91,0,3326,570,399,0.231
Completed,0.91,0,2354,3043,3518,0.842
Completed,0.91,0,1986,1525,188,0.64
Completed,0.91,0,3586,3926,3319,0.309
Completed,0.91,0,4132,1169,1751,0.8
Completed,0.91,1,34,3696,4882,0.126
Completed,0.91,1,743,113,2647,0.102
Completed,0.91,0,4770,2563,781,0.963
Completed,0.91,0,2816,2189,4211,0.457
Completed,0.91,0,1291,4823,2344,0.6
Completed,0.91,0,1548,2492,3235,0.209
Completed,0.91,0,3068,4873,115,0.848
Completed,0.91,0,4866,202,4798,0.353
Completed,0.91,0,844,2749,1679,0.711
Completed,0.91,0,246,1021,851,0.548
Completed,0.91,0,4349,3490,2734,0.378
Completed,0.91,0,3647,1280,2414,0.888
Completed,0.91,0,2042,3896,4297,0.061
Completed,0.91,0,2292,367,2001,0.483
Completed,0.91,0,3270,2897,3868,0.591
Completed,0.91,0,3818,2022,1064,0.081
Completed,0.91,0,338,4406,2931,0.97
Completed,0.91,0,1075,1747,4539,0.758
Completed,0.91,0,4469,4366,1408,0.182
Completed,0.91,0,2517,873,3602,0.677
Completed,0.91,0,1620,3326,472,0.256
Completed,0.91,0,1657,1577,1798,0.033
Completed,0.91,0,2637,4187,4931,0.892
Completed,0.91,0,4433,732,236,0.403
Completed,0.91,0,955,3196,3369,0.545
Completed,0.91,0,458,535,4104,0.694
Completed,0.91,0,3855,3078,2235,0.365
Completed,0.91,0,3150,2162,2542,0.869
Completed,0.91,0,2256,4537,673,0.197
Completed,0.91,0,2162,1204,3123,0.275
Completed,0.91,0,3684,3662,1243,0.666
Completed,0.91,0,4229,1414,4061,0.162
Completed,0.91,0,210,4037,2181,0.772
Completed,0.91,0,880,2311,351,0.997
