Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.58,31,1976,2284,4485,0.164
Completed,0.61,154,1118,3406,1587,0.566
Completed,0.58,33,2885,1231,2739,0.354
Completed,0.63,227,2835,3116,1855,0.745
Completed,0.58,35,1166,291,2578,0.458
Completed,0.58,104,2026,4149,1081,0.802
Completed,0.58,30,4009,1353,4577,0.024
Completed,0.62,338,4853,4576,3341,0.166
Completed,0.71,1904,1621,2410,2305,0.879
Completed,0.58,30,292,3162,3802,0.35
Completed,0.68,351,3212,948,619,0.571
Completed,0.58,125,3443,3930,4373,0.95
Completed,0.61,937,524,1728,56,0.222
Completed,0.58,211,1384,2556,3565,0.5
Completed,0.58,33,4617,382,2100,0.295
Completed,0.61,802,4241,3683,824,0.402
Completed,0.58,31,2258,896,4828,0.674
Completed,0.61,111,929,4833,1319,0.08
Completed,0.58,31,2599,1997,3097,0.874
Completed,0.58,92,2770,4919,167,0.337
Completed,0.58,31,767,2082,4171,0.616
Completed,0.6,196,2410,3441,1898,0.145
Completed,0.58,32,4098,654,3675,0.931
Completed,0.58,36,4465,2783,4950,0.757
Completed,0.58,36,1526,609,634,0.038
Completed,0.63,328,353,3859,2907,0.692
Completed,0.67,617,3605,1656,1442,0.48
Completed,0.63,367,3373,3389,2689,0.109
Completed,0.58,36,120,1175,1654,0.813
Completed,0.61,243,4702,2339,1193,0.636
Completed,0.62,209,3867,4234,2430,0.56
Completed,0.58,36,2178,1438,3152,0.266
Completed,0.6,167,1004,2874,430,0.986
Completed,0.58,38,3007,49,3926,0.216
Completed,0.65,448,3062,4090,3473,0.487
Completed,0.58,33,1061,1255,2125,0.715
Completed,0.58,33,2077,3018,4227,0.062
Completed,0.6,147,4798,3221,1332,0.908
Completed,0.58,31,1858,1046,2993,0.137
Completed,0.58,127,60,4673,891,0.608
Completed,0.58,32,3311,2469,4699,0.314
Completed,0.6,130,3704,2654,956,0.193
Completed,0.57,32,453,441,4647,0.979
Completed,0.59,253,1469,3989,1745,0.258
Completed,0.58,31,4409,1825,2584,0.537
Completed,0.62,511,4160,4735,3850,0.644
Completed,0.59,112,2470,1938,472,0.432
Completed,0.66,1085,673,3624,3374,0.836
Completed,0.58,32,2674,798,2222,0.117
Completed,0.58,32,2133,166,4844,0.17
Completed,0.59,113,4859,4771,944,0.795
Completed,0.58,38,3355,2375,3208,0.337
Completed,0.63,310,1218,2611,1946,0.712
Completed,0.59,131,545,1796,604,0.584
Completed,0.58,32,2783,3279,4245,0.458
Completed,0.58,32,4318,821,1507,0.908
Completed,0.58,195,1419,4185,2706,0.033
Completed,0.65,453,1769,2186,1764,0.388
Completed,0.58,35,4046,2888,3084,0.514
Completed,0.65,200,3055,587,187,0.119
Completed,0.62,658,195,4418,4026,0.994
Completed,0.58,30,865,1181,3503,0.864
Completed,0.63,206,3630,3756,2285,0.239
Completed,0.58,33,4584,1516,4387,0.627
Completed,0.61,130,2486,3470,767,0.252
Completed,0.58,32,2212,1294,2902,0.879
Completed,0.58,142,4467,3712,1626,0.008
Completed,0.58,31,3591,1013,3894,0.609
Completed,0.6,90,669,4061,20,0.487
Completed,0.58,30,156,346,2453,0.375
Completed,0.6,292,2860,4641,3636,0.746
Completed,0.63,170,3772,1880,905,0.136
Completed,0.58,31,1652,3057,4569,0.757
Completed,0.58,31,1379,736,1117,0.66
Completed,0.57,37,4122,4251,4972,0.288
Completed,0.58,34,2509,1647,2088,0.828
Completed,0.58,34,428,3290,3385,0.207
Completed,0.58,31,944,2309,4068,0.093
Completed,0.61,126,3238,2697,461,0.964
Completed,0.58,30,4820,154,2579,0.417
Completed,0.61,122,1938,4920,1335,0.539
Completed,0.61,117,1992,2448,289,0.775
Completed,0.58,32,4696,2528,3935,0.15
Completed,0.58,34,3186,249,1817,0.732
Completed,0.62,203,1065,4698,3021,0.357
Completed,0.58,30,375,914,4529,0.47
Completed,0.58,103,2630,4121,634,0.596
Completed,0.58,31,4178,1859,3518,0.021
Completed,0.61,247,1256,3185,2260,0.896
Completed,0.58,31,1609,524,3193,0.556
Completed,0.61,324,3776,4872,3591,0.123
Completed,0.58,31,2905,2093,4702,0.951
Completed,0.59,123,23,2952,1077,0.076
Completed,0.58,30,715,1434,1454,0.189
Completed,0.61,315,3458,3543,2769,0.814
Completed,0.63,223,4424,1108,502,0.302
Completed,0.58,32,2343,3839,4337,0.678
Completed,0.58,32,2382,1076,2143,0.051
Completed,0.65,447,4619,3969,3321,0.922
Completed,0.7,741,3731,1387,1220,0.444
Completed,0.58,34,832,3648,4879,0.566
Completed,0.58,32,296,1964,2592,0.695
Completed,0.61,139,3022,2983,1311,0.323
Completed,0.58,31,3942,419,4209,0.808
Completed,0.59,107,1805,4557,330,0.187
Completed,0.58,32,1530,1574,3752,0.269
Completed,0.59,99,4295,3374,151,0.641
Completed,0.58,31,2669,652,2889,0.226
Completed,0.58,118,571,4324,1650,0.847
Completed,0.58,32,1104,61,802,0.976
Completed,0.65,932,3381,4984,4662,0.105
Completed,0.58,32,4969,2246,2398,0.528
Completed,0.58,32,2109,2789,3700,0.406
Completed,0.58,32,2057,1830,2318,0.653
Completed,0.58,31,4939,3156,3458,0.279
Completed,0.68,627,3431,865,731,0.852
Completed,0.58,31,1137,4072,4430,0.229
Completed,0.58,30,616,278,3120,0.1
Completed,0.61,124,2697,4728,1721,0.973
Completed,0.58,30,4247,2497,3994,0.393
Completed,0.6,107,1504,2577,232,0.517
Completed,0.58,33,1855,1137,4280,0.934
Completed,0.6,101,3975,3868,561,0.061
Completed,0.58,32,2969,1482,2674,0.571
Completed,0.59,133,266,3592,1553,0.447
Completed,0.6,156,785,2064,978,0.319
Completed,0.58,32,3706,2923,4799,0.692
Completed,0.58,32,4664,475,1910,0.174
Completed,0.6,285,2410,4463,3251,0.797
Completed,0.73,1131,2293,468,426,0.426
Completed,0.65,619,4391,4606,4110,0.553
Completed,0.63,251,3511,1993,1368,0.063
Completed,0.63,428,746,3013,2533,0.94
Completed,0.58,33,70,1338,4939,0.827
Completed,0.6,126,2930,3599,1161,0.199
Completed,0.58,31,3858,1047,3421,0.683
Completed,0.59,162,1581,3940,2046,0.305
Completed,0.58,30,1309,2197,3603,0.145
Completed,0.68,841,4208,2741,2498,0.773
Completed,0.58,41,2580,32,4604,0.344
Completed,0.6,103,342,4954,862,0.721
Completed,0.58,33,1020,701,1591,0.608
Completed,0.62,214,3158,4373,2945,0.481
Completed,0.62,111,4744,1603,52,0.901
Completed,0.58,30,2018,3403,3848,0.024
Completed,0.58,30,1907,792,2805,0.291
Completed,0.61,122,4767,4156,1411,0.665
Completed,0.58,31,3271,1747,4304,0.217
Completed,0.63,131,994,3230,547,0.841
Completed,0.62,402,456,2405,2004,0.953
Completed,0.58,43,2555,2640,3148,0.08
Completed,0.58,30,4097,215,1041,0.536
Completed,0.71,4692,1332,4820,4744,0.413
Completed,0.62,231,1685,1545,668,0.011
Completed,0.58,34,3822,3500,4484,0.884
Completed,0.58,30,2829,1230,2225,0.498
Completed,0.61,918,103,3805,3561,0.622
Completed,0.58,30,644,558,3970,0.735
Completed,0.58,95,3543,4389,246,0.362
Completed,0.58,33,4495,2137,2989,0.754
Completed,0.61,217,2257,2839,1863,0.131
Completed,0.58,43,2453,1929,4629,0.503
Completed,0.58,115,4534,3106,847,0.375
Completed,0.58,30,3660,375,3736,0.991
Completed,0.6,149,917,4670,2356,0.114
Completed,0.6,116,221,964,116,0.242
Completed,0.67,1153,3103,4013,3795,0.87
Completed,0.57,32,4017,1265,1683,0.262
Completed,0.62,304,1724,3682,2843,0.64
Completed,0.58,30,1449,105,1276,0.784
Completed,0.62,161,4370,4871,2635,0.157
Completed,0.6,108,2750,2280,363,0.71
Completed,0.58,32,495,2668,4163,0.332
Completed,0.58,32,1190,1696,3288,0.461
Completed,0.6,207,3310,3339,2187,0.589
Completed,0.58,31,4884,765,4914,0.043
Completed,0.58,109,2181,4280,1177,0.92
Completed,0.58,33,2167,2080,3405,0.123
Completed,0.6,250,4913,2936,2069,0.996
Completed,0.58,31,3282,539,4953,0.385
Completed,0.58,104,1203,4525,1136,0.509
Completed,0.58,34,472,1132,1394,0.629
Completed,0.62,197,2768,3864,2520,0.256
Completed,0.61,146,4352,1407,402,0.86
Completed,0.58,31,1472,3521,4126,0.237
Completed,0.69,391,1745,272,79,0.342
Completed,0.6,343,4001,4724,3835,0.716
Completed,0.61,209,3119,2423,1567,0.166
Completed,0.58,36,200,2505,2961,0.789
Completed,0.58,31,928,1846,4588,0.911
Completed,0.6,116,3635,3170,885,0.038
Completed,0.58,32,4560,930,3617,0.579
Completed,0.59,168,2442,4134,2472,0.455
Completed,0.58,32,2246,630,4007,0.834
Completed,0.61,95,4521,4298,206,0.207
Completed,0.58,30,3517,1598,3104,0.659
Completed,0.59,150,655,3398,1745,0.282
Completed,0.59,121,83,2260,708,0.418
Completed,0.58,30,2845,2805,4445,0.546
Completed,0.58,30,3806,45,2344,0.086
Completed,0.6,217,1705,4971,3444,0.964
Completed,0.58,30,1355,1400,1887,0.616
Completed,0.66,612,4078,3665,3267,0.488
Completed,0.74,1427,2573,1061,1003,0.878
Completed,0.58,30,433,3955,4785,0.0
Completed,0.58,31,1008,395,2687,0.138
Completed,0.59,117,3243,4533,1526,0.765
Completed,0.58,35,4795,1990,4264,0.367
Completed,0.61,113,1894,3006,584,0.744
Completed,0.58,33,1997,613,1709,0.945
Completed,0.62,212,4759,4442,2830,0.072
Completed,0.62,113,3142,2163,92,0.56
Completed,0.58,31,1041,2862,3811,0.436
Completed,0.58,30,331,1500,3720,0.299
Completed,0.61,219,2606,3457,2379,0.673
Completed,0.58,31,4182,1195,4643,0.194
Completed,0.6,111,1320,3772,821,0.817
Completed,0.58,33,1594,2360,4898,0.727
Completed,0.61,168,3830,2597,1200,0.354
Completed,0.58,31,2958,179,3302,0.778
Completed,0.59,132,57,4788,2162,0.155
Completed,0.64,202,769,847,389,0.019
Completed,0.74,4390,3492,4208,4150,0.892
Completed,0.64,300,4409,1772,1253,0.474
Completed,0.63,347,2269,3253,2651,0.598
Completed,0.62,212,2387,1662,1018,0.219
Completed,0.58,32,4683,3305,4760,0.846
Completed,0.58,31,3688,723,2029,0.27
Completed,0.62,261,808,4234,3134,0.647
Completed,0.58,31,252,128,4317,0.526
Completed,0.6,99,2998,4898,521,0.398
Completed,0.58,31,3947,2333,2789,0.983
Completed,0.61,165,1868,2722,1435,0.106
Completed,0.58,33,1515,988,3002,0.438
Completed,0.58,141,4222,4038,1836,0.566
Completed,0.58,33,2723,1317,3954,0.051
Completed,0.59,94,605,3738,269,0.928
Completed,0.58,32,1158,1897,2202,0.807
Completed,0.58,33,3415,3070,3577,0.18
Completed,0.58,31,4955,331,693,0.702
Completed,0.63,1637,2036,4626,4470,0.324
Completed,0.6,267,2081,1244,921,0.576
Completed,0.58,31,4983,3821,4546,0.45
Completed,0.57,33,3368,1529,2439,0.931
Completed,0.58,30,1133,3487,3662,0.056
Completed,0.58,31,553,2115,3868,0.177
Completed,0.59,97,2692,2813,33,0.803
