Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
Completed,0.74,9,5000,819,0.909,50,0.005
Completed,0.75,10,5000,748,0.802,27,0.005
Completed,0.75,12,4404,667,0.865,50,0.005
Completed,0.75,10,5000,841,0.988,50,0.005
Completed,0.75,10,5000,780,0.917,12,0.25
Completed,0.75,9,5000,844,0.932,50,0.25
Completed,0.75,10,5000,717,0.999,50,0.25
Completed,0.75,11,5000,770,0.911,32,0.005
Completed,0.75,14,3452,713,0.824,50,0.005
Completed,0.75,13,5000,549,0.87,50,0.005
Completed,0.75,11,5000,760,0.999,50,0.005
Completed,0.75,15,4686,765,0.869,50,0.005
Completed,0.75,12,5000,828,0.888,50,0.005
Completed,0.75,14,5000,714,0.999,50,0.005
Completed,0.75,11,5000,837,0.999,50,0.005
Completed,0.75,11,5000,747,0.932,50,0.005
Completed,0.75,9,5000,737,0.969,50,0.25
Completed,0.75,9,5000,898,0.981,50,0.005
Completed,0.75,22,5000,362,0.94,50,0.005
Completed,0.74,9,4248,870,0.931,25,0.25
Completed,0.75,11,3529,631,0.999,50,0.005
Completed,0.75,12,3875,604,0.957,50,0.25
Completed,0.75,14,5000,656,0.999,50,0.005
Completed,0.74,15,5000,675,0.97,50,0.005
Completed,0.75,10,4157,756,0.885,50,0.005
Completed,0.75,7,2504,615,0.932,50,0.005
Completed,0.75,14,5000,646,0.999,49,0.005
Completed,0.74,10,5000,865,0.919,50,0.005
Completed,0.75,11,5000,724,0.907,50,0.25
Completed,0.75,13,5000,645,0.859,50,0.005
Completed,0.75,19,5000,703,0.862,50,0.005
Completed,0.75,11,5000,701,0.782,26,0.005
Completed,0.75,13,5000,541,0.999,50,0.005
Completed,0.74,11,5000,606,0.96,50,0.005
Completed,0.75,15,4062,576,0.999,50,0.25
Completed,0.75,16,5000,659,0.999,50,0.05
Completed,0.74,13,4473,704,0.931,50,0.005
Completed,0.74,12,5000,675,0.999,50,0.25
Completed,0.75,9,2416,459,0.783,50,0.005
Completed,0.75,7,5000,1476,0.938,25,0.005
Completed,0.75,14,4801,559,0.893,50,0.005
Completed,0.75,12,5000,703,0.073,50,0.25
Completed,0.75,11,5000,709,0.907,50,0.25
Completed,0.75,11,5000,770,0.853,50,0.005
Completed,0.75,11,4704,707,0.999,50,0.005
Completed,0.75,11,5000,714,0.745,50,0.25
Completed,0.75,11,5000,719,0.947,50,0.25
Completed,0.75,11,5000,726,0.969,50,0.005
Completed,0.75,10,4648,781,0.883,50,0.005
Completed,0.75,11,5000,719,0.944,50,0.005
Completed,0.75,17,5000,757,0.903,44,0.005
Completed,0.75,10,5000,767,0.001,50,0.25
Completed,0.75,13,5000,631,0.929,50,0.25
Completed,0.75,12,5000,708,0.2,50,0.25
Completed,0.74,14,4889,641,0.89,50,0.005
Completed,0.75,15,5000,685,0.001,50,0.05
Completed,0.75,15,5000,743,0.809,26,0.25
Completed,0.75,10,5000,771,0.961,50,0.005
Completed,0.75,10,5000,754,0.986,50,0.25
Completed,0.75,11,5000,734,0.69,50,0.25
Completed,0.75,11,5000,805,0.175,50,0.25
Completed,0.75,12,5000,713,0.86,50,0.25
Completed,0.75,15,4644,649,0.908,50,0.005
Completed,0.75,12,4681,668,0.004,27,0.25
Completed,0.74,11,5000,670,0.999,50,0.25
Completed,0.75,11,5000,711,0.931,50,0.25
Completed,0.75,9,5000,797,0.417,50,0.25
Completed,0.75,7,2775,551,0.119,50,0.25
Completed,0.75,28,5000,796,0.834,50,0.005
Completed,0.75,10,5000,742,0.26,50,0.25
Completed,0.75,10,5000,843,0.252,50,0.25
Completed,0.75,16,4133,623,0.188,50,0.25
Completed,0.75,14,5000,747,0.757,50,0.005
Completed,0.74,18,5000,513,0.216,50,0.25
Completed,0.74,15,5000,670,0.853,50,0.005
Completed,0.75,11,5000,723,0.375,50,0.05
Completed,0.75,11,5000,757,0.842,50,0.005
Completed,0.75,15,5000,749,0.001,50,0.05
Completed,0.75,9,5000,869,0.147,50,0.25
Completed,0.75,12,4599,769,0.001,50,0.25
Completed,0.75,10,5000,737,0.418,50,0.05
Completed,0.74,42,1609,312,0.598,50,0.005
Completed,0.74,15,5000,675,0.001,50,0.25
Completed,0.75,13,5000,814,0.313,50,0.05
Completed,0.75,6,2842,802,0.999,50,0.005
Completed,0.74,13,5000,819,0.999,50,0.25
Completed,0.75,16,4358,695,0.304,50,0.25
Completed,0.75,10,5000,726,0.001,50,0.1
Completed,0.74,12,5000,935,0.78,50,0.005
Completed,0.75,14,5000,707,0.336,50,0.1
Completed,0.75,15,4019,745,0.022,50,0.25
Completed,0.75,14,5000,729,0.539,50,0.25
Completed,0.75,15,5000,735,0.801,50,0.005
Completed,0.75,12,5000,861,0.278,50,0.05
Completed,0.75,10,5000,695,0.065,30,0.25
Completed,0.75,10,5000,800,0.135,50,0.25
Completed,0.75,7,2951,785,0.007,50,0.25
Completed,0.75,12,5000,710,0.14,50,0.25
Completed,0.75,10,5000,601,0.058,50,0.25
Completed,0.75,10,5000,796,0.081,50,0.25
Completed,0.74,9,3147,608,0.001,4,0.25
Completed,0.75,8,5000,953,0.121,30,0.05
Completed,0.75,11,3751,864,0.205,50,0.05
Completed,0.75,9,4356,965,0.124,50,0.05
Completed,0.75,15,5000,721,0.259,50,0.05
Completed,0.75,10,5000,823,0.001,50,0.25
Completed,0.75,10,4804,877,0.001,50,0.05
Completed,0.75,18,5000,447,0.53,1,0.005
Completed,0.75,10,5000,817,0.054,50,0.25
Completed,0.75,11,4253,669,0.067,50,0.25
Completed,0.75,10,5000,744,0.088,50,0.25
Completed,0.75,11,5000,731,0.041,50,0.25
Completed,0.75,38,1979,749,0.238,17,0.005
Completed,0.73,5,5000,4071,0.999,50,0.025
Completed,0.75,12,5000,757,0.001,44,0.05
Completed,0.75,15,5000,690,0.001,50,0.1
Completed,0.75,11,3187,615,0.744,50,0.005
Completed,0.74,13,5000,818,0.001,50,0.05
Completed,0.75,15,5000,684,0.086,50,0.25
Completed,0.75,9,5000,889,0.045,50,0.1
Completed,0.75,11,4761,723,0.001,50,0.25
Completed,0.74,12,4206,679,0.001,29,0.25
Completed,0.74,9,4793,819,0.01,50,0.25
Completed,0.75,10,5000,716,0.001,50,0.25
Completed,0.74,11,5000,702,0.412,50,0.05
Completed,0.74,13,4677,611,0.437,50,0.05
Completed,0.75,12,5000,745,0.82,50,0.005
Completed,0.75,13,5000,750,0.093,50,0.05
Completed,0.75,12,5000,667,0.112,50,0.1
Completed,0.75,9,5000,756,0.001,34,0.25
Completed,0.75,9,5000,790,0.061,50,0.1
Completed,0.75,11,5000,899,0.066,50,0.25
Completed,0.75,11,5000,786,0.707,50,0.005
Completed,0.75,10,4975,787,0.126,50,0.25
Completed,0.73,4,2164,972,0.377,17,0.005
Completed,0.73,16,1,367,0.444,22,0.005
Completed,0.75,37,4549,1091,0.267,42,0.005
Completed,0.73,4,3259,3570,0.389,11,0.025
Completed,0.74,16,3456,1833,0.491,1,0.001
Completed,0.75,7,3680,1460,0.999,50,0.005
Completed,0.74,6,5000,1904,0.417,1,0.25
Completed,0.75,9,4407,975,0.392,32,0.005
Completed,0.75,8,1121,671,0.194,50,0.25
Completed,0.74,7,1519,1581,0.56,38,0.005
Completed,0.74,9,3854,736,0.434,23,0.25
Completed,0.75,9,1272,649,0.001,23,0.25
Completed,0.72,4,2021,1334,0.527,15,0.25
Completed,0.74,6,3825,2242,0.446,18,0.05
Completed,0.75,93,4259,680,0.176,50,0.005
Completed,0.73,5,2683,1113,0.999,42,0.25
