Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.73,2,3998,0.311
Completed,0.73,1,376,0.854
Completed,0.73,3,1618,0.039
Completed,0.73,2,2760,0.611
Completed,0.73,2,3281,0.224
Completed,0.73,2,2352,0.673
Completed,0.73,2,1125,0.498
Completed,0.73,1,4494,0.914
Completed,0.73,3,4933,0.08
Completed,0.73,1,686,0.504
Completed,0.73,2,1934,0.321
Completed,0.73,2,3700,0.778
Completed,0.73,2,2966,0.387
Completed,0.73,2,1413,0.967
Completed,0.73,2,189,0.144
Completed,0.73,2,4185,0.695
Completed,0.73,2,4193,0.141
Completed,0.73,1,180,0.692
Completed,0.73,2,1423,0.384
Completed,0.73,1,2955,0.964
Completed,0.73,2,3710,0.324
Completed,0.73,2,1923,0.78
Completed,0.73,2,694,0.082
Completed,0.73,2,4924,0.507
Completed,0.73,2,4503,0.499
Completed,0.73,1,1116,0.916
Completed,0.73,1,2363,0.225
Completed,0.73,2,3270,0.675
Completed,0.73,3,2771,0.038
Completed,0.73,2,1607,0.61
Completed,0.73,2,384,0.31
Completed,0.73,1,3989,0.853
Completed,0.73,2,3803,0.251
Completed,0.73,1,570,0.832
Completed,0.74,4,1812,0.026
Completed,0.73,2,2566,0.574
Completed,0.73,2,3319,0.214
Completed,0.73,2,2314,0.64
Completed,0.73,2,1086,0.441
Completed,0.73,1,4532,0.896
Completed,0.73,2,4739,0.11
Completed,0.73,2,879,0.557
Completed,0.73,2,2128,0.366
Completed,0.73,2,3505,0.784
Completed,0.73,2,3004,0.428
Completed,0.73,1,1375,0.969
Completed,0.73,2,151,0.17
Completed,0.73,2,4222,0.743
Completed,0.73,2,4323,0.399
Completed,0.73,1,55,0.95
Completed,0.73,2,1314,0.128
Completed,0.73,2,3060,0.707
Completed,0.73,4,3557,0.066
Completed,0.73,1,2062,0.523
Completed,0.73,2,789,0.339
Completed,0.73,2,4844,0.763
Completed,0.73,2,4637,0.242
Completed,0.73,2,996,0.659
Completed,0.73,1,2248,0.483
Completed,0.73,1,3370,0.932
Completed,0.73,1,2622,0.295
Completed,0.73,1,1751,0.867
Completed,0.72,2,475,0.052
Completed,0.73,2,3903,0.595
Completed,0.74,6,3932,0.01
Completed,0.73,1,446,0.591
Completed,0.73,2,1702,0.268
Completed,0.73,1,2671,0.817
Completed,0.73,2,3165,0.455
Completed,0.73,1,2453,0.881
Completed,0.73,2,1182,0.199
Completed,0.73,2,4451,0.654
Completed,0.73,2,4873,0.352
Completed,0.73,1,760,0.799
Completed,0.73,2,2013,0.124
Completed,0.73,2,3605,0.543
Completed,0.73,2,2855,0.185
Completed,0.73,2,1519,0.726
Completed,0.73,1,241,0.411
Completed,0.73,2,4100,0.331
Completed,0.73,2,283,0.757
Completed,0.73,2,2813,0.53
Completed,0.73,2,4410,0.061
Completed,0.73,2,1218,0.602
Completed,0.73,2,2495,0.287
Completed,0.73,1,3129,0.86
Completed,0.73,2,2708,0.476
Completed,0.73,2,1661,0.923
