Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.06,1124,4683,0.264
Completed,0.14,1528,410,0.001
Completed,0.05,1960,4788,0.946
Completed,0.15,1584,492,0.001
Completed,0.19,2383,3080,0.001
Completed,0.04,889,4072,0.999
Completed,0.05,1325,133,0.914
Completed,0.05,907,4893,0.838
Completed,0.06,1451,4366,0.224
Completed,0.05,1668,1074,0.363
Completed,0.13,1613,2433,0.001
Completed,0.04,1481,2129,0.44
Completed,0.06,245,1,0.797
Completed,0.04,1461,2130,0.641
Completed,0.18,2074,655,0.001
Completed,0.2,2188,840,0.001
Completed,0.04,670,2027,0.622
Completed,0.16,1840,860,0.001
Completed,0.04,1461,229,0.223
Completed,0.18,1940,648,0.001
Completed,0.04,1488,2572,0.828
Completed,0.06,1612,200,0.001
Completed,0.06,1529,4452,0.25
Completed,0.05,1543,2292,0.227
Completed,0.05,1384,4842,0.407
Completed,0.18,1837,781,0.001
Completed,0.14,1789,547,0.001
Completed,0.05,1077,232,0.001
Completed,0.05,1374,3407,0.386
Completed,0.06,235,1,0.533
Completed,0.18,2647,3119,0.001
Completed,0.05,405,4180,0.241
Completed,0.2,2415,3260,0.001
Completed,0.18,1963,2709,0.001
Completed,0.18,1819,2834,0.001
Completed,0.05,1484,3560,0.48
Completed,0.06,1662,3778,0.945
Completed,0.04,714,2018,0.974
Completed,0.05,230,1,0.32
Completed,0.08,1337,303,0.001
Completed,0.04,1300,149,0.368
Completed,0.06,1496,4263,0.391
Completed,0.05,878,74,0.383
Completed,0.05,719,78,0.313
Completed,0.09,1529,298,0.001
Completed,0.14,1704,2538,0.001
Completed,0.05,1399,3537,0.894
Completed,0.07,1562,4863,0.146
Completed,0.04,1687,1057,0.953
Completed,0.04,1801,2453,0.496
Completed,0.05,1438,3504,0.681
Completed,0.05,1402,2978,0.354
Completed,0.05,1583,1692,0.547
Completed,0.18,1764,568,0.004
Completed,0.06,1507,4139,0.819
Completed,0.06,1341,3840,0.416
Completed,0.04,1442,206,0.734
Completed,0.06,1429,1288,0.191
Completed,0.05,1388,2794,0.882
