Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
Completed,0.55,918,3168,5,2680,str('H'),2,str('tstat'),0.009,97
Completed,0.5,1252,1468,1,1347,str('KL'),3,str('stdev'),0.572,27
Completed,0.56,1010,1342,5,3891,str('H'),1,str('tstat'),0.666,93
Completed,0.5,1134,3391,1,214,str('KL'),3,str('stdev'),0.231,35
Completed,0.52,1081,4317,9,3728,str('H'),3,str('stdev'),0.424,25
Completed,0.5,300,1051,3,2247,str('KL'),2,str('tstat'),0.984,56
Completed,0.5,1292,74,8,1005,str('KL'),3,str('stdev'),0.367,50
Completed,0.49,1086,4590,4,4975,str('H'),2,str('tstat'),0.801,82
Completed,0.5,1176,3039,6,1456,str('KL'),3,str('tstat'),0.606,67
Completed,0.5,1112,2240,1,2644,str('H'),1,str('stdev'),0.047,10
Completed,0.52,1207,1986,9,1731,str('H'),3,str('stdev'),0.309,60
Completed,0.5,239,2746,3,2916,str('KL'),1,str('tstat'),0.868,17
Completed,0.55,603,4961,5,655,str('H'),1,str('tstat'),0.531,32
Completed,0.42,1484,406,2,4622,str('KL'),2,str('stdev'),0.097,100
Completed,0.56,1125,680,7,3375,str('KL'),2,str('tstat'),0.723,6
Completed,0.5,1121,3985,0,1897,str('H'),1,str('stdev'),0.164,74
Completed,0.56,1410,3645,7,4163,str('KL'),1,str('stdev'),0.499,86
Completed,0.46,1048,1635,4,489,str('H'),2,str('tstat'),0.934,43
Completed,0.56,1042,1651,7,2357,str('H'),3,str('tstat'),0.25,80
Completed,0.5,1015,3706,0,3545,str('KL'),1,str('stdev'),0.685,48
Completed,0.56,993,4001,7,25,str('H'),3,str('stdev'),0.972,11
Completed,0.5,1058,741,4,3997,str('KL'),1,str('tstat'),0.413,69
Completed,0.53,1152,390,9,2754,str('KL'),1,str('stdev'),0.782,37
Completed,0.43,1572,4900,2,1273,str('H'),2,str('tstat'),0.347,94
Completed,0.55,590,2730,5,4788,str('KL'),3,str('tstat'),0.058,54
Completed,0.5,1065,1925,1,1109,str('H'),2,str('stdev'),0.617,23
Completed,0.5,1359,2296,8,4513,str('H'),2,str('stdev'),0.856,73
Completed,0.5,271,3062,3,837,str('KL'),1,str('tstat'),0.297,4
Completed,0.5,1095,4646,6,3104,str('H'),3,str('tstat'),0.116,44
Completed,0.5,1037,97,0,1626,str('KL'),2,str('stdev'),0.551,87
Completed,0.55,633,995,5,378,str('KL'),2,str('tstat'),0.176,19
Completed,0.5,1153,4294,1,4347,str('H'),1,str('stdev'),0.735,61
Completed,0.5,1666,3335,8,2085,str('KL'),1,str('stdev'),0.914,98
Completed,0.51,254,1319,3,3270,str('H'),2,str('tstat'),0.479,30
Completed,0.52,2633,1489,9,717,str('KL'),1,str('stdev'),0.26,90
Completed,0.5,252,3223,3,4560,str('H'),2,str('tstat'),0.823,35
Completed,0.5,1185,4149,6,1823,str('KL'),2,str('tstat'),0.518,21
Completed,0.5,1073,1198,1,2824,str('H'),3,str('stdev'),0.08,51
Completed,0.49,1192,223,6,4081,str('H'),1,str('tstat'),0.71,46
Completed,0.5,1019,4423,0,570,str('KL'),2,str('stdev'),0.147,76
Completed,0.49,1316,2873,8,3303,str('H'),2,str('stdev'),0.45,65
Completed,0.49,909,2388,4,1969,str('KL'),3,str('tstat'),0.888,10
Completed,0.55,606,2134,5,3653,str('KL'),2,str('tstat'),0.651,60
Completed,0.42,1286,2580,2,2322,str('H'),1,str('stdev'),0.213,15
Completed,0.52,1243,4794,9,3807,str('KL'),2,str('stdev'),0.376,26
Completed,0.43,1022,554,2,298,str('H'),3,str('tstat'),0.939,96
Completed,0.56,1315,827,7,1550,str('H'),2,str('stdev'),0.318,1
Completed,0.46,897,3817,4,2550,str('KL'),3,str('tstat'),0.757,71
Completed,0.56,1820,3478,7,1070,str('H'),2,str('tstat'),0.592,85
Completed,0.5,1015,1782,0,4910,str('KL'),3,str('stdev'),0.029,40
Completed,0.55,610,1722,5,1240,str('H'),3,str('stdev'),0.416,87
Completed,0.5,1214,3460,1,4740,str('KL'),1,str('tstat'),0.979,43
Completed,0.53,1444,3760,9,1379,str('H'),1,str('tstat'),0.674,4
Completed,0.43,1193,807,2,2721,str('KL'),3,str('stdev'),0.235,74
Completed,0.56,1064,611,7,3969,str('KL'),3,str('tstat'),0.616,29
Completed,0.5,12135,4814,4,136,str('H'),1,str('stdev'),0.053,98
Completed,0.56,1040,2639,7,3493,str('KL'),2,str('stdev'),0.357,62
Completed,0.5,1028,2152,0,2482,str('H'),3,str('tstat'),0.795,18
Completed,0.52,1112,2366,9,3142,str('H'),3,str('tstat'),0.558,68
Completed,0.51,234,2815,3,2129,str('KL'),2,str('stdev'),0.12,12
Completed,0.55,568,4404,5,4243,str('H'),3,str('stdev'),0.282,48
Completed,0.5,1750,162,1,409,str('KL'),1,str('tstat'),0.845,79
Completed,0.5,1261,1217,6,1651,str('KL'),1,str('stdev'),0.474,23
Completed,0.5,1017,4209,0,2996,str('H'),2,str('tstat'),0.912,54
Completed,0.5,1450,3245,8,887,str('KL'),3,str('tstat'),0.748,93
Completed,0.48,257,1547,3,4390,str('H'),1,str('stdev'),0.185,37
Completed,0.5,1824,1262,8,1944,str('KL'),2,str('tstat'),0.094,95
Completed,0.5,796,3315,4,3411,str('H'),1,str('stdev'),0.528,27
Completed,0.5,1045,4235,6,520,str('KL'),1,str('stdev'),0.817,16
Completed,0.5,1198,977,1,4205,str('H'),3,str('tstat'),0.257,59
Completed,0.5,1114,156,6,2952,str('H'),2,str('stdev'),0.876,41
Completed,0.5,1070,4664,1,1778,str('KL'),3,str('tstat'),0.442,84
Completed,0.52,1345,3119,9,4664,str('H'),1,str('tstat'),0.151,70
Completed,0.5,241,2316,3,686,str('KL'),3,str('stdev'),0.711,2
Completed,0.56,1292,1906,7,4939,str('KL'),1,str('stdev'),0.949,52
Completed,0.5,1012,2669,0,958,str('H'),3,str('tstat'),0.39,20
Completed,0.51,1312,4879,8,2602,str('KL'),1,str('tstat'),0.21,34
Completed,0.49,3322,332,4,1425,str('H'),2,str('stdev'),0.645,91
Completed,0.55,541,3725,5,2216,str('H'),3,str('stdev'),0.758,77
Completed,0.42,1212,1711,2,3686,str('KL'),3,str('tstat'),0.323,45
Completed,0.52,1275,1577,9,4315,str('KL'),2,str('tstat'),0.509,82
Completed,0.56,969,3924,5,3224,str('KL'),1,str('stdev'),0.269,3
Completed,0.43,1317,661,2,2048,str('H'),2,str('tstat'),0.828,71
Completed,0.56,1034,466,7,796,str('H'),2,str('stdev'),0.461,28
Completed,0.5,1035,4980,0,4481,str('KL'),1,str('tstat'),0.895,96
Completed,0.56,1886,2804,7,1589,str('H'),1,str('tstat'),0.699,57
Completed,0.5,1021,2007,4,3058,str('KL'),3,str('stdev'),0.14,14
Completed,0.53,696,2222,5,1314,str('KL'),1,str('stdev'),0.402,64
Completed,0.5,1083,2980,1,2786,str('H'),3,str('tstat'),0.961,7
Completed,0.5,1565,4570,8,1146,str('KL'),1,str('tstat'),0.625,46
Completed,0.49,379,17,3,4834,str('H'),2,str('stdev'),0.191,78
Completed,0.5,1388,1071,8,3577,str('H'),1,str('tstat'),0.568,21
Completed,0.47,1224,4374,4,2398,str('KL'),3,str('stdev'),0.008,53
Completed,0.5,1527,3409,6,4043,str('H'),1,str('stdev'),0.343,89
Completed,0.5,1046,1401,0,62,str('KL'),2,str('tstat'),0.777,32
Completed,0.5,1216,1407,6,2518,str('H'),3,str('stdev'),0.999,100
Completed,0.5,1069,3149,1,1509,str('KL'),1,str('tstat'),0.435,31
Completed,0.5,1281,4069,8,4864,str('H'),2,str('tstat'),0.223,17
Completed,0.5,1049,1121,4,1033,str('KL'),1,str('stdev'),0.662,61
Completed,0.51,1046,302,9,2281,str('KL'),3,str('tstat'),0.033,42
Completed,0.42,379,4500,3,3621,str('H'),2,str('stdev'),0.597,86
Completed,0.5,1367,2954,6,261,str('KL'),1,str('stdev'),0.807,75
Completed,0.5,1307,2463,1,3761,str('H'),2,str('tstat'),0.368,6
Completed,0.56,1231,2052,7,612,str('H'),1,str('tstat'),0.108,56
Completed,0.46,988,2505,4,4113,str('KL'),2,str('stdev'),0.546,25
Completed,0.56,1034,2763,7,4028,str('KL'),2,str('tstat'),0.46,24
Completed,0.5,830,1961,4,77,str('H'),3,str('stdev'),0.895,54
Completed,0.56,732,2253,5,4302,str('H'),2,str('stdev'),0.625,4
Completed,0.5,1085,3017,1,350,str('KL'),1,str('tstat'),0.19,73
Completed,0.53,1520,4591,9,3240,str('H'),1,str('tstat'),0.403,87
Completed,0.49,207,44,3,2032,str('KL'),3,str('stdev'),0.962,43
Completed,0.5,1476,1020,8,789,str('KL'),2,str('tstat'),0.343,62
Completed,0.48,237,4317,3,4488,str('H'),3,str('stdev'),0.778,18
Completed,0.5,1074,3368,6,1593,str('KL'),1,str('stdev'),0.567,29
Completed,0.5,1031,1354,0,3054,str('H'),2,str('tstat'),0.008,98
Completed,0.5,1431,1463,6,618,str('KL'),1,str('stdev'),0.224,34
Completed,0.5,1272,3201,1,4107,str('H'),2,str('tstat'),0.663,91
Completed,0.5,1256,4116,8,2002,str('KL'),2,str('tstat'),0.998,52
Completed,0.5,1040,1163,4,3353,str('H'),1,str('stdev'),0.435,20
Completed,0.52,1319,265,9,4605,str('H'),1,str('tstat'),0.806,77
Completed,0.5,280,4468,3,745,str('KL'),2,str('stdev'),0.368,45
Completed,0.49,1182,2928,6,2855,str('H'),2,str('stdev'),0.034,9
Completed,0.5,1137,2440,1,1875,str('KL'),1,str('tstat'),0.597,66
Completed,0.5,1224,2108,8,2505,str('KL'),3,str('tstat'),0.865,16
Completed,0.5,969,2556,4,1522,str('H'),1,str('stdev'),0.302,59
Completed,0.56,1179,4761,7,4880,str('KL'),3,str('stdev'),0.107,95
Completed,0.5,1001,519,0,1017,str('H'),1,str('tstat'),0.546,27
Completed,0.55,574,870,5,2274,str('H'),3,str('stdev'),0.165,70
Completed,0.5,1403,3862,2,3628,str('KL'),2,str('tstat'),0.728,2
Completed,0.52,1444,3532,9,265,str('H'),1,str('tstat'),0.925,41
Completed,0.42,1186,1834,2,3757,str('KL'),3,str('stdev'),0.486,84
Completed,0.5,1167,1801,6,2198,str('H'),3,str('stdev'),0.037,69
Completed,0.5,1069,3538,0,3699,str('KL'),1,str('tstat'),0.601,12
Completed,0.5,1229,3838,8,184,str('H'),3,str('tstat'),0.81,48
Completed,0.48,297,885,3,3843,str('KL'),1,str('stdev'),0.372,80
Completed,0.5,1257,533,8,2595,str('KL'),2,str('tstat'),0.995,23
Completed,0.5,641,4736,3,1427,str('H'),1,str('stdev'),0.431,55
Completed,0.55,568,2560,5,4947,str('KL'),3,str('stdev'),0.22,94
Completed,0.5,1063,2074,1,955,str('H'),1,str('tstat'),0.658,37
Completed,0.56,1014,2445,7,4672,str('H'),3,str('tstat'),0.928,87
Completed,0.5,978,2893,4,683,str('KL'),1,str('stdev'),0.49,44
Completed,0.49,1129,4482,6,2946,str('H'),3,str('stdev'),0.169,5
Completed,0.5,989,240,0,1780,str('KL'),2,str('tstat'),0.733,73
Completed,0.55,562,1139,5,537,str('KL'),3,str('stdev'),0.104,30
Completed,0.45,2154,4131,2,4193,str('H'),1,str('tstat'),0.543,98
Completed,0.52,1499,3167,9,1926,str('KL'),1,str('tstat'),0.861,62
Completed,0.42,1267,1469,2,3424,str('H'),2,str('stdev'),0.298,19
Completed,0.52,1336,1341,9,871,str('KL'),1,str('tstat'),0.457,51
Completed,0.48,230,3392,3,4401,str('H'),3,str('stdev'),0.891,20
Completed,0.55,608,4313,5,1669,str('KL'),2,str('stdev'),0.695,34
Completed,0.42,1579,1055,2,2983,str('H'),1,str('tstat'),0.136,90
Completed,0.56,1153,78,7,4235,str('H'),1,str('stdev'),0.513,9
Completed,0.5,995,4586,0,412,str('KL'),3,str('tstat'),0.078,65
Completed,0.56,1177,3040,7,3149,str('H'),2,str('tstat'),0.273,76
Completed,0.49,869,2238,4,2128,str('KL'),3,str('stdev'),0.832,45
Completed,0.55,623,1985,5,3500,str('KL'),3,str('stdev'),0.564,95
Completed,0.5,1110,2747,1,2480,str('H'),2,str('tstat'),0.005,26
Completed,0.53,1231,4957,9,3961,str('KL'),1,str('tstat'),0.339,15
Completed,0.49,226,410,3,140,str('H'),3,str('stdev'),0.773,59
Completed,0.5,1222,684,8,1397,str('H'),3,str('tstat'),0.406,40
Completed,0.5,863,3981,4,2708,str('KL'),1,str('stdev'),0.965,84
Completed,0.5,1181,3646,6,1223,str('H'),1,str('stdev'),0.629,70
Completed,0.5,1101,1634,1,4752,str('KL'),3,str('tstat'),0.194,1
Completed,0.5,1380,1655,8,2874,str('KL'),1,str('tstat'),0.88,64
Completed,0.5,257,3702,3,1851,str('H'),2,str('stdev'),0.445,8
Completed,0.5,1160,4002,6,4590,str('KL'),2,str('stdev'),0.155,47
Completed,0.5,989,740,0,765,str('H'),3,str('tstat'),0.715,78
Completed,0.56,629,389,5,2018,str('H'),1,str('stdev'),0.09,22
Completed,0.5,1160,4901,1,3333,str('KL'),3,str('tstat'),0.525,53
Completed,0.5,3068,2726,8,599,str('H'),2,str('tstat'),0.813,89
Completed,0.49,232,1929,3,4131,str('KL'),1,str('stdev'),0.253,33
Completed,0.56,3342,2300,7,248,str('KL'),2,str('stdev'),0.024,83
Completed,0.5,1088,3058,0,3778,str('H'),1,str('tstat'),0.584,39
Completed,0.56,1332,4647,7,2292,str('KL'),2,str('tstat'),0.761,2
Completed,0.47,847,95,4,3605,str('H'),3,str('stdev'),0.327,72
Completed,0.52,1224,993,9,4863,str('H'),1,str('tstat'),0.946,28
Completed,0.43,1646,4295,2,1039,str('KL'),2,str('stdev'),0.386,97
Completed,0.55,744,3331,5,2521,str('H'),1,str('stdev'),0.207,58
Completed,0.5,1054,1323,1,1501,str('KL'),3,str('tstat'),0.641,14
Completed,0.55,614,1485,5,4045,str('H'),2,str('stdev'),0.612,56
Completed,0.5,1067,3227,2,55,str('KL'),1,str('tstat'),0.049,24
Completed,0.52,1148,4147,9,3574,str('H'),3,str('tstat'),0.353,35
Completed,0.43,1585,1200,2,2406,str('KL'),1,str('stdev'),0.791,92
Completed,0.56,1041,224,7,1159,str('KL'),2,str('tstat'),0.42,10
Completed,0.5,865,4421,4,4816,str('H'),2,str('stdev'),0.983,67
Completed,0.56,999,2876,7,1302,str('KL'),3,str('stdev'),0.678,81
Completed,0.5,1024,2384,0,2803,str('H'),1,str('tstat'),0.239,49
Completed,0.52,1087,2130,9,1577,str('H'),3,str('tstat'),0.47,99
Completed,0.5,217,2583,3,3075,str('KL'),1,str('stdev'),0.908,31
Completed,0.5,1064,4792,6,808,str('H'),1,str('stdev'),0.744,17
Completed,0.5,1122,556,1,4464,str('KL'),2,str('tstat'),0.181,60
Completed,0.5,1245,828,6,3221,str('KL'),2,str('stdev'),0.562,42
Completed,0.5,1043,3815,0,2056,str('H'),1,str('tstat'),0.124,85
Completed,0.5,1450,3481,8,4317,str('KL'),3,str('tstat'),0.286,74
Completed,0.49,1009,1778,4,330,str('H'),2,str('stdev'),0.849,6
Completed,0.52,1236,1721,9,4157,str('KL'),2,str('stdev'),0.706,72
Completed,0.5,273,3461,3,491,str('H'),1,str('tstat'),0.143,3
Completed,0.55,620,3756,5,3383,str('KL'),1,str('tstat'),0.446,39
Completed,0.5,1183,811,1,1894,str('H'),2,str('stdev'),0.884,82
Completed,0.5,1144,615,6,637,str('H'),2,str('tstat'),0.263,14
Completed,0.5,1066,4810,0,4635,str('KL'),1,str('stdev'),0.827,57
Completed,0.51,2094,2640,8,1748,str('H'),1,str('stdev'),0.522,96
Completed,0.46,226,2150,3,2904,str('KL'),3,str('tstat'),0.083,28
Completed,0.55,807,2365,5,1473,str('KL'),1,str('tstat'),0.315,78
Completed,0.5,1077,2816,1,2632,str('H'),3,str('stdev'),0.753,46
Completed,0.52,1075,4400,9,987,str('KL'),2,str('stdev'),0.588,7
Completed,0.42,1149,166,2,4988,str('H'),3,str('tstat'),0.025,65
Completed,0.56,1002,1221,7,3736,str('H'),2,str('stdev'),0.655,32
Completed,0.49,829,4205,4,2244,str('KL'),3,str('tstat'),0.217,89
Completed,0.56,983,3246,7,3884,str('H'),3,str('tstat'),0.38,54
Completed,0.5,1035,1545,0,216,str('KL'),1,str('stdev'),0.943,22
Completed,0.56,1011,1264,7,2672,str('H'),3,str('tstat'),0.786,61
Completed,0.5,990,3313,0,1351,str('KL'),2,str('stdev'),0.351,16
Completed,0.5,1290,4238,8,4711,str('H'),1,str('stdev'),0.062,30
Completed,0.5,910,973,4,1191,str('KL'),3,str('tstat'),0.622,100
Completed,0.52,1121,152,9,2434,str('KL'),3,str('stdev'),0.246,5
Completed,0.43,1406,4667,2,3463,str('H'),2,str('tstat'),0.681,75
Completed,0.55,563,3118,5,107,str('KL'),3,str('tstat'),0.968,86
Completed,0.42,1212,2318,2,3919,str('H'),2,str('stdev'),0.409,41
Completed,0.51,3780,1907,8,458,str('H'),1,str('stdev'),0.18,92
Completed,0.5,918,2668,4,4272,str('KL'),2,str('tstat'),0.739,36
Completed,0.5,1179,4882,6,2160,str('H'),3,str('tstat'),0.918,25
Completed,0.5,1308,328,1,3190,str('KL'),1,str('stdev'),0.483,55
Completed,0.5,1195,758,6,4438,str('KL'),3,str('tstat'),0.852,50
Completed,0.5,1138,4063,1,917,str('H'),2,str('stdev'),0.293,80
Completed,0.52,1185,3723,9,3024,str('KL'),2,str('stdev'),0.112,66
Completed,0.5,278,1713,3,1701,str('H'),1,str('tstat'),0.547,11
Completed,0.55,575,1573,5,1081,str('H'),3,str('tstat'),0.363,74
Completed,0.5,1295,3627,1,4894,str('KL'),1,str('stdev'),0.797,4
Completed,0.5,1177,3923,8,1538,str('H'),3,str('stdev'),0.602,43
Completed,0.49,387,662,3,2567,str('KL'),2,str('tstat'),0.043,88
Completed,0.51,1121,467,8,3810,str('KL'),3,str('stdev'),0.669,18
Completed,0.45,1534,4978,4,290,str('H'),2,str('tstat'),0.235,63
Completed,0.5,1277,2808,6,3652,str('KL'),1,str('tstat'),0.428,99
Completed,0.5,971,2004,0,2328,str('H'),2,str('stdev'),0.987,29
Completed,0.52,1175,2218,9,3301,str('H'),3,str('stdev'),0.719,79
Completed,0.43,1199,2983,2,1976,str('KL'),2,str('tstat'),0.16,49
Completed,0.55,578,4568,5,4085,str('H'),2,str('tstat'),0.495,13
Completed,0.43,1219,18,2,562,str('KL'),1,str('stdev'),0.93,68
Completed,0.56,1022,1073,7,1810,str('KL'),3,str('tstat'),0.313,38
Completed,0.5,998,4372,0,2842,str('H'),2,str('stdev'),0.872,93
Completed,0.56,1201,3412,7,729,str('KL'),2,str('stdev'),0.535,54
Completed,0.5,805,1397,4,4543,str('H'),1,str('tstat'),0.1,24
Completed,0.43,1519,2526,2,2389,str('H'),2,str('tstat'),0.128,63
Completed,0.51,1340,2740,8,3676,str('KL'),1,str('stdev'),0.058,14
Completed,0.42,1073,2084,2,877,str('H'),3,str('tstat'),0.707,57
Completed,0.55,712,689,5,4178,str('KL'),2,str('tstat'),0.85,76
