Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
Completed,0.04,4,2975,16,2037,str('KL'),3,str('stdev'),0.158,22
Completed,0.08,6,1821,9,4964,str('H'),1,str('tstat'),0.717,84
Completed,0.04,4,2278,18,3617,str('H'),1,str('stdev'),0.106,45
Completed,0.04,5,3473,6,928,str('KL'),2,str('tstat'),0.521,58
Completed,0.04,3,4767,10,3983,str('H'),3,str('tstat'),0.838,93
Completed,0.04,4,967,4,1831,str('KL'),2,str('stdev'),0.286,6
Completed,0.05,3,755,17,4203,str('KL'),2,str('stdev'),0.063,80
Completed,0.06,5,4450,8,1280,str('H'),1,str('tstat'),0.564,17
Completed,0.04,4,3244,15,3241,str('KL'),3,str('tstat'),0.763,34
Completed,0.04,6,1944,1,1011,str('H'),2,str('stdev'),0.36,72
Completed,0.06,3,1464,12,2276,str('H'),2,str('tstat'),0.942,7
Completed,0.04,8,2805,3,4431,str('KL'),1,str('stdev'),0.433,95
Completed,0.04,9,3951,20,123,str('H'),1,str('stdev'),0.239,56
Completed,0.04,4,297,6,2815,str('KL'),2,str('tstat'),0.635,44
Completed,0.04,5,204,11,4713,str('KL'),1,str('tstat'),0.487,59
Completed,0.04,4,4044,2,2014,str('H'),2,str('stdev'),0.887,46
Completed,0.04,4,2712,20,2570,str('KL'),3,str('stdev'),0.691,4
Completed,0.06,9,1556,5,427,str('H'),2,str('tstat'),0.186,92
Completed,0.05,3,1998,17,1620,str('H'),3,str('stdev'),0.508,31
Completed,0.06,5,3190,8,3842,str('KL'),1,str('tstat'),0.117,69
Completed,0.06,5,4504,14,629,str('H'),3,str('tstat'),0.307,82
Completed,0.04,4,702,0,3564,str('KL'),2,str('stdev'),0.819,20
Completed,0.04,4,1021,19,1191,str('KL'),3,str('stdev'),0.59,97
Completed,0.04,4,4713,7,3335,str('H'),1,str('tstat'),0.034,9
Completed,0.04,5,3527,11,1527,str('KL'),3,str('tstat'),0.357,42
Completed,0.04,4,2225,4,4228,str('H'),2,str('stdev'),0.768,54
Completed,0.05,4,1728,13,3112,str('H'),2,str('tstat'),0.413,18
Completed,0.04,20,3067,2,178,str('KL'),1,str('stdev'),0.96,81
Completed,0.04,4,4236,16,4640,str('H'),3,str('stdev'),0.647,70
Completed,0.04,3,580,10,2419,str('KL'),2,str('tstat'),0.228,33
