Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.96,1,3791,0,0.113,3846
Completed,0.96,1,5000,30,0.001,1158
Completed,0.96,1,5000,0,0.001,3952
Completed,0.96,1,582,59,0.533,2585
Completed,0.96,1,1,15,0.564,4071
Completed,0.96,1,5000,27,0.001,2853
Completed,0.96,1,5000,34,0.662,783
Completed,0.96,1,1298,38,0.999,2564
Completed,0.96,1,1526,0,0.999,1558
Completed,0.96,1,1,71,0.268,4903
Completed,0.96,1,3791,35,0.896,2001
Completed,0.96,1,4345,34,0.171,4162
Completed,0.96,1,587,71,0.001,1577
Completed,0.96,1,945,46,0.843,3012
Completed,0.96,1,1,21,0.831,4631
Completed,0.96,1,4286,0,0.999,3377
Completed,0.96,1,1,0,0.999,1106
Completed,0.96,1,406,34,0.877,553
Completed,0.96,1,1537,40,0.808,4397
Completed,0.96,1,5000,0,0.001,3364
Completed,0.96,1,811,36,0.999,1024
Completed,0.96,1,86,71,0.502,4545
Completed,0.96,1,1231,71,0.999,1568
Completed,0.96,1,3516,71,0.81,3982
Completed,0.96,1,1,70,0.623,2869
Completed,0.96,1,1489,71,0.999,4125
Completed,0.96,1,5000,41,0.999,2837
Completed,0.96,1,1,71,0.446,1713
Completed,0.96,1,1384,0,0.22,2583
Completed,0.96,1,2552,0,0.466,2147
Completed,0.96,1,1904,71,0.138,2147
Completed,0.96,1,5000,0,0.368,510
Completed,0.96,1,1,0,0.001,4551
Completed,0.96,1,1808,71,0.825,2822
Completed,0.96,1,2843,71,0.485,3516
Completed,0.96,1,1,0,0.999,2192
Completed,0.96,1,3887,71,0.999,1912
Completed,0.96,1,1735,0,0.374,640
Completed,0.96,1,1061,0,0.83,1313
Completed,0.96,1,3271,0,0.457,5000
Completed,0.96,1,1216,0,0.999,4719
Completed,0.96,1,4922,71,0.001,4750
Completed,0.96,1,1,0,0.835,869
Completed,0.96,1,5000,71,0.567,3661
Completed,0.96,1,93,71,0.001,4824
Completed,0.96,1,2672,0,0.602,4873
Completed,0.96,1,406,0,0.907,4923
Completed,0.96,1,3693,55,0.777,4480
Completed,0.96,1,1798,7,0.636,2316
Completed,0.96,1,844,21,0.509,1598
Completed,0.96,1,475,70,0.979,2118
Completed,0.96,1,4281,27,0.425,3713
Completed,0.96,1,2326,43,0.432,2489
Completed,0.96,1,4255,11,0.639,2737
Completed,0.96,1,3580,55,0.198,1076
Completed,0.96,1,500,32,0.998,3836
Completed,0.96,1,650,71,0.52,4848
Completed,0.96,1,2811,22,0.283,220
Completed,0.96,1,4402,45,0.847,3443
Completed,0.96,1,1558,5,0.08,1313
Completed,0.96,1,1692,60,0.779,469
Completed,0.96,1,4850,28,0.042,4465
Completed,0.96,1,2945,38,0.608,1866
Completed,0.96,1,1096,16,0.338,3379
Completed,0.96,1,14,49,0.173,2826
Completed,0.96,1,3407,0,0.878,1951
Completed,0.96,1,3768,66,0.438,4236
Completed,0.96,1,2153,25,0.738,853
Completed,0.96,1,1907,63,0.015,3718
Completed,0.96,1,4049,22,0.806,1507
Completed,0.96,1,3160,53,0.373,4808
Completed,0.96,2,295,3,0.572,104
Completed,0.96,1,1088,37,0.909,1114
Completed,0.96,1,2997,15,0.149,3955
Completed,0.96,1,4843,61,0.706,2216
Completed,0.96,1,1742,30,0.476,2540
Completed,0.96,1,1252,49,0.665,4196
Completed,0.96,1,4665,8,0.404,737
Completed,0.96,1,2506,68,0.961,3101
Completed,0.96,1,910,19,0.232,2145
Completed,0.96,1,435,56,0.257,1594
Completed,0.96,1,3612,34,0.55,3183
Completed,0.96,1,4188,42,0.117,507
Completed,0.96,1,2423,54,0.61,2655
Completed,0.96,1,4118,32,0.318,2278
Completed,0.96,1,3679,44,0.751,4055
Completed,0.96,1,363,12,0.053,1190
Completed,0.96,261,824,46,0.468,15
Completed,0.96,1,2598,5,0.729,4762
Completed,0.96,1,4580,69,0.172,1423
Completed,0.96,1,1341,20,0.901,3667
Completed,0.96,1,1827,39,0.209,4677
Completed,0.96,1,4754,17,0.969,548
Completed,0.96,1,3083,58,0.412,3262
Completed,0.96,1,997,27,0.642,1650
Completed,0.96,1,229,66,0.87,2035
Completed,0.96,1,3232,25,0.079,3034
Completed,0.96,1,3984,51,0.512,632
Completed,0.96,1,1976,2,0.312,4124
Completed,0.96,1,2081,52,0.943,1385
Completed,0.96,1,3836,3,0.237,3549
Completed,0.96,1,3337,65,0.678,287
Completed,0.96,1,79,24,0.377,4958
Completed,0.96,1,1186,62,0.103,3780
Completed,0.96,1,2861,30,0.839,996
Completed,0.96,1,4941,36,0.274,2695
Completed,0.96,1,1605,14,0.543,2394
Completed,0.96,1,1466,68,0.347,904
Completed,0.96,1,4489,19,0.585,4321
Completed,0.96,1,2722,47,0.019,1997
Completed,0.96,1,734,6,0.787,2916
Completed,0.96,1,570,41,0.699,3303
Completed,0.96,1,3516,9,0.493,1766
Completed,0.96,1,4326,58,0.933,4403
Completed,0.96,1,2259,35,0.134,354
Completed,0.96,1,2205,70,0.887,4355
Completed,0.96,1,4341,20,0.182,890
Completed,0.96,1,3452,46,0.747,2940
Completed,0.96,1,594,6,0.447,1992
Completed,0.96,1,758,44,0.036,1751
Completed,0.96,1,2658,12,0.773,3337
Completed,0.96,1,4504,54,0.332,349
Completed,0.96,1,1413,31,0.601,4427
Completed,0.96,1,1591,50,0.291,3563
Completed,0.96,1,4994,1,0.528,1351
Completed,0.96,1,2837,65,0.088,4963
Completed,0.96,1,1249,25,0.856,263
Completed,0.96,1,142,59,0.632,962
Completed,0.96,1,3313,27,0.425,3795
Completed,0.96,1,3890,40,0.991,2370
Completed,0.96,1,2066,17,0.191,2700
Completed,0.96,1,2001,37,0.557,621
Completed,0.96,1,3920,14,0.265,4624
Completed,0.96,1,3247,62,0.823,1713
Completed,0.96,1,175,31,0.125,3218
Completed,0.96,1,943,64,0.396,2980
Completed,0.96,1,3098,24,0.656,2108
Completed,0.96,1,4690,52,0.224,4080
Completed,0.96,1,1852,2,0.953,696
Completed,0.96,1,1404,57,0.155,2332
Completed,0.96,1,4556,35,0.916,2582
Completed,0.96,1,2652,40,0.483,1234
Completed,0.96,1,809,9,0.713,3992
Completed,0.96,1,348,48,0.796,4689
Completed,0.96,570,3732,7,0.005,69
Completed,0.96,1,4094,69,0.562,3604
Completed,0.96,1,2487,19,0.364,1466
Completed,0.96,1,2422,45,0.069,752
Completed,0.96,1,4163,4,0.861,4162
Completed,0.96,1,3666,71,0.303,2150
Completed,0.96,1,420,21,0.502,3076
Completed,0.96,1,896,56,0.976,3148
Completed,0.96,1,2560,33,0.216,1609
Completed,0.96,1,4640,43,0.648,4559
Completed,0.96,1,1316,12,0.418,512
Completed,0.96,1,1767,66,0.721,1541
Completed,0.96,1,4779,26,0.46,3703
Completed,0.96,1,3012,50,0.893,129
Completed,0.96,1,1035,0,0.164,4803
Completed,0.96,1,242,38,0.325,3940
Completed,0.96,1,3174,15,0.617,1148
Completed,0.96,1,3985,59,0.06,2535
Completed,0.96,1,1932,28,0.758,2241
Completed,0.96,1,2138,60,0.486,4518
Completed,0.96,1,3822,29,0.692,396
Completed,0.96,1,3383,37,0.127,3423
Completed,0.96,1,78,14,0.926,1803
Completed,0.96,1,1160,53,0.593,1877
Completed,0.96,1,2921,4,0.355,2880
Completed,0.96,1,4903,63,0.796,790
Completed,0.96,1,1678,23,0.027,4280
Completed,0.96,1,1504,42,0.833,2810
Completed,0.96,1,4417,11,0.096,2435
Completed,0.96,1,2747,57,0.537,3900
Completed,0.96,1,674,34,0.268,1032
Completed,0.96,31,524,68,0.246,167
Completed,0.96,1,3517,18,0.952,4922
Completed,0.96,1,4269,48,0.387,1269
Completed,0.96,1,2273,8,0.687,3507
Completed,0.96,1,2297,58,0.221,1841
Completed,0.96,1,4284,27,0.958,3385
Completed,0.96,1,3551,39,0.393,436
Completed,0.96,1,529,17,0.661,4477
Completed,0.96,1,699,51,0.827,4246
Completed,0.96,1,2762,1,0.122,822
Completed,0.96,1,4451,66,0.562,2834
Completed,0.96,1,1509,25,0.262,1922
Completed,0.96,1,1643,44,0.567,1069
Completed,0.96,1,4899,13,0.361,3865
Completed,0.96,1,2896,54,0.801,2478
Completed,0.96,1,1145,32,0.002,2767
Completed,0.96,1,44,70,0.48,3477
Completed,0.96,1,3378,20,0.718,1300
Completed,0.96,1,3798,46,0.152,4874
Completed,0.96,1,2124,6,0.921,215
Completed,0.96,1,1936,47,0.335,3106
Completed,0.96,1,4019,7,0.596,2119
Completed,0.96,1,3189,68,0.039,4208
Completed,0.96,1,266,19,0.768,704
Completed,0.96,1,1040,58,0.742,476
Completed,0.96,1,3046,35,0.45,4593
Completed,0.96,1,4794,41,0.883,1566
Completed,0.96,1,1791,9,0.185,3190
Completed,0.96,1,1301,64,0.986,4837
Completed,0.95,418,4616,24,0.194,97
Completed,0.96,1,2555,52,0.627,3749
Completed,0.96,1,861,2,0.428,1497
Completed,0.96,1,406,36,0.091,2204
Completed,0.96,1,3641,13,0.851,2573
Completed,0.96,1,4159,61,0.294,1109
Completed,0.96,1,2388,30,0.524,3981
